DURIK1
ORNTArm
PI45PLC
PI4PLC
PIPLC
TMDK1
UDPGD
ALAt4
HOMt4
LEUt4
LYStiDF
ORNtiDF
PHEt4
r0023
ARGtD_f
ARGtD_b
