model_ID	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
iPS_SCZ_Ctrl_abs	4214	6186	2248	0	1836	1782	97.0588235294118	649	338	52.080123266564
iPS_SCZ_Ctrl_norm_t1	3675	5265	2248	0	1836	1319	71.8409586056645	649	244	37.5963020030817
iPS_SCZ_Ctrl_norm_t2	3945	5677	2248	0	1836	1519	82.7342047930283	649	294	45.3004622496148
iPS_SCZ_HT_abs	4197	6195	2248	0	1836	1782	97.0588235294118	649	314	48.382126348228
iPS_SCZ_HT_norm_t1	3646	5244	2248	0	1836	1272	69.281045751634	649	269	41.4483821263482
iPS_SCZ_HT_norm_t2	3946	5709	2248	0	1836	1517	82.6252723311547	649	284	43.7596302003082
iPS_SCZ_ST_abs	4195	6191	2248	0	1836	1784	97.1677559912854	649	326	50.231124807396
iPS_SCZ_ST_norm_t1	3720	5331	2248	0	1836	1309	71.2962962962963	649	270	41.6024653312789
iPS_SCZ_ST_norm_t2	3971	5735	2248	0	1836	1524	83.0065359477124	649	296	45.6086286594761
