SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
DDX54	79039	18.8926	22.7333	NA	NA	NA	NA
DDX55	57696	14.2455	14.1449	NA	NA	NA	NA
DDX56	54606	28.5216	36.3482	NA	NA	NA	NA
DDX58	23586	3.73422	4.32593	NA	NA	NA	NA
DDX59	83479	7.79489	11.7812	cerebral-cortex	glial-cells	Low	Approved
DDX6	1656	12.753	8.94264	cerebral-cortex	glial-cells	Medium	Approved
DDX60	55601	2.30136	4.49102	cerebral-cortex	glial-cells	Low	Approved
DDX60L	91351	1.93145	4.84284	cerebral-cortex	glial-cells	Low	Approved
DEAF1	10522	22.0072	26.9502	cerebral-cortex	glial-cells	Medium	Approved
DEC1	50514	0.532386	1.42522	NA	NA	NA	NA
DECR1	1666	102.124	112.633	cerebral-cortex	glial-cells	Low	Enhanced
DECR2	26063	15.9093	16.1275	NA	NA	NA	NA
DEDD	9191	25.9989	20.7847	NA	NA	NA	NA
DEDD2	162989	9.86622	8.10156	NA	NA	NA	NA
DEF6	50619	0.481006	0.269905	NA	NA	NA	NA
DEF8	54849	43.4342	39.1816	cerebral-cortex	glial-cells	Medium	Approved
DEGS1	8560	63.7556	63.0067	NA	NA	NA	NA
DEK	7913	73.3232	72.1685	cerebral-cortex	glial-cells	Medium	Supported
DENND1A	57706	9.05994	10.6461	NA	NA	NA	NA
DENND1B	163486	1.2352	1.46044	NA	NA	NA	NA
DENND2A	27147	23.8681	33.3162	NA	NA	NA	NA
DENND2C	163259	0.675564	0.280123	NA	NA	NA	NA
DENND3	22898	5.11877	4.37794	NA	NA	NA	NA
DENND4A	10260	5.99255	4.07186	NA	NA	NA	NA
DENND4B	9909	20.1396	30.5222	NA	NA	NA	NA
DENND4C	55667	11.9408	10.8561	NA	NA	NA	NA
DENND5A	23258	53.9082	59.4293	NA	NA	NA	NA
DENND5B	160518	11.9653	10.9603	cerebral-cortex	glial-cells	Medium	Approved
DENND5B-AS1	100874249	0.173616	0.135623	NA	NA	NA	NA
DENND6A	201627	9.21174	9.66764	NA	NA	NA	NA
DENND6B	414918	5.62204	13.0922	NA	NA	NA	NA
DENR	8562	49.9186	48.4088	NA	NA	NA	NA
DEPDC1	55635	10.795	8.76472	cerebral-cortex	glial-cells	Low	Approved
DEPDC1B	55789	11.4039	10.7061	NA	NA	NA	NA
DEPDC4	120863	1.80191	2.0006	NA	NA	NA	NA
DEPDC5	9681	8.38569	7.9993	NA	NA	NA	NA
DEPDC7	91614	2.4777	2.91048	NA	NA	NA	NA
DEPTOR	64798	0.734178	0.505759	NA	NA	NA	NA
DERA	51071	15.7035	21.5639	NA	NA	NA	NA
DERL1	79139	24.9389	20.4976	cerebral-cortex	glial-cells	Low	Supported
DERL2	51009	50.6008	41.0523	NA	NA	NA	NA
DERL3	91319	1.17772	2.25751	NA	NA	NA	NA
DES	1674	0.165311	0.38882	NA	NA	NA	NA
DESI1	27351	14.563	15.4612	NA	NA	NA	NA
DESI2	51029	33.1872	23.4929	NA	NA	NA	NA
DET1	55070	3.72587	4.20406	NA	NA	NA	NA
DEXI	28955	19.0618	15.5388	cerebral-cortex	glial-cells	Low	Approved
DFFA	1676	17.2091	18.2687	cerebral-cortex	glial-cells	Low	Supported
DFFB	1677	4.38879	4.32887	NA	NA	NA	NA
DGAT1	8694	0.313799	6.14306	cerebral-cortex	glial-cells	Low	Enhanced
DGAT2	84649	0.304065	0.172469	NA	NA	NA	NA
DGCR10	26222	0.605364	0.167741	NA	NA	NA	NA
DGCR11	25786	0.726346	1.62106	NA	NA	NA	NA
DGCR2	9993	32.7754	53.3819	NA	NA	NA	NA
DGCR5	26220	0.868567	1.6951	NA	NA	NA	NA
DGCR6	8214	6.82625	9.50291	NA	NA	NA	NA
DGCR6L	85359	28.8842	34.5117	NA	NA	NA	NA
DGCR8	54487	18.2934	29.8384	NA	NA	NA	NA
DGCR9	25787	2.25038	0.63775	NA	NA	NA	NA
DGKA	1606	15.9532	24.9535	cerebral-cortex	glial-cells	Low	Approved
DGKB	1607	0.345534	0.603926	NA	NA	NA	NA
DGKD	8527	9.78284	17.3022	cerebral-cortex	glial-cells	Low	Approved
DGKE	8526	1.71114	1.08182	NA	NA	NA	NA
DGKG	1608	6.3393	8.5833	NA	NA	NA	NA
DGKH	160851	0.954814	0.869763	NA	NA	NA	NA
DGKI	9162	2.15122	2.34388	NA	NA	NA	NA
DGKQ	1609	5.78096	7.8409	NA	NA	NA	NA
DGKZ	8525	24.9917	46.7451	NA	NA	NA	NA
DGKZP1	400126	5.18625	8.58246	NA	NA	NA	NA
DGUOK	1716	60.3	60.3569	NA	NA	NA	NA
DGUOK-AS1	100874048	0.970186	1.99191	NA	NA	NA	NA
DHCR24	1718	84.1285	114.953	NA	NA	NA	NA
DHCR7	1717	34.7954	40.0173	cerebral-cortex	glial-cells	Medium	Approved
DHDDS	79947	13.5807	23.3912	NA	NA	NA	NA
DHDH	27294	1.86523	0.645142	NA	NA	NA	NA
DHFR	1719	19.8731	28.1665	NA	NA	NA	NA
DHFRP1	573971	25.7442	33.8717	NA	NA	NA	NA
DHH	50846	0.26317	1.06714	NA	NA	NA	NA
DHODH	1723	4.69203	6.43229	NA	NA	NA	NA
DHPS	1725	53.7378	68.6088	NA	NA	NA	NA
DHRS1	115817	17.6093	22.7444	cerebral-cortex	glial-cells	Low	Approved
DHRS11	79154	0.145158	0.663651	NA	NA	NA	NA
DHRS12	79758	4.14399	8.86069	NA	NA	NA	NA
DHRS13	147015	22.8921	23.5973	NA	NA	NA	NA
DHRS2	10202	0.828492	0.81551	NA	NA	NA	NA
DHRS3	9249	1.3679	2.61507	cerebral-cortex	glial-cells	Medium	Supported
DHRS4	10901	10.1224	12.9586	NA	NA	NA	NA
DHRS4L2	317749	3.47401	4.07285	NA	NA	NA	NA
DHRS7	51635	47.0311	49.3045	cerebral-cortex	glial-cells	Medium	Approved
DHRS7B	25979	12.9124	15.3071	NA	NA	NA	NA
DHRSX	207063	11.7373	15.7947	NA	NA	NA	NA
DHRSX-IT1	106478924	0.200189	0	NA	NA	NA	NA
DHTKD1	55526	11.2167	16.9671	cerebral-cortex	glial-cells	Low	Approved
DHX15	1665	91.3313	77.3778	NA	NA	NA	NA
DHX29	54505	14.3053	12.1312	cerebral-cortex	glial-cells	Medium	Approved
DHX30	22907	30.6559	39.9334	cerebral-cortex	glial-cells	Medium	Supported
DHX32	55760	18.7241	14.3996	cerebral-cortex	glial-cells	Low	Approved
DHX33	56919	9.13717	9.52343	cerebral-cortex	glial-cells	Medium	Supported
DHX34	9704	6.9087	9.21511	NA	NA	NA	NA
DHX35	60625	4.67627	6.19596	NA	NA	NA	NA
DHX36	170506	31.9529	30.4284	cerebral-cortex	glial-cells	Medium	Approved
DHX37	57647	4.78533	6.79359	cerebral-cortex	glial-cells	Low	Approved
DHX38	9785	25.2189	28.6688	NA	NA	NA	NA
DHX40	79665	37.1602	38.7579	NA	NA	NA	NA
DHX40P1	107133522	1.72456	1.52764	NA	NA	NA	NA
DHX57	90957	12.6552	14.8282	NA	NA	NA	NA
DHX8	1659	19.8343	20.443	cerebral-cortex	glial-cells	Medium	Approved
DHX9	1660	115.343	110.324	cerebral-cortex	glial-cells	High	Supported
DHX9P1	1661	0.175047	0.0507843	NA	NA	NA	NA
DIABLO	56616	58.45	60.2308	cerebral-cortex	glial-cells	Medium	Supported
DIAPH1	1729	39.7076	43.8221	cerebral-cortex	glial-cells	Low	Approved
DIAPH2	1730	1.06043	0.538465	cerebral-cortex	glial-cells	Low	Enhanced
DIAPH3	81624	5.06382	4.54355	NA	NA	NA	NA
DICER1	23405	10.3818	9.28527	NA	NA	NA	NA
DICER1-AS1	400242	5.17017	4.37758	NA	NA	NA	NA
DIDO1	11083	15.6588	19.482	cerebral-cortex	glial-cells	High	Supported
DIMT1	27292	18.7344	17.7525	cerebral-cortex	glial-cells	Medium	Approved
DIO1	1733	0.209113	0.0669164	NA	NA	NA	NA
DIO2	1734	0.177575	0.0327696	NA	NA	NA	NA
