SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	13.0867	27.4968	NA	NA	NA	NA
A1BG-AS1	503538	5.04591	5.04822	NA	NA	NA	NA
A2M	2	8.52777	48.3677	NA	NA	NA	NA
A2M-AS1	144571	0.297436	0.0750659	NA	NA	NA	NA
A4GALT	53947	0.085539	0.333497	NA	NA	NA	NA
AAAS	8086	39.5063	39.7331	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	8.62379	8.05948	NA	NA	NA	NA
AADAT	51166	14.106	12.5347	NA	NA	NA	NA
AAGAB	79719	33.1591	40.446	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	8.74763	4.49269	NA	NA	NA	NA
AAMDC	28971	25.9727	40.1001	NA	NA	NA	NA
AAMP	14	41.1394	43.2904	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	16.6825	16.8905	NA	NA	NA	NA
AARD	441376	0.280887	0.404946	NA	NA	NA	NA
AARS2	57505	6.70396	6.59954	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	32.0686	42.1139	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	6.16485	6.52843	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	32.8552	35.9116	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	23.1099	16.5908	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	19.5025	20.3735	NA	NA	NA	NA
AATK	9625	1.40577	2.0055	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	53.9952	59.2902	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	3.24877	4.49053	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.741205	0.429251	NA	NA	NA	NA
ABCA13	154664	0.637583	0.830261	NA	NA	NA	NA
ABCA17P	650655	0.455865	0.539501	NA	NA	NA	NA
ABCA2	20	16.0169	16.4092	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	12.6722	13.2204	NA	NA	NA	NA
ABCA4	24	0.0191848	0.13284	NA	NA	NA	NA
ABCA5	23461	12.1996	10.4274	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.15996	0.111387	NA	NA	NA	NA
ABCA7	10347	5.00576	8.77922	NA	NA	NA	NA
ABCA8	10351	1.42379	1.01873	NA	NA	NA	NA
ABCA9	10350	0.209964	0.0205498	NA	NA	NA	NA
ABCB1	5243	0.162453	0.0705922	NA	NA	NA	NA
ABCB10	23456	10.6828	9.391	NA	NA	NA	NA
ABCB4	5244	0.413729	0.0926221	NA	NA	NA	NA
ABCB6	10058	10.7745	25.3967	NA	NA	NA	NA
ABCB7	22	11.6761	11.9502	NA	NA	NA	NA
ABCB8	11194	14.7819	16.9254	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	4.85494	6.82708	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	3.37571	4.00037	NA	NA	NA	NA
ABCC10	89845	8.53553	11.1319	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.122535	0.199292	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.311137	0.475699	NA	NA	NA	NA
ABCC3	8714	0.294633	1.4464	NA	NA	NA	NA
ABCC4	10257	2.61916	2.16147	NA	NA	NA	NA
ABCC5	10057	14.9517	16.0496	NA	NA	NA	NA
ABCC6	368	0.329379	1.37511	NA	NA	NA	NA
ABCC6P1	653190	0.475151	1.45887	NA	NA	NA	NA
ABCC6P2	730013	0.694527	0.62198	NA	NA	NA	NA
ABCC8	6833	1.07442	1.6507	NA	NA	NA	NA
ABCC9	10060	4.15964	1.67289	NA	NA	NA	NA
ABCD1	215	0.0985047	0.366653	NA	NA	NA	NA
ABCD2	225	0.624816	0.711618	NA	NA	NA	NA
ABCD3	5825	33.1282	31.7962	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	53.5077	54.0537	NA	NA	NA	NA
ABCE1	6059	32.6391	24.6973	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	17.7984	20.1652	cerebral-cortex	glial-cells	Low	Approved
ABCF3	55324	26.1379	28.3674	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	1.53114	2.21122	NA	NA	NA	NA
ABCG4	64137	0.349984	0.643892	NA	NA	NA	NA
ABHD1	84696	0.62454	0.681916	NA	NA	NA	NA
ABHD10	55347	28.9347	25.667	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	1.73194	0.795049	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	29.6572	27.4616	NA	NA	NA	NA
ABHD12B	145447	0.16598	0.2323	NA	NA	NA	NA
ABHD13	84945	4.87343	4.95381	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	12.8269	15.0136	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.413866	0.174952	NA	NA	NA	NA
ABHD14B	84836	3.96892	4.93196	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.89177	4.26858	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	3.33435	2.56629	NA	NA	NA	NA
ABHD17A	81926	22.2999	25.0733	NA	NA	NA	NA
ABHD17AP3	648359	0.192792	0.258451	NA	NA	NA	NA
ABHD17AP6	644988	0.320785	0.28677	NA	NA	NA	NA
ABHD17B	51104	19.1299	16.4156	NA	NA	NA	NA
ABHD17C	58489	78.2983	59.9664	NA	NA	NA	NA
ABHD2	11057	17.0931	10.1602	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	11.8513	13.0098	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	19.8141	34.5945	NA	NA	NA	NA
ABHD5	51099	6.62713	6.9831	NA	NA	NA	NA
ABHD6	57406	2.03651	3.05475	NA	NA	NA	NA
ABHD8	79575	3.47822	4.57268	NA	NA	NA	NA
ABI1	10006	24.124	21.7679	NA	NA	NA	NA
ABI2	10152	93.6941	66.5543	NA	NA	NA	NA
ABI3BP	25890	0.369444	0.334703	NA	NA	NA	NA
ABL1	25	41.4215	35.3818	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	6.12034	3.46076	NA	NA	NA	NA
ABLIM1	3983	15.4724	8.00995	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	4.03998	5.8413	NA	NA	NA	NA
ABLIM3	22885	0.0467597	0.0689381	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	20.3595	20.5623	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	18.6306	23.9116	NA	NA	NA	NA
ABT1	29777	0.0882707	0.0787802	NA	NA	NA	NA
ABTB1	80325	3.02011	4.89934	NA	NA	NA	NA
ABTB2	25841	49.2658	52.1202	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	22.6997	31.6734	NA	NA	NA	NA
ACAA2	10449	46.3838	54.3225	NA	NA	NA	NA
ACACA	31	33.3942	27.1683	NA	NA	NA	NA
ACACB	32	4.4788	2.75994	NA	NA	NA	NA
ACAD10	80724	17.5944	15.0276	NA	NA	NA	NA
ACAD11	84129	5.24239	7.81746	NA	NA	NA	NA
ACAD8	27034	20.8443	21.7209	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	21.2147	19.6635	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	0.811898	0.5087	NA	NA	NA	NA
ACADM	34	46.215	43.1469	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	1.15115	2.59403	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	5.55495	4.53462	NA	NA	NA	NA
ACADVL	37	145.509	157.826	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	0.0999319	0.023466	NA	NA	NA	NA
ACAP1	9744	0.966426	1.59047	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	17.9475	12.3843	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	2.01365	0.901878	NA	NA	NA	NA
ACAP3	116983	55.2075	38.2556	NA	NA	NA	NA
ACAT1	38	29.5191	40.1013	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	121.576	113.199	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	14.657	15.8998	NA	NA	NA	NA
ACBD4	79777	1.98881	4.21665	NA	NA	NA	NA
ACBD5	91452	15.7884	16.2555	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	34.6001	44.0158	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	10.8008	6.19071	NA	NA	NA	NA
ACCS	84680	3.05738	2.94057	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	12.7431	14.0071	NA	NA	NA	NA
ACE2	59272	0.170784	0.0634266	NA	NA	NA	NA
ACER2	340485	1.79156	0.893652	NA	NA	NA	NA
ACER3	55331	6.19216	3.26848	NA	NA	NA	NA
ACHE	43	1.24133	3.35021	NA	NA	NA	NA
ACIN1	22985	137.493	83.5152	cerebral-cortex	glial-cells	High	Supported
ACKR2	1238	0.065955	0.0906774	NA	NA	NA	NA
ACKR3	57007	4.00868	9.81744	NA	NA	NA	NA
ACLY	47	0.755905	0.834606	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.13053	0	NA	NA	NA	NA
ACO1	48	17.6875	16.9397	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	35.7713	40.8493	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	0.26942	0.454378	NA	NA	NA	NA
ACOT11	26027	0.127335	0.0908279	NA	NA	NA	NA
ACOT12	134526	0.4195	0.171643	NA	NA	NA	NA
ACOT13	55856	11.957	19.012	NA	NA	NA	NA
ACOT2	10965	2.33758	2.95643	NA	NA	NA	NA
ACOT4	122970	0.0839166	0.187225	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	37.7776	37.542	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	10.0142	12.0926	NA	NA	NA	NA
ACOT9	23597	21.1399	17.8905	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	11.1223	11.255	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	0.910462	1.1338	NA	NA	NA	NA
ACOX3	8310	6.46864	8.44557	NA	NA	NA	NA
ACP1	52	91.3019	93.2806	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	25.5667	33.5648	NA	NA	NA	NA
ACP5	54	0	0.216978	NA	NA	NA	NA
ACP6	51205	0.0540696	1.38909	NA	NA	NA	NA
ACRBP	84519	0.457103	0.400206	NA	NA	NA	NA
ACRV1	56	0.4894	0.341938	NA	NA	NA	NA
ACSBG1	23205	5.13136	5.81877	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.933308	0.661318	NA	NA	NA	NA
ACSF2	80221	17.7953	17.4418	NA	NA	NA	NA
ACSF3	197322	6.36077	8.56066	NA	NA	NA	NA
ACSL1	2180	5.90091	6.61806	NA	NA	NA	NA
ACSL3	2181	51.6661	51.9054	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	5.21092	5.35905	NA	NA	NA	NA
ACSL5	51703	0.184377	0.284826	NA	NA	NA	NA
ACSL6	23305	1.98866	1.95447	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	0.523477	0.15419	NA	NA	NA	NA
ACSS1	84532	27.137	28.5841	NA	NA	NA	NA
ACSS2	55902	14.2485	17.5488	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	0.682703	1.006	NA	NA	NA	NA
ACTA1	58	0.177444	0.281876	NA	NA	NA	NA
ACTA2	59	17.0619	49.3745	NA	NA	NA	NA
ACTA2-AS1	100132116	0.0730661	0.10515	NA	NA	NA	NA
ACTB	60	2282.14	1992.17	NA	NA	NA	NA
ACTBP2	62	10.0293	7.25839	NA	NA	NA	NA
ACTC1	70	0.413206	0.0892362	NA	NA	NA	NA
ACTG1	71	145.986	62.9947	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.680537	0.434447	NA	NA	NA	NA
ACTG1P3	75	0.247006	0.132467	NA	NA	NA	NA
ACTG2	72	8.28908	15.7316	NA	NA	NA	NA
ACTL10	170487	0.123987	0.199212	NA	NA	NA	NA
ACTL6A	86	81.7502	63.9588	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.749704	1.29566	NA	NA	NA	NA
ACTN1	87	83.0021	40.27	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0.643603	0.245026	NA	NA	NA	NA
ACTN2	88	0.287899	0.459156	NA	NA	NA	NA
ACTN4	81	145.728	89.7078	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.144677	0.129218	NA	NA	NA	NA
ACTR10	55860	41.5754	67.2112	NA	NA	NA	NA
ACTR1A	10121	71.5672	74.449	NA	NA	NA	NA
ACTR1B	10120	34.8018	39.4064	NA	NA	NA	NA
ACTR2	10097	142.278	127.715	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	166.013	134.385	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	5.16419	6.34688	NA	NA	NA	NA
ACTR3C	653857	0.0887715	0.158648	NA	NA	NA	NA
ACTR5	79913	4.81094	4.85033	NA	NA	NA	NA
ACTR6	64431	18.4679	22.8886	NA	NA	NA	NA
ACTR8	93973	17.2802	17.2782	NA	NA	NA	NA
ACTRT3	84517	0.200896	0.246572	NA	NA	NA	NA
ACVR1	90	6.3447	7.06611	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	8.87275	8.07999	NA	NA	NA	NA
ACVR2A	92	10.7114	9.76845	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	7.68069	5.39187	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.724461	0.61154	NA	NA	NA	NA
ACVRL1	94	0.118758	0.0310008	NA	NA	NA	NA
ACY1	95	6.36046	9.62677	NA	NA	NA	NA
ACYP1	97	24.9682	25.8088	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	15.5391	23.682	NA	NA	NA	NA
ADA	100	14.1183	15.6843	NA	NA	NA	NA
ADAL	161823	7.74569	8.5207	NA	NA	NA	NA
ADAM10	102	44.8301	34.8315	NA	NA	NA	NA
ADAM11	4185	0.692959	0.352297	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	7.14917	9.6716	NA	NA	NA	NA
ADAM15	8751	13.885	17.1849	NA	NA	NA	NA
ADAM17	6868	28.9862	25.7706	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	5.09184	3.69806	NA	NA	NA	NA
ADAM1A	8759	6.2256	5.67198	NA	NA	NA	NA
ADAM1B	100420505	0.377723	0.2023	NA	NA	NA	NA
ADAM20P1	317760	0.167659	0.149654	NA	NA	NA	NA
ADAM21	8747	0.267305	0.385415	NA	NA	NA	NA
ADAM22	53616	2.37831	1.60628	NA	NA	NA	NA
ADAM23	8745	7.33107	9.10251	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	0	0.0522378	NA	NA	NA	NA
ADAM32	203102	0.797121	0.879032	NA	NA	NA	NA
ADAM33	80332	0.0139609	0.0187565	NA	NA	NA	NA
ADAM8	101	0.487889	1.1224	NA	NA	NA	NA
ADAM9	8754	101.543	122.027	NA	NA	NA	NA
ADAMTS1	9510	9.73296	3.11412	NA	NA	NA	NA
ADAMTS10	81794	3.42172	1.99249	NA	NA	NA	NA
ADAMTS12	81792	6.28399	4.87667	NA	NA	NA	NA
ADAMTS13	11093	0.392448	0.292905	NA	NA	NA	NA
ADAMTS14	140766	0.609616	0.77689	NA	NA	NA	NA
ADAMTS15	170689	0.465365	0.970872	NA	NA	NA	NA
ADAMTS16	170690	0.506064	0.915284	NA	NA	NA	NA
ADAMTS17	170691	2.65401	1.02429	NA	NA	NA	NA
ADAMTS19	171019	0.0782107	0.0699665	NA	NA	NA	NA
ADAMTS2	9509	0.073307	0.41454	NA	NA	NA	NA
ADAMTS20	80070	0.110257	0.0626182	NA	NA	NA	NA
ADAMTS3	9508	7.82923	10.7938	NA	NA	NA	NA
ADAMTS4	9507	0.573195	0.482207	NA	NA	NA	NA
ADAMTS5	11096	0.421025	0.265543	NA	NA	NA	NA
ADAMTS6	11174	4.11824	3.54148	NA	NA	NA	NA
ADAMTS7	11173	12.4531	9.6345	NA	NA	NA	NA
ADAMTS7P4	642935	0.174963	0.159049	NA	NA	NA	NA
ADAMTS8	11095	0.0238858	0.0398036	NA	NA	NA	NA
ADAMTS9	56999	24.4821	19.0816	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.0463372	0.0835865	NA	NA	NA	NA
ADAMTSL1	92949	1.32263	1.04139	NA	NA	NA	NA
ADAMTSL4	54507	0.278119	0.578737	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	0	0.137322	NA	NA	NA	NA
ADAMTSL5	339366	0.0513599	0.209164	NA	NA	NA	NA
ADAP1	11033	0.402318	0.643168	NA	NA	NA	NA
ADAP2	55803	0.0218975	0.148097	NA	NA	NA	NA
ADAR	103	70.5827	56.4441	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	2.11787	2.30332	NA	NA	NA	NA
ADARB2	105	0.796826	0.346752	NA	NA	NA	NA
ADAT1	23536	28.4901	19.7994	NA	NA	NA	NA
ADAT2	134637	4.74304	3.60123	NA	NA	NA	NA
ADAT3	113179	2.83923	3.89573	NA	NA	NA	NA
ADCK1	57143	2.77232	4.73594	NA	NA	NA	NA
ADCK2	90956	2.65915	4.53687	cerebral-cortex	glial-cells	Medium	Approved
ADCK5	203054	0.103646	0.138782	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	4.75403	3.67327	NA	NA	NA	NA
ADCY10P1	221442	1.28061	0.891239	NA	NA	NA	NA
ADCY2	108	6.83823	4.69892	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	6.81845	3.43247	cerebral-cortex	glial-cells	Low	Approved
ADCY4	196883	0.00895258	0.0831115	NA	NA	NA	NA
ADCY5	111	3.45093	2.69754	NA	NA	NA	NA
ADCY6	112	48.3201	34.3733	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	0.4358	0.284517	NA	NA	NA	NA
ADCY8	114	0.961541	0.410953	NA	NA	NA	NA
ADCY9	115	3.7721	2.7505	cerebral-cortex	glial-cells	Medium	Approved
ADCYAP1	116	0.600394	0.716191	NA	NA	NA	NA
ADCYAP1R1	117	8.4724	7.70464	NA	NA	NA	NA
ADD1	118	132.636	117.192	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	34.0653	22.638	cerebral-cortex	glial-cells	Medium	Supported
ADH1A	124	0.263564	0.196507	NA	NA	NA	NA
ADH4	127	0.318602	0.10161	NA	NA	NA	NA
ADH5	128	108.217	102.405	NA	NA	NA	NA
ADH5P4	642443	4.49491	4.15146	NA	NA	NA	NA
ADH6	130	2.44307	0.991661	NA	NA	NA	NA
ADHFE1	137872	1.95644	1.59002	NA	NA	NA	NA
ADI1	55256	26.5652	33.1598	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	24.1077	31.1516	NA	NA	NA	NA
ADIPOR2	79602	29.3339	26.2226	NA	NA	NA	NA
ADIRF-AS1	100133190	0.0452541	0.0676469	NA	NA	NA	NA
ADK	132	26.7938	35.0372	NA	NA	NA	NA
ADM	133	45.9573	34.4487	NA	NA	NA	NA
ADM2	79924	0.190854	0.320456	NA	NA	NA	NA
ADM5	199800	2.49532	1.4802	NA	NA	NA	NA
ADNP	23394	60.573	39.1462	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	14.2795	6.9928	NA	NA	NA	NA
ADO	84890	19.1168	16.7892	NA	NA	NA	NA
ADORA1	134	5.76808	19.4551	NA	NA	NA	NA
ADORA2A	135	2.6506	4.04189	NA	NA	NA	NA
ADORA2A-AS1	646023	0.520566	0.401209	NA	NA	NA	NA
ADORA2B	136	1.40948	4.47988	NA	NA	NA	NA
ADPGK	83440	27.22	27.1587	NA	NA	NA	NA
ADPRH	141	0.694985	0.450287	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	0.591157	0.596411	NA	NA	NA	NA
ADPRHL2	54936	19.4964	23.4131	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	4.24081	6.42291	NA	NA	NA	NA
ADRA1A	148	0.459742	0.218787	cerebral-cortex	glial-cells	Medium	Approved
ADRA1B	147	0.147256	0.0788851	NA	NA	NA	NA
ADRA1D	146	0.146551	0.130769	NA	NA	NA	NA
ADRA2A	150	0.148548	0.143552	NA	NA	NA	NA
ADRA2C	152	0.164696	0.0630001	NA	NA	NA	NA
ADRB2	154	0.0246229	0.0879139	NA	NA	NA	NA
ADRM1	11047	51.657	55.0648	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	36.154	36.221	cerebral-cortex	glial-cells	Medium	Enhanced
AEBP1	165	32.2481	32.626	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	18.3824	14.603	NA	NA	NA	NA
AEN	64782	15.1208	18.183	NA	NA	NA	NA
AFAP1	60312	22.3325	11.0322	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1L1	134265	0.217042	0.294061	NA	NA	NA	NA
AFAP1L2	84632	0.495676	0.985497	NA	NA	NA	NA
AFF1	4299	6.36746	4.47954	NA	NA	NA	NA
AFF3	3899	7.92409	3.10353	cerebral-cortex	glial-cells	Low	Approved
AFF4	27125	34.0322	23.1621	cerebral-cortex	glial-cells	High	Approved
AFG3L1P	172	25.1922	20.88	NA	NA	NA	NA
AFG3L2	10939	25.7987	23.6507	cerebral-cortex	glial-cells	Medium	Enhanced
AFMID	125061	16.0868	13.6143	NA	NA	NA	NA
AFTPH	54812	8.55477	8.84241	NA	NA	NA	NA
AGA	175	6.51522	8.22395	cerebral-cortex	glial-cells	Low	Enhanced
AGAP1	116987	19.7426	11.9141	NA	NA	NA	NA
AGAP1-IT1	100506749	0.193155	0.0865337	NA	NA	NA	NA
AGAP2	116986	21.1962	13.8002	cerebral-cortex	glial-cells	Medium	Enhanced
AGAP2-AS1	100130776	0.308674	0.91573	NA	NA	NA	NA
AGAP3	116988	32.9023	32.1821	cerebral-cortex	glial-cells	Medium	Approved
AGAP4	119016	0.998969	0.384885	NA	NA	NA	NA
AGAP5	729092	2.93192	2.85944	NA	NA	NA	NA
AGAP6	414189	0.202871	1.62137	NA	NA	NA	NA
AGAP9	642517	0.33158	0.391054	NA	NA	NA	NA
AGBL3	340351	2.15031	1.51521	NA	NA	NA	NA
AGBL4	84871	0.08379	0.183844	cerebral-cortex	glial-cells	Low	Approved
AGBL5	60509	30.6448	25.5241	NA	NA	NA	NA
AGBL5-IT1	106481744	0.905487	0.815532	NA	NA	NA	NA
AGFG1	3267	35.2155	33.0795	NA	NA	NA	NA
AGFG2	3268	4.07456	3.98022	NA	NA	NA	NA
AGGF1	55109	16.2891	16.6077	NA	NA	NA	NA
AGK	55750	13.2079	8.67035	cerebral-cortex	glial-cells	Low	Supported
AGL	178	6.30246	6.15683	cerebral-cortex	glial-cells	High	Approved
AGMAT	79814	0.157797	0.105622	NA	NA	NA	NA
AGMO	392636	0	0.0177945	NA	NA	NA	NA
AGO1	26523	13.596	12.462	NA	NA	NA	NA
AGO2	27161	8.76928	3.75958	cerebral-cortex	glial-cells	High	Approved
AGO3	192669	7.10382	7.68711	NA	NA	NA	NA
AGO4	192670	9.45737	7.76502	NA	NA	NA	NA
AGPAT1	10554	5.02904	4.63619	cerebral-cortex	glial-cells	High	Approved
AGPAT2	10555	7.22751	9.36979	NA	NA	NA	NA
AGPAT3	56894	17.2479	14.583	NA	NA	NA	NA
AGPAT4	56895	13.3978	14.4039	cerebral-cortex	glial-cells	Medium	Approved
AGPAT5	55326	34.0849	26.8411	NA	NA	NA	NA
AGPS	8540	11.0124	9.29863	NA	NA	NA	NA
AGRN	375790	125.296	83.2152	cerebral-cortex	glial-cells	Low	Approved
AGT	183	0	0.0193567	NA	NA	NA	NA
AGTPBP1	23287	11.9826	10.8181	NA	NA	NA	NA
AGTR1	185	1.34691	1.27234	NA	NA	NA	NA
AGTRAP	57085	9.5138	16.9106	NA	NA	NA	NA
AHCTF1	25909	22.7181	14.5316	NA	NA	NA	NA
AHCTF1P1	285116	1.59972	0.991873	NA	NA	NA	NA
AHCY	191	57.0391	66.8963	cerebral-cortex	glial-cells	Medium	Approved
AHCYL1	10768	41.3305	39.0629	NA	NA	NA	NA
AHCYL2	23382	14.5705	12.7845	NA	NA	NA	NA
AHDC1	27245	10.6143	7.78229	cerebral-cortex	glial-cells	Low	Approved
AHI1	54806	18.5797	14.4036	cerebral-cortex	glial-cells	Medium	Approved
AHNAK	79026	23.2704	14.2379	NA	NA	NA	NA
AHNAK2	113146	0.491574	1.62886	NA	NA	NA	NA
AHR	196	13.0908	9.22999	cerebral-cortex	glial-cells	Low	Enhanced
AHRR	57491	20.7809	18.2394	NA	NA	NA	NA
AHSA1	10598	48.9205	81.5389	cerebral-cortex	glial-cells	Medium	Supported
AIDA	64853	27.7239	21.9303	NA	NA	NA	NA
AIF1L	83543	64.0897	73.6237	NA	NA	NA	NA
AIFM1	9131	13.876	21.8243	NA	NA	NA	NA
AIFM2	84883	2.01078	2.54079	NA	NA	NA	NA
AIFM3	150209	0.239892	0.885893	NA	NA	NA	NA
AIG1	51390	19.04	23.883	NA	NA	NA	NA
AIM2	9447	2.09982	0.91249	NA	NA	NA	NA
AIMP1	9255	17.3924	20.9774	cerebral-cortex	glial-cells	Medium	Supported
AIMP2	7965	17.4466	20.4859	cerebral-cortex	glial-cells	Low	Supported
AIP	9049	28.5666	40.2053	cerebral-cortex	glial-cells	Medium	Approved
AJAP1	55966	0.102388	0.0318293	NA	NA	NA	NA
AJUBA	84962	18.7123	12.5123	NA	NA	NA	NA
AK1	203	30.4945	52.2829	NA	NA	NA	NA
AK2	204	55.9382	63.1991	NA	NA	NA	NA
AK3	50808	33.0803	39.6902	NA	NA	NA	NA
AK3P3	100419075	3.57338	3.20175	NA	NA	NA	NA
AK3P5	100288319	0.141084	0.251356	NA	NA	NA	NA
AK4	205	15.0319	7.46354	cerebral-cortex	glial-cells	Medium	Enhanced
AK4P1	206	5.56609	2.75148	NA	NA	NA	NA
AK4P3	645619	0.764357	0.513596	NA	NA	NA	NA
AK5	26289	2.09369	2.89897	NA	NA	NA	NA
AK7	122481	0.780811	1.04185	NA	NA	NA	NA
AK8	158067	0.278998	0.960214	NA	NA	NA	NA
AK9	221264	3.62384	3.6595	cerebral-cortex	glial-cells	High	Enhanced
AKAP1	8165	14.0997	9.69602	cerebral-cortex	glial-cells	High	Supported
AKAP10	11216	12.2322	10.7263	cerebral-cortex	glial-cells	Medium	Approved
AKAP11	11215	16.1474	9.88954	NA	NA	NA	NA
AKAP12	9590	14.0182	10.525	NA	NA	NA	NA
AKAP13	11214	32.5895	22.3571	cerebral-cortex	glial-cells	Medium	Approved
AKAP14	158798	0.32988	1.12292	NA	NA	NA	NA
AKAP17A	8227	21.4187	28.609	cerebral-cortex	glial-cells	Medium	Supported
AKAP3	10566	2.8121	4.01231	NA	NA	NA	NA
AKAP5	9495	2.05065	0.98005	cerebral-cortex	glial-cells	Low	Enhanced
AKAP6	9472	1.37182	1.73855	NA	NA	NA	NA
AKAP7	9465	7.29591	7.23385	NA	NA	NA	NA
AKAP8	10270	14.7329	13.5266	cerebral-cortex	glial-cells	Medium	Supported
AKAP8L	26993	59.8014	63.6088	cerebral-cortex	glial-cells	High	Enhanced
AKAP9	10142	17.1382	18.4894	cerebral-cortex	glial-cells	Medium	Supported
AKIP1	56672	19.504	20.1517	NA	NA	NA	NA
AKIRIN1	79647	72.9608	64.001	cerebral-cortex	glial-cells	Low	Approved
