SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
LCAT	3931	28.5154	31.1146	NA	NA	NA	NA
LCLAT1	253558	5.18359	3.40205	NA	NA	NA	NA
LCMT1	51451	21.5354	26.3513	NA	NA	NA	NA
LCMT2	9836	6.97183	7.16104	cerebral-cortex	glial-cells	Medium	Approved
LCN12	286256	0.921645	1.14686	NA	NA	NA	NA
LCNL1	401562	0.177553	0.207992	NA	NA	NA	NA
LCOR	84458	12.7441	8.09423	cerebral-cortex	glial-cells	Medium	Approved
LCORL	254251	11.3887	10.6285	NA	NA	NA	NA
LCP1	3936	0.394016	0.299159	NA	NA	NA	NA
LCTL	197021	5.33047	4.80515	NA	NA	NA	NA
LDB1	8861	53.1413	40.7181	NA	NA	NA	NA
LDB2	9079	27.6529	42.0225	cerebral-cortex	glial-cells	High	Supported
LDB3	11155	0.193988	0.156409	NA	NA	NA	NA
LDHA	3939	18.4261	20.9865	NA	NA	NA	NA
LDHAP2	100190799	0	0.359558	NA	NA	NA	NA
LDHAP4	158222	1.80859	1.26334	NA	NA	NA	NA
LDHAP7	100190800	0.117867	0.0527	NA	NA	NA	NA
LDHB	3945	600.8	704.893	cerebral-cortex	glial-cells	Low	Enhanced
LDHD	197257	0.0513246	0.226179	NA	NA	NA	NA
LDLR	3949	25.9628	29.2866	NA	NA	NA	NA
LDLRAD2	401944	0.26693	0.181803	cerebral-cortex	glial-cells	Low	Approved
LDLRAD3	143458	26.282	20.4894	NA	NA	NA	NA
LDLRAD4	753	3.01216	2.73655	cerebral-cortex	glial-cells	High	Approved
LDLRAP1	26119	5.58312	7.48918	NA	NA	NA	NA
LEAP2	116842	2.14172	2.20693	NA	NA	NA	NA
LEF1	51176	2.35035	3.08129	NA	NA	NA	NA
LEF1-AS1	641518	0.169042	0.171036	NA	NA	NA	NA
LEFTY1	10637	0	0.106674	NA	NA	NA	NA
LEMD1	93273	0.40977	0.459077	NA	NA	NA	NA
LEMD2	221496	43.4279	44.302	cerebral-cortex	glial-cells	Medium	Supported
LEMD3	23592	13.4306	11.4155	NA	NA	NA	NA
LENEP	55891	0.199503	0.202077	NA	NA	NA	NA
LENG8	114823	1.20648	0.346629	NA	NA	NA	NA
LEO1	123169	21.7862	19.0182	cerebral-cortex	glial-cells	Low	Enhanced
LEPR	3953	2.22071	1.54527	NA	NA	NA	NA
LEPROT	54741	28.7688	23.5827	NA	NA	NA	NA
LEPROTL1	23484	73.0852	67.118	NA	NA	NA	NA
LETM1	3954	13.9594	11.713	cerebral-cortex	glial-cells	Medium	Supported
LETM2	137994	5.36137	4.61074	NA	NA	NA	NA
LETMD1	25875	15.8669	14.8698	NA	NA	NA	NA
LFNG	3955	31.9115	33.7079	NA	NA	NA	NA
LGALS1	3956	34.1953	67.7515	NA	NA	NA	NA
LGALS3	3958	3.92216	30.3237	NA	NA	NA	NA
LGALS3BP	3959	49.7382	64.3766	NA	NA	NA	NA
LGALS4	3960	0.18412	0.0524264	NA	NA	NA	NA
LGALS8	3964	12.2231	7.15301	cerebral-cortex	glial-cells	Medium	Approved
LGALS9	3965	1.81897	2.84259	cerebral-cortex	glial-cells	Low	Approved
LGALSL	29094	8.0836	6.46469	NA	NA	NA	NA
LGI1	9211	1.16185	0.35951	NA	NA	NA	NA
LGI2	55203	31.0552	11.8459	NA	NA	NA	NA
LGI4	163175	0.0507665	0	NA	NA	NA	NA
LGMN	5641	15.4166	17.6061	NA	NA	NA	NA
LGR4	55366	11.0199	10.2338	NA	NA	NA	NA
LGR5	8549	0.739698	0.332822	cerebral-cortex	glial-cells	Medium	Approved
LGR6	59352	2.22408	2.31217	NA	NA	NA	NA
LHFPL1	340596	0.123507	0.0827161	NA	NA	NA	NA
LHFPL2	10184	14.3498	7.92045	NA	NA	NA	NA
LHFPL3	375612	8.60405	4.71436	NA	NA	NA	NA
LHFPL4	375323	0	0.129943	NA	NA	NA	NA
LHPP	64077	9.5097	10.999	cerebral-cortex	glial-cells	Medium	Enhanced
LHX1	3975	0	0.184718	NA	NA	NA	NA
LHX2	9355	5.53519	8.86984	NA	NA	NA	NA
LHX4	89884	1.1645	0.49513	NA	NA	NA	NA
LHX9	56956	0.115026	0.0379009	NA	NA	NA	NA
LIAS	11019	5.30312	6.00889	NA	NA	NA	NA
LIF	3976	0.595771	1.40823	NA	NA	NA	NA
LIFR	3977	122.98	89.197	NA	NA	NA	NA
LIFR-AS1	100506495	2.53769	1.87592	NA	NA	NA	NA
LIG1	3978	36.184	32.3737	cerebral-cortex	glial-cells	Low	Approved
LIG3	3980	15.131	12.9231	cerebral-cortex	glial-cells	Low	Supported
LIG4	3981	10.0082	10.4818	cerebral-cortex	glial-cells	Medium	Supported
LIMA1	51474	38.3215	31.628	NA	NA	NA	NA
LIMCH1	22998	49.9	31.1161	NA	NA	NA	NA
LIMD1	8994	6.85888	4.88479	NA	NA	NA	NA
LIMD1-AS1	644714	5.57877	9.48172	NA	NA	NA	NA
LIMD2	80774	55.3052	54.8144	NA	NA	NA	NA
LIME1	54923	10.0613	8.4677	NA	NA	NA	NA
LIMK1	3984	1.04338	0.550061	cerebral-cortex	glial-cells	Medium	Approved
LIMK2	3985	10.5153	11.8397	cerebral-cortex	glial-cells	Low	Approved
LIMS1	3987	20.2147	15.8272	cerebral-cortex	glial-cells	Low	Approved
LIMS2	55679	2.32923	2.77628	NA	NA	NA	NA
LIN28A	79727	0.0278736	0.0994664	NA	NA	NA	NA
LIN28B	389421	0.0256999	0	NA	NA	NA	NA
