SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CDKN2B-AS1	100048912	1.38742	1.49277	1.38494	0.554652	NA	NA	NA	NA
CDKN2C	1031	7.68727	19.3278	15.3967	6.95426	cerebral-cortex	glial-cells	Low	Approved
CDKN2D	1032	6.51279	7.88376	6.64043	6.69792	NA	NA	NA	NA
CDKN3	1033	18.2274	26.98	35.3841	17.5804	NA	NA	NA	NA
CDNF	441549	0.805831	0.654869	0.803738	1.33034	NA	NA	NA	NA
CDO1	1036	78.8721	87.5197	186.645	73.6596	NA	NA	NA	NA
CDON	50937	10.9323	9.18275	18.7564	22.9071	NA	NA	NA	NA
CDPF1	150383	6.70825	6.09328	5.30419	6.68698	NA	NA	NA	NA
CDR1	1038	32.9666	22.3666	17.133	16.1739	NA	NA	NA	NA
CDR2	1039	5.40589	9.22421	5.94846	5.52545	NA	NA	NA	NA
CDR2L	30850	6.19756	7.18267	6.08568	6.32723	NA	NA	NA	NA
CDRT15P1	94158	0.267394	0.276763	0.151563	0.0774255	NA	NA	NA	NA
CDRT4	284040	3.34482	2.98024	4.4947	4.31363	NA	NA	NA	NA
CDS1	1040	1.6971	0.79309	0.296957	0.382547	NA	NA	NA	NA
CDS2	8760	36.6313	34.8061	29.6989	35.1439	cerebral-cortex	glial-cells	Medium	Approved
CDT1	81620	9.29424	16.5779	10.8868	4.18669	cerebral-cortex	glial-cells	High	Approved
CDV3	55573	80.5832	75.9943	75.2181	80.6983	NA	NA	NA	NA
CDV3P1	100129736	0.721592	0.466797	0.511262	0.522353	NA	NA	NA	NA
CDYL	9425	154.791	124.833	115.19	179.87	cerebral-cortex	glial-cells	High	Enhanced
CDYL2	124359	2.85431	0.915938	1.06473	5.35026	cerebral-cortex	glial-cells	Low	Approved
CEACAM1	634	0.563368	1.13012	0.827562	0.866995	NA	NA	NA	NA
CEACAM19	56971	1.42818	1.35711	2.75882	2.1072	NA	NA	NA	NA
CEBPA	1050	0.0993991	0.350741	0.347929	0.353209	NA	NA	NA	NA
CEBPB	1051	1.6905	1.38136	1.14311	2.59345	cerebral-cortex	glial-cells	Medium	Supported
CEBPD	1052	25.0329	17.4765	15.2741	22.1148	NA	NA	NA	NA
CEBPG	1054	11.0339	14.6139	13.9832	11.3934	NA	NA	NA	NA
CEBPZ	10153	30.1495	28.8205	42.7386	29.6525	NA	NA	NA	NA
CECR2	27443	10.8868	16.0336	13.435	15.4739	cerebral-cortex	glial-cells	High	Approved
CECR3	27442	0.113232	0.468799	0.288818	0.131148	NA	NA	NA	NA
CEL	1056	0.200035	0.276057	0.110836	0.38631	NA	NA	NA	NA
CELA2B	51032	0.275443	0.210212	0	0.158653	NA	NA	NA	NA
CELF1	10658	68.4077	81.1565	73.2747	84.3497	cerebral-cortex	glial-cells	High	Supported
CELF2	10659	44.1203	49.2353	39.8259	27.2974	cerebral-cortex	glial-cells	Low	Enhanced
CELF2-AS1	414196	1.43396	1.79434	2.30493	1.06592	NA	NA	NA	NA
CELF2-AS2	439950	0.818678	2.00286	1.01245	3.7476	NA	NA	NA	NA
CELF3	11189	1.37746	6.53874	4.47927	3.89868	NA	NA	NA	NA
CELF4	56853	0.300104	2.98174	1.42354	2.15114	NA	NA	NA	NA
CELF5	60680	2.34376	7.91065	5.88021	5.4195	NA	NA	NA	NA
CELSR1	9620	26.381	21.1238	15.1336	16.9504	NA	NA	NA	NA
CELSR2	1952	13.2596	23.0719	17.4162	11.986	NA	NA	NA	NA
CELSR3	1951	2.39332	5.55326	3.58291	3.75971	NA	NA	NA	NA
CEMP1	752014	4.41442	3.39082	1.36697	2.54477	NA	NA	NA	NA
CEND1	51286	8.51099	7.20084	6.26861	6.81255	cerebral-cortex	glial-cells	Low	Enhanced
CENPA	1058	7.50522	13.761	15.4332	6.97451	NA	NA	NA	NA
CENPB	1059	39.7675	39.7717	30.3254	33.3789	cerebral-cortex	glial-cells	Low	Approved
CENPBD1	92806	1.83543	1.9604	3.05481	3.03109	NA	NA	NA	NA
CENPBD1P1	65996	16.4187	14.8618	12.6034	15.4845	NA	NA	NA	NA
CENPC	1060	13.1497	19.8971	21.0822	13.3953	NA	NA	NA	NA
CENPCP1	1061	0.224531	0.316907	0.555352	0.0945754	NA	NA	NA	NA
CENPE	1062	11.4536	42.4132	34.573	15.2208	NA	NA	NA	NA
CENPF	1063	29.9742	85.6557	66.5567	26.9879	NA	NA	NA	NA
CENPH	64946	19.7253	33.0292	23.3568	11.5497	NA	NA	NA	NA
CENPI	2491	4.51465	11.0754	10.3417	4.47413	NA	NA	NA	NA
CENPJ	55835	6.60894	16.1843	17.8219	7.67019	NA	NA	NA	NA
CENPK	64105	14.4487	29.2154	31.6799	10.3582	NA	NA	NA	NA
CENPL	91687	12.056	16.1297	15.9928	10.33	NA	NA	NA	NA
CENPM	79019	6.54877	14.3607	15.4305	4.93355	cerebral-cortex	glial-cells	Low	Enhanced
CENPN	55839	12.1346	21.3401	23.8264	7.4058	NA	NA	NA	NA
CENPO	79172	18.1021	25.1481	27.1681	13.1996	NA	NA	NA	NA
CENPP	401541	1.13298	2.24114	2.27887	1.28181	NA	NA	NA	NA
CENPQ	55166	6.99935	5.57277	7.21662	4.8054	NA	NA	NA	NA
CENPT	80152	28.6148	35.9373	46.9395	37.3836	NA	NA	NA	NA
CENPU	79682	27.7301	60.4669	57.9777	14.6793	NA	NA	NA	NA
CENPV	201161	91.1606	115.609	133.537	66.0143	cerebral-cortex	glial-cells	Medium	Enhanced
CENPW	387103	7.00346	9.02031	5.5588	3.76551	NA	NA	NA	NA
CEP104	9731	25.2866	25.4576	32.0937	28.7401	cerebral-cortex	glial-cells	Low	Approved
CEP112	201134	30.0066	23.2011	28.6873	30.1214	NA	NA	NA	NA
CEP120	153241	8.64623	11.3609	10.774	10.1665	NA	NA	NA	NA
CEP128	145508	3.45825	4.68502	6.52928	3.54538	NA	NA	NA	NA
CEP135	9662	14.0657	12.6867	14.474	19.3559	NA	NA	NA	NA
CEP152	22995	11.9469	16.7496	28.1876	9.47653	cerebral-cortex	glial-cells	Medium	Approved
CEP164	22897	21.1979	20.4364	19.4638	21.2682	NA	NA	NA	NA
CEP164P1	100289237	0.160228	0.225236	0.411506	0.46473	NA	NA	NA	NA
CEP170	9859	78.0962	129.52	95.8853	82.8569	NA	NA	NA	NA
CEP170B	283638	4.36765	4.67285	5.33813	2.89705	NA	NA	NA	NA
