SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	14.8346	18.1451	17.615	17.2223	NA	NA	NA	NA
A1BG-AS1	503538	8.16248	8.257	8.15915	8.21068	NA	NA	NA	NA
A2M	2	490.356	485.953	353.104	453.364	NA	NA	NA	NA
A2M-AS1	144571	0.448744	0.639931	0.5547	0.859657	NA	NA	NA	NA
A2ML1	144568	0.458858	0.583443	0.976929	0.215645	NA	NA	NA	NA
A4GALT	53947	0.0559581	0.144805	0.0951572	0	NA	NA	NA	NA
AAAS	8086	34.2306	31.044	28.1592	35.9688	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.33501	10.7484	10.4414	6.736	NA	NA	NA	NA
AADAT	51166	9.98606	13.0933	14.3728	10.6838	NA	NA	NA	NA
AAGAB	79719	39.5075	27.7192	31.5604	41.0415	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.39049	7.98123	9.42611	6.53235	NA	NA	NA	NA
AAMDC	28971	23.7935	18.9721	15.6242	16.7318	NA	NA	NA	NA
AAMP	14	97.3915	83.8496	91.818	91.4632	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	10.4367	11.1593	9.36449	10.5778	NA	NA	NA	NA
AARD	441376	0.254392	0.143621	0	0.0133928	NA	NA	NA	NA
AARS2	57505	7.62665	7.56036	5.71403	6.7012	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	19.765	20.7101	19.9808	24.6691	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	15.9383	16.5699	17.2718	18.8592	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	32.6521	32.1354	35.637	43.3159	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	27.9081	32.8068	43.345	31.8138	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	22.9186	27.7342	25.8316	24.0509	NA	NA	NA	NA
AATK	9625	1.56132	1.95241	2.92883	1.36167	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	68.7709	78.4716	65.4145	59.3274	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	58.1191	23.1781	24.6663	73.0661	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.458464	0.288781	0	0.277281	NA	NA	NA	NA
ABCA12	26154	0.181727	0.129789	0.056623	0.296323	NA	NA	NA	NA
ABCA13	154664	0.18506	0.140541	0.404828	0.116079	NA	NA	NA	NA
ABCA17P	650655	0.309489	0.176337	0.844319	0.178851	NA	NA	NA	NA
ABCA2	20	18.2304	22.5837	20.1246	21.1721	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	24.5095	22.0684	18.9336	16.0614	NA	NA	NA	NA
ABCA4	24	0.0385571	0.345383	0.190706	0.0421095	NA	NA	NA	NA
ABCA5	23461	6.13395	3.72355	1.81605	1.86797	cerebral-cortex	glial-cells	Low	Approved
ABCA7	10347	4.82576	3.99869	5.35353	2.95179	NA	NA	NA	NA
ABCA8	10351	25.8053	4.89562	4.08549	13.0469	NA	NA	NA	NA
ABCB1	5243	0.136242	2.82989	2.06356	2.87938	NA	NA	NA	NA
ABCB10	23456	3.22169	4.31235	4.93728	3.08482	NA	NA	NA	NA
ABCB4	5244	0.0889866	0.527845	0.668077	0.500612	NA	NA	NA	NA
ABCB5	340273	0.0726703	0.616866	0.118046	0.13942	NA	NA	NA	NA
ABCB6	10058	31.998	19.7785	23.8793	23.6033	NA	NA	NA	NA
ABCB7	22	19.2386	14.5599	16.9713	19.0457	NA	NA	NA	NA
ABCB8	11194	15.274	13.178	15.8464	11.6244	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	1.48045	5.39033	3.41786	1.3607	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	3.46787	3.46436	2.91928	3.56672	NA	NA	NA	NA
ABCC10	89845	10.5052	10.1894	8.34331	7.11333	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.126923	0.332169	0.341327	0.208225	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.149231	0.0687781	0.0728126	0.238772	NA	NA	NA	NA
ABCC3	8714	1.76496	1.65465	0.551494	2.41676	NA	NA	NA	NA
ABCC4	10257	15.0575	12.434	7.27825	14.0644	NA	NA	NA	NA
ABCC5	10057	10.1426	14.2078	25.5648	19.3378	NA	NA	NA	NA
ABCC6	368	1.40203	0.378441	1.06827	1.32344	NA	NA	NA	NA
ABCC6P1	653190	3.63296	1.93851	5.96299	2.81047	NA	NA	NA	NA
ABCC6P2	730013	0.282137	0.486703	0.639678	1.14372	NA	NA	NA	NA
ABCC8	6833	0.0764148	0.0847425	0.359073	0.430779	NA	NA	NA	NA
ABCC9	10060	19.2437	13.9804	24.8094	12.4597	NA	NA	NA	NA
ABCD2	225	3.3031	4.96604	3.8356	2.26193	NA	NA	NA	NA
ABCD3	5825	46.1363	33.2889	46.1346	49.8866	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	29.839	35.9268	36.6872	39.4524	NA	NA	NA	NA
ABCE1	6059	34.9773	39.5262	40.8945	48.6849	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	35.9131	37.7418	31.7917	38.4258	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.203866	0.0602883	0.198093	0.505977	NA	NA	NA	NA
ABCF3	55324	42.9071	36.3576	35.1434	32.8318	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	1.24542	1.23084	0.724919	0.781007	NA	NA	NA	NA
ABCG4	64137	0.571665	0.460107	0.63863	0.522576	NA	NA	NA	NA
ABCG5	64240	0.137059	0.088663	0.203786	0.145129	NA	NA	NA	NA
ABHD1	84696	1.17218	2.94643	2.11033	2.05262	NA	NA	NA	NA
ABHD10	55347	42.3545	27.8718	28.5139	34.2015	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.116798	0.0897577	0	0.153599	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	31.6994	21.736	28.4225	42.9788	NA	NA	NA	NA
ABHD12B	145447	0.388271	0.333247	0.273533	0.311057	NA	NA	NA	NA
ABHD13	84945	4.59017	4.32087	4.44337	4.85153	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	12.342	15.2095	12.9438	11.5169	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0	0.332622	0.0997322	0	NA	NA	NA	NA
ABHD14B	84836	1.45468	1.08355	2.05585	1.65678	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	3.253	2.15795	1.32186	1.50184	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	2.01431	2.39145	2.12563	0.88387	NA	NA	NA	NA
ABHD17A	81926	11.1582	10.4197	9.37128	9.0934	NA	NA	NA	NA
ABHD17AP3	648359	0.414724	0.912167	0.352608	0.0600429	NA	NA	NA	NA
ABHD17B	51104	8.28918	9.76943	9.54126	7.6392	NA	NA	NA	NA
ABHD17C	58489	26.935	7.42568	11.5537	21.8208	NA	NA	NA	NA
ABHD2	11057	37.9924	40.2818	41.0688	35.6507	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	4.94209	9.90884	14.1225	11.6582	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	28.9053	20.0677	35.7983	28.81	NA	NA	NA	NA
ABHD5	51099	13.4016	10.4307	14.8309	16.378	NA	NA	NA	NA
ABHD6	57406	12.9556	10.5055	17.4454	16.2217	NA	NA	NA	NA
ABHD8	79575	7.52626	8.88251	8.31488	6.21233	NA	NA	NA	NA
ABI1	10006	44.2655	42.3548	45.2431	56.1926	NA	NA	NA	NA
ABI2	10152	127.46	124.555	127.208	107.512	NA	NA	NA	NA
ABI3BP	25890	0.503017	1.05822	0.877327	0.58462	NA	NA	NA	NA
ABL1	25	26.0364	31.1589	28.9019	23.8565	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	3.32787	5.63492	4.9874	4.38161	NA	NA	NA	NA
ABLIM1	3983	76.1911	47.3913	60.2935	48.1741	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	3.148	2.90895	4.12664	1.65209	NA	NA	NA	NA
ABLIM3	22885	0.799596	0.148957	0	0.263787	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	183.354	89.9333	81.3615	120.626	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	12.9763	9.36493	16.6653	14.7523	NA	NA	NA	NA
ABT1P1	100420695	0.234802	0.50456	0.314603	0.226628	NA	NA	NA	NA
ABTB1	80325	1.21954	2.13631	3.87641	1.14587	NA	NA	NA	NA
ABTB2	25841	0.89833	1.72128	1.50495	1.23305	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	26.2002	33.5098	36.148	24.9054	NA	NA	NA	NA
ACAA2	10449	27.9027	25.2429	29.1334	26.0075	NA	NA	NA	NA
ACACA	31	38.819	32.5673	36.7337	39.4029	NA	NA	NA	NA
ACACB	32	8.14973	7.11085	11.0941	10.823	NA	NA	NA	NA
ACAD10	80724	15.0519	15.4259	14.0561	12.3478	NA	NA	NA	NA
ACAD11	84129	26.3941	20.8756	18.9778	21.9466	NA	NA	NA	NA
ACAD8	27034	18.4584	13.5161	19.8554	17.9179	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	17.5189	21.688	21.8027	20.1889	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	1.96174	2.26332	4.38044	0.828171	NA	NA	NA	NA
ACADM	34	36.486	39.2065	41.493	39.1681	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	1.4541	3.44254	3.24142	1.17	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	5.46569	4.3017	6.72396	5.16156	NA	NA	NA	NA
ACADVL	37	295.755	174.577	199.25	225.843	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	0.48984	0.776066	0.384209	2.15783	NA	NA	NA	NA
ACAP1	9744	11.399	5.53225	8.72518	8.62329	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	48.2972	48.0665	49.5559	68.2463	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0.793924	1.12988	1.68751	1.66681	NA	NA	NA	NA
ACAP3	116983	28.4185	39.7724	28.0033	31.6047	NA	NA	NA	NA
ACAT1	38	115.108	90.223	95.5566	120.589	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	66.7057	62.3648	74.1104	85.8912	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	44.303	31.5107	26.9585	39.1964	NA	NA	NA	NA
ACBD4	79777	3.98764	3.55232	3.06764	3.34009	NA	NA	NA	NA
ACBD5	91452	33.7657	29.7697	34.9964	38.8916	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	35.3889	34.8295	28.8284	29.1537	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	5.58367	9.7666	8.18957	2.93277	NA	NA	NA	NA
ACCS	84680	2.43656	0.684852	0.891606	0.0543964	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	15.6218	14.929	13.6252	11.1954	NA	NA	NA	NA
ACE2	59272	0.349597	0.263106	0.0861524	0.211433	NA	NA	NA	NA
ACER2	340485	0.785271	1.64459	1.47148	0.800048	NA	NA	NA	NA
ACER3	55331	4.53796	3.73531	3.1385	3.92036	NA	NA	NA	NA
ACHE	43	3.59171	2.39369	1.15976	8.76263	NA	NA	NA	NA
ACIN1	22985	78.9735	100.832	114.641	113.734	cerebral-cortex	glial-cells	High	Supported
ACKR3	57007	8.62441	7.52036	2.03978	20.6039	NA	NA	NA	NA
ACKR4	51554	0.113302	0.437509	0.734324	0.0984188	NA	NA	NA	NA
ACLY	47	0.262673	0.271631	0.189421	0.222913	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.67637	0.805298	0.613345	0.993515	NA	NA	NA	NA
ACO1	48	11.486	11.8681	15.4513	12.4434	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	71.4667	43.9069	35.5332	66.9835	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	0.136043	0.093873	0.77086	0.148674	NA	NA	NA	NA
ACOT11	26027	0.65441	0.117709	0.135026	0.406762	NA	NA	NA	NA
ACOT12	134526	0.398793	0.314227	0.841965	0.833247	NA	NA	NA	NA
ACOT13	55856	19.0199	10.155	5.77805	14.5713	NA	NA	NA	NA
ACOT2	10965	2.43271	0.454564	2.24691	1.28541	NA	NA	NA	NA
ACOT7	11332	8.53644	10.4476	10.3693	8.1496	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	19.9128	14.2768	13.2388	20.6488	NA	NA	NA	NA
ACOT9	23597	24.7671	10.9145	20.0481	23.647	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	76.84	66.2525	81.0962	72.2622	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	1.56035	3.04446	3.34464	2.73049	NA	NA	NA	NA
ACOX3	8310	8.93279	11.7854	9.59337	8.79448	NA	NA	NA	NA
ACP1	52	86.1569	76.0489	75.2682	73.6513	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	35.6074	35.9462	29.1252	26.8139	NA	NA	NA	NA
ACP5	54	0.127045	0	0.144781	0.0469889	NA	NA	NA	NA
ACRBP	84519	0.626421	0.247013	0.283511	0.48393	NA	NA	NA	NA
ACRV1	56	0.182127	0.604592	1.1483	0.397322	NA	NA	NA	NA
ACSBG1	23205	0.663965	3.27989	7.23028	2.94094	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.200842	1.60452	1.14337	0.627441	NA	NA	NA	NA
ACSF2	80221	13.9083	9.65096	10.0623	15.7909	NA	NA	NA	NA
ACSF3	197322	18.0409	20.2339	19.5931	25.7171	NA	NA	NA	NA
ACSL1	2180	2.28673	4.44478	3.37674	1.98338	NA	NA	NA	NA
ACSL3	2181	73.1251	78.0084	73.8026	91.004	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	13.3605	8.15856	8.89085	15.8477	NA	NA	NA	NA
ACSL5	51703	0.0787579	0.518628	0.296627	0.494837	NA	NA	NA	NA
ACSL6	23305	3.46181	6.25324	1.49837	1.14322	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	1.7848	2.77111	3.67729	4.51516	NA	NA	NA	NA
ACSS1	84532	1.17055	4.05006	4.50977	1.1405	NA	NA	NA	NA
ACSS2	55902	21.6725	22.3272	24.9789	21.7524	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	32.4759	22.6429	28.2129	35.1676	NA	NA	NA	NA
ACTA1	58	0.112842	0.538444	0.483411	0.130694	NA	NA	NA	NA
ACTA2	59	39.5536	100.79	29.9394	65.6523	NA	NA	NA	NA
ACTA2-AS1	100132116	0.229231	0.367048	0.377441	0.16299	NA	NA	NA	NA
ACTB	60	1091.68	2156.21	1524.06	1058.22	NA	NA	NA	NA
ACTBP2	62	2.9998	6.31873	4.23589	1.6153	NA	NA	NA	NA
ACTBP7	67	1.20914	0.489738	0.774746	1.06555	NA	NA	NA	NA
ACTC1	70	0	0.0257199	0.126102	0.0645878	NA	NA	NA	NA
ACTG1	71	3.76252	5.92781	6.48002	2.8985	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.888887	0.64944	0.668108	1.05981	NA	NA	NA	NA
ACTG1P3	75	1.11608	0.825131	1.08448	0.46169	NA	NA	NA	NA
ACTG1P4	648740	0	0.0277282	0.219779	0.440822	NA	NA	NA	NA
ACTG2	72	0.0800645	1.87851	0.0907644	1.69161	NA	NA	NA	NA
ACTL10	170487	0.603861	0.879603	0.811242	0.33155	NA	NA	NA	NA
ACTL6A	86	50.9955	68.615	74.0714	56.9576	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.316154	3.58102	1.88764	2.08755	NA	NA	NA	NA
ACTN1	87	62.6307	46.0648	33.4465	28.4162	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0.243873	0.378626	0.276462	0.0706153	NA	NA	NA	NA
ACTN2	88	2.04917	7.28892	8.2085	4.27483	NA	NA	NA	NA
ACTN4	81	153.176	186.993	167.625	134.042	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.621072	0.642833	0.352033	0.674381	NA	NA	NA	NA
ACTR10	55860	125.895	89.7579	91.3007	127.56	NA	NA	NA	NA
ACTR1A	10121	75.9012	70.9895	65.3488	112.424	NA	NA	NA	NA
ACTR1B	10120	15.4057	17.8676	17.5137	15.5563	NA	NA	NA	NA
ACTR2	10097	36.5388	29.9747	30.7532	28.7081	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	231.152	166.926	140.126	202.818	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	3.26862	3.8106	4.67234	3.50978	NA	NA	NA	NA
ACTR3C	653857	0.813889	0.315905	0.531194	1.0605	NA	NA	NA	NA
ACTR3P2	100129013	0.918978	0.998735	0.729247	0.718458	NA	NA	NA	NA
ACTR5	79913	2.38425	3.03538	3.16235	3.20334	NA	NA	NA	NA
ACTR6	64431	11.7576	10.4734	15.1642	15.9742	NA	NA	NA	NA
ACTR8	93973	16.695	22.8702	28.5301	27.1451	NA	NA	NA	NA
ACTRT3	84517	0.18827	0.0835142	0.152449	0.0934538	NA	NA	NA	NA
ACVR1	90	3.02724	4.18613	5.07765	3.06646	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	8.43189	9.49995	10.1826	8.64556	NA	NA	NA	NA
ACVR2A	92	18.4615	23.6709	18.4994	21.043	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	5.59784	10.2574	8.15102	5.71148	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.544689	1.1926	0.878729	0.448905	NA	NA	NA	NA
ACY1	95	5.70946	4.52419	5.03631	6.73798	NA	NA	NA	NA
ACYP1	97	8.93097	8.18515	12.2582	8.3805	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	12.6364	12.6994	10.0613	12.688	NA	NA	NA	NA
ADA	100	1.23553	3.42643	2.40978	2.0727	NA	NA	NA	NA
ADAL	161823	8.97652	7.28177	7.70042	9.30733	NA	NA	NA	NA
ADAM10	102	106.527	80.425	86.9959	137.404	NA	NA	NA	NA
ADAM11	4185	0.458561	0.566617	0.339828	0.816564	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	6.60685	7.31801	5.74274	16.3415	NA	NA	NA	NA
ADAM15	8751	20.9196	22.8634	13.7171	12.341	NA	NA	NA	NA
ADAM17	6868	28.8702	24.1964	29.1234	30.901	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	6.51053	5.11817	2.57094	17.6259	NA	NA	NA	NA
ADAM1A	8759	3.76576	5.74277	5.68645	3.90701	NA	NA	NA	NA
ADAM1B	100420505	0.242734	0.251239	0.183447	0.390473	NA	NA	NA	NA
ADAM20	8748	0.486312	0.425916	0.48769	0.541597	NA	NA	NA	NA
ADAM20P1	317760	0.291963	0.515509	0.558025	0.60017	NA	NA	NA	NA
ADAM21	8747	0.308057	0.455492	0.623605	0.611646	NA	NA	NA	NA
ADAM21P1	145241	0.105018	0.0271717	0.178583	0.136839	NA	NA	NA	NA
ADAM22	53616	6.37302	8.68273	8.42963	7.403	NA	NA	NA	NA
ADAM23	8745	13.9503	13.8501	20.9263	14.8478	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	0.698555	1.01183	1.57004	0.305045	NA	NA	NA	NA
ADAM32	203102	13.5127	9.47405	16.555	15.11	NA	NA	NA	NA
ADAM33	80332	0.089975	0.464004	0.219939	0.0432123	NA	NA	NA	NA
ADAM3B	1596	0.303759	0.235801	0.430438	0.527731	NA	NA	NA	NA
ADAM5	255926	0.324528	1.13429	1.83357	0.919007	NA	NA	NA	NA
ADAM8	101	1.43593	0.517612	0.724355	1.59512	NA	NA	NA	NA
ADAM9	8754	306.282	214.731	239.674	336.338	NA	NA	NA	NA
ADAMTS1	9510	1.87717	3.2394	1.07778	3.22677	NA	NA	NA	NA
ADAMTS10	81794	0.680231	0	0.402556	0.242526	NA	NA	NA	NA
ADAMTS12	81792	10.3486	9.92574	9.48856	3.86676	NA	NA	NA	NA
ADAMTS14	140766	0.719231	0.744432	0.728373	2.47266	NA	NA	NA	NA
ADAMTS15	170689	56.8319	9.34007	10.7528	56.4001	NA	NA	NA	NA
ADAMTS16	170690	104.952	17.2153	27.1155	22.8902	NA	NA	NA	NA
ADAMTS17	170691	1.16085	1.32182	1.90916	0.191124	NA	NA	NA	NA
ADAMTS18	170692	0.0084967	0.333013	0.019259	0.0147585	NA	NA	NA	NA
ADAMTS19	171019	0.691826	0.45095	0	0.48588	NA	NA	NA	NA
ADAMTS2	9509	4.08065	1.64561	0.243839	4.58428	NA	NA	NA	NA
ADAMTS20	80070	0.037626	0.521201	0.0426542	0.165211	NA	NA	NA	NA
ADAMTS3	9508	19.9177	20.3891	23.1924	7.85573	NA	NA	NA	NA
ADAMTS4	9507	4.565	3.71037	0.995559	6.47693	NA	NA	NA	NA
ADAMTS6	11174	3.92627	5.97744	5.81604	7.87388	NA	NA	NA	NA
ADAMTS7	11173	2.84366	4.87141	4.75322	6.76049	NA	NA	NA	NA
ADAMTS8	11095	0.585956	0.632837	2.57774	0.699609	NA	NA	NA	NA
ADAMTS9	56999	2.66788	2.70916	3.98336	2.93177	NA	NA	NA	NA
ADAMTS9-AS1	101929335	0.555722	0.466255	0.336779	0.391757	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.805082	0.547408	1.58863	0.439321	NA	NA	NA	NA
ADAMTSL1	92949	2.09884	2.71147	3.94936	2.86519	NA	NA	NA	NA
ADAMTSL3	57188	3.90505	0.591079	0.160291	2.01694	NA	NA	NA	NA
ADAMTSL4	54507	1.02388	1.54904	2.26585	0.95616	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	3.86272	3.30274	4.95005	2.3342	NA	NA	NA	NA
ADAMTSL5	339366	0.503894	0.193826	0.103015	0.249926	NA	NA	NA	NA
ADAP1	11033	3.68608	5.88308	2.71849	3.47053	NA	NA	NA	NA
ADAP2	55803	0.812551	0.309809	0	0.990654	NA	NA	NA	NA
ADAR	103	60.4801	70.4838	62.8257	56.5625	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	2.26877	1.58188	5.24905	3.13726	NA	NA	NA	NA
ADAT1	23536	24.816	32.8977	28.9736	25.3518	NA	NA	NA	NA
ADAT2	134637	1.68054	2.61074	1.69114	2.72059	NA	NA	NA	NA
ADAT3	113179	1.91867	3.19229	1.92933	1.77088	NA	NA	NA	NA
ADCK1	57143	3.47791	3.47299	1.8887	3.24267	NA	NA	NA	NA
ADCK2	90956	6.85536	5.21075	4.3516	3.18945	cerebral-cortex	glial-cells	Medium	Approved
ADCK5	203054	0.625398	0.388387	0.425382	0	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	7.68829	6.66233	4.55135	14.5994	NA	NA	NA	NA
ADCY10P1	221442	0.694185	1.67466	2.29501	0.903952	NA	NA	NA	NA
ADCY2	108	75.9076	60.7843	35.6271	46.6981	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	13.329	25.0524	29.1147	9.90694	cerebral-cortex	glial-cells	Low	Approved
ADCY5	111	2.98772	5.31112	4.94401	5.52384	NA	NA	NA	NA
ADCY6	112	21.5433	27.1006	28.4631	24.8624	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	2.62977	3.37609	4.15587	3.97025	NA	NA	NA	NA
ADCY8	114	7.63506	8.46378	6.61354	11.1671	NA	NA	NA	NA
ADCY9	115	23.4147	10.6315	17.7371	23.6753	cerebral-cortex	glial-cells	Medium	Approved
ADCYAP1R1	117	3.82008	6.26078	6.97783	10.2799	NA	NA	NA	NA
ADD1	118	260.26	280.416	260.901	279.61	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	414.43	245.378	277.182	210.207	cerebral-cortex	glial-cells	Medium	Supported
ADGB	79747	0.130862	0.152741	0.102579	0.072249	NA	NA	NA	NA
ADH1A	124	0.437724	0.265526	0.317404	0.278401	NA	NA	NA	NA
ADH4	127	0.29697	0.401641	0.853987	0.404514	NA	NA	NA	NA
ADH5	128	85.2327	71.3744	75.5485	84.3749	NA	NA	NA	NA
ADH5P3	100131810	1.45153	0.590226	0.822754	1.05075	NA	NA	NA	NA
ADH5P4	642443	1.82699	1.77974	1.57405	1.64928	NA	NA	NA	NA
ADH6	130	1.60514	2.02346	3.25258	2.3081	NA	NA	NA	NA
ADHFE1	137872	2.25817	7.50989	9.8226	1.67658	NA	NA	NA	NA
ADI1	55256	16.0309	8.88437	11.576	36.6543	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	32.0227	33.0414	26.2008	28.3567	NA	NA	NA	NA
ADIPOR1P2	390503	0.156787	0.324562	0.266609	0.0907975	NA	NA	NA	NA
ADIPOR2	79602	10.6262	9.54638	12.0962	11.7759	NA	NA	NA	NA
ADIRF-AS1	100133190	0.161246	0.332376	0.182218	0.306217	NA	NA	NA	NA
ADK	132	38.9835	32.2982	46.2866	38.1305	NA	NA	NA	NA
ADM	133	5.00723	4.21013	4.58477	19.3478	NA	NA	NA	NA
ADM2	79924	0.059958	0.173792	0.0815699	0.222264	NA	NA	NA	NA
ADM5	199800	0.350793	0.729632	0.923843	0.557319	NA	NA	NA	NA
ADNP	23394	18.3969	21.4773	22.1112	19.2339	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	17.2717	17.4762	15.3542	16.0197	NA	NA	NA	NA
ADO	84890	14.1064	13.9853	12.5558	11.8709	NA	NA	NA	NA
ADORA1	134	6.16194	9.03103	3.0089	2.6354	NA	NA	NA	NA
ADORA2A	135	1.54558	1.15709	1.7459	1.7805	NA	NA	NA	NA
ADORA2A-AS1	646023	0.130511	0.213129	0.276949	0.21457	NA	NA	NA	NA
ADORA2B	136	10.2816	6.83797	8.60943	4.74289	NA	NA	NA	NA
ADPGK	83440	24.5547	22.5257	24.5274	27.8185	NA	NA	NA	NA
ADPGK-AS1	100287559	0.440522	0.483475	0.3523	0.530342	NA	NA	NA	NA
ADPRH	141	0.676584	0.542663	0.429082	0.445424	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	0.584106	0.886344	0.856101	1.17636	NA	NA	NA	NA
ADPRHL2	54936	21.5647	14.1385	15.6727	14.9209	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	4.18346	3.82601	4.59545	5.80593	NA	NA	NA	NA
ADRA1A	148	3.96219	3.689	6.77681	4.38899	cerebral-cortex	glial-cells	Medium	Approved
ADRA1B	147	0.505092	0.196046	0.178934	0.219379	NA	NA	NA	NA
ADRA1D	146	2.70421	2.49473	1.244	1.08942	NA	NA	NA	NA
ADRA2C	152	0.104045	0.156458	0.117951	0.3815	NA	NA	NA	NA
ADRB1	153	0.200567	0.0943609	0.144689	0.179505	cerebral-cortex	glial-cells	Low	Enhanced
ADRB2	154	1.81949	0.136467	0.358719	1.34384	NA	NA	NA	NA
ADRM1	11047	52.0701	50.7299	50.3057	59.5364	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	25.5915	29.2198	27.2276	28.7401	cerebral-cortex	glial-cells	Medium	Enhanced
AEBP1	165	15.972	27.2683	19.3631	26.2041	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	44.5392	30.5883	41.4009	39.3943	NA	NA	NA	NA
AEN	64782	16.5458	21.3874	26.4818	21.346	NA	NA	NA	NA
AFAP1	60312	12.2393	18.2921	15.2895	8.43058	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1-AS1	84740	0.235711	0.562967	0.585994	0.205425	NA	NA	NA	NA
