del_rxnID_KO	prctile_CP	prctile_PC	prctile_CH	prctile_HC	prctile_CS	prctile_SC	subSystem_CP	subSystem_PC	subSystem_CH	subSystem_HC	subSystem_CS	subSystem_SC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CH	MetabolicUnits_HC	MetabolicUnits_CS	MetabolicUnits_SC	Localization_CP	Localization_PC	Localization_CH	Localization_HC	Localization_CS	Localization_SC
CYTK8n	77.2735146371038	7.90048747688687	9.2326346786766	32.2591762881268	84.9818118829032	10.0961538461538	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]
HSPASEly	76.9790403602979	34.4427634896621	71.4879611986835	62.4849215922799	97.4709856227265	72.9739010989011	Heparan sulfate degradation	Heparan sulfate degradation	Heparan sulfate degradation	Heparan sulfate degradation	Heparan sulfate degradation	Heparan sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
HMR_3338	76.2861597089901	67.9946209446966	72.6831803221895	51.6112355678098	95.963970206132	80.8379120879121	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	[x]	[x]	[x]	[x]	[x]	[x]
HMR_3071	72.1288758011433	75.0042023869558	72.6138922570587	6.22092021368258	94.1971245452971	72.6304945054945	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	[x]	[x]	[x]	[x]	[x]	[x]
GALASE16ly	70.8643686125065	63.5064716759119	52.5896414342629	8.06479407203171	63.104105317859	80.5803571428571	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
S6TASE22ly	70.8643686125065	63.5064716759119	52.5896414342629	8.06479407203171	63.104105317859	80.5803571428571	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
S6TASE23ly	70.8643686125065	63.5064716759119	52.6589294993937	7.80630708254351	61.1467174779144	80.3571428571429	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	Keratan sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
UMPK5	70.6911484496795	2.06757438224912	13.4765286679369	25.073237980355	99.9653559674346	19.2307692307692	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
UMPK6n	70.6738264333968	7.81643973777105	17.8936428200243	43.0983973806652	88.3422830417461	9.95879120879121	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[n]	[n]	[n]	[n]	[n]	[n]
HMR_3351	69.5132513424563	40.8640107581106	71.9036895894682	20.8168188867827	95.9293261735666	86.2637362637363	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	[x]	[x]	[x]	[x]	[x]	[x]
