subSystem_SC	n.x	n.y	p.val	p.val.fdr
Linoleate metabolism	2	8	0.0055062480747951	0.0357906124861681
Nucleotide interconversion	10	139	2.87338126387062e-05	0.000249026376202121
Chondroitin synthesis	7	39	1.12942044146521e-06	1.46824657390477e-05
Chondroitin sulfate degradation	8	34	1.91552097639448e-08	4.98035453862566e-07
