del_rxnID_KO	prctile_CP	prctile_PC	prctile_CH	prctile_HC	prctile_CS	prctile_SC	subSystem_CP	subSystem_PC	subSystem_CH	subSystem_HC	subSystem_CS	subSystem_SC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CH	MetabolicUnits_HC	MetabolicUnits_CS	MetabolicUnits_SC	Localization_CP	Localization_PC	Localization_CH	Localization_HC	Localization_CS	Localization_SC
S4TASE1ly	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
S4TASE2ly	57.0767195767196	44.2156862745098	70.3638684966486	74.1118368647443	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
GALNACT4g	53.968253968254	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
GLCAT4g	53.968253968254	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
S6T21g	53.968253968254	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
CYTK1n	50.9424603174603	7.6797385620915	32.6843281200128	26.8281025967819	81.2958825406958	6.75912641479356	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]
S4TASE5ly	49.8842592592593	60.8006535947712	72.4545164379189	74.0162498008603	95.7069901053304	98.3899250757213	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
S4T1g	48.4292328042328	31.9934640522876	71.592722630067	69.1253783654612	74.9281838493457	98.2623943886498	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
CYTDK1	34.8214285714286	9.59150326797386	7.43696137887009	29.1381233073124	95.7867858282796	15.4949784791966	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
RE3258C	31.8783068783069	41.4705882352941	61.3469518033833	68.089851840051	76.9071177784871	99.4420532440619	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
HMR_2457	31.8783068783069	41.4705882352941	61.3469518033833	68.089851840051	76.9071177784871	99.4420532440619	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
UMPK5n	17.6587301587302	17.5980392156863	11.7618895627194	30.2851680739207	98.2444940951165	16.3398692810458	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]
CYTK13n	15.5257936507937	6.94444444444444	7.61251196935844	28.6283256332643	96.7283753590808	6.8069504224454	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]
