SYMBOL	ENTREZID	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
SCG2	7857	3.1161	3.50899	6.0816	7.55024	3.14738	3.4659	NA	NA	NA	NA
SCG5	6447	14.6471	12.5552	41.8477	40.386	17.3093	16.0547	NA	NA	NA	NA
SCGB1B2P	643719	0.0682325	0	0.323799	0	0.14572	0	NA	NA	NA	NA
SCGB3A2	117156	0.446614	0.579919	0.74353	0.636765	0.156248	0.408224	NA	NA	NA	NA
SCHIP1	29970	79.5703	108.818	92.1162	113.875	81.3816	84.8785	NA	NA	NA	NA
SCIN	85477	0.0947248	0.0785299	0.2911	0.236404	0.200993	0.302869	cerebral-cortex	glial-cells	Low	Enhanced
SCLT1	132320	1.96274	2.61673	2.94201	2.29055	3.76241	2.71067	cerebral-cortex	glial-cells	High	Approved
SCLY	51540	9.20801	9.65965	9.17365	9.62783	8.5756	9.73418	NA	NA	NA	NA
SCMH1	22955	11.3232	9.17561	11.2382	6.76338	9.55398	15.0008	NA	NA	NA	NA
SCML1	6322	4.15216	3.7559	2.7436	2.10669	3.40457	3.50437	NA	NA	NA	NA
SCML2	10389	0.627136	0.619177	0.277049	0.312752	0.912445	1.7021	NA	NA	NA	NA
SCML2P2	100421172	0.248197	0.179043	0.196619	0.424216	0.173674	0.472629	NA	NA	NA	NA
SCN1B	6324	7.08303	5.95913	5.65808	6.78855	3.81395	3.40011	NA	NA	NA	NA
SCN2A	6326	0.646489	0.556636	1.6531	1.1292	0.453067	0.808191	NA	NA	NA	NA
SCN3A	6328	0.255191	0.345133	0.483339	0.495895	1.59439	1.10909	NA	NA	NA	NA
SCN3B	55800	0.176637	0.0832685	0.58282	0.591481	0.297664	0.161002	NA	NA	NA	NA
SCN5A	6331	0.071633	0.013057	0.281577	0.691235	0.0413657	0.520866	NA	NA	NA	NA
SCN8A	6334	9.60411	8.66085	8.24795	8.68092	8.82586	8.66453	NA	NA	NA	NA
SCN9A	6335	7.14134	8.09111	8.08148	8.75598	8.0437	8.25872	NA	NA	NA	NA
SCNM1	79005	38.256	43.2602	40.6586	39.8548	33.4566	30.9906	NA	NA	NA	NA
SCNN1A	6337	0	0.158643	0.100261	0.155677	0.206072	0.107036	cerebral-cortex	glial-cells	Low	Enhanced
SCNN1D	6339	1.37473	1.11601	4.46973	9.01295	2.36511	0.98095	NA	NA	NA	NA
SCO1	6341	18.3293	20.8297	17.9419	18.6234	18.2453	17.9834	cerebral-cortex	glial-cells	Medium	Enhanced
SCO2	9997	24.2647	20.9712	25.8845	25.9699	23.7647	23.2694	NA	NA	NA	NA
SCOC	60592	58.3349	54.5634	53.525	58.8863	44.279	39.8553	cerebral-cortex	glial-cells	Low	Approved
SCOCP1	317767	0.188608	0	1.58726	1.45066	0.395826	0.430989	NA	NA	NA	NA
SCP2	6342	89.8062	91.4511	85.5592	73.2416	72.6665	81.4401	NA	NA	NA	NA
SCPEP1	59342	22.2969	21.0305	26.7012	20.4146	28.3791	24.954	NA	NA	NA	NA
SCRG1	11341	6.84993	6.80071	1.84907	0.972489	10.9335	10.8328	NA	NA	NA	NA
SCRN1	9805	54.2952	55.5547	48.7035	51.5971	55.8374	56.2393	cerebral-cortex	glial-cells	Low	Enhanced
SCRN2	90507	6.61809	6.17394	9.05423	7.99673	8.80936	11.3422	cerebral-cortex	glial-cells	Low	Enhanced
SCRN3	79634	14.1027	16.5232	15.3076	15.0448	12.9848	13.7928	cerebral-cortex	glial-cells	Medium	Approved
SCUBE2	57758	0.871958	1.10577	1.5391	0.674817	2.16867	1.06236	NA	NA	NA	NA
SCUBE3	222663	39.1631	34.5899	60.7791	52.5229	82.3288	79.5777	NA	NA	NA	NA
SCYL1	57410	75.8063	78.5809	75.9719	75.094	78.9837	73.1256	NA	NA	NA	NA
SCYL2	55681	26.7579	24.586	29.5949	26.1067	23.6941	31.4277	cerebral-cortex	glial-cells	Low	Approved
SCYL3	57147	2.31454	2.98053	2.64844	2.58476	3.3925	3.90101	cerebral-cortex	glial-cells	Low	Approved
SDAD1	55153	27.4454	24.7464	26.8529	25.703	18.4453	21.6452	NA	NA	NA	NA
SDAD1P1	157489	1.39519	1.19421	1.38029	1.10621	1.08198	1.27832	NA	NA	NA	NA
SDAD1P2	400836	0.322227	0.381876	0.34387	0.334383	0.434921	0.473349	NA	NA	NA	NA
SDC1	6382	8.5494	7.02555	16.2966	15.9802	5.45179	5.73588	NA	NA	NA	NA
SDC2	6383	405.362	450.117	239.379	199.426	237.202	249.33	NA	NA	NA	NA
SDC3	9672	44.4942	41.7062	32.0814	34.1336	26.0043	26.4963	cerebral-cortex	glial-cells	Medium	Approved
SDC4	6385	111.627	122.005	138.947	136.401	139.385	134.648	cerebral-cortex	glial-cells	Medium	Enhanced
SDCBP	6386	91.144	96.8329	96.3648	103.971	85.3185	98.7862	NA	NA	NA	NA
SDCBP2	27111	0.920615	0.905879	0.636982	0.417517	0.414217	0.604038	NA	NA	NA	NA
SDCBP2-AS1	100507495	2.36302	2.70676	2.22279	2.55641	2.38546	3.02954	NA	NA	NA	NA
SDCBPP2	100129960	0.040992	0.177423	0.0969728	0.105095	0.129091	0.187341	NA	NA	NA	NA
SDCBPP3	100131656	1.46288	1.80277	1.44188	1.40644	1.23703	1.02142	NA	NA	NA	NA
SDCCAG8	10806	39.1674	32.9288	52.907	46.1798	36.1231	40.9958	cerebral-cortex	glial-cells	Medium	Approved
SDE2	163859	7.28662	6.92813	6.98522	7.21737	6.46434	6.17822	cerebral-cortex	glial-cells	Medium	Approved
SDF2	6388	96.116	104.094	111.034	106.151	89.2841	93.8823	NA	NA	NA	NA
SDF2L1	23753	13.386	16.1986	16.3849	17.1629	16.0019	14.9082	cerebral-cortex	glial-cells	Low	Approved
SDF4	51150	172.731	171.418	198.768	207.839	171.744	160.159	NA	NA	NA	NA
SDHA	6389	46.5449	42.1221	42.5994	45.6322	39.2895	39.6556	cerebral-cortex	glial-cells	Low	Enhanced
SDHAF1	644096	6.24038	6.26317	5.98348	5.75811	6.58251	6.64773	NA	NA	NA	NA
SDHAF2	54949	40.9715	35.5727	41.9803	33.9801	35.7833	38.242	cerebral-cortex	glial-cells	Medium	Supported
SDHAP1	255812	5.99905	5.79391	5.15338	5.18797	6.44877	6.82036	NA	NA	NA	NA
SDHAP3	728609	1.23482	0.646763	3.025	2.26696	1.0379	0.817621	NA	NA	NA	NA
SDHB	6390	178.558	180.449	174.505	175.728	164.85	161.53	cerebral-cortex	glial-cells	High	Enhanced
SDHC	6391	67.5496	71.9973	66.8539	55.432	53.2146	64.509	NA	NA	NA	NA
SDHCP2	100128302	1.02843	1.41633	0.889839	1.07865	1.07943	1.4955	NA	NA	NA	NA
SDHCP3	100422591	0	0.497639	0.109387	0.353651	0.289562	0.210139	NA	NA	NA	NA
SDHCP4	100422598	0.544616	0.589308	0.431823	0.930854	0.762165	1.2445	NA	NA	NA	NA
SDHDP6	29768	0.100536	0.217572	0.119703	0.257753	0.316729	0.114905	NA	NA	NA	NA
SDK1	221935	0.820494	1.12437	1.23955	1.38249	1.454	0.817951	cerebral-cortex	glial-cells	Low	Approved
SDK2	54549	0.50729	0.399334	0.515816	0.875798	0.0596876	0.0489701	NA	NA	NA	NA
SDR39U1	56948	37.9544	34.2636	34.3335	39.1489	35.8718	31.3507	cerebral-cortex	glial-cells	Medium	Approved
SDSL	113675	2.06934	1.81461	2.98868	3.22782	3.20637	2.89272	NA	NA	NA	NA
SEC11A	23478	152.432	166.278	166.431	171.387	169.138	187.453	NA	NA	NA	NA
SEC11C	90701	38.7753	37.9502	41.7196	43.7102	40.0761	44.7144	NA	NA	NA	NA
SEC13	6396	194.604	193.931	177.481	177.197	192.474	188.74	NA	NA	NA	NA
SEC14L1	6397	79.346	78.3003	79.0603	87.0209	67.6241	63.6316	cerebral-cortex	glial-cells	Medium	Approved
SEC14L1P1	729799	0.78745	1.18947	0.707135	1.1453	0.934424	0.732735	NA	NA	NA	NA
SEC14L2	23541	9.86514	10.1212	14.9236	14.5256	14.4412	12.9062	NA	NA	NA	NA
SEC16A	9919	20.5749	21.8269	25.9019	23.7097	25.8145	26.7452	NA	NA	NA	NA
SEC16B	89866	1.66204	1.20371	2.87145	1.8933	1.4349	1.63688	NA	NA	NA	NA
SEC22A	26984	17.5183	18.454	16.5308	17.1407	16.701	20.7051	NA	NA	NA	NA
SEC22B	9554	0.46542	0.402891	0	0	0.309443	0.460863	NA	NA	NA	NA
SEC22C	9117	19.0665	19.2572	18.9846	17.4306	20.1065	20.6579	NA	NA	NA	NA
SEC23A	10484	186.72	187.92	158.278	143.685	173.506	189.233	NA	NA	NA	NA
SEC23B	10483	48.7951	49.4613	47.7167	49.5643	48.9965	48.1595	NA	NA	NA	NA
SEC23IP	11196	53.6744	47.2938	50.2833	55.5626	49.9426	45.5521	NA	NA	NA	NA
SEC24A	10802	19.9318	19.5982	19.9117	20.2132	20.9973	21.772	NA	NA	NA	NA
SEC24B	10427	17.4616	18.0124	17.5668	17.7236	15.3239	16.3856	cerebral-cortex	glial-cells	Low	Approved
SEC24B-AS1	100533182	0.47422	0.609627	0.662299	0.790634	0.697777	0.735825	NA	NA	NA	NA
SEC24C	9632	45.8379	47.0566	46.9422	46.666	44.7506	43.8338	cerebral-cortex	glial-cells	Low	Supported
SEC24D	9871	126.795	129.564	131.548	120.33	134.016	135.23	cerebral-cortex	glial-cells	Medium	Approved
SEC31A	22872	433.809	439.307	438.267	447.219	381.702	404.063	cerebral-cortex	glial-cells	Medium	Approved
SEC31B	25956	4.73708	4.33167	9.76619	7.28861	6.8376	4.66218	NA	NA	NA	NA
SEC61A1	29927	518.649	523.127	544.551	517.611	477.744	473.306	NA	NA	NA	NA
SEC61A2	55176	8.80744	6.61559	9.22523	7.82036	9.68875	7.65872	NA	NA	NA	NA
SEC61B	10952	290.751	299.57	302.518	308.071	292.025	283.694	cerebral-cortex	glial-cells	Low	Approved
SEC61G	23480	314.301	303.169	295.953	293.775	266.201	278.443	NA	NA	NA	NA
SEC62	7095	100.812	99.8672	100.733	107.01	92.0743	108.622	cerebral-cortex	glial-cells	Medium	Approved
SEC62-AS1	106478967	0.769488	0.208333	0.694207	0.246694	0.60605	0.439695	NA	NA	NA	NA
SEC63	11231	121.397	121.008	137.415	149.708	127.631	135.736	NA	NA	NA	NA
SEC63P1	100420341	0.822251	1.00452	1.84808	1.39404	1.47573	2.06075	NA	NA	NA	NA
SECISBP2	79048	9.71231	8.63386	8.56339	7.26693	11.8087	10.3957	cerebral-cortex	glial-cells	Medium	Approved
SECISBP2L	9728	31.199	31.7452	27.712	28.7841	26.7586	27.4119	cerebral-cortex	glial-cells	High	Approved
SECTM1	6398	2.60349	2.60015	0.919405	0.693215	2.73386	1.8649	cerebral-cortex	glial-cells	Low	Approved
SEH1L	81929	16.6145	20.5353	14.4991	13.6725	18.1168	17.1058	NA	NA	NA	NA
SEL1L	6400	44.2191	43.5279	46.0346	49.6263	45.7115	50.2588	cerebral-cortex	glial-cells	Low	Enhanced
SEL1L3	23231	32.1366	37.606	41.8665	50.6387	34.2946	41.4948	NA	NA	NA	NA
SELE	6401	0.00879325	0	0	0.0545752	0	0	NA	NA	NA	NA
SELENBP1	8991	1.25156	0.908563	0.23481	0.202789	1.53655	1.91787	NA	NA	NA	NA
SELPLG	6404	8.27332	7.74114	6.34303	6.64146	8.3901	7.41627	NA	NA	NA	NA
SEMA3A	10371	11.8204	12.6483	19.8048	24.1715	17.6128	17.8627	NA	NA	NA	NA
SEMA3C	10512	17.6334	19.6373	32.3093	35.0361	28.8555	32.9619	NA	NA	NA	NA
SEMA3D	223117	5.85718	7.22056	3.00046	3.52092	2.52963	3.1286	NA	NA	NA	NA
SEMA3E	9723	0.946804	0.645973	1.30693	1.47145	0.944539	0.827549	NA	NA	NA	NA
SEMA3F	6405	6.25965	6.73671	4.30694	6.25831	6.0694	8.16469	cerebral-cortex	glial-cells	Medium	Approved
SEMA4A	64218	0.297471	0.152186	0.140867	0.168279	0.553465	0.284667	NA	NA	NA	NA
SEMA4B	10509	4.11386	3.50518	4.13912	5.70664	3.8726	4.95891	NA	NA	NA	NA
SEMA4C	54910	7.3751	8.243	11.8991	10.473	10.1616	9.78031	NA	NA	NA	NA
SEMA4D	10507	0.341516	0.450931	0.505876	0.384357	0.50289	0.525813	cerebral-cortex	glial-cells	Medium	Approved
SEMA4F	10505	5.46415	4.67814	5.15996	6.16171	5.1973	6.76254	NA	NA	NA	NA
SEMA4G	57715	3.92657	3.55001	2.89698	3.12233	4.7462	2.7758	NA	NA	NA	NA
SEMA5A	9037	22.1508	21.3565	26.2078	20.8477	16.7952	16.4236	NA	NA	NA	NA
SEMA6A	57556	0.571362	0.90311	0.728936	1.1797	0.466935	0.660862	cerebral-cortex	glial-cells	Medium	Approved
SEMA6B	10501	0.275834	0.496144	0.751054	0.761007	0.642026	0.461559	cerebral-cortex	glial-cells	Medium	Enhanced
SEMA6C	10500	1.11214	1.51883	2.90081	3.25062	1.94852	3.21669	NA	NA	NA	NA
SEMA6D	80031	1.49133	1.47146	2.34125	2.78745	4.89755	5.42004	NA	NA	NA	NA
SEMA7A	8482	67.1482	58.947	94.4429	91.2383	69.1466	63.9139	NA	NA	NA	NA
SENCR	100507392	1.46686	1.205	1.55908	2.11865	2.84701	2.88197	NA	NA	NA	NA
SENP1	29843	4.26907	4.49276	4.60029	3.26303	4.0362	5.16227	NA	NA	NA	NA
SENP2	59343	27.909	23.993	21.3984	26.1656	23.8525	20.448	cerebral-cortex	glial-cells	Medium	Approved
SENP3	26168	61.3768	63.1524	60.1236	55.8625	56.0325	60.2127	NA	NA	NA	NA
SENP3-EIF4A1	100533955	0.080644	0.263063	0.360839	0.211446	0.31491	0.228916	NA	NA	NA	NA
SENP5	205564	18.7656	22.7136	22.0961	21.3012	21.4598	20.7817	NA	NA	NA	NA
SENP6	26054	22.5788	22.4432	21.2643	23.4638	24.9558	23.1832	cerebral-cortex	glial-cells	Low	Approved
SENP7	57337	2.36559	2.33426	2.24315	2.43445	3.14042	2.57789	cerebral-cortex	glial-cells	High	Approved
SENP8	123228	1.78371	2.08846	1.39183	2.05558	1.88954	2.08323	cerebral-cortex	glial-cells	Low	Approved
SEPHS1	22929	28.8368	30.8947	31.3337	29.4939	42.5984	44.6154	cerebral-cortex	glial-cells	Low	Enhanced
SEPHS1P4	389873	1.409	0.560067	1.39263	0.995249	1.05651	1.11704	NA	NA	NA	NA
SEPHS1P6	729399	0.286669	0.403252	0.575655	0.146992	0.631959	0.229274	NA	NA	NA	NA
SEPHS2	22928	26.722	25.4056	27.9554	27.7901	30.4486	31.1784	NA	NA	NA	NA
SEPSECS	51091	0.750062	0.691498	0.999538	0.986524	1.42555	1.61099	NA	NA	NA	NA
SERAC1	84947	7.2188	7.34866	6.38171	8.13397	7.6948	7.35296	cerebral-cortex	glial-cells	Low	Enhanced
SERBP1	26135	134.149	138.694	110.053	104.005	111.068	125.757	cerebral-cortex	glial-cells	Medium	Supported
SERBP1P1	389866	3.68361	2.43582	3.0391	2.43595	2.76206	2.47178	NA	NA	NA	NA
SERBP1P5	442112	4.94925	5.26253	4.6634	4.36408	4.02427	5.8182	NA	NA	NA	NA
SERBP1P6	100420450	3.29859	3.94281	2.26775	2.50757	3.94579	3.41822	NA	NA	NA	NA
SERF2	10169	1066.32	1095.37	1006.89	989.689	1009.82	1024.32	NA	NA	NA	NA
SERGEF	26297	8.78812	11.4077	9.64363	8.60754	12.44	14.0674	cerebral-cortex	glial-cells	Low	Supported
SERHL	94009	0.248051	0.165348	0.149975	0.509646	0.0715693	0.146258	NA	NA	NA	NA
SERHL2	253190	2.8685	2.1737	1.19393	1.57541	1.99381	1.78853	NA	NA	NA	NA
SERINC1	57515	133.232	124.143	113.874	125.785	100.776	100.199	NA	NA	NA	NA
SERINC3	10955	103.379	106.427	105.787	105.342	90.3327	96.0842	NA	NA	NA	NA
SERINC4	619189	0.179842	0.271064	0.474375	0.354368	0.0339923	0.22255	NA	NA	NA	NA
SERINC5	256987	5.32907	6.19092	7.22907	5.57461	3.99869	3.86588	NA	NA	NA	NA
SERP1	27230	99.5886	100.111	100.715	96.8188	103.379	101.769	NA	NA	NA	NA
SERP2	387923	0.948431	0.762185	0.479208	0.850133	1.23764	1.2901	NA	NA	NA	NA
SERPINA1	5265	0.11448	0.145725	0.848725	0.656126	0.07924	0.523036	NA	NA	NA	NA
SERPINA12	145264	0.0865276	0.210663	0.0765967	0.0554592	0.0227081	0.0247149	NA	NA	NA	NA
SERPINA3	12	9.62851	11.7771	7.19048	5.17491	7.18994	8.25536	NA	NA	NA	NA
SERPINA5	5104	0.256402	0.536796	0.171807	0.0394079	0.152475	0.551996	NA	NA	NA	NA
SERPINA9	327657	2.95136	2.44491	2.29379	2.05506	0.423934	0.536009	NA	NA	NA	NA
SERPINB1	1992	5.80318	7.81526	2.08758	1.78485	4.63841	5.84424	NA	NA	NA	NA
SERPINB2	5055	154.089	168.877	63.2931	58.6483	39.2334	32.9585	NA	NA	NA	NA
SERPINB6	5269	42.4589	46.1629	39.4873	37.6606	34.8582	32.7822	cerebral-cortex	glial-cells	Medium	Enhanced
SERPINB7	8710	59.6349	52.6971	49.9851	46.3712	20.0534	24.5268	NA	NA	NA	NA
SERPINB8	5271	28.914	33.5199	29.3028	25.1917	32.145	32.7665	NA	NA	NA	NA
SERPINB9	5272	0.450863	0.433655	0.44698	0.321089	0.308036	0.245302	NA	NA	NA	NA
SERPIND1	3053	0.112835	0.271321	0.221746	0.401786	0.0526464	0.225198	NA	NA	NA	NA
SERPINE1	5054	2433.7	2497.16	3131.66	3135.72	2281.86	2199.01	NA	NA	NA	NA
SERPINE2	5270	69.0445	76.7814	290.6	357.648	165.694	159.81	NA	NA	NA	NA
SERPINE3	647174	0.527385	0.313022	0.363454	0.574901	0.435872	0.25288	NA	NA	NA	NA
SERPINF1	5176	93.211	99.8878	46.3278	36.2122	128.592	128.311	NA	NA	NA	NA
SERPING1	710	0.443802	0.332566	0.245276	0.658694	1.23064	0.724926	NA	NA	NA	NA
SERPINH1	871	641.371	662.728	578.872	564.064	573.079	547.097	NA	NA	NA	NA
SERPINH1P1	158172	0.561788	0.665783	0.537086	0.65157	0.786388	0.855836	NA	NA	NA	NA
SERPINI1	5274	3.94713	3.55797	6.89507	7.08249	2.69301	2.90232	NA	NA	NA	NA
SERTAD1	29950	13.0277	13.7479	12.928	12.248	12.4918	10.8831	NA	NA	NA	NA
SERTAD2	9792	11.0284	11.1585	12.6171	13.1722	13.3505	11.645	cerebral-cortex	glial-cells	Medium	Enhanced
SERTAD3	29946	26.0069	26.918	33.9455	30.9257	24.8295	27.5938	NA	NA	NA	NA
SERTAD4	56256	7.27754	9.73809	10.5065	10.7409	17.3853	17.3112	NA	NA	NA	NA
SERTAD4-AS1	574036	18.3133	19.1008	22.1169	24.4352	25.4692	19.9211	NA	NA	NA	NA
SESN1	27244	12.2386	11.5705	13.549	14.1796	9.87081	11.0714	NA	NA	NA	NA
SESN2	83667	7.55982	9.11294	12.8726	12.5971	13.8638	13.7589	NA	NA	NA	NA
SESN3	143686	1.94127	1.48682	3.31348	4.51872	2.23227	2.76766	NA	NA	NA	NA
SESTD1	91404	14.53	16.6045	18.1826	17.4595	17.2264	18.5541	NA	NA	NA	NA
SET	6418	126.625	135.803	108.095	92.209	129.405	134.401	cerebral-cortex	glial-cells	Medium	Supported
SETBP1	26040	0.748922	0.648389	0.353108	0.513562	0.57675	0.376343	NA	NA	NA	NA
SETD1A	9739	2.90216	2.73388	3.54515	3.91739	3.81616	3.05181	cerebral-cortex	glial-cells	Medium	Enhanced
