SYMBOL	ENTREZID	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	29.0515	32.2381	36.1852	37.6241	40.8146	38.3191	NA	NA	NA	NA
A1BG-AS1	503538	14.1633	13.881	14.6092	15.6698	13.4807	13.781	NA	NA	NA	NA
A2M	2	2.06229	1.5257	2.56111	3.14583	5.65537	5.67609	NA	NA	NA	NA
A4GALT	53947	0.625001	0.472751	0.723303	0.41514	1.29707	0.757176	NA	NA	NA	NA
AAAS	8086	33.267	30.7847	36.5386	38.0582	34.3013	36.1	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	17.3416	13.8444	20.0807	23.7342	19.7241	17.9947	NA	NA	NA	NA
AADAC	13	0.216335	0.233529	0.128246	0	0.0204234	0.0666832	NA	NA	NA	NA
AADAT	51166	5.16376	6.44511	3.69064	4.56075	4.57071	5.50292	NA	NA	NA	NA
AAGAB	79719	31.8469	30.6924	32.079	32.0283	27.3089	29.9085	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.6419	9.68279	9.35155	9.82841	10.631	10.2918	NA	NA	NA	NA
AAMDC	28971	47.0855	51.3799	49.7905	51.6998	36.9208	40.2199	NA	NA	NA	NA
AAMP	14	79.8328	83.3458	78.0054	81.7873	77.1539	75.5207	cerebral-cortex	glial-cells	Medium	Approved
AANAT	15	0.456937	0.350029	0.205985	0.407814	0.149304	0.119987	NA	NA	NA	NA
AAR2	25980	23.2976	23.7424	20.2915	20.4256	19.2293	19.4076	NA	NA	NA	NA
AARS2	57505	3.08408	2.9093	3.30777	3.16469	3.08497	2.80414	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	64.7854	61.0545	59.9844	57.3541	52.945	50.5177	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	2.47994	6.0198	5.94171	2.92545	3.79964	4.95312	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	22.7313	22.156	22.2557	19.2126	17.7794	21.8607	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	2.86376	2.28406	3.30016	3.10536	2.43445	2.59425	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	34.0641	35.4037	36.1362	28.9906	24.8378	23.2403	NA	NA	NA	NA
AATK	9625	0.216543	0.182964	0.146348	0.273119	0.105347	0.0177659	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	5.62639	5.24766	4.63107	5.35175	2.87357	2.71281	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	3.51669	3.07615	5.62612	4.42528	2.69508	3.26474	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.523095	1.20428	0.488537	0.571814	0.890048	0.90795	NA	NA	NA	NA
ABCA13	154664	0.735396	0.699412	0.696042	0.227962	0.307245	0.150354	NA	NA	NA	NA
ABCA2	20	16.5302	20.2974	16.1265	18.992	14.8306	14.5385	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	0.997833	1.11303	1.63083	2.65358	0.83982	0.561279	NA	NA	NA	NA
ABCA4	24	1.68184	1.27543	1.09971	1.13933	1.12901	1.19706	NA	NA	NA	NA
ABCA5	23461	1.70227	1.45823	1.9205	2.30608	2.11058	2.44433	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.15193	0.030718	0.160425	0.0602687	0.157097	0.0502554	NA	NA	NA	NA
ABCA7	10347	1.35458	1.38014	2.67881	2.44574	2.5044	2.13089	NA	NA	NA	NA
ABCA8	10351	1.32367	1.10102	0.726793	0.911896	1.53798	1.13116	NA	NA	NA	NA
ABCA9	10350	0.322001	0.320911	0.587361	1.85949	0.959873	0.578908	NA	NA	NA	NA
ABCB1	5243	0.363989	0.307347	2.0855	2.50499	0.80143	0.887126	NA	NA	NA	NA
ABCB10	23456	3.74095	4.49016	4.01552	3.57576	5.21295	6.1771	NA	NA	NA	NA
ABCB4	5244	0.0320528	0.0173404	0.153411	0.0410891	0	0.058748	NA	NA	NA	NA
ABCB6	10058	12.3012	11.6634	6.94625	9.38824	14.0522	12.4341	NA	NA	NA	NA
ABCB7	22	4.95772	5.44474	4.83695	4.79763	4.08528	5.07309	NA	NA	NA	NA
ABCB8	11194	15.3949	14.4561	18.2495	19.9726	15.8209	15.9802	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	4.88567	4.05779	7.0419	4.72867	5.36087	5.90342	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	22.8857	20.7091	14.8849	16.5836	16.9826	16.9639	NA	NA	NA	NA
ABCC10	89845	18.4038	18.4753	24.5832	21.7013	20.4107	22.2106	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.0859563	0.0356083	0.0775455	0.110681	0.13825	0.177014	NA	NA	NA	NA
ABCC3	8714	0.539757	1.23201	0.486546	1.6329	0.629599	0.330427	NA	NA	NA	NA
ABCC4	10257	4.25302	3.66422	3.57658	4.29574	5.30746	4.49594	NA	NA	NA	NA
ABCC5	10057	8.7876	9.30885	15.382	12.8222	8.50074	10.9427	NA	NA	NA	NA
ABCC6	368	0.105257	0.149171	0.257136	0.160871	0.171545	0.163367	NA	NA	NA	NA
ABCC9	10060	0.436005	0.427192	0.4364	0.708866	0.0618549	0.0594554	NA	NA	NA	NA
ABCD3	5825	13.0433	15.0326	17.3448	16.4016	14.1031	15.006	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	12.1859	10.1432	15.6213	18.6914	13.1985	12.2644	NA	NA	NA	NA
ABCE1	6059	76.8049	77.1237	69.3418	69.0451	69.0944	68.0077	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	42.4171	39.4027	35.2734	32.7015	35.1069	36.482	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.302889	0.564449	0.337464	0.496125	0.512284	0.845938	NA	NA	NA	NA
ABCF3	55324	43.6633	44.0653	39.2669	33.8602	41.658	36.7636	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.0518562	0.068069	0.184413	0.0607213	0.0217639	0.0118356	NA	NA	NA	NA
ABCG2	9429	0.223037	0.253114	0.379101	0.41615	0.141698	0.125753	NA	NA	NA	NA
ABCG4	64137	0.0768431	0.0748341	0.0758379	0.122414	0.201549	0.137938	NA	NA	NA	NA
ABHD1	84696	0.273002	0	0.261187	0.561924	0	0.389756	NA	NA	NA	NA
ABHD10	55347	19.167	18.9116	14.811	12.967	16.5007	18.7549	cerebral-cortex	glial-cells	Low	Supported
ABHD12	26090	44.7999	47.039	39.4972	42.3981	43.2686	44.5053	NA	NA	NA	NA
ABHD12B	145447	0.0850363	0.638911	0.286117	0.0731075	0.520649	0.318849	NA	NA	NA	NA
ABHD13	84945	3.24684	2.45044	2.71963	3.42762	3.08206	2.54378	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	8.01766	8.61323	6.46107	6.72515	9.60171	8.62025	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.268548	0.439459	0.0885306	0.371085	0.434465	0.144506	NA	NA	NA	NA
ABHD14B	84836	11.8528	10.6746	15.461	15.3868	11.5489	10.4813	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.54606	2.65586	3.08203	3.53162	2.7018	2.57806	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	1.44174	1.68722	1.58408	2.30514	1.90702	1.78964	NA	NA	NA	NA
ABHD17A	81926	6.16482	6.56342	6.32999	6.79076	7.25576	5.58499	NA	NA	NA	NA
ABHD17B	51104	3.91218	3.9498	4.62023	4.56176	5.10924	4.63165	NA	NA	NA	NA
ABHD17C	58489	5.57541	7.02856	7.42541	8.30774	6.46401	7.32081	NA	NA	NA	NA
ABHD2	11057	21.4765	22.9373	23.0798	20.0504	25.2127	22.6491	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	1.68959	1.45968	1.12737	1.57853	1.62033	2.42553	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	36.6319	38.5451	35.5364	39.3599	37.4642	36.2102	NA	NA	NA	NA
ABHD5	51099	16.1954	14.8045	16.0593	13.7024	17.0047	15.5792	NA	NA	NA	NA
ABHD6	57406	4.47737	3.34627	1.80967	2.08474	2.19219	2.51692	NA	NA	NA	NA
ABHD8	79575	4.44599	4.64531	4.60215	4.63194	3.8238	3.27631	NA	NA	NA	NA
ABI1	10006	34.4138	35.3972	38.6272	40.0953	37.2861	38.6522	NA	NA	NA	NA
ABI2	10152	42.7686	45.9658	35.0337	40.852	37.8807	35.3449	NA	NA	NA	NA
ABI3	51225	0.488685	0.467806	0.130829	0	0.72616	0.569102	cerebral-cortex	glial-cells	Medium	Enhanced
ABI3BP	25890	16.9643	18.635	38.5416	19.7225	23.53	17.719	NA	NA	NA	NA
ABL1	25	38.318	40.322	42.8141	43.8563	39.5415	41.2378	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	12.7398	13.8855	18.734	17.9483	10.777	10.7044	NA	NA	NA	NA
ABLIM1	3983	9.65797	10.9169	14.2422	17.6153	11.6004	11.2604	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	0.0611601	0.0680539	0.18734	0.514551	0.0388011	0.398015	NA	NA	NA	NA
ABLIM3	22885	13.2975	13.1312	10.0538	10.4211	7.52828	7.95239	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	78.0081	83.4643	100.346	94.707	77.7047	60.779	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	16.3948	16.4891	22.9541	22.581	16.8461	15.4005	NA	NA	NA	NA
ABTB1	80325	4.56531	4.59391	6.98906	5.46847	4.69449	5.17279	NA	NA	NA	NA
ABTB2	25841	1.58681	1.53296	1.74907	1.91428	1.71823	2.61735	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	53.2317	51.1781	59.055	62.9732	46.3522	45.7456	NA	NA	NA	NA
ACAA2	10449	16.1231	16.9216	15.2361	14.7936	16.9223	17.4407	NA	NA	NA	NA
ACACA	31	22.6798	20.292	17.6718	17.357	15.1773	17.461	NA	NA	NA	NA
ACACB	32	0.76546	0.29277	0.583892	0.192908	0.723072	0.785496	NA	NA	NA	NA
ACAD10	80724	6.52516	5.83278	9.30654	7.11087	6.74489	6.26571	NA	NA	NA	NA
ACAD11	84129	11.1415	10.4354	10.0651	12.6495	12.647	10.5817	NA	NA	NA	NA
ACAD8	27034	9.60467	7.77944	10.5054	9.90626	12.1968	13.0002	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	17.2761	18.3946	17.1477	13.7551	15.5859	16.5716	cerebral-cortex	glial-cells	Medium	Supported
ACADM	34	16.5197	18.4789	15.6266	17.2231	17.7912	16.3234	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	1.62821	1.75909	1.36773	1.37407	2.01241	1.39788	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	6.7747	6.75141	5.5077	4.63078	6.0668	6.41314	NA	NA	NA	NA
ACADVL	37	284.23	321.24	467.266	465.416	415.234	395.094	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	1.19622	0.898348	0.00834615	0.00490068	2.44549	2.28394	NA	NA	NA	NA
ACAP1	9744	3.79296	3.47236	11.0193	11.7089	11.5518	7.03931	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	26.6064	27.6817	31.6565	32.5115	39.7526	29.0447	cerebral-cortex	glial-cells	Medium	Supported
ACAP3	116983	37.5232	34.6449	43.2845	51.2587	48.2215	36.7036	NA	NA	NA	NA
ACAT1	38	111.185	104.292	88.3099	81.1689	83.9337	102.788	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	21.2503	18.4916	11.1187	11.4878	10.7186	11.9534	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	64.7141	69.8946	65.207	64.0303	59.102	77.4233	NA	NA	NA	NA
ACBD4	79777	1.27202	0.992283	0.806415	1.1903	0.964272	0.910738	NA	NA	NA	NA
ACBD5	91452	6.52932	6.61438	6.44313	7.73359	7.39822	7.52689	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	28.4239	27.3115	20.2103	19.7543	22.4181	23.159	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	0.102547	0.0811852	0.493844	0.273278	0.157525	0.351495	NA	NA	NA	NA
ACCS	84680	4.96633	5.94983	8.4373	6.59215	6.42599	6.7342	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	9.27678	8.65931	8.7595	9.04492	9.12582	6.38358	NA	NA	NA	NA
ACER2	340485	0.265974	0.6166	0.949947	0.846798	0.229829	0.283148	NA	NA	NA	NA
ACER3	55331	2.50547	3.77597	2.76053	2.36254	3.02804	2.18071	NA	NA	NA	NA
ACHE	43	7.65017	2.59009	3.71993	22.3316	4.94588	1.10378	NA	NA	NA	NA
ACIN1	22985	93.4944	93.5732	110.34	108.515	118.313	108.606	cerebral-cortex	glial-cells	High	Supported
ACKR3	57007	1.74032	1.34889	3.01407	4.43944	5.03285	4.67058	NA	NA	NA	NA
ACO1	48	30.7882	31.2619	30.0128	28.344	29.6192	29.0576	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	40.1985	38.6215	41.3011	40.7989	33.9496	33.9004	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	1.50671	1.61577	0.649775	0.403005	1.21005	1.22732	NA	NA	NA	NA
ACOT11	26027	0.338641	0.204424	0.510189	0.504333	0.806996	0.454133	NA	NA	NA	NA
ACOT13	55856	24.0612	26.6935	21.3083	20.69	21.4645	21.9802	NA	NA	NA	NA
ACOT2	10965	6.87987	6.31295	5.24278	5.97375	7.22279	6.39731	NA	NA	NA	NA
ACOT4	122970	0.142696	0.112295	0.0611877	0.0498877	0.245131	0.177859	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	58.9862	58.5916	57.3923	58.7536	51.6237	47.4378	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	17.8999	18.0839	21.159	19.9965	14.6377	14.7028	NA	NA	NA	NA
ACOT9	23597	44.666	46.8734	39.6801	37.732	42.9222	47.3513	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	15.7167	17.4299	24.6803	26.525	16.1938	15.7739	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	2.1918	0.898438	0.466206	0.261515	2.08403	1.47445	NA	NA	NA	NA
ACOX3	8310	22.3865	24.3352	21.5747	19.435	15.5943	18.1744	NA	NA	NA	NA
ACP1	52	89.2218	87.8814	101.972	92.4296	97.6628	95.9302	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	45.0839	53.2635	49.0228	43.4559	40.8212	46.5716	NA	NA	NA	NA
ACP5	54	4.26634	3.93905	2.51019	1.03219	2.00537	1.48465	NA	NA	NA	NA
ACRV1	56	0.0492027	0.182133	0.111949	0.0631735	0.152315	0.409209	NA	NA	NA	NA
ACSF2	80221	24.6212	17.5476	26.3354	22.5477	25.9802	19.4451	NA	NA	NA	NA
ACSF3	197322	19.0325	17.8701	12.8718	14.1664	20.0663	17.6568	NA	NA	NA	NA
ACSL1	2180	19.04	20.2537	18.6177	22.2718	18.5952	19.4836	NA	NA	NA	NA
ACSL3	2181	94.4682	106.16	80.1365	73.2424	74.5315	82.6636	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	59.0393	58.5599	71.8991	66.3063	58.4021	61.5866	NA	NA	NA	NA
ACSL5	51703	0.290226	0.344544	0.0536346	0.0933936	0.318032	0.623817	NA	NA	NA	NA
ACSM3	6296	0.216546	0	0.155184	0.876134	0.551885	0.314579	NA	NA	NA	NA
ACSS1	84532	0.492098	0.470579	0.278549	0.284313	0.727712	0.889637	NA	NA	NA	NA
ACSS2	55902	34.2212	32.5636	37.0408	39.2577	31.4394	27.6993	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	0.387138	0.990363	0.361784	0.557843	0.95892	0.445519	NA	NA	NA	NA
ACTA1	58	0.282523	0.305707	0.282166	0.250732	0.232095	0.198644	NA	NA	NA	NA
ACTA2	59	1304.1	1508.58	532.212	512.582	777.471	782.795	NA	NA	NA	NA
ACTA2-AS1	100132116	5.66922	5.10458	3.65495	1.60161	3.15971	3.45464	NA	NA	NA	NA
ACTB	60	7541.8	7617.93	5590.33	5503.21	6270.91	6432.09	NA	NA	NA	NA
ACTBL2	345651	2.29459	1.95586	3.29208	3.75389	1.6703	1.59029	NA	NA	NA	NA
ACTBP11	644220	4.54646	4.4932	3.58091	4.07967	4.39085	4.08639	NA	NA	NA	NA
ACTBP2	62	40.4432	44.7821	36.4291	38.006	42.647	38.7386	NA	NA	NA	NA
ACTBP7	67	0.121502	0.164341	0.179435	0.155753	0.0318874	0.0694121	NA	NA	NA	NA
ACTBP9	69	1.21763	1.18242	0.922243	0.640359	0.950462	0.96314	NA	NA	NA	NA
ACTC1	70	1.22352	0.766423	1.2065	1.65153	0.675904	0.514884	NA	NA	NA	NA
ACTG1P1	73	0.0604241	0.032691	0.0768679	0.348555	0.158575	0.241629	NA	NA	NA	NA
ACTG1P11	414754	0.0303426	0.0984976	2.97539	2.76162	0.0318522	0.0346679	NA	NA	NA	NA
ACTG1P2	74	0.212398	0.196995	2.72445	2.21707	0.127409	0.17334	NA	NA	NA	NA
ACTG1P3	75	0.276389	0.332304	0.217699	0.433108	0.580273	0.280699	NA	NA	NA	NA
ACTG2	72	1052.67	1109.86	581.372	554.211	500.543	488.366	NA	NA	NA	NA
ACTL10	170487	0.606391	0.705511	0.488657	0.786786	0.434922	0.543476	NA	NA	NA	NA
ACTL6A	86	107.865	77.841	66.3276	111.37	76.3745	110.771	cerebral-cortex	glial-cells	High	Supported
ACTN1	87	905.334	938.354	1044.9	1054.99	771.239	741.277	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	1.37696	1.7785	2.42016	1.97374	0.386669	0.821403	NA	NA	NA	NA
ACTN4	81	988.68	990.623	653.507	604.469	729.693	704.044	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	2.78108	3.15491	1.64142	1.84003	3.34331	2.79314	NA	NA	NA	NA
ACTR10	55860	87.3944	94.3794	77.8522	82.2764	78.2759	85.0874	NA	NA	NA	NA
ACTR1A	10121	110.64	124.189	118.42	124.163	115.083	111.743	NA	NA	NA	NA
ACTR1B	10120	20.8467	21.595	21.0851	19.7025	20.3362	18.7145	NA	NA	NA	NA
ACTR2	10097	163.618	173.264	156.133	153.729	143.213	155.254	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	307.528	331.696	317.126	317.544	320.783	346.719	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	2.86904	2.55241	1.97321	2.46684	5.76187	2.38628	NA	NA	NA	NA
ACTR3C	653857	0.705454	0.190701	0.209017	0	0	0	NA	NA	NA	NA
ACTR3P2	100129013	2.12393	2.09713	2.50825	1.93989	2.22962	2.6997	NA	NA	NA	NA
ACTR5	79913	2.35564	2.32536	2.35561	2.04844	2.2994	2.36091	NA	NA	NA	NA
ACTR6	64431	10.5964	9.17838	8.11723	7.5619	8.49216	10.5798	NA	NA	NA	NA
ACTR8	93973	21.0779	25.5352	25.0498	26.9123	17.7483	19.2069	NA	NA	NA	NA
ACTRT3	84517	2.11116	2.19914	1.738	2.22781	2.21667	1.84166	NA	NA	NA	NA
ACVR1	90	22.7744	21.7067	23.1711	24.4733	23.1022	21.8681	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	9.11367	9.4883	7.63704	7.49124	8.20569	6.83138	NA	NA	NA	NA
ACVR1C	130399	0.212165	0.163283	0.179078	0.138145	0.12994	0.209607	cerebral-cortex	glial-cells	Medium	Approved
ACVR2A	92	1.69268	2.10344	2.35253	3.26536	3.00483	2.54985	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	0.248776	0.165922	0.248244	0.291794	0.338363	0.284236	NA	NA	NA	NA
ACVRL1	94	2.15835	2.00388	0.535595	1.81396	3.0038	3.64441	NA	NA	NA	NA
ACY1	95	14.488	12.0769	11.1803	13.1578	13.7772	9.63266	NA	NA	NA	NA
ACYP1	97	6.57406	7.92939	5.32467	7.11016	7.13573	7.62193	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	12.047	10.4749	12.3478	11.356	9.62296	9.73652	NA	NA	NA	NA
ADA	100	11.9095	11.8287	13.8393	13.7932	10.902	10.4714	NA	NA	NA	NA
ADAL	161823	2.48803	3.29785	3.38071	3.11231	3.26303	3.85675	NA	NA	NA	NA
ADAM10	102	80.2553	86.9772	101.109	102.721	87.7291	105.364	NA	NA	NA	NA
ADAM11	4185	0.105492	0.158792	0.0904121	0.123639	0.122282	0.144702	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	52.7101	60.3923	38.7489	40.3916	28.046	24.0161	NA	NA	NA	NA
ADAM15	8751	39.2671	43.8936	52.2674	50.8321	55.4738	55.3178	NA	NA	NA	NA
ADAM17	6868	5.5574	5.61257	12.4813	13.8299	8.27272	7.99353	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	59.7074	57.8587	89.2033	90.8945	56.4788	57.4985	NA	NA	NA	NA
ADAM1A	8759	0.682596	0.718538	0.957937	1.27622	1.1298	1.05524	NA	NA	NA	NA
ADAM21	8747	0.125506	0.169843	0.524785	0.539152	0.278652	0.210195	NA	NA	NA	NA
ADAM23	8745	24.6291	28.3262	21.8342	16.8247	22.5533	19.5043	cerebral-cortex	glial-cells	Low	Approved
ADAM32	203102	0.368523	0.371899	0.417588	1.02994	0.870357	0.631578	NA	NA	NA	NA
ADAM33	80332	1.56633	1.64304	0.0914656	0.0349394	0.523801	0.486146	NA	NA	NA	NA
ADAM8	101	0.412284	0.665275	1.09089	1.34038	0.68476	0.371593	NA	NA	NA	NA
ADAM9	8754	236.044	245.129	269.21	266.549	235.198	257.909	NA	NA	NA	NA
ADAMTS1	9510	96.9427	102.804	80.2657	62.8736	154.239	155.645	NA	NA	NA	NA
ADAMTS12	81792	69.8941	68.7615	113.016	112.062	73.9071	72.981	NA	NA	NA	NA
ADAMTS14	140766	3.74651	3.65372	17.5741	17.9722	5.31316	4.20257	NA	NA	NA	NA
ADAMTS15	170689	1.20986	1.28141	0.543597	0.66374	1.65226	1.68105	NA	NA	NA	NA
ADAMTS16	170690	0.426092	1.10404	1.2104	0.320575	2.27171	1.9892	NA	NA	NA	NA
ADAMTS19	171019	0.543101	0.247642	0.372883	0.528994	0.15181	0.179007	NA	NA	NA	NA
ADAMTS2	9509	68.3619	72.3752	1.57038	1.32142	15.4079	14.3343	NA	NA	NA	NA
ADAMTS3	9508	0.483626	0.501527	2.08723	2.43164	1.60755	1.7431	NA	NA	NA	NA
ADAMTS4	9507	0.191103	0.41623	0.229928	0.246473	0.440313	1.10139	NA	NA	NA	NA
ADAMTS5	11096	0.728091	0.596018	1.00679	1.99653	0.594879	0.466577	NA	NA	NA	NA
ADAMTS6	11174	11.8525	12.7705	15.0634	16.712	10.6367	12.2282	NA	NA	NA	NA
ADAMTS7	11173	5.84436	6.385	3.03471	3.62747	11.063	9.63793	NA	NA	NA	NA
ADAMTS7P4	642935	0.224044	0.147616	0.124205	0.142712	0.452577	0.495345	NA	NA	NA	NA
ADAMTS9	56999	0.239849	0.178928	0.813408	0.647709	0.0427917	0.0490087	NA	NA	NA	NA
ADAMTSL1	92949	24.7999	22.4189	42.7205	39.9915	21.9952	24.1442	NA	NA	NA	NA
ADAMTSL4	54507	1.36569	1.16156	0.851586	0.432105	1.18392	1.36646	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	0.19411	0.315058	0.115512	0.124414	0.203733	0.22178	NA	NA	NA	NA
ADAMTSL5	339366	9.42281	8.71843	5.45066	6.42448	4.00104	5.55315	NA	NA	NA	NA
ADAP1	11033	2.23742	2.65025	1.6989	2.02481	1.02475	1.11893	NA	NA	NA	NA
ADAP2	55803	1.05868	0.666381	0.225599	3.36349	1.00126	0.406217	NA	NA	NA	NA
ADAR	103	49.8058	50.0678	51.3604	48.8154	38.4013	32.1615	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	13.0217	12.5251	14.0739	12.8574	28.014	30.2255	NA	NA	NA	NA
ADAT1	23536	24.9949	23.43	23.6677	23.9939	20.9467	20.2252	NA	NA	NA	NA
ADAT2	134637	2.67046	2.87233	2.22555	2.06995	2.47216	2.75252	NA	NA	NA	NA
ADAT3	113179	1.39827	1.36367	1.39004	1.50636	1.28272	1.21704	NA	NA	NA	NA
ADCK1	57143	1.9197	1.93722	1.87748	1.59296	2.46306	2.23199	NA	NA	NA	NA
ADCK2	90956	3.58043	4.18426	6.65447	7.79807	5.92874	6.55646	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	0.164297	0.154313	0.0939633	0.197258	0.098655	0.146526	NA	NA	NA	NA
ADCY10P1	221442	0.629852	0.620285	1.0972	1.15641	0.710502	0.829576	NA	NA	NA	NA
ADCY2	108	0.0504585	0.0929601	0.238901	0.294858	0	0	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	24.249	23.985	13.1367	12.0589	21.126	21.4064	cerebral-cortex	glial-cells	Low	Approved
ADCY4	196883	0.455469	0.689815	2.10886	2.78815	5.22874	3.76632	NA	NA	NA	NA
ADCY5	111	1.33745	1.77031	0.928051	0.780073	0.688704	0.751513	NA	NA	NA	NA
ADCY6	112	43.3752	41.2383	51.7385	52.7604	48.6126	41.2569	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	8.67489	7.17619	10.5146	12.8027	9.2149	12.6916	NA	NA	NA	NA
ADCY9	115	5.41918	3.40491	3.54948	2.52144	4.18442	2.85835	cerebral-cortex	glial-cells	Medium	Approved
ADD1	118	136.428	117.015	115.317	137.236	126.276	116.351	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	196.307	217.579	200.774	210.594	185.715	187.414	cerebral-cortex	glial-cells	Medium	Supported
ADH5	128	99.536	91.5111	94.9414	84.329	100.256	103.661	NA	NA	NA	NA
ADH5P4	642443	11.7363	13.0689	10.7486	11.6218	14.6017	15.1121	NA	NA	NA	NA
ADH6	130	0.325512	0.343522	0.0839075	0.204307	0.111737	0.405496	NA	NA	NA	NA
ADHFE1	137872	2.25252	1.58819	2.5387	2.57076	3.2386	3.20407	NA	NA	NA	NA
ADI1	55256	69.0128	64.0461	52.2112	53.0449	47.9884	45.9828	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	67.3232	66.1304	64.7459	64.0882	63.2021	61.7138	NA	NA	NA	NA
ADIPOR1P2	390503	1.04185	0.58818	0.536048	1.56781	0.190199	0.724569	NA	NA	NA	NA
ADIPOR2	79602	20.4686	20.7962	19.2481	20.7128	18.9606	20.2751	NA	NA	NA	NA
ADIRF	10974	0.518715	0.822163	0.593117	0	0.0534472	1.25704	NA	NA	NA	NA
ADIRF-AS1	100133190	0.795765	1.5903	2.67393	2.2118	1.87348	1.69899	NA	NA	NA	NA
ADK	132	38.5705	38.3419	41.1652	39.6124	36.4502	41.3557	NA	NA	NA	NA
ADM	133	55.1745	52.0743	80.7126	73.0016	73.6396	62.1177	NA	NA	NA	NA
ADM2	79924	2.39087	3.29945	3.78924	3.3047	6.81696	6.16017	NA	NA	NA	NA
ADM5	199800	0.0520885	0.0682169	0.13686	0.204916	0.228265	0.209458	NA	NA	NA	NA
ADNP	23394	13.9212	13.4535	12.2024	12.0516	15.406	15.912	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	4.61486	5.62505	3.59338	3.22528	4.80143	5.88667	NA	NA	NA	NA
