subSystem_BRC	n.x	n.y	p.val	p.val.fdr
Miscellaneous	19	102	0.00135191945484856	0.0175749529130313
Vitamin A metabolism	7	18	0.000552058097280743	0.00956900701953288
Drug metabolism	27	79	2.52353511746609e-10	6.56119130541184e-09
Transport, extracellular	182	1327	9.8086134897517e-12	5.10047901467089e-10
