subSystem_BNRC	n.x	n.y	p.val	p.val.fdr
Transport, lysosomal	6	57	0.00536949127908509	0.0214779651163404
Transport, extracellular	56	1296	0.000403277532365527	0.00193573215535453
Keratan sulfate degradation	8	61	0.000301655022002716	0.00180993013201629
N-glycan synthesis	3	4	8.93885703319896e-05	0.000715108562655916
Heparan sulfate degradation	7	27	7.45208368997068e-06	8.94250042796481e-05
Phosphatidylinositol phosphate metabolism	8	32	2.18048023333892e-06	5.23315256001341e-05
