name	FVA_ST_norm_t1$subSystem	MTA_ST_norm_t1$subSystem_CS
Fatty acid oxidation	1	0
Pentose phosphate pathway	1	0
Nucleotide interconversion	0	1
Nucleotide salvage pathway	0	1
