	subSystem	n.x	n.y	p.val	p.val.fdr
5	Fatty acid oxidation	18	807	0.0125801481468588	0.0440305185140057
10	Phenylalanine metabolism	2	12	0.00998062858500882	0.0419186400570371
15	Tetrahydrobiopterin metabolism	2	9	0.00558212967513254	0.0293061807944458
16	Transport, endoplasmic reticular	6	120	0.00432361589921422	0.0293061807944458
19	Transport, nuclear	4	36	0.00110417520553369	0.0115938396581037
21	Tyrosine metabolism	6	40	1.02624989420651e-05	0.000215512477783367
