	reactionIdentifier	lineWidth	color
185	r_HEDCECRNe	3	#FF0000
186	r_HMR_2771	3	#FF0000
187	r_HMR_3424	3	#FF0000
188	r_FAOXC11C9m	3	#FF0000
189	r_FAOXC13C11m	3	#FF0000
190	r_FAOXC15C13m	3	#FF0000
191	r_FAOXC5C3x	3	#FF0000
192	r_FAOXC7C5m	3	#FF0000
193	r_FAOXC9C7m	3	#FF0000
194	r_C141ACBP	3	#FF0000
195	r_C141OHc	3	#FF0000
196	r_C141OHe	3	#FF0000
197	r_FAOXC141C141OHm	3	#FF0000
198	r_HMR_3340	3	#FF0000
199	r_HMR_2739	3	#FF0000
200	r_HMR_3433	3	#FF0000
201	r_HMR_3057	3	#FF0000
202	r_HMR_3058	3	#FF0000
203	r_HMR_3065	3	#FF0000
204	r_HMR_3066	3	#FF0000
205	r_r1443	3	#FF0000
206	r_C16OHc	3	#FF0000
207	r_FAOXC16C16OHm	3	#FF0000
208	r_HDECAACBP	3	#FF0000
209	r_HEXDCRNe	3	#FF0000
210	r_C8DCc	3	#FF0000
211	r_SUBERCACT	3	#FF0000
212	r_SUBERCROT	3	#FF0000
213	r_PTDCACRNCPT1	3	#FF0000
214	r_sink_c81coa[c]	3	#FF0000
215	r_C81CPT1	3	#FF0000
216	r_C81CRNe	3	#FF0000
217	r_HMR_3067	3	#FF0000
218	r_C120CPT1	3	#FF0000
219	r_DDECCRNe	3	#FF0000
220	r_r1253	3	#FF0000
221	r_FAOXC1811603m	3	#FF0000
222	r_ACACT6p	3	#FF0000
223	r_r0719	3	#FF0000
224	r_r0721	3	#FF0000
225	r_r1444	3	#FF0000
226	r_FAOXC16C14m	3	#FF0000
227	r_C181OHc	3	#FF0000
228	r_FAOXC181C181OHm	3	#FF0000
229	r_HOCTDACBP	3	#FF0000
230	r_OCTDECCACT	3	#FF0000
231	r_OCTDECCPT1	3	#FF0000
232	r_OCTDECCPT2	3	#FF0000
233	r_OCTDECE1CRNe	3	#FF0000
234	r_sink_octdececoa[c]	3	#FF0000
235	r_DOCO13EFATP	3	#FF0000
236	r_3HBCOARc	3	#FF0000
237	r_BCRNe	3	#FF0000
238	r_C4OHc	3	#FF0000
239	r_HMR_3178	3	#FF0000
240	r_HMR_3179	3	#FF0000
241	r_HMR_3180	3	#FF0000
242	r_HMR_3181	3	#FF0000
243	r_C18OHc	3	#FF0000
244	r_FAOXC18C18OHm	3	#FF0000
245	r_HOCDACBP	3	#FF0000
246	r_HOCTDECCRNe	3	#FF0000
247	r_C162ACBP	3	#FF0000
248	r_C162OHc	3	#FF0000
249	r_C162OHe	3	#FF0000
250	r_FAOXC162C162OHm	3	#FF0000
251	r_HMR_3068	3	#FF0000
252	r_FAOXC2251836m	3	#FF0000
253	r_C100CPT1	3	#FF0000
254	r_C10CRNe	3	#FF0000
255	r_C141CPT1	3	#FF0000
256	r_sink_tetdece1coa[c]	3	#FF0000
257	r_TETDECE1CRNe	3	#FF0000
259	r_FAOXC182806m	3	#FF0000
260	r_EICOSTETCPT2	3	#FF0000
261	r_EICOSTETCPT1	3	#FF0000
262	r_HMR_0414	3	#FF0000
263	r_HMR_0342	3	#FF0000
264	r_FACOAL150	3	#FF0000
265	r_FACOAL245_1	3	#FF0000
266	r_r1259	3	#FF0000
267	r_HMR_2693	3	#FF0000
268	r_HMR_3414	3	#FF0000
269	r_HMR_3326	3	#FF0000
270	r_HMR_3327	3	#FF0000
271	r_HMR_3328	3	#FF0000
272	r_HMR_3342	3	#FF0000
273	r_HMR_3344	3	#FF0000
274	r_HMR_3346	3	#FF0000
275	r_HMR_3349	3	#FF0000
276	r_FAOXC121x	3	#FF0000
277	r_HMR_3353	3	#FF0000
278	r_HSPASEly	3	#FF0000
279	r_HS3ly	3	#FF0000
280	r_S6TASE3ly	3	#FF0000
281	r_S3TASE1ly	3	#FF0000
282	r_S2TASE1ly	3	#FF0000
283	r_GLCNACASE5ly	3	#FF0000
284	r_S3TASE3ly	3	#FF0000
285	r_GLCNACASE4ly	3	#FF0000
286	r_HSAT4ly	3	#FF0000
287	r_HS4ly	3	#FF0000
288	r_S3TASE2ly	3	#FF0000
292	r_LINKDEG1ly	3	#FF0000
293	r_HSAT2ly	3	#FF0000
294	r_DCT	3	#FF0000
295	r_DOPAQNISO1	3	#FF0000
296	r_GGTe_1	3	#FF0000
297	r_RE1916C	3	#FF0000
298	r_RE3198C	3	#FF0000
299	r_TYRASE	3	#FF0000
300	r_SALMCOM	3	#FF0000
301	r_DOPAMT	3	#FF0000
302	r_34DHPHAMT	3	#FF0000
304	r_RE1915C	3	#FF0000
305	r_RE1918C	3	#FF0000
306	r_RE2130C	3	#FF0000
307	r_RE1919C	3	#FF0000
308	r_RE1921C	3	#FF0000
309	r_DACGST	3	#FF0000
312	r_SFGTH	3	#FF0000
313	r_DOLMANP_Uter	3	#FF0000
314	r_DOLPMT3_Uer	3	#FF0000
315	r_DOLPMT4_Uer	3	#FF0000
319	r_ACGPID	3	#FF0000
320	r_BMTer_U	3	#FF0000
321	r_GPIAT	3	#FF0000
322	r_GPIDAer	3	#FF0000
323	r_GPIMTer_U	3	#FF0000
324	r_H2ETer	3	#FF0000
325	r_H2MTer_U	3	#FF0000
326	r_H3ETer	3	#FF0000
327	r_H3MTer_U	3	#FF0000
328	r_H4ET3er	3	#FF0000
329	r_H4ETer	3	#FF0000
330	r_H5MTer_U	3	#FF0000
331	r_H6ET3er	3	#FF0000
332	r_H6_ETer	3	#FF0000
333	r_H7_ETer	3	#FF0000
334	r_H8TAer	3	#FF0000
335	r_PIACGT	3	#FF0000
343	r_RE3273C	3	#FF0000
344	r_GALASE16ly	3	#FF0000
345	r_GALASE17ly	3	#FF0000
346	r_GALASE18ly	3	#FF0000
347	r_GALASE19ly	3	#FF0000
348	r_GALASE20ly	3	#FF0000
349	r_NACHEX23ly	3	#FF0000
350	r_NACHEX24ly	3	#FF0000
351	r_NACHEX25ly	3	#FF0000
352	r_NACHEX26ly	3	#FF0000
