subSystem_SC	n.x	n.y	p.val	p.val.fdr
Heparan sulfate degradation	3	27	0.00726939247829779	0.036346962391489
Fatty acid oxidation	21	767	0.00365366128411747	0.0243577418941165
Keratan sulfate degradation	9	60	1.93226218525521e-07	1.93226218525521e-06
Nucleotide interconversion	16	132	5.88625432118089e-11	1.17725086423618e-09
