subSystem	n.x	n.y	p.val	p.val.fdr
O-glycan metabolism	2	5	0.00430023547835814	0.0193510596526116
Methionine and cysteine metabolism	4	29	0.00306378975034387	0.0165444646518569
Transport, golgi apparatus	5	43	0.00202047036920368	0.0136381749921248
Transport, lysosomal	7	54	0.000128073524628439	0.00115266172165595
Eicosanoid metabolism	7	50	7.75039409645733e-05	0.00104630320302174
Keratan sulfate degradation	18	60	9.8371443375517e-17	2.65602897113896e-15
