rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization
GLPASE1	Starch and sucrose metabolism	5834.1 or 5837.1 or 5836.1	50.9493276338053	25.4746638169026	2	L	[c]
GLPASE2	Starch and sucrose metabolism	5834.1 or 5836.1 or 5837.1	50.9493276338053	25.4746638169026	2	L	[c]
