rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization
DPCOAK	CoA synthesis	80347.1	10	5	2	L	[c]
PAN4PP	CoA catabolism		10	5	2	L	[c]
PTPAT	CoA synthesis	80347.1	10	5	2	L	[c]
r0033	CoA synthesis	80347.1	10	5	2	L	[m]
r0579	CoA synthesis	79646.1 or 80025.1 or 53354.1 or 55229.1	10	5	2	L	[m]
r0590	CoA synthesis	80347.1	10	5	2	L	[m]
r0973	Transport, mitochondrial		10	5	2	L	intercompartmental
