rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization
CK	Urea cycle	1159.1 or 1160.1 or 548596.1	20	10	2	L	[m]
CREATtmdiffir	Urea cycle		20	10	2	L	intercompartmental
PCREATtmdiffir	Urea cycle		20	10	2	L	intercompartmental
