	Var1	Freq
3	HS3ly	2
9	S2TASE1ly	2
13	S6TASE3ly	2
1	GLCNACASE4ly	1
2	GLCNACASE5ly	1
4	HS4ly	1
5	HSAT2ly	1
6	HSAT4ly	1
7	HSPASEly	1
8	LINKDEG1ly	1
10	S3TASE1ly	1
11	S3TASE2ly	1
12	S3TASE3ly	1
