	Var1	Freq
5	GALASE17ly	2
6	GALASE18ly	2
7	GALASE19ly	2
17	NACHEX24ly	2
18	NACHEX25ly	2
19	NACHEX26ly	2
20	NAGA2ly	2
21	NAGLCAly	2
31	S6TASE26ly	2
34	SIAASE4ly	2
1	ENGASE3ly	1
2	GALASE10ly	1
3	GALASE12ly	1
4	GALASE16ly	1
8	GALASE20ly	1
9	GALASE7ly	1
10	GASNASE3ly	1
11	NACHEX13ly	1
12	NACHEX16ly	1
13	NACHEX18ly	1
14	NACHEX21ly	1
15	NACHEX22ly	1
16	NACHEX23ly	1
22	S6TASE15ly	1
23	S6TASE18ly	1
24	S6TASE19ly	1
25	S6TASE20ly	1
26	S6TASE21ly	1
27	S6TASE22ly	1
28	S6TASE23ly	1
29	S6TASE24ly	1
30	S6TASE25ly	1
32	SIAASE2ly	1
33	SIAASE3ly	1
