del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
RE1933C	55.9137803979366	45.4563571143882	49.686809137804	60.6604450825556	56.7263332718214	55.7660474526393	92.4055299539171	84.7311433290512	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
ASPGLUTRPr	53.5187914517318	58.509366281387	49.0235814296242	56.2455132806892	57.3353017161838	54.9383851388633	55.5023041474654	97.8528170306478	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
VALPHEARGr	52.8924097273397	35.4922279792746	39.7936624907885	53.8585786073223	51.1718029156671	49.052786463123	52.036866359447	97.7977610570747	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
PNTK	52.7266028002948	27.1622160223197	45.7995578481945	42.4264178033022	55.4714892046503	56.9247746919257	99.4470046082949	51.9544870618462	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
PPCDC	52.7266028002948	27.1622160223197	45.7995578481945	42.4264178033022	55.4714892046503	56.9247746919257	99.4470046082949	51.9544870618462	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
GLNASNGLNr	52.6344878408254	52.7500996412913	49.2815033161385	53.2124910265614	51.9468536630375	53.6325179326835	95.3179723502304	62.7271058909892	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
GLULEUr	52.5239498894621	43.8023116779594	43.7361827560796	46.7875089734386	32.8289352279018	46.9744344307523	88.2764976958525	50.6881996696642	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
PHEASPr	51.9159911569639	48.864089278597	33.548268238762	55.940416367552	48.2007750507474	55.2142725767887	51.2258064516129	84.6760873554781	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
HISGLUr	50.3500368459838	26.8832204065365	44.7126013264554	56.0480976310122	45.654179737959	56.5569247746919	54.0645161290323	86.2543585979079	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
ASPGLUr	49.4473102431835	47.1104025508171	40.5674281503316	57.483847810481	47.5918066063849	56.6672797498621	80.6082949308756	53.1657184804551	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
TYRGLUr	49.0051584377303	46.0741331207652	47.144436256448	49.1385498923187	49.5109798855877	60.5113113849549	87.1152073732719	52.2114149385208	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
