subSystem_BNRC	n.x	n.y	p.val	p.val.fdr
CoA synthesis	3	10	0.00755535103081265	0.0468431763910384
Arginine and proline metabolism	4	18	0.0063645613728387	0.0468431763910384
Methionine and cysteine metabolism	5	28	0.00618778005350629	0.0468431763910384
Peptide metabolism	22	242	0.000648300786639283	0.0100486621929089
Inositol phosphate metabolism	9	32	5.14553191644816e-06	0.000159511489409893
