	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
144	HMR_3072	Fatty acid oxidation	1962.1 or 3295.1	0	90	0	H	NA	[x]
145	HMR_3073	Fatty acid oxidation	30.1 or 4645.1	0	90	0	H	NA	[x]
146	HMR_3121	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	463.045045045045	287.274952919021	1.6118531752943	L	NA	[m]
147	HMR_3128	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	463.045045045045	287.274952919021	1.6118531752943	L	NA	[m]
148	HMR_3135	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	463.045045045045	287.274952919021	1.6118531752943	L	NA	[m]
149	HMR_3428	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	10	37.9478917645429	0.263519250609428	H	NA	[m]
154	LALDO	Pyruvate metabolism	128.1	1000	236.330467372133	4.23136301941708	L	NA	[c]
158	ME1m	Pyruvate metabolism	4200.1	719.62962962963	434.667198298777	1.65558761380236	L	malic enzyme, nad, mitochondria	[m]
159	ME2m	Pyruvate metabolism	4200.1 or 10873.1	719.629629629629	434.667198298777	1.65558761380236	L	malic enzyme	[m]
160	PPDOy	Pyruvate metabolism	8574.1 or 231.1 or 10327.2 or 10327.1	1000	202.010506208214	4.95023758303586	L	NA	[c]
165	RE3119C	Fatty acid oxidation		30	40	0.75	H	fatty acid synthesis & elongation	[c]
166	RE3120C	Fatty acid oxidation	6785.1 or 79071.1 or 60481.1 or 54898.1 	30	40	0.75	H	fatty acid synthesis & elongation	[c]
167	RE3121C	Fatty acid oxidation		30	40	0.75	H	fatty acid synthesis & elongation	[c]
168	RE3122C	Fatty acid oxidation		30	40	0.75	H	fatty acid synthesis & elongation	[c]
173	TTDCPT2	Fatty acid oxidation	1376.1	2000	85	23.5294117647059	L	carnitine shuttle	[m]
185	r0308	Fatty acid oxidation	11332.1 or 10965.1 or 5538.1 or 122970.1 or 641371.1 or 9374.1	598.59375	21.4285714285714	27.934375	L	NA	[x]
186	r0309	Fatty acid oxidation	55825.1 or 51102.1 	499.285140562249	317.126984126984	1.57440131415094	L	fatty acid synthesis & elongation	[m]
