	subSystem	n.x	n.y	p.val	p.val.fdr
12	Transport, endoplasmic reticular	6	123	0.0029284918129595	0.0263564263166355
5	Fatty acid oxidation	30	799	9.79607601098385e-10	1.76329368197709e-08
