metID	metName
adp	Adenosine Diphosphate
adrn	Adrenic Acid
adrncoa	Adrenoyl Coenzyme A
akg	2-Oxoglutarate
amp	Adenosine Monophosphate
apoC	Apocarboxlase (No Lys Residue)
apoC_Lys	Apoc-Lysine
apoC_Lys_btn	Holocarboxylase (Biotin Covalent Bound To Lys Residue Of Apoc)
arach	Arachidic Acid
arachcoa	Arachidoyl Coenzyme A
atp	Adenosine Triphosphate
biocyt	Biocytin
btamp	Biotinyl-5-Adenosine-5'-Monophosphate
btn	Biotin
c226coa	Cervonyl Coenzyme A
chsterol	Cholesterol
clpnd	Docosapentaenoic Acid
clpndcoa	Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A
cmp	Cytidine 5'-Monophosphate
co2	Carbon Dioxide
coa	Coenzyme A
crvnc	Cervonic Acid, C22:6 N-3
cytd	Cytidine
dadp	Deoxyadenosine Diphosphate
dag_hs	Diglyceride
datp	Deoxyadenosine Triphosphate
dcmp	Deoxycytidylic Acid
dcsptn1	(4Z,7Z,10Z,13Z,16Z)-Docosa-4,7,10,13,16-Pentaenoic Acid
dcsptn1coa	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl Coenzyme A
dcyt	Deoxycytidine
ddca	Dodecanoic Acid
ddcacoa	Lauroyl Coenzyme A
dhap	Dihydroxyacetone Phosphate
dlnlcg	Dihomo-Gamma-Linolenate
dlnlcgcoa	Dihomo-Gamma-Linolenyl Coenzyme A
doco13ac	13-Docosenoate
docosac	Docosanoic Acid
docoscoa	Docosanoyl Coenzyme A
dtmp	Deoxythymidine-5'-Phosphate
dump	Deoxyuridine-5'-Monophosphate
duri	Deoxyuridine
eicostet	Omega-3-Arachidonic Acid
eicostetcoa	(8Z,11Z,14Z,17Z)-Eicosatetraenoyl Coenzyme A
elaid	(9E)-Octadecenoic Acid
fad	Flavin Adenine Dinucleotide Oxidized
fadh2	Flavin Adenine Dinucleotide Reduced
frdp	Farnesyl Diphosphate
g1p	D-Glucose 1-Phosphate
g6p	D-Glucose 6-Phosphate
glc_D	D-Glucose
gln_L	L-Glutamine
glu_L	L-Glutamate
glyc3p	Glycerol 3-Phosphate
h	Proton
h2o	Water
hexc	Cerotic Acid
hexccoa	Hexacosanoyl Coenzyme A
hmgcoa	Hydroxymethylglutaryl Coenzyme A
hpdca	Margaric Acid
hpdcacoa	Heptadecanoyl Coenzyme A
idp	Inosine-5'-Diphosphate
inost	Myo-Inositol
itp	Iinosine-5'-Triphosphate
lanost	Lanosterol
lgnc	Lignocerate
lneldc	Linoelaidic Acid (All Trans C18:2)
lneldccoa	(6Z,9Z)-Octadecadienoyl Coenzyme A
lys_L	L-Lysine
malcoa	Malonyl Coenzyme A
mi1345p	1D-Myo-Inositol 1,3,4,5-Tetrakisphosphate
mi134p	1D-Myo-Inositol 1,3,4-Trisphosphate
mi145p	1D-Myo-Inositol 1,4,5-Trisphosphate
mi14p	(1R,2R,3R,4R,5R,6S)-2,3,5,6-Tetrahydroxy-4-(Phosphonatooxy)Cyclohexyl Phosphate
mi1p_D	1D-Myo-Inositol 1-Phosphate
mi34p	1D-Myo-Inositol 3,4-Bisphosphate
mi3p_D	1D-Myo-Inositol 3-Phosphate
mi4p_D	1D-Myo-Inositol 4-Phosphate
minohp	Myo-Inositol Hexakisphosphate
msa	3-Oxopropanoate
nad	Nicotinamide Adenine Dinucleotide
nadh	Nicotinamide Adenine Dinucleotide - Reduced
nadp	Nicotinamide Adenine Dinucleotide Phosphate
nadph	Nicotinamide Adenine Dinucleotide Phosphate - Reduced
nh4	Ammonium
nrvnc	Nervonic Acid
nrvnccoa	Cis-15-Tetracosenoyl Coenzyme A
o2	Oxygen
ocdca	Octadecanoate (N-C18:0)
pail345p_hs	1-Phosphatidyl-1D-Myo-Inositol 3,4,5-Trisphosphate
pail34p_hs	1-Phosphatidyl-1D-Myo-Inositol 3,4-Bisphosphate
pail35p_hs	1-Phosphatidyl-1D-Myo-Inositol 3,5-Bisphosphate
pail3p_hs	1-Phosphatidyl-1D-Myo-Inositol 3-Phosphate
pail45p_hs	Phosphatidylinositol 4,5-Bisphosphate
pail4p_hs	1-Phosphatidyl-1D-Myo-Inositol 4-Phosphate
pail5p_hs	1-Phosphatidyl-1D-Myo-Inositol 5-Phosphate
pail_hs	1-Phosphatidyl-1D-Myo-Inositol
pdx5p	Pyridoxine 5-Phosphate
pep	Phosphoenolpyruvate
pi	Orthophosphate
ppa	Propionate
ppcoa	Propanoyl Coenzyme A
ppi	Diphosphate
ppmi12346p	5-Diphosphoinositol Pentakisphosphate
ptdca	Pentadecanoic Acid
ptdcacoa	Pentadecanoyl Coenzyme A
pyam5p	Pyridoxamine 5-Phosphate
pydam	Pyridoxamine
pydx	Pyridoxal
pydx5p	Pyridoxal 5-Phosphate
pydxn	Pyridoxine
pyr	Pyruvate
r1p	Alpha-D-Ribose 1-Phosphate
sql	Squalene
stcoa	Stearoyl Coenzyme A (N-C18:0 Coenzyme A)
strdnc	Stearidonic Acid C18:4, N-3
strdnccoa	Stearidonoyl Coenzyme A
succ	Succinate
sucsal	Succinic Semialdehyde
tdcoa	Myristoyl Coenzyme A
tethex3	6Z,9Z,12Z,15Z,18Z,21Z-Tetracosahexaenoic Acid
tethex3coa	Tetracosa-6,9,12,15,18,21-All-Cis-Hexaenoyl Coenzyme A
tetpent3	9Z,12Z,15Z,18Z,21Z-Tetracosapentaenoic Acid
tetpent3coa	(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl Coenzyme A
tetpent6	6Z,9Z,12Z,15Z,18Z-Tetracosapentaenoic Acid
tetpent6coa	Tetracosa-6,9,12,15,18-All-Cis-Pentaenoyl Coenzyme A
tettet6	9Z,12Z,15Z,18Z-Tetracosatetraenoic Acid
tettet6coa	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl Coenzyme A
thymd	Thymidine
ttccoa	Tetracosanoyl Coenzyme A
ttdca	Tetradecanoic Acid
ttdcea	9E-Tetradecenoic Acid (N-C14:1)
ump	Uridine-5'-Monophosphate
ura	Uracil
uri	Uridine
vacc	Vaccenic Acid
vacccoa	11Z-Octadecenoyl Coenzyme A
