	subSystem	n.x	n.y	p.val	p.val.fdr
26	Transport, endoplasmic reticular	10	121	0.00799053457045456	0.0359574055670455
24	Taurine and hypotaurine metabolism	2	3	0.00339000681662752	0.0174343207712272
13	Lysine metabolism	4	17	0.00219956371109382	0.0141243598986735
15	Miscellaneous	10	102	0.00235405998311225	0.0141243598986735
9	Fructose and mannose metabolism	5	17	0.00019404136773789	0.00174637230964101
36	Valine, leucine, and isoleucine metabolism	7	33	9.69833678654564e-05	0.00116380041438548
7	Fatty acid oxidation	47	799	9.01605151670736e-05	0.00116380041438548
14	Methionine and cysteine metabolism	10	31	4.05343114616165e-08	1.45923521261819e-06
