	subSystem	n.x	n.y	p.val	p.val.fdr
30	Pyrimidine catabolism	8	22	0.00145871377872378	0.00745564820236597
12	Glutamate metabolism	6	12	0.000823544398528245	0.00473538029153741
28	Propanoate metabolism	6	11	0.000453090007468409	0.00297744862050669
46	Vitamin B6 metabolism	6	10	0.000226664527014724	0.00173776137377955
16	Glycolysis/gluconeogenesis	11	27	5.68719399401821e-05	0.000523221847449675
3	Biotin metabolism	10	10	2.10189059635052e-10	2.4171741858031e-09
20	Inositol phosphate metabolism	25	42	2.08191180594418e-14	3.19226476911442e-13
9	Fatty acid synthesis	92	191	3.88055720223069e-40	8.92528156513058e-39
4	Cholesterol metabolism	93	158	1.35194882588725e-50	6.21896459908134e-49
