del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
MALTTTRt	69.341298030352	44.6598580578155	56.9168684422922	93.7791351872689	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
MALT	69.341298030352	44.6598580578155	56.9168684422922	91.3357981031988	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
SPODMn	63.351630610268	44.6598580578155	93.3333333333333	62.3533194020254	76.3128130554209	90.1244545013738	60.9909619109103	63.0174644243208	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	NA	NA	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]	[n]	[n]
DHBPTt	59.7998062641266	44.6598580578155	98.9023405972559	91.3357981031988	61.6900953304249	90.1244545013738	67.8986442866365	79.8673997412678	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
THBPTt	59.2347432999677	44.6598580578155	98.7409200968523	91.3357981031988	65.1316852480207	90.1244545013738	73.3537766300839	79.8673997412678	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HEX4	58.5566677429771	33.6679937683919	38.4503631961259	91.4804693779135	99.2567458393925	79.6185550347503	67.0916720464816	79.996765847348	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
SPODMm	54.6496609622215	44.6598580578155	75.6255044390638	63.6553608744575	56.8751009856197	90.1244545013738	65.4131697869593	60.0420439844761	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	ROS detoxification	NA	NA	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
MMAte	54.2460445592509	10.8880041544054	67.5383373688458	36.4250120559396	18.7752464049119	90.1244545013738	11.8624919302776	35.3007761966365	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
r1519	53.9392960929932	78.4663320062316	93.1557707828894	48.5131007876547	81.2085958959444	49.4423791821561	70.9328599096191	67.0278137128072	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
ACACT1x	52.4216984178237	75.9044486757833	64.6650524616626	54.07490757113	83.0990466957505	56.4570874414094	57.7953518398967	57.470892626132	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[x]	[x]	[x]	[x]	[x]	[x]	[x]	[x]
RE3238C	52.0826606393284	76.7353297559287	33.9305891848265	80.597974602154	81.5155921796736	57.4915144658154	63.3795997417689	NA	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	NA
XOL7AH3t	51.3561511139813	73.4983555478622	71.5738498789346	17.7141938595081	83.7453546614962	19.8803943753031	21.8205293737895	9.16882276843467	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
AMETt	51.291572489506	76.2679591483469	90.637610976594	50.8117665970101	85.9428017450315	60.0290932600614	39.8967075532602	51.277490297542	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_2951	50.8233774620601	61.2255495932145	23.1154156577885	50.6027969779778	88.3018258200032	46.9856149991919	44.1736604260813	55.5304010349288	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[r]	[r]	[r]	[r]	[r]	[r]	[r]	[r]
HMR_3633	50.8233774620601	61.2255495932145	23.1154156577885	50.6027969779778	88.3018258200032	46.9856149991919	44.1736604260813	55.5304010349288	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[r]	[r]	[r]	[r]	[r]	[r]	[r]	[r]
HMR_3692	50.8233774620601	61.2255495932145	23.1154156577885	50.6027969779778	88.3018258200032	46.9856149991919	44.1736604260813	55.5304010349288	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	Cholesterol metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[r]	[r]	[r]	[r]	[r]	[r]	[r]	[r]
