subSystem_BRC	n.x	n.y	p.val	p.val.fdr
Fatty acid synthesis	19	189	0.00480068538683265	0.0328046834766897
Fructose and mannose metabolism	5	19	0.0024779781328485	0.0203194206893577
ROS detoxification	3	5	0.00133764890662899	0.0145791085263145
Starch and sucrose metabolism	5	16	0.00106077482038906	0.0145791085263145
Cholesterol metabolism	18	157	0.00142235205134775	0.0145791085263145
Transport, extracellular	103	1373	3.4086803664409e-05	0.00139755895024077
