	subSystem	n.x	n.y	p.val	p.val.fdr
32	Pyrimidine catabolism	8	22	0.00261169500016666	0.0139290400008889
13	Glutamate metabolism	6	12	0.00133368201604064	0.00800209209624385
48	Vitamin B6 metabolism	6	10	0.000374052076048218	0.00256492852147349
17	Glycolysis/gluconeogenesis	12	27	2.24333780619681e-05	0.000179467024495745
30	Propanoate metabolism	8	11	4.46234891091245e-06	4.28385495447595e-05
3	Biotin metabolism	10	10	5.17638018541958e-10	6.21165622250349e-09
21	Inositol phosphate metabolism	26	42	1.42396505402242e-14	2.27834408643588e-13
10	Fatty acid synthesis	92	191	8.55373177566291e-37	2.0528956261591e-35
4	Cholesterol metabolism	89	158	8.215055578875e-43	3.94322667786e-41
