	reactionIdentifier	lineWidth	color
205	r_r1602	3	#00FF00
206	r_r1088	3	#00FF00
207	r_r2086	3	#00FF00
208	r_ARGt4	3	#00FF00
209	r_NACSMCTte	3	#00FF00
210	r_r2344	3	#00FF00
211	r_ABUTt4_2_r	3	#00FF00
214	r_r0974	3	#00FF00
215	r_r2125	3	#00FF00
216	r_r2353	3	#00FF00
218	r_r2117	3	#00FF00
219	r_r1593	3	#00FF00
220	r_LEUt4	3	#00FF00
221	r_GLYSNAT5tc	3	#00FF00
222	r_r2079	3	#00FF00
224	r_VALt4	3	#00FF00
225	r_KHte	3	#00FF00
226	r_56DURAtd	3	#00FF00
227	r_r2106	3	#00FF00
228	r_r1554	3	#00FF00
229	r_PYRSMCT1	3	#00FF00
230	r_56DURAt	3	#00FF00
231	r_LYStiDF	3	#00FF00
232	r_TCHOLAte	3	#00FF00
233	r_r2129	3	#00FF00
234	r_r2082	3	#00FF00
235	r_r2090	3	#00FF00
236	r_BALAPAT1tc2	3	#00FF00
237	r_r2118	3	#00FF00
239	r_C05953t	3	#00FF00
240	r_NH4t3r	3	#00FF00
241	r_r2368	3	#00FF00
242	r_MMAt2e	3	#00FF00
244	r_PROSTGE2t2	3	#00FF00
245	r_3AIBSYMPt	3	#00FF00
246	r_3AIBt1	3	#00FF00
247	r_ALADGLYexR	3	#00FF00
248	r_r1648	3	#00FF00
249	r_PYRt2r	3	#00FF00
250	r_HMR_7898	3	#00FF00
251	r_pac	3	#00FF00
252	r_XYLUDte	3	#00FF00
254	r_ABT_Dt2	3	#00FF00
255	r_BUTSMCT1	3	#00FF00
256	r_HISGLUt	3	#00FF00
257	r_GLNTYRLEUt	3	#00FF00
258	r_HMR_0770	3	#00FF00
259	r_15KPROSTGF2t	3	#00FF00
261	r_ASPMETASPt	3	#00FF00
262	r_2OXOADPt	3	#00FF00
264	r_HC00342te	3	#00FF00
265	r_3HPPt	3	#00FF00
267	r_ASPt6	3	#00FF00
270	r_FATP9t	3	#00FF00
271	r_r1636	3	#00FF00
272	r_r2311	3	#00FF00
273	r_r2338	3	#00FF00
274	r_r1657	3	#00FF00
275	r_LNLCCRNtd	3	#00FF00
276	r_r1623	3	#00FF00
277	r_RTOTAL2t	3	#00FF00
278	r_ELAIDCRNtd	3	#00FF00
279	r_ELAIDCRNte	3	#00FF00
280	r_r1581	3	#00FF00
283	r_r2308	3	#00FF00
284	r_CLCFTRte	3	#00FF00
286	r_r1665	3	#00FF00
287	r_r1560	3	#00FF00
288	r_PIt6b	3	#00FF00
290	r_MANt1r	3	#00FF00
291	r_MANt4	3	#00FF00
292	r_r1559	3	#00FF00
293	r_HDCAtr	3	#00FF00
294	r_r1573	3	#00FF00
295	r_MEV_Rt	3	#00FF00
296	r_r1661	3	#00FF00
297	r_r1594	3	#00FF00
298	r_r2335	3	#00FF00
299	r_r2369	3	#00FF00
300	r_GLNtN1	3	#00FF00
301	r_NKCCt	3	#00FF00
303	r_GALt1r	3	#00FF00
305	r_CITt4_2	3	#00FF00
309	r_FOLOAT2tc	3	#00FF00
311	r_r1647	3	#00FF00
312	r_METLEUex	3	#00FF00
314	r_r1605	3	#00FF00
315	r_r2100	3	#00FF00
316	r_ACACt2	3	#00FF00
317	r_r2314	3	#00FF00
319	r_r2325	3	#00FF00
320	r_r2360	3	#00FF00
323	r_FOLOATPtc	3	#00FF00
324	r_LYSt4	3	#00FF00
325	r_BILIRUBt2	3	#00FF00
328	r_ORN_Dte	3	#00FF00
329	r_HMR_9180	3	#00FF00
330	r_r2315	3	#00FF00
331	r_r2346	3	#00FF00
332	r_CHOLATEt	3	#00FF00
333	r_r2139	3	#00FF00
336	r_NAt5	3	#00FF00
337	r_SELMETHte	3	#00FF00
338	r_SELMETHt2e	3	#00FF00
339	r_SRTNtu	3	#00FF00
340	r_H2OGLYAQPt	3	#00FF00
341	r_PROt2r	3	#00FF00
343	r_r1563	3	#00FF00
344	r_r2006	3	#00FF00
347	r_NAt	3	#00FF00
348	r_r2310	3	#00FF00
350	r_4HPROLTASCT1	3	#00FF00
351	r_ASNtN1	3	#00FF00
355	r_GLUt6	3	#00FF00
356	r_GLCt1r	3	#00FF00
359	r_r1649	3	#00FF00
360	r_LEULEUt	3	#00FF00
361	r_r1652	3	#00FF00
363	r_SRTNENT4tc	3	#00FF00
364	r_r0881	3	#00FF00
367	r_C05769te3	3	#00FF00
368	r_C05769te2	3	#00FF00
369	r_NH4tb	3	#00FF00
371	r_TDCHOLAte	3	#00FF00
372	r_r2142	3	#00FF00
373	r_r2332	3	#00FF00
374	r_r2366	3	#00FF00
376	r_r2347	3	#00FF00
377	r_r2038	3	#00FF00
378	r_CSPG_At	3	#00FF00
379	r_r2094	3	#00FF00
380	r_r2330	3	#00FF00
381	r_r2365	3	#00FF00
382	r_DHAPtr	3	#00FF00
383	r_HMR_9191_e	3	#00FF00
385	r_ILEtec	3	#00FF00
386	r_XYLULte	3	#00FF00
387	r_ARGLYSASPt	3	#00FF00
389	r_SRTNt6_2_r	3	#00FF00
390	r_C05770te4	3	#00FF00
391	r_C05770te3	3	#00FF00
393	r_LEUKTRA4t	3	#00FF00
394	r_r2316	3	#00FF00
396	r_BUTt2r	3	#00FF00
403	r_3MHISt1	3	#00FF00
404	r_BTNt2	3	#00FF00
405	r_3HCO3_NAt	3	#00FF00
407	r_r2313	3	#00FF00
408	r_METt4	3	#00FF00
409	r_r2054	3	#00FF00
410	r_r2329	3	#00FF00
411	r_r2007	3	#00FF00
412	r_SPRMTDe	3	#00FF00
413	r_SPRMt2r	3	#00FF00
415	r_BHBt	3	#00FF00
416	r_ASPDt6	3	#00FF00
417	r_ASPDTDe	3	#00FF00
420	r_NAt3_1	3	#00FF00
421	r_2HBt2	3	#00FF00
422	r_HCO3_NAt	3	#00FF00
424	r_LPCHOLt	3	#00FF00
425	r_ASNt4	3	#00FF00
426	r_GLNt4	3	#00FF00
427	r_PHEt4	3	#00FF00
428	r_ACt2r	3	#00FF00
430	r_THRt4	3	#00FF00
431	r_BALABETAtc2	3	#00FF00
