reactionIdentifier	lineWidth	color
r_FAOXC14DCC12DCx	3	#0000FF
r_FAOXC16DCC14DCx	3	#0000FF
r_FAOXC16DCr	3	#0000FF
r_HEXDIACtr	3	#0000FF
r_HEXDICOAACBP	3	#0000FF
r_HEXDICOAACBPx	3	#0000FF
r_FCOAH	3	#0000FF
r_PHYHx	3	#0000FF
r_HMR_3068	3	#0000FF
r_FAOXC2251836m	3	#0000FF
r_C100CPT1	3	#0000FF
r_C10CRNe	3	#0000FF
r_C141CPT1	3	#0000FF
r_sink_tetdece1coa[c]	3	#0000FF
r_TETDECE1CRNe	3	#0000FF
r_HMR_0280	3	#0000FF
r_FAOXC204	3	#0000FF
r_HMR_3426	3	#0000FF
r_EICOSTETCPT1	3	#0000FF
r_HMR_0414	3	#0000FF
r_HMR_0342	3	#0000FF
r_RE3626M	3	#0000FF
r_RE2998M	3	#0000FF
r_HMR_3149	3	#0000FF
r_HMR_0406	3	#0000FF
r_HMR_2702	3	#0000FF
r_RE2624M	3	#0000FF
r_RE3247M	3	#0000FF
r_HMR_0197	3	#0000FF
r_FAOXC102C101m	3	#0000FF
r_C161CPT12	3	#0000FF
r_HMR_3099	3	#0000FF
r_HMR_3100	3	#0000FF
r_HMR_3101	3	#0000FF
r_RE3132R	3	#0000FF
r_HMR_2681	3	#0000FF
r_HMR_3240	3	#0000FF
r_HMR_3241	3	#0000FF
r_HMR_3242	3	#0000FF
r_HMR_3243	3	#0000FF
r_HMR_3174	3	#0000FF
r_HMR_3175	3	#0000FF
r_HMR_3176	3	#0000FF
r_HMR_3177	3	#0000FF
r_RE1521M	3	#0000FF
r_RE1526M	3	#0000FF
r_RE1533M	3	#0000FF
r_RE1573M	3	#0000FF
r_r1445	3	#0000FF
r_LNLCCPT1	3	#0000FF
r_FAOXC102C103x	3	#0000FF
r_FAOXC102C81x	3	#0000FF
r_FAOXC102x	3	#0000FF
r_FAOXC103C102x	3	#0000FF
r_FAOXC123C102x	3	#0000FF
r_FAOXC123x	3	#0000FF
r_FAOXC143C123x	3	#0000FF
r_FAOXC164C143x	3	#0000FF
r_FAOXC164x	3	#0000FF
r_FAOXC81C61x	3	#0000FF
r_FAOXC2051843x	3	#0000FF
r_FAOXC164C165x	3	#0000FF
r_FAOXC165C164x	3	#0000FF
r_FAOXC184C164x	3	#0000FF
r_FAOXC61x	3	#0000FF
r_HMR_2699	3	#0000FF
r_HMR_3170	3	#0000FF
r_HMR_3171	3	#0000FF
r_HMR_3172	3	#0000FF
r_HMR_3173	3	#0000FF
r_RE2985X	3	#0000FF
r_RE2986X	3	#0000FF
r_RE2987X	3	#0000FF
r_RE2988X	3	#0000FF
r_RE2990X	3	#0000FF
r_RE2996X	3	#0000FF
r_RE3002X	3	#0000FF
r_RE2994X	3	#0000FF
r_r0661	3	#0000FF
r_ACACT5p	3	#0000FF
r_r0723	3	#0000FF
r_FAOXC80	3	#0000FF
r_HMR_3344	3	#0000FF
r_HMR_3349	3	#0000FF
r_C181CPT2	3	#0000FF
r_C160CPT1	3	#0000FF
r_C161CRNt	3	#0000FF
r_HMR_2711	3	#0000FF
r_C226CRNt	3	#0000FF
r_C181CPT1	3	#0000FF
r_CSNATr	3	#0000FF
r_RE1520M	3	#0000FF
r_RE1527M	3	#0000FF
r_RE1534M	3	#0000FF
r_DCSPTN1CPT2	3	#0000FF
r_HMR_3339	3	#0000FF
r_r1451	3	#0000FF
r_HMR_3352	3	#0000FF
r_EICOSTETCPT2	3	#0000FF
r_HMR_3338	3	#0000FF
r_HMR_2684	3	#0000FF
r_HMR_3204	3	#0000FF
r_FAOXC161802m	3	#0000FF
r_FAOXC226	3	#0000FF
r_FACOAL170	3	#0000FF
r_OCD11COACPT1	3	#0000FF
r_OCD11CRNCACT	3	#0000FF
r_OCD11CRNCPT2	3	#0000FF
r_HMR_0386	3	#0000FF
r_HMR_0206	3	#0000FF
r_r1257	3	#0000FF
r_r1260	3	#0000FF
r_HMR_2675	3	#0000FF
r_r1255	3	#0000FF
r_r0735	3	#0000FF
r_r1254	3	#0000FF
r_FAOXC101C102x	3	#0000FF
r_RE0512X	3	#0000FF
r_RE1516X	3	#0000FF
r_RE1517X	3	#0000FF
r_RE1523X	3	#0000FF
r_RE1531X	3	#0000FF
r_HMR_3098	3	#0000FF
r_LNELDCCPT1	3	#0000FF
r_r1447	3	#0000FF
r_PTDCACRNCPT1	3	#0000FF
r_DCSPTN1CPT1	3	#0000FF
r_RE3074X	3	#0000FF
r_RE3081X	3	#0000FF
r_RE3082X	3	#0000FF
r_RE3086X	3	#0000FF
r_FAOXC11BRC9BRx	3	#0000FF
r_FAOXC13BRC11BRx	3	#0000FF
r_HMR_3505	3	#0000FF
r_FACOAL80i	3	#0000FF
r_FAOXC12DCC10DCx	3	#0000FF
r_HMR_3427	3	#0000FF
r_FAOXC5C5OHm	3	#0000FF
r_FAOXC5OHc	3	#0000FF
r_HIVCACBP	3	#0000FF
r_HIVCRNe	3	#0000FF
r_HMR_0214	3	#0000FF
r_r0310	3	#0000FF
r_C14OHc	3	#0000FF
r_FAOXC14C14OHm	3	#0000FF
r_HTDCACBP	3	#0000FF
r_HTDCRNe	3	#0000FF
r_3HBCOARc	3	#0000FF
r_BCRNe	3	#0000FF
r_C4OHc	3	#0000FF
r_HMR_2771	3	#0000FF
r_HMR_3424	3	#0000FF
r_HMR_3196	3	#0000FF
r_C161OHc	3	#0000FF
r_FAOXC161C161OHm	3	#0000FF
r_HDECEACBP	3	#0000FF
r_HEDCECRNe	3	#0000FF
r_r1448	3	#0000FF
r_PTDCACRNCPT2	3	#0000FF
r_r1450	3	#0000FF
r_HMR_3522	3	#0000FF
r_C182OHc	3	#0000FF
r_FAOXC182C182OHm	3	#0000FF
r_HOCTDEC2CRNe	3	#0000FF
r_OCTDEC2ACBP	3	#0000FF
r_HMR_3407	3	#0000FF
r_FAOXC182806m	3	#0000FF
r_HMR_0201	3	#0000FF
r_HMR_0290	3	#0000FF
r_DOCOSACTDr	3	#0000FF
r_HMR_3116	3	#0000FF
r_HMR_3117	3	#0000FF
r_HMR_3118	3	#0000FF
r_FAOXC16C14m	3	#0000FF
r_r1253	3	#0000FF
r_FAOXC101C102m	3	#0000FF
r_HMR_2733	3	#0000FF
r_HMR_3431	3	#0000FF
r_DCIm	3	#0000FF
r_HMR_3234	3	#0000FF
r_HMR_3235	3	#0000FF
r_HMR_3236	3	#0000FF
r_HMR_3237	3	#0000FF
