SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	17.8381	19.9171	24.2937	19.195	NA	NA	NA	NA
A1BG-AS1	503538	5.87523	6.53721	7.90349	6.00404	NA	NA	NA	NA
A2M	2	1.41933	1.30748	0.157137	0.568877	NA	NA	NA	NA
A4GALT	53947	1.83111	1.48797	1.95477	1.73533	NA	NA	NA	NA
AAAS	8086	30.5294	36.1808	41.177	32.6601	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	12.1162	14.1355	16.5535	12.5205	NA	NA	NA	NA
AADAC	13	0	0.130057	0.1032	0.0697313	NA	NA	NA	NA
AADAT	51166	8.56884	7.11747	6.3141	6.48677	NA	NA	NA	NA
AAGAB	79719	31.9599	30.1071	33.1058	30.5314	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.09849	11.2403	11.8299	11.0774	NA	NA	NA	NA
AAMDC	28971	43.6805	41.424	46.1307	44.6861	NA	NA	NA	NA
AAMP	14	63.7774	65.9687	74.0499	67.9269	cerebral-cortex	glial-cells	Medium	Approved
AANAT	15	0.11466	0.323293	0.0624045	0.120652	NA	NA	NA	NA
AAR2	25980	22.0239	22.8675	24.2394	21.9985	NA	NA	NA	NA
AARS2	57505	2.8004	3.40746	3.00917	2.6697	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	50.5263	54.7941	64.3616	51.3136	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	3.70009	3.90607	3.06909	4.6596	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	25.1993	21.7966	21.9	27.9712	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	3.28059	3.46421	2.36248	3.89383	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	26.1027	28.2455	36.8727	33.0541	NA	NA	NA	NA
AATK	9625	0.0555001	0.1593	0.184675	0.120955	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	2.21491	2.42172	3.3326	3.71833	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	2.23077	2.46231	6.5345	6.66361	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.338908	0.19828	0.804703	0.541778	NA	NA	NA	NA
ABCA13	154664	0.0295851	0.275076	0.0182504	0.0312314	NA	NA	NA	NA
ABCA2	20	16.9617	15.605	22.5449	23.3752	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	0.859722	0.821698	1.30956	1.61099	NA	NA	NA	NA
ABCA4	24	1.37132	1.65165	1.6715	1.34463	NA	NA	NA	NA
ABCA5	23461	1.35929	1.6651	1.10422	2.02922	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.145492	0.0360718	0.166979	0.161637	NA	NA	NA	NA
ABCA7	10347	2.01881	2.04752	3.08626	1.13388	NA	NA	NA	NA
ABCA8	10351	0.21016	0.345278	1.05453	1.36718	NA	NA	NA	NA
ABCA9	10350	0.121942	0.0331333	0.0879853	0.320333	NA	NA	NA	NA
ABCB1	5243	0.783509	1.13093	1.51468	1.57013	NA	NA	NA	NA
ABCB10	23456	9.84889	8.08976	4.87175	6.26029	NA	NA	NA	NA
ABCB4	5244	0.30548	1.13155	0.173096	0.459606	NA	NA	NA	NA
ABCB6	10058	12.1674	10.7942	13.6121	12.7128	NA	NA	NA	NA
ABCB7	22	6.13917	5.13216	5.6111	5.19115	NA	NA	NA	NA
ABCB8	11194	12.0638	18.8967	14.1176	14.2357	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	2.83073	3.05219	3.20474	3.04667	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	11.6992	10.9499	21.5141	18.2063	NA	NA	NA	NA
ABCC10	89845	16.5921	22.5172	22.9162	20.4713	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.132316	0.118579	0.251523	0.104852	NA	NA	NA	NA
ABCC3	8714	2.08089	2.2485	0.835728	1.29484	NA	NA	NA	NA
ABCC4	10257	4.27639	2.95573	2.9891	3.18978	NA	NA	NA	NA
ABCC5	10057	9.17549	10.2219	11.6896	11.2295	NA	NA	NA	NA
ABCC6	368	0.165431	0.121746	0.0998259	0.113553	NA	NA	NA	NA
ABCC9	10060	1.03473	0.804131	0.301302	0.224914	NA	NA	NA	NA
ABCD3	5825	19.2009	15.9763	13.0147	15.7423	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	15.725	20.3003	21.6925	22.7657	NA	NA	NA	NA
ABCE1	6059	73.6367	69.3743	54.4591	55.8538	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	33.2704	32.0234	34.1541	29.5007	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.590476	0.464877	0.490936	0.361893	NA	NA	NA	NA
ABCF3	55324	32.4513	41.9757	51.5269	43.9898	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.034112	0.0876466	0.151306	0.221486	NA	NA	NA	NA
ABCG2	9429	0.0150853	0.0413114	0.0456128	0.041095	NA	NA	NA	NA
ABCG4	64137	0.34761	0.397805	0.407317	0.409696	NA	NA	NA	NA
ABHD1	84696	0.4781	0.0721342	0.290575	0.0625063	NA	NA	NA	NA
ABHD10	55347	19.4983	21.4926	21.4039	20.0002	cerebral-cortex	glial-cells	Low	Supported
ABHD12	26090	41.9737	38.9422	30.3396	24.0071	NA	NA	NA	NA
ABHD12B	145447	0.13233	0.111829	0.62926	0.136394	NA	NA	NA	NA
ABHD13	84945	2.98597	2.94291	2.60526	3.7034	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	6.42225	6.93833	8.14304	8.37198	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.0706446	0.222878	0.512688	0.233419	NA	NA	NA	NA
ABHD14B	84836	8.595	9.41864	9.33977	8.87548	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.54972	2.97228	3.59926	3.40308	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	0.914256	1.34319	1.34547	1.06334	NA	NA	NA	NA
ABHD17A	81926	4.29536	5.43296	5.7593	5.2913	NA	NA	NA	NA
ABHD17B	51104	6.40253	5.62162	4.03115	4.17611	NA	NA	NA	NA
ABHD17C	58489	3.71841	3.66279	5.14976	2.75108	NA	NA	NA	NA
ABHD2	11057	22.4538	24.9353	19.7766	18.3126	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	1.62637	2.0866	2.4392	2.45814	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	35.8362	45.0714	59.353	58.0278	NA	NA	NA	NA
ABHD5	51099	16.3045	12.6553	15.9022	16.9501	NA	NA	NA	NA
ABHD6	57406	3.00454	4.12055	3.86703	3.15247	NA	NA	NA	NA
ABHD8	79575	3.57013	3.32715	4.56549	3.0803	NA	NA	NA	NA
ABI1	10006	45.128	47.1823	46.5123	43.51	NA	NA	NA	NA
ABI2	10152	37.0014	33.9378	37.0384	38.9946	NA	NA	NA	NA
ABI3	51225	0.121664	0.295044	0.220564	0.088584	cerebral-cortex	glial-cells	Medium	Enhanced
ABI3BP	25890	419.273	238.804	3.36673	2.49873	NA	NA	NA	NA
ABL1	25	35.8669	35.9312	45.3429	39.5969	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	7.40938	8.93975	9.95419	9.65087	NA	NA	NA	NA
ABLIM1	3983	14.7405	16.6353	9.40117	11.7824	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	0.0982227	0.0567837	0.170609	0.0844165	NA	NA	NA	NA
ABLIM3	22885	13.1219	17.1055	13.9078	13.1603	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	55.0183	73.4653	85.7092	77.0831	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	16.7581	14.9148	9.67691	9.91381	NA	NA	NA	NA
ABTB1	80325	4.81534	5.90893	9.11945	9.59352	NA	NA	NA	NA
ABTB2	25841	1.16042	1.61935	0.542405	0.526151	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	36.2966	42.112	43.2065	38.3879	NA	NA	NA	NA
ACAA2	10449	22.156	18.5656	24.0066	19.6612	NA	NA	NA	NA
ACACA	31	18.3046	19.3086	20.3668	17.1051	NA	NA	NA	NA
ACACB	32	0.416742	1.70099	1.35275	0.445963	NA	NA	NA	NA
ACAD10	80724	6.65545	5.61463	10.2582	7.80688	NA	NA	NA	NA
ACAD11	84129	9.20782	9.41584	8.17439	12.7626	NA	NA	NA	NA
ACAD8	27034	11.7222	9.97712	14.6016	11.7283	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	17.2401	15.6037	16.1672	15.3429	cerebral-cortex	glial-cells	Medium	Supported
ACADM	34	26.4292	21.7301	17.5425	25.7502	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	2.29045	2.82195	2.06427	2.26843	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	5.16087	5.72243	4.25495	5.24719	NA	NA	NA	NA
ACADVL	37	353.904	423.725	363.014	343.386	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	78.1572	102.393	0.198535	0.280194	NA	NA	NA	NA
ACAP1	9744	5.41075	7.84202	5.41624	6.65589	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	29.0129	31.6193	25.2871	31.2672	cerebral-cortex	glial-cells	Medium	Supported
ACAP3	116983	37.5336	43.9173	55.914	44.6771	NA	NA	NA	NA
ACAT1	38	78.3242	67.1356	74.0488	73.7081	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	12.4015	14.1592	24.2479	22.0621	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	68.7923	69.0747	58.5901	68.3183	NA	NA	NA	NA
ACBD4	79777	1.04873	1.99211	1.50642	1.9317	NA	NA	NA	NA
ACBD5	91452	8.74789	8.34359	8.08711	9.03318	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	24.321	21.3115	33.7781	28.9332	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	0.112451	0.0901226	0.0331662	0.122736	NA	NA	NA	NA
ACCS	84680	5.4637	7.34212	8.08005	5.53695	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	6.17229	6.75947	10.8102	7.897	NA	NA	NA	NA
ACER2	340485	0.241461	0.297566	0.675278	0.738216	NA	NA	NA	NA
ACER3	55331	3.22617	3.19974	4.26778	5.19264	NA	NA	NA	NA
ACHE	43	6.17619	6.38389	26.9091	9.72236	NA	NA	NA	NA
ACIN1	22985	96.5727	107.478	102.242	102.88	cerebral-cortex	glial-cells	High	Supported
ACKR3	57007	2.73643	2.69845	4.72524	5.65079	NA	NA	NA	NA
ACO1	48	27.4815	25.7975	27.8274	24.8141	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	28.5651	31.3567	37.193	31.9154	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	1.46507	1.40795	1.35496	1.50251	NA	NA	NA	NA
ACOT11	26027	0.176292	0.302281	0.133712	0.137783	NA	NA	NA	NA
ACOT13	55856	29.3271	24.5115	28.9715	26.7015	NA	NA	NA	NA
ACOT2	10965	7.71466	9.07118	6.04545	6.45759	NA	NA	NA	NA
ACOT4	122970	0.256055	0.171399	0.309662	0.108497	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	48.2896	54.6865	64.5761	55.072	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	15.1819	15.1377	19.7389	19.3168	NA	NA	NA	NA
ACOT9	23597	50.3789	48.215	50.8665	46.1756	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	16.348	17.9971	19.2217	15.6833	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	4.76484	4.05973	1.42652	1.70787	NA	NA	NA	NA
ACOX3	8310	19.6315	21.0419	19.0845	19.3507	NA	NA	NA	NA
ACP1	52	92.6388	78.0532	82.7917	86.78	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	41.448	49	50.0703	42.3162	NA	NA	NA	NA
ACP5	54	0.941769	0.983121	1.08903	0.639748	NA	NA	NA	NA
ACRV1	56	0.217373	0.309154	0.127993	0	NA	NA	NA	NA
ACSF2	80221	11.9766	15.3307	24.753	16.8443	NA	NA	NA	NA
ACSF3	197322	19.1068	17.5756	18.281	19.6438	NA	NA	NA	NA
ACSL1	2180	20.4593	18.0418	12.3626	12.8926	NA	NA	NA	NA
ACSL3	2181	118.896	108.783	65.0177	68.4322	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	66.1551	60.1118	50.7316	60.1217	NA	NA	NA	NA
ACSL5	51703	0.107522	0.0875236	0.144103	0.0901863	NA	NA	NA	NA
ACSM3	6296	0.277004	0.118187	0.0282507	0.102775	NA	NA	NA	NA
ACSS1	84532	0.383983	0.51362	0.970826	0.775939	NA	NA	NA	NA
ACSS2	55902	27.5296	39.7482	27.779	35.2354	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	0.718682	0.835164	0.180985	0.123727	NA	NA	NA	NA
ACTA1	58	2.3834	2.47994	0.489942	0.18176	NA	NA	NA	NA
ACTA2	59	2347.46	2328.11	577.504	667.388	NA	NA	NA	NA
ACTA2-AS1	100132116	12.7865	11.515	2.2353	3.27051	NA	NA	NA	NA
ACTB	60	7025.78	7395.39	7155.51	5544.69	NA	NA	NA	NA
ACTBL2	345651	0.353182	0.624026	1.53586	1.50714	NA	NA	NA	NA
ACTBP11	644220	4.15464	5.06072	4.30074	3.80236	NA	NA	NA	NA
ACTBP2	62	43.7157	45.3295	43.3893	36.0402	NA	NA	NA	NA
ACTBP7	67	0.266474	0.182435	0.241691	0.145166	NA	NA	NA	NA
ACTBP9	69	1.0271	0.637552	1.07646	0.410321	NA	NA	NA	NA
ACTC1	70	10.4168	8.73918	3.21674	6.06369	NA	NA	NA	NA
ACTG1P1	73	0.0993891	0.0915456	0.120192	0.0721918	NA	NA	NA	NA
ACTG1P11	414754	4.25896	5.17554	0.0804746	0.0725043	NA	NA	NA	NA
ACTG1P2	74	4.4586	4.9933	0.241424	0.108756	NA	NA	NA	NA
ACTG1P3	75	0.269407	0.295096	0.162906	0.330201	NA	NA	NA	NA
ACTG2	72	1475.49	1618.83	1178.26	1072.16	NA	NA	NA	NA
ACTL10	170487	0.706697	0.755657	0.956388	0.733333	NA	NA	NA	NA
ACTL6A	86	125.842	109.167	101.712	63.4499	cerebral-cortex	glial-cells	High	Supported
ACTN1	87	881.035	983.409	1025.71	897.819	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	1.22104	1.03058	0.883692	1.46745	NA	NA	NA	NA
ACTN4	81	897.494	1023.05	1060.02	958.714	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	2.70536	2.8287	2.91476	2.89405	NA	NA	NA	NA
ACTR10	55860	91.3215	80.1659	99.2844	96.3977	NA	NA	NA	NA
ACTR1A	10121	111.839	122.996	129.801	106.375	NA	NA	NA	NA
ACTR1B	10120	20.396	21.6625	26.9565	23.2332	NA	NA	NA	NA
ACTR2	10097	219.428	186.926	158.657	189.754	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	398.605	364.67	359.599	370.126	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	3.7225	2.81526	2.02753	1.57293	NA	NA	NA	NA
ACTR3C	653857	0.257862	0.635592	0.155906	0.351162	NA	NA	NA	NA
ACTR3P2	100129013	2.53285	2.6469	2.4645	3.23546	NA	NA	NA	NA
ACTR5	79913	2.55294	2.46544	3.12395	2.58412	NA	NA	NA	NA
ACTR6	64431	9.18547	9.61944	9.25635	11.4051	NA	NA	NA	NA
ACTR8	93973	35.5629	32.5947	32.2391	27.9572	NA	NA	NA	NA
ACTRT3	84517	2.43474	2.27451	1.99899	2.05904	NA	NA	NA	NA
ACVR1	90	19.3149	21.7947	27.4002	26.5114	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	4.4132	5.43827	6.88152	7.49723	NA	NA	NA	NA
ACVR1C	130399	0.28733	0.25487	0.139106	0.129216	cerebral-cortex	glial-cells	Medium	Approved
ACVR2A	92	2.69283	3.43854	2.07537	2.32836	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	0.212763	0.240352	0.456697	0.366336	NA	NA	NA	NA
ACVRL1	94	1.42224	1.69196	1.11629	1.05372	NA	NA	NA	NA
ACY1	95	7.48995	10.292	8.70988	9.9782	NA	NA	NA	NA
ACYP1	97	6.04623	6.68589	6.2925	8.74224	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	11.9585	11.809	11.0724	13.0888	NA	NA	NA	NA
ADA	100	14.1243	13.2707	9.23433	8.34098	NA	NA	NA	NA
ADAL	161823	3.49343	2.4487	3.64576	3.60801	NA	NA	NA	NA
ADAM10	102	92.3138	81.0206	61.6308	88.2808	NA	NA	NA	NA
ADAM11	4185	0.0633082	0.0759799	0.0839484	0.227184	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	81.9177	82.9343	28.695	28.0101	NA	NA	NA	NA
ADAM15	8751	31.7455	38.0945	57.1362	42.1073	NA	NA	NA	NA
ADAM17	6868	7.79569	7.4947	8.37737	9.09233	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	95.1039	111.369	108.586	93.2962	NA	NA	NA	NA
ADAM1A	8759	0.799927	0.84165	0.611704	0.681857	NA	NA	NA	NA
ADAM21	8747	0.212747	0.152706	0.162639	0.177219	NA	NA	NA	NA
ADAM23	8745	27.6094	23.4944	41.6837	38.8478	cerebral-cortex	glial-cells	Low	Approved
ADAM32	203102	1.5828	1.86608	1.64481	1.09422	NA	NA	NA	NA
ADAM33	80332	11.4296	13.7678	1.30979	1.20877	NA	NA	NA	NA
ADAM8	101	0.713063	0.737458	0.922494	1.71058	NA	NA	NA	NA
ADAM9	8754	232.72	202.706	164.911	229.149	NA	NA	NA	NA
ADAMTS1	9510	22.6751	21.0668	24.4478	23.0637	NA	NA	NA	NA
ADAMTS12	81792	31.102	33.9824	49.6355	44.7019	NA	NA	NA	NA
ADAMTS14	140766	5.60443	7.494	2.64894	3.30901	NA	NA	NA	NA
ADAMTS15	170689	0.57341	0.732752	5.07866	4.77167	NA	NA	NA	NA
ADAMTS16	170690	0.631508	2.81199	2.78242	2.95096	NA	NA	NA	NA
ADAMTS19	171019	0.399036	0.245336	0.0295454	0.222831	NA	NA	NA	NA
ADAMTS2	9509	76.6875	82.6476	7.70751	9.58241	NA	NA	NA	NA
ADAMTS3	9508	0.554839	0.456148	0.670834	0.705505	NA	NA	NA	NA
ADAMTS4	9507	0.740104	0.768948	0.0211286	0.0754469	NA	NA	NA	NA
ADAMTS5	11096	0.912967	0.794673	0.503786	0.707312	NA	NA	NA	NA
ADAMTS6	11174	11.7042	14.1323	13.0679	20.3756	NA	NA	NA	NA
ADAMTS7	11173	5.69889	8.54739	7.03042	7.03072	NA	NA	NA	NA
ADAMTS7P4	642935	14.2568	14.2099	0.296757	0.124561	NA	NA	NA	NA
ADAMTS9	56999	0.688162	0.750223	0.123237	0.398785	NA	NA	NA	NA
ADAMTSL1	92949	27.0586	21.7699	11.9115	8.83329	NA	NA	NA	NA
ADAMTSL4	54507	1.59103	2.13603	0.652328	0.555711	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	0.212857	0.583013	0.257365	0.115938	NA	NA	NA	NA
ADAMTSL5	339366	9.27502	10.359	11.2991	9.05342	NA	NA	NA	NA
ADAP1	11033	1.06176	1.54797	0.951826	1.56157	NA	NA	NA	NA
ADAP2	55803	0.346877	1.6287	1.58529	0.423089	NA	NA	NA	NA
ADAR	103	50.1338	47.2151	47.3997	48.9438	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	22.5691	21.9429	24.6334	25.2975	NA	NA	NA	NA
ADAT1	23536	21.7135	22.2681	28.4129	26.6452	NA	NA	NA	NA
ADAT2	134637	3.02142	2.2614	2.572	3.01423	NA	NA	NA	NA
ADAT3	113179	0.755892	1.30858	1.20825	0.932963	NA	NA	NA	NA
ADCK1	57143	1.73304	2.37769	2.55714	2.16909	NA	NA	NA	NA
ADCK2	90956	7.86132	6.64686	8.73811	8.60199	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	0.123721	0.194903	0.215712	0.239741	NA	NA	NA	NA
ADCY10P1	221442	1.12315	0.946611	0.917676	1.13217	NA	NA	NA	NA
ADCY2	108	0.143929	0.167464	0.406202	0.399898	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	23.0445	24.8749	18.2711	12.9109	cerebral-cortex	glial-cells	Low	Approved
ADCY4	196883	0.72111	1.87237	0.267947	0.318343	NA	NA	NA	NA
ADCY5	111	1.03304	1.47531	0.732399	0.837346	NA	NA	NA	NA
ADCY6	112	32.3929	38.3441	32.352	32.3303	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	7.27238	7.17305	14.3505	12.3079	NA	NA	NA	NA
ADCY9	115	3.73315	3.10546	5.61303	4.85981	cerebral-cortex	glial-cells	Medium	Approved
ADD1	118	113.661	127.312	156.614	127.49	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	135.871	102.766	112.909	111.731	cerebral-cortex	glial-cells	Medium	Supported
ADH5	128	115.766	101.034	118.391	107.333	NA	NA	NA	NA
ADH5P4	642443	14.8105	13.3144	15.8517	13.5027	NA	NA	NA	NA
ADH6	130	0.418323	0.425533	0.282267	0.464672	NA	NA	NA	NA
ADHFE1	137872	1.64533	3.04312	3.21429	5.05286	NA	NA	NA	NA
ADI1	55256	50.8654	53.6721	59.2448	51.8216	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	65.4675	66.7985	76.7501	67.4241	NA	NA	NA	NA
ADIPOR1P2	390503	0.894109	0.108827	2.34262	0.054118	NA	NA	NA	NA
ADIPOR2	79602	24.9886	20.6469	21.6564	19.7082	NA	NA	NA	NA
ADIRF	10974	0.111354	0.0547844	3.90831	0	NA	NA	NA	NA
ADIRF-AS1	100133190	3.21698	3.77801	4.15503	3.74707	NA	NA	NA	NA
ADK	132	40.9293	37.2978	25.7349	25.8803	NA	NA	NA	NA
ADM	133	33.9737	30.0569	26.8998	27.4723	NA	NA	NA	NA
ADM2	79924	5.37277	5.72683	10.6785	9.46436	NA	NA	NA	NA
ADM5	199800	0.231272	0.162346	0.305286	0.135405	NA	NA	NA	NA
ADNP	23394	16.8177	16.3017	17.4408	15.8248	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	4.56378	4.71673	4.69531	5.46627	NA	NA	NA	NA
ADO	84890	8.24412	7.77652	8.04417	8.58999	NA	NA	NA	NA
ADORA1	134	0.55469	0.766187	0.329647	0.392708	NA	NA	NA	NA
ADORA2A	135	0.305141	0.43891	0.890675	1.01305	NA	NA	NA	NA
ADORA2A-AS1	646023	0	0.057247	0.107961	0.0445501	NA	NA	NA	NA
ADORA2B	136	4.84854	4.42014	6.40455	5.54215	NA	NA	NA	NA
ADPGK	83440	47.9448	42.8138	38.3671	35.0501	NA	NA	NA	NA
ADPGK-AS1	100287559	0.0555557	0.106432	0.134711	0.121583	NA	NA	NA	NA
ADPRH	141	0.713269	0.748757	0.690305	0.730591	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	0.607006	0.728212	0.655565	0.601366	NA	NA	NA	NA
ADPRHL2	54936	14.5014	16.573	17.6891	13.8594	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	5.82484	6.39804	6.833	7.14055	NA	NA	NA	NA
ADRA1B	147	0.420026	0.525809	0.72565	0.740951	NA	NA	NA	NA
ADRA1D	146	0.223477	0.258384	0.210206	0.257025	NA	NA	NA	NA
ADRA2C	152	0.526718	0.699338	0.3715	0.3826	NA	NA	NA	NA
ADRB2	154	0.868776	0.402609	0.464713	0.345872	NA	NA	NA	NA
ADRM1	11047	88.043	100.79	114.486	97.1349	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	37.2395	35.237	41.0796	34.4405	cerebral-cortex	glial-cells	Medium	Enhanced
ADTRP	84830	1.41555	1.948	0.995158	1.04118	NA	NA	NA	NA
AEBP1	165	36.6273	48.4569	63.7937	74.5469	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	12.3743	11.5734	8.27542	9.90395	NA	NA	NA	NA
AEN	64782	28.1121	28.2304	32.9313	28.231	NA	NA	NA	NA
AFAP1	60312	57.0476	60.9704	76.7735	73.0877	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1-AS1	84740	0.1819	0.345035	0.327211	0.331392	NA	NA	NA	NA
AFAP1L1	134265	11.2114	10.9239	8.50657	8.6737	NA	NA	NA	NA
AFAP1L2	84632	0.937562	1.22758	1.71614	2.60903	NA	NA	NA	NA
AFF1	4299	7.08039	9.79181	9.19107	10.3884	NA	NA	NA	NA
AFF3	3899	19.927	16.6968	10.8266	13.555	cerebral-cortex	glial-cells	Low	Approved
AFF4	27125	53.9133	43.215	41.8263	46.4754	cerebral-cortex	glial-cells	High	Approved
AFG3L1P	172	6.8851	6.75527	6.8721	7.57615	NA	NA	NA	NA
AFG3L2	10939	26.0227	23.6421	26.2022	23.2192	cerebral-cortex	glial-cells	Medium	Enhanced
AFG3L2P1	347028	1.00245	1.03346	0.570497	0.66391	NA	NA	NA	NA
AFMID	125061	19.5826	22.3634	20.268	19.0668	NA	NA	NA	NA
AFP	174	8.12646	6.27384	2.12607	2.68543	NA	NA	NA	NA
AFTPH	54812	11.0695	8.87163	7.32404	8.09335	NA	NA	NA	NA
AGA	175	30.9871	28.104	28.4446	26.0441	cerebral-cortex	glial-cells	Low	Enhanced
AGAP1	116987	7.32652	8.59639	6.9501	5.48405	NA	NA	NA	NA
AGAP2	116986	0.684308	0.327292	0.0911765	0.967453	cerebral-cortex	glial-cells	Medium	Enhanced
AGAP2-AS1	100130776	8.8276	10.069	13.4221	11.1912	NA	NA	NA	NA
AGAP3	116988	50.3971	64.1368	86.9239	77.2529	cerebral-cortex	glial-cells	Medium	Approved
AGAP5	729092	0.165491	0.151063	0.116411	0.240645	NA	NA	NA	NA
AGBL2	79841	0.2148	0.387297	0.725746	0.322671	NA	NA	NA	NA
AGBL3	340351	0.467568	0.138154	0.253544	0.279065	NA	NA	NA	NA
AGBL5	60509	11.8722	12.264	10.3208	9.59736	NA	NA	NA	NA
AGBL5-IT1	106481744	1.10605	0.728062	0	1.2045	NA	NA	NA	NA
AGFG1	3267	40.6374	42.3601	40.6109	37.1038	NA	NA	NA	NA
AGFG2	3268	4.43213	4.6886	4.94064	4.49212	NA	NA	NA	NA
AGGF1	55109	6.47899	7.19582	4.91016	6.63621	NA	NA	NA	NA
AGK	55750	14.4615	13.9187	14.7283	10.7583	cerebral-cortex	glial-cells	Low	Supported
AGL	178	3.75781	3.55942	3.43727	4.44205	cerebral-cortex	glial-cells	High	Approved
AGMAT	79814	0.320912	0.242352	0.370288	0.160261	NA	NA	NA	NA
AGO1	26523	3.40101	3.67173	4.64291	3.92714	NA	NA	NA	NA
AGO2	27161	15.5154	19.4893	19.6881	14.0472	cerebral-cortex	glial-cells	High	Approved
AGO3	192669	6.44484	6.39296	8.32943	5.0262	NA	NA	NA	NA
AGO4	192670	8.97883	8.08114	9.3426	8.12159	NA	NA	NA	NA
AGPAT2	10555	18.3649	19.2292	28.8834	22.5941	NA	NA	NA	NA
AGPAT3	56894	14.9205	16.5157	18.0379	16.01	NA	NA	NA	NA
AGPAT4	56895	8.28171	8.77133	9.75672	8.82564	cerebral-cortex	glial-cells	Medium	Approved
AGPAT5	55326	8.81607	8.91505	5.84035	5.97316	NA	NA	NA	NA
