SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
MAPK13	5603	0.446598	0.483712	0.982795	0.317338	cerebral-cortex	glial-cells	Low	Enhanced
MAPK14	1432	24.5149	21.8424	20.349	20.2152	NA	NA	NA	NA
MAPK1IP1L	93487	75.2665	81.452	80.1191	76.325	NA	NA	NA	NA
MAPK3	5595	47.4261	55.3627	61.3386	53.358	cerebral-cortex	glial-cells	Medium	Approved
MAPK6	5597	26.4383	23.234	23.8301	25.0715	NA	NA	NA	NA
MAPK7	5598	14.4606	17.1772	15.564	13.9959	NA	NA	NA	NA
MAPK8	5599	32.4346	34.5917	39.2005	38.4292	NA	NA	NA	NA
MAPK8IP1	9479	4.89828	3.50439	5.44414	2.7397	NA	NA	NA	NA
MAPK8IP2	23542	0.813489	0.875262	0.481433	0.608025	NA	NA	NA	NA
MAPK8IP3	23162	51.9951	67.5114	70.4159	70.3982	cerebral-cortex	glial-cells	High	Approved
MAPK9	5601	23.7641	20.9738	24.9065	24.2434	NA	NA	NA	NA
MAPKAP1	79109	114.386	110.162	108.892	93.3754	cerebral-cortex	glial-cells	Low	Supported
MAPKAPK3	7867	10.9819	10.5564	11.3626	9.29328	NA	NA	NA	NA
MAPKAPK5	8550	25.331	26.7019	24.703	22.1768	cerebral-cortex	glial-cells	Medium	Supported
MAPKAPK5-AS1	51275	20.6579	21.4373	18.3849	20.7674	NA	NA	NA	NA
MAPKBP1	23005	7.91071	13.7789	13.516	12.3818	cerebral-cortex	glial-cells	Medium	Approved
MAPRE1	22919	71.9015	64.7296	64.9283	58.7743	cerebral-cortex	glial-cells	Low	Supported
MAPRE1P1	80327	0.257951	0.339087	0.436699	0.224828	NA	NA	NA	NA
MAPRE2	10982	18.7088	15.4934	28.4436	27.3723	cerebral-cortex	glial-cells	High	Enhanced
MAPRE3	22924	15.1163	15.3522	12.054	12.0404	NA	NA	NA	NA
MARC1	64757	0.27603	0.487765	0.300318	0.226862	NA	NA	NA	NA
MARC2	54996	5.13063	3.55575	5.94162	4.77964	cerebral-cortex	glial-cells	Low	Enhanced
MARCKS	4082	40.9081	38.6893	43.8678	49.6238	NA	NA	NA	NA
MARCKSL1	65108	59.637	59.1428	67.8279	59.7462	cerebral-cortex	glial-cells	Medium	Enhanced
MARCKSL1P1	100913183	0.0904557	0.396396	0.109374	0	NA	NA	NA	NA
MARK2	2011	9.09941	9.44076	11.2559	10.14	cerebral-cortex	glial-cells	Medium	Approved
MARK2P9	100507674	0.0805818	0.1324	0.0730881	0.0877991	NA	NA	NA	NA
MARK3	4140	68.9549	64.5623	64.4443	62.2348	cerebral-cortex	glial-cells	Low	Approved
MARK4	57787	26.6789	31.3943	42.8646	34.6918	NA	NA	NA	NA
MARS2	92935	2.02324	1.97785	2.35476	2.08598	NA	NA	NA	NA
MARVELD1	83742	64.205	60.4618	64.3385	57.0911	NA	NA	NA	NA
MASP1	5648	0.518539	0.695577	2.73729	1.97989	NA	NA	NA	NA
MASP2	10747	0.836019	0.670062	0.764232	0.702803	NA	NA	NA	NA
MAST1	22983	0.308305	0.589539	0.0846342	0.084813	NA	NA	NA	NA
MAST2	23139	16.1074	19.4984	21.5193	18.0757	cerebral-cortex	glial-cells	Low	Approved
MAST3	23031	0.761706	2.01209	1.6762	0.806342	NA	NA	NA	NA
MAST4	375449	2.34525	3.24183	5.52157	4.15679	cerebral-cortex	glial-cells	Medium	Approved
MAST4-AS1	101928794	0.320293	0.0584777	0.451865	0.0581588	NA	NA	NA	NA
MASTL	84930	2.72333	2.59677	2.22035	2.57991	NA	NA	NA	NA
MAT2A	4144	88.529	85.8535	80.6598	79.2886	cerebral-cortex	glial-cells	Low	Approved
MAT2B	27430	26.6924	20.9531	22.5512	22.1359	NA	NA	NA	NA
MATN1	4146	0.140429	0.315088	0.0501443	0.082688	NA	NA	NA	NA
MATN1-AS1	100129196	0.802611	0.443155	2.37791	1.24767	NA	NA	NA	NA
MATN2	4147	3.42556	3.49486	6.13264	6.679	NA	NA	NA	NA
MATN3	4148	2.57304	2.81181	1.77531	2.96687	NA	NA	NA	NA
MATR3	9782	245.561	239.086	172.877	191.619	cerebral-cortex	glial-cells	Medium	Supported
MAU2	23383	13.776	17.9173	18.339	18.779	NA	NA	NA	NA
MAVS	57506	12.7311	15.5379	16.7327	14.5715	cerebral-cortex	glial-cells	High	Enhanced
MAX	4149	51.8157	41.8533	47.4599	37.5262	NA	NA	NA	NA
MAZ	4150	110.338	117.845	134.098	110.406	cerebral-cortex	glial-cells	Low	Approved
MB21D2	151963	5.93058	5.6561	6.96097	7.25511	NA	NA	NA	NA
MBD1	4152	32.4076	44.4659	43.4507	43.3914	cerebral-cortex	glial-cells	Low	Approved
MBD2	8932	102.43	94.7248	108.571	115.641	NA	NA	NA	NA
MBD3	53615	30.7791	37.6037	39.159	31.6861	cerebral-cortex	glial-cells	Low	Supported
MBD4	8930	21.5361	22.5614	18.0502	21.5729	cerebral-cortex	glial-cells	Low	Supported
MBD5	55777	13.2263	12.7094	11.0325	11.446	NA	NA	NA	NA
MBD6	114785	9.16157	8.82711	9.51625	9.74443	NA	NA	NA	NA
MBIP	51562	14.4276	14.0347	10.1036	14.461	NA	NA	NA	NA
MBL1P	8512	0.439076	0.711223	0.824895	0.581999	NA	NA	NA	NA
MBLAC1	255374	0.805277	0.674534	1.13269	1.08384	NA	NA	NA	NA
MBLAC2	153364	1.47554	1.55372	1.24364	1.72586	NA	NA	NA	NA
MBNL1	4154	127.995	137.032	75.6244	120.178	cerebral-cortex	glial-cells	Low	Enhanced
MBNL1-AS1	401093	2.33559	3.97529	1.87964	1.61189	NA	NA	NA	NA
MBNL2	10150	13.094	13.4088	7.92281	13.7406	NA	NA	NA	NA
MBNL3	55796	0.0323232	0.443124	0.0642176	0.167928	NA	NA	NA	NA
MBOAT1	154141	0.572146	0.687612	0.394518	0.210872	NA	NA	NA	NA
MBOAT2	129642	36.1958	32.3507	29.2646	32.4226	NA	NA	NA	NA
MBP	4155	2.97097	2.64291	11.265	12.2184	NA	NA	NA	NA
MBTD1	54799	2.65297	2.98897	2.71665	2.90542	NA	NA	NA	NA
MBTPS1	8720	50.8841	54.3111	58.3548	54.0548	NA	NA	NA	NA
MBTPS2	51360	9.47751	8.80061	8.48209	9.73675	cerebral-cortex	glial-cells	Medium	Approved
MC1R	4157	1.46088	2.25921	1.8118	1.93401	NA	NA	NA	NA
MCAM	4162	97.216	118.498	56.3687	63.3382	NA	NA	NA	NA
MCAT	27349	6.6283	7.19865	6.73059	6.60644	cerebral-cortex	glial-cells	Medium	Approved
MCC	4163	3.47507	4.37724	8.64792	9.86089	cerebral-cortex	glial-cells	Low	Approved
MCCC1	56922	14.7737	10.57	17.4019	15.6102	cerebral-cortex	glial-cells	High	Approved
MCCC1-AS1	106480736	0.164827	0.0604783	0.197778	0	NA	NA	NA	NA
MCCC2	64087	9.01517	8.57843	11.0725	10.4563	NA	NA	NA	NA
MCEE	84693	16.5459	17.2286	15.6632	15.4075	NA	NA	NA	NA
MCF2L2	23101	0.572981	0.265376	0.2712	0.243067	NA	NA	NA	NA
MCFD2	90411	103.441	111.168	103.365	95.2594	cerebral-cortex	glial-cells	Medium	Supported
MCHR1	2847	0.352649	1.17199	0.244094	0.0944608	NA	NA	NA	NA
MCL1	4170	118.098	112.61	110.727	104.437	cerebral-cortex	glial-cells	Medium	Approved
MCM10	55388	1.44648	1.33046	0.333221	0.248605	NA	NA	NA	NA
MCM2	4171	3.01888	3.68468	6.53768	3.35827	NA	NA	NA	NA
MCM3	4172	9.98974	8.74491	8.38978	6.76148	NA	NA	NA	NA
MCM3AP	8888	37.4455	48.8607	43.4559	47.2497	cerebral-cortex	glial-cells	Low	Approved
MCM3AP-AS1	114044	2.77546	2.44689	1.28661	2.08362	NA	NA	NA	NA
MCM4	4173	38.5094	44.0114	27.4832	30.9434	cerebral-cortex	glial-cells	Medium	Enhanced
MCM5	4174	4.32071	5.67168	6.47308	5.68372	cerebral-cortex	glial-cells	Low	Enhanced
MCM6	4175	10.1108	7.77293	7.75097	8.05095	NA	NA	NA	NA
MCM7	4176	16.7552	18.8329	18.925	14.9989	NA	NA	NA	NA
MCM8	84515	1.84167	1.92033	1.51063	1.87252	NA	NA	NA	NA
MCM9	254394	2.62945	2.80524	3.82487	2.5864	cerebral-cortex	glial-cells	Medium	Approved
MCMBP	79892	21.8048	19.6765	20.4957	18.2967	NA	NA	NA	NA
MCOLN1	57192	9.69846	12.3862	13.9377	13.6277	NA	NA	NA	NA
MCOLN2	255231	0.227351	0.334634	0.107678	0.0152103	NA	NA	NA	NA
MCPH1	79648	7.99325	6.57581	7.12048	7.69439	cerebral-cortex	glial-cells	Medium	Supported
MCRS1	10445	33.1749	37.6113	32.0511	31.8855	cerebral-cortex	glial-cells	High	Supported
MCTP1	79772	0.517296	0.448816	1.14664	0.838896	NA	NA	NA	NA
MCTP2	55784	1.22877	1.9006	1.07436	0.945286	NA	NA	NA	NA
MCTS1	28985	50.8911	44.5169	36.7489	36.0088	NA	NA	NA	NA
MCU	90550	61.622	59.5274	63.0308	60.332	cerebral-cortex	glial-cells	Medium	Approved
MCUR1	63933	21.5994	20.6217	15.5255	15.1874	NA	NA	NA	NA
MDFI	4188	3.94783	9.66617	17.7323	17.7907	NA	NA	NA	NA
MDFIC	29969	10.4818	11.1617	10.072	11.9223	cerebral-cortex	glial-cells	Low	Approved
MDGA1	266727	13.0487	10.9707	8.84207	8.74231	NA	NA	NA	NA
MDH1	4190	201.692	180.159	183.753	165.081	NA	NA	NA	NA
MDH1B	130752	0.354621	0.257884	0.320431	0.656544	NA	NA	NA	NA
MDK	4192	44.5442	42.2076	54.7933	42.6993	NA	NA	NA	NA
MDM1	56890	6.86809	7.44276	5.22491	8.1518	NA	NA	NA	NA
MDM2	4193	135.409	104.115	130.661	181.976	cerebral-cortex	glial-cells	High	Supported
MDM4	4194	5.92938	4.92641	3.95225	3.034	cerebral-cortex	glial-cells	Medium	Approved
MDN1	23195	6.73848	7.24777	6.40024	6.47677	NA	NA	NA	NA
MDP1	145553	3.82033	4.24768	3.16772	3.80746	NA	NA	NA	NA
ME1	4199	29.6064	22.0948	20.173	22.9577	NA	NA	NA	NA
ME2	4200	28.1789	22.8117	21.6544	22.1503	cerebral-cortex	glial-cells	Medium	Enhanced
ME3	10873	2.32248	2.40673	5.47843	3.68025	NA	NA	NA	NA
MEA1	4201	65.1046	66.285	65.1177	58.8442	NA	NA	NA	NA
MEAF6	64769	37.1447	33.8571	36.1525	34.2215	NA	NA	NA	NA
MECOM	2122	1.95898	1.66433	2.19048	3.2966	cerebral-cortex	glial-cells	Medium	Supported
MECR	51102	14.1174	18.8017	20.4278	17.9114	cerebral-cortex	glial-cells	Low	Enhanced
MED1	5469	17.9374	17.3793	15.8231	17.7148	NA	NA	NA	NA
MED10	84246	37.1117	33.9227	33.6072	32.8439	NA	NA	NA	NA
MED11	400569	13.6286	12.5678	13.7439	12.0775	NA	NA	NA	NA
MED12	9968	16.1349	11.5912	13.2632	12.1915	cerebral-cortex	glial-cells	Medium	Enhanced
MED12L	116931	0.646705	0.2166	0.630881	0.629528	NA	NA	NA	NA
MED13	9969	22.527	12.9497	13.4804	15.9623	NA	NA	NA	NA
MED13L	23389	17.7919	20.5353	15.8916	20.2103	NA	NA	NA	NA
MED14	9282	26.3652	24.9028	22.2138	22.1783	NA	NA	NA	NA
MED15	51586	36.6335	44.574	49.9244	36.5392	cerebral-cortex	glial-cells	Medium	Approved
MED16	10025	10.9564	27.4298	21.379	20.057	NA	NA	NA	NA
MED17	9440	51.3946	44.2004	44.5629	43.6973	NA	NA	NA	NA
MED18	54797	8.88795	15.2572	11.5435	9.6268	NA	NA	NA	NA
MED19	219541	20.6357	20.3087	18.968	18.3062	NA	NA	NA	NA
MED20	9477	9.91373	10.6873	14.7756	12.7254	NA	NA	NA	NA
MED21	9412	21.0432	18.8918	16.572	21.8331	NA	NA	NA	NA
MED22	6837	0.230962	0.220596	0.37889	0.461857	NA	NA	NA	NA
MED23	9439	18.6982	17.1227	13.0016	14.6073	NA	NA	NA	NA
MED24	9862	49.7296	49.3809	59.5411	57.9406	NA	NA	NA	NA
MED25	81857	15.8945	17.7649	18.1109	14.7451	cerebral-cortex	glial-cells	Medium	Approved
MED26	9441	2.82282	3.14582	4.00403	3.31897	NA	NA	NA	NA
MED27	9442	12.3076	12.8547	12.9964	10.8146	cerebral-cortex	glial-cells	Medium	Approved
MED28	80306	16.4527	15.2126	15.889	15.8309	NA	NA	NA	NA
MED29	55588	14.3531	16.7853	20.4939	18.1037	NA	NA	NA	NA
MED30	90390	6.5126	5.47319	5.4504	4.6871	NA	NA	NA	NA
MED31	51003	22.7057	23.259	21.2878	19.9457	NA	NA	NA	NA
MED4	29079	46.2692	38.8401	34.8316	38.5661	cerebral-cortex	glial-cells	Low	Approved
MED6	10001	18.4134	16.6037	17.2583	16.6053	cerebral-cortex	glial-cells	Medium	Approved
MED7	9443	7.50957	7.13931	5.40199	6.66721	NA	NA	NA	NA
MED8	112950	44.9777	41.2716	41.5603	37.4141	cerebral-cortex	glial-cells	Medium	Approved
MED9	55090	3.67973	3.45528	3.59339	3.40401	NA	NA	NA	NA
MEDAG	84935	22.2472	19.4035	7.10449	8.47985	NA	NA	NA	NA
MEF2A	4205	24.2217	23.5895	28.2104	36.4873	cerebral-cortex	glial-cells	Medium	Approved
MEF2AP1	4206	0.304211	0.145	0.0477378	0.0936124	NA	NA	NA	NA
MEF2B	100271849	0.973181	1.06464	1.56855	1.21081	NA	NA	NA	NA
MEF2C	4208	6.01525	6.69625	4.12053	4.28597	cerebral-cortex	glial-cells	Low	Enhanced
MEF2C-AS1	101929423	0.109073	0.0930742	0	0.0654303	NA	NA	NA	NA
MEF2D	4209	24.1546	26.5687	28.1779	24.228	cerebral-cortex	glial-cells	High	Enhanced
MEG3	55384	0.141677	0.110831	0	0	NA	NA	NA	NA
MEG9	100507257	0.166653	0.1232	0.409131	0.370716	NA	NA	NA	NA
MEGF10	84466	0.155507	0.102677	0.555449	0.126939	NA	NA	NA	NA
MEGF6	1953	80.6036	88.4675	8.89746	8.51415	NA	NA	NA	NA
MEGF8	1954	12.336	22.0994	26.4491	25.6768	NA	NA	NA	NA
MEGF9	1955	2.50572	2.34698	3.51235	3.6861	cerebral-cortex	glial-cells	Medium	Approved
MEI1	150365	0.354449	0.74166	1.16246	3.7447	NA	NA	NA	NA
MEIG1	644890	0.146399	0.397273	0.486121	0	NA	NA	NA	NA
MEIS1	4211	11.7988	10.6438	14.4342	17.5046	NA	NA	NA	NA
MEIS2	4212	24.2873	22.5165	33.9148	33.7958	NA	NA	NA	NA
MEIS3	56917	28.6191	30.8425	42.9642	38.5145	NA	NA	NA	NA
MEIS3P1	4213	2.15261	2.44699	1.62081	1.81429	NA	NA	NA	NA
MEIS3P2	257468	0.527655	0.462398	0.510121	0.804696	NA	NA	NA	NA
MELK	9833	5.00694	4.6209	2.64077	2.15175	NA	NA	NA	NA
MEMO1P1	728556	7.20551	6.42239	7.73925	5.75374	NA	NA	NA	NA
MEN1	4221	10.8543	9.82857	9.64429	8.94429	NA	NA	NA	NA
MEOX1	4222	1.23732	2.2441	2.37767	1.27587	NA	NA	NA	NA
MEPCE	56257	14.653	16.3372	14.752	14.5166	cerebral-cortex	glial-cells	Medium	Supported
MERTK	10461	0.0633274	0.102099	0.260643	0.117411	NA	NA	NA	NA
MESTP1	338470	1.66715	2.12352	5.06362	3.75951	NA	NA	NA	NA
MESTP3	645641	1.1224	1.6686	3.15087	2.62043	NA	NA	NA	NA
MESTP4	131572	0	0.067152	0.185339	0.100189	NA	NA	NA	NA
MET	4233	5.93405	7.75726	11.9802	13.172	NA	NA	NA	NA
METAP1	23173	32.3593	24.7173	36.7682	35.3497	cerebral-cortex	glial-cells	Low	Approved
METAP1D	254042	7.78416	5.84958	3.72809	6.99804	NA	NA	NA	NA
METAP2	10988	188.475	158.545	98.8655	145.69	cerebral-cortex	glial-cells	Medium	Enhanced
METRN	79006	22.6138	28.6031	31.7068	24.9411	NA	NA	NA	NA
METRNL	284207	58.6624	54.3266	67.6553	48.7304	NA	NA	NA	NA
METTL1	4234	20.6226	23.548	24.2126	19.9532	NA	NA	NA	NA
METTL14	57721	15.0411	11.1986	9.01806	12.5593	cerebral-cortex	glial-cells	Medium	Supported
METTL15	196074	1.80354	1.62252	1.39285	3.03963	NA	NA	NA	NA
METTL15P1	100130758	1.03719	0.935703	0.0881111	0.664691	NA	NA	NA	NA
METTL16	79066	8.01275	6.85068	9.0194	7.39798	NA	NA	NA	NA
METTL17	64745	40.8943	41.6432	40.5561	42.631	NA	NA	NA	NA
METTL18	92342	2.65101	2.04118	1.78503	2.35946	cerebral-cortex	glial-cells	Low	Approved
METTL21A	151194	7.73717	7.58274	10.257	7.31632	NA	NA	NA	NA
METTL22	79091	41.0908	39.0107	47.1217	53.0937	NA	NA	NA	NA
METTL23	124512	23.6343	22.2347	26.1897	25.932	NA	NA	NA	NA
METTL25	84190	3.61275	1.75372	3.72735	4.53065	NA	NA	NA	NA
METTL2A	339175	4.98707	5.01564	4.56472	3.71252	NA	NA	NA	NA
METTL2B	55798	5.72929	5.14161	8.02847	5.26514	NA	NA	NA	NA
METTL3	56339	30.058	35.57	32.8665	32.383	NA	NA	NA	NA
METTL4	64863	8.16677	6.9924	6.40448	7.731	NA	NA	NA	NA
METTL5	29081	55.2664	45.3045	59.5774	39.0065	NA	NA	NA	NA
METTL6	131965	13.65	11.0652	11.7676	13.574	NA	NA	NA	NA
METTL7B	196410	0.259133	0.206438	0.0284889	0.0256673	NA	NA	NA	NA
METTL8	79828	14.3013	8.32854	12.0617	11.8938	NA	NA	NA	NA
METTL9	51108	73.3874	64.0073	66.7806	67.1827	NA	NA	NA	NA
MEX3A	92312	4.35837	4.16581	6.90254	6.5582	NA	NA	NA	NA
MEX3B	84206	5.6749	5.39602	7.10762	7.58333	NA	NA	NA	NA
MEX3C	51320	32.759	31.1039	31.6854	27.0089	NA	NA	NA	NA
MEX3D	399664	12.8188	13.9881	13.081	10.6435	NA	NA	NA	NA
MFAP1	4236	21.1975	18.6463	15.7716	17.6902	NA	NA	NA	NA
MFAP2	4237	269.509	301.67	354.428	307.972	NA	NA	NA	NA
MFAP3	4238	26.0563	27.1673	26.5226	27.6213	cerebral-cortex	glial-cells	Low	Approved
MFAP3L	9848	8.584	9.80928	6.61813	9.5435	NA	NA	NA	NA
MFAP4	4239	85.2467	80.2665	20.7921	17.9568	NA	NA	NA	NA
MFAP5	8076	82.7287	60.4393	14.5775	11.7801	NA	NA	NA	NA
MFF	56947	66.0269	58.0783	56.9717	53.9172	NA	NA	NA	NA
MFGE8	4240	412.126	454.426	341.31	315.711	NA	NA	NA	NA
MFHAS1	9258	3.01325	5.12405	6.08941	5.22431	NA	NA	NA	NA
MFN1	55669	53.6397	49.1941	37.9658	53.8983	NA	NA	NA	NA
MFN2	9927	41.9054	51.3649	49.9997	44.4038	NA	NA	NA	NA
MFNG	4242	0.267434	0.324421	0.496576	0.142427	cerebral-cortex	glial-cells	Low	Approved
MFSD1	64747	75.6937	71.1893	77.5433	70.424	NA	NA	NA	NA
MFSD10	10227	41.2009	53.9603	57.6108	59.0547	NA	NA	NA	NA
MFSD11	79157	16.8192	18.6742	24.5237	21.4272	NA	NA	NA	NA
MFSD12	126321	56.9537	61.4827	63.7607	52.5905	NA	NA	NA	NA
MFSD2A	84879	6.81375	6.99631	5.08568	2.92696	NA	NA	NA	NA
MFSD2B	388931	3.6366	3.84495	3.11448	2.06944	NA	NA	NA	NA
MFSD3	113655	7.02571	9.53362	10.4721	9.32932	NA	NA	NA	NA
MFSD5	84975	31.0456	21.4042	24.5929	23.3594	NA	NA	NA	NA
MFSD6	54842	2.10536	1.72429	0.989025	1.48295	cerebral-cortex	glial-cells	Low	Approved
MFSD8	256471	11.8053	11.6744	9.82283	9.71394	cerebral-cortex	glial-cells	Medium	Approved
MFSD9	84804	6.19627	6.14958	10.0116	6.72239	NA	NA	NA	NA
MGA	23269	5.20766	4.56769	4.56879	5.70537	NA	NA	NA	NA
MGARP	84709	1.72587	1.01117	6.42654	5.05811	NA	NA	NA	NA
MGAT1	4245	74.0478	83.5598	107.047	88.6437	NA	NA	NA	NA
MGAT2	4247	23.3871	23.1761	28.7589	24.8187	NA	NA	NA	NA
MGAT3	4248	0.493247	0.970929	1.92339	1.70202	NA	NA	NA	NA
MGAT4B	11282	176.483	203.402	289.058	237.742	NA	NA	NA	NA
MGAT4C	25834	0.0465085	0.0826222	0	0.101349	NA	NA	NA	NA
MGAT5	4249	13.1365	16.0716	14.5301	11.543	cerebral-cortex	glial-cells	Low	Approved
MGAT5B	146664	0.998613	1.37316	0.308668	0.296279	NA	NA	NA	NA
MGLL	11343	70.2431	73.6905	65.2122	64.5176	cerebral-cortex	glial-cells	High	Enhanced
MGME1	92667	10.8008	9.99176	11.4398	9.20964	NA	NA	NA	NA
MGMT	4255	3.88713	4.38781	0.453383	0.343995	cerebral-cortex	glial-cells	Medium	Supported
MGP	4256	8.81282	14.0242	2.24338	3.1496	NA	NA	NA	NA
MGRN1	23295	26.5274	30.4961	35.6824	35.4385	NA	NA	NA	NA
