Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_DKO_1_2,FSR_DKO_3_4,FSR_DKO_X_Y,FSR_CKO_ALL
'CYTK1n',1,1.00759493670886,1,2.07848101265823,1,1,1,1,1,1,2.07848101265823,1,1,1,1.00759493670886,2.07848101265823,1,Inf
'CYTK8n',Inf,3,3,1,1,1,1,1,1,1,1,1,1,1,Inf,Inf,1,Inf
'DTDPtn',1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,Inf
'SERPT',1,1,1,Inf,1.25,1,1,1,1,5.25,Inf,1,0.999999999999999,0.999999999999999,1,Inf,1.25,Inf
'r0860',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,1.00750469043152,1.71517532224796,1,2.02709839344955
'r2435',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,1.00750469043152,1.71517532224795,1,2.02709839344953
'RE0453N',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,1.00750469043152,1.71517532224796,1,2.02709839344955
'C16OHc',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,1.00546448087431,1.38251366120221,1,19.9441649082927
'EX_3hexdcrn[e]',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,1.00746268656716,2.05970149253731,1,Inf
'FAOXC16C14m',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,1.00746268656716,2.05970149253731,1,Inf
'FAOXC16C16OHm',1,9,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,Inf
'HDECAACBP',1.26984126984127,1,1,6.66666666666666,1,1,1,1,1,Inf,6.66666666666666,1,1,1,1.26984126984127,6.66666666666666,1,Inf
'HEXDCRNe',Inf,9.00000000000001,Inf,1,1,1,1,1,1,1,1,1,1,1,Inf,Inf,1,Inf
'SPHK21n',Inf,1,1,Inf,1.25,1,1,1,Inf,5.25,Inf,1,1,1,Inf,Inf,1.25,Inf
'SPHINGStn',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,1.125,Inf,1,Inf
'DM_sphs1p[n]',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,1.125,Inf,1,Inf
'HMR_0770',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,1.125,Inf,1,Inf
