SYMBOL	ENTREZID	BD_R.Veh.R1	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
C9orf85	138241	7.18508	7.85158	NA	NA	NA	NA
CA10	56934	1.11472	0.289656	NA	NA	NA	NA
CA11	770	7.84414	12.5176	NA	NA	NA	NA
CA12	771	1.71844	3.69403	NA	NA	NA	NA
CA13	377677	0.952552	1.24205	cerebral-cortex	glial-cells	Medium	Enhanced
CA14	23632	0.473611	0.103106	NA	NA	NA	NA
CA2	760	4.2291	5.0463	cerebral-cortex	glial-cells	High	Enhanced
CA3	761	0.371838	0.384647	NA	NA	NA	NA
CA5B	11238	2.05257	1.43243	NA	NA	NA	NA
CA5BP1	340591	7.13274	5.78908	NA	NA	NA	NA
CA8	767	2.15246	0.753444	NA	NA	NA	NA
CAAP1	79886	16.0103	16.3008	NA	NA	NA	NA
CAB39	51719	27.5111	26.2943	cerebral-cortex	glial-cells	Medium	Supported
CAB39L	81617	8.51694	9.23606	NA	NA	NA	NA
CABIN1	23523	16.9123	18.8503	cerebral-cortex	glial-cells	Low	Approved
CABLES1	91768	2.21295	5.17388	NA	NA	NA	NA
CABLES2	81928	8.49055	8.55359	NA	NA	NA	NA
CABP1	9478	0.368934	0.511288	NA	NA	NA	NA
CABP7	164633	0.218328	0.518507	NA	NA	NA	NA
CABYR	26256	1.55453	1.51431	NA	NA	NA	NA
CACHD1	57685	31.6415	31.8845	NA	NA	NA	NA
CACNA1A	773	1.56152	0.488126	cerebral-cortex	glial-cells	High	Enhanced
CACNA1B	774	0.941292	0.472757	NA	NA	NA	NA
CACNA1C	775	0.899393	3.50066	NA	NA	NA	NA
CACNA1C-AS1	100652846	0.353535	0.698768	NA	NA	NA	NA
CACNA1C-AS2	100874235	0.826519	1.10762	NA	NA	NA	NA
CACNA1E	777	0.395906	0.285544	NA	NA	NA	NA
CACNA1G	8913	1.87301	5.27618	NA	NA	NA	NA
CACNA1G-AS1	253962	0.0780907	0.808238	NA	NA	NA	NA
CACNA1H	8912	10.5767	10.7617	cerebral-cortex	glial-cells	Low	Approved
CACNA1I	8911	0.059512	0.107482	NA	NA	NA	NA
CACNA2D1	781	2.0154	4.12792	cerebral-cortex	glial-cells	Low	Enhanced
CACNA2D2	9254	4.05573	3.19774	NA	NA	NA	NA
CACNA2D3	55799	0.485857	0.317907	NA	NA	NA	NA
CACNA2D4	93589	0.0370797	0.145165	NA	NA	NA	NA
CACNB1	782	4.8049	5.97988	cerebral-cortex	glial-cells	Medium	Approved
CACNB2	783	2.4672	2.24104	NA	NA	NA	NA
CACNB3	784	24.0223	26.2381	NA	NA	NA	NA
CACNB4	785	3.33203	1.90817	cerebral-cortex	glial-cells	Medium	Approved
CACNG1	786	0.18136	0.255926	NA	NA	NA	NA
CACNG4	27092	37.5831	28.0489	NA	NA	NA	NA
CACNG5	27091	0.542984	0.147106	NA	NA	NA	NA
CACNG6	59285	0.727746	0.347225	NA	NA	NA	NA
CACNG7	59284	48.9078	42.3281	NA	NA	NA	NA
CACNG8	59283	11.5522	9.22623	NA	NA	NA	NA
CACTIN	58509	12.2523	12.7088	cerebral-cortex	glial-cells	Medium	Approved
CACTIN-AS1	404665	0.198887	0.178552	NA	NA	NA	NA
CACUL1	143384	13.7263	13.3208	NA	NA	NA	NA
CACYBP	27101	75.1084	87.2002	cerebral-cortex	glial-cells	Low	Approved
CACYBPP2	644877	1.81742	1.51649	NA	NA	NA	NA
CAD	790	14.7832	14.897	NA	NA	NA	NA
CADM1	23705	37.7235	21.2518	NA	NA	NA	NA
CADM2	253559	9.28953	4.77758	NA	NA	NA	NA
CADM3	57863	18.1303	11.4272	NA	NA	NA	NA
CADM4	199731	74.3639	74.9354	NA	NA	NA	NA
CADPS	8618	4.35794	3.05842	NA	NA	NA	NA
CADPS2	93664	2.38603	2.344	NA	NA	NA	NA
CAHM	100526820	4.0859	3.71007	NA	NA	NA	NA
CALB1	793	7.773	25.4014	NA	NA	NA	NA
CALB2	794	1.673	0.931539	cerebral-cortex	glial-cells	Medium	Enhanced
CALCOCO1	57658	25.0343	22.9014	cerebral-cortex	glial-cells	Medium	Approved
CALCOCO2	10241	21.7239	21.9779	cerebral-cortex	glial-cells	Low	Enhanced
CALCRL	10203	1.45776	1.70709	NA	NA	NA	NA
CALD1	800	58.6548	82.4357	NA	NA	NA	NA
CALHM2	51063	1.64979	2.04559	cerebral-cortex	glial-cells	Medium	Approved
CALM1	801	314.878	382.871	NA	NA	NA	NA
CALM2	805	550.948	408.346	cerebral-cortex	glial-cells	Medium	Approved
CALM2P2	806	19.0842	15.9824	NA	NA	NA	NA
CALM2P3	807	0	0	NA	NA	NA	NA
CALM3	808	242.331	204.806	NA	NA	NA	NA
CALML4	91860	11.6513	10.6402	NA	NA	NA	NA
CALML6	163688	0.110674	0.162441	NA	NA	NA	NA
CALN1	83698	0.408436	0.105806	cerebral-cortex	glial-cells	Medium	Approved
CALR	811	298.226	526.331	NA	NA	NA	NA
CALU	813	108.861	145.048	cerebral-cortex	glial-cells	High	Supported
CALY	50632	0.714504	0.398283	cerebral-cortex	glial-cells	Medium	Enhanced
CAMK1	8536	7.68756	9.62952	cerebral-cortex	glial-cells	Low	Approved
CAMK1D	57118	8.15031	6.38769	cerebral-cortex	glial-cells	Medium	Approved
CAMK1G	57172	1.7609	1.31507	NA	NA	NA	NA
CAMK2A	815	1.43274	1.11502	NA	NA	NA	NA
CAMK2B	816	0.324612	0.297572	NA	NA	NA	NA
CAMK2D	817	25.9318	27.2602	cerebral-cortex	glial-cells	Low	Approved
CAMK2G	818	14.478	15.3132	cerebral-cortex	glial-cells	Low	Approved
CAMK2N1	55450	99.8799	110.4	NA	NA	NA	NA
CAMK2N2	94032	2.05594	2.71877	NA	NA	NA	NA
CAMK4	814	4.05359	2.60899	cerebral-cortex	glial-cells	Low	Approved
CAMKK1	84254	2.01664	1.85372	NA	NA	NA	NA
CAMKK2	10645	13.6032	12.6078	cerebral-cortex	glial-cells	Medium	Approved
CAMKMT	79823	3.34738	4.62013	NA	NA	NA	NA
CAMKV	79012	40.6415	19.0258	cerebral-cortex	glial-cells	Low	Enhanced
CAMLG	819	23.3567	28.6206	cerebral-cortex	glial-cells	Low	Approved
CAMSAP1	157922	29.6649	22.925	NA	NA	NA	NA
CAMSAP2	23271	21.8567	17.2046	cerebral-cortex	glial-cells	High	Enhanced
CAMSAP3	57662	5.01657	4.64703	NA	NA	NA	NA
CAMTA1	23261	112.246	109.551	NA	NA	NA	NA
CAMTA2	23125	6.25965	8.20658	NA	NA	NA	NA
CAND1	55832	103.955	75.5716	NA	NA	NA	NA
CAND2	23066	2.94681	2.62634	NA	NA	NA	NA
CANT1	124583	26.3925	28.8133	NA	NA	NA	NA
CANX	821	239.101	284.923	cerebral-cortex	glial-cells	High	Enhanced
CAP1	10487	98.8426	104.115	cerebral-cortex	glial-cells	Medium	Approved
CAP1P2	399748	0.437998	0.374675	NA	NA	NA	NA
CAP2	10486	18.7839	18.4943	cerebral-cortex	glial-cells	Medium	Enhanced
CAPG	822	1.01046	1.67759	NA	NA	NA	NA
CAPN1	823	22.6487	27.8383	cerebral-cortex	glial-cells	Medium	Enhanced
CAPN10	11132	17.5046	18.7616	NA	NA	NA	NA
CAPN15	6650	12.8982	14.8242	NA	NA	NA	NA
CAPN2	824	41.2241	70.7836	NA	NA	NA	NA
CAPN3	825	0.463413	0.476129	NA	NA	NA	NA
CAPN6	827	0.0428346	0.416907	NA	NA	NA	NA
CAPN7	23473	13.1178	12.8623	NA	NA	NA	NA
CAPN9	10753	3.01526	1.24309	NA	NA	NA	NA
CAPNS1	826	94.5552	153.354	cerebral-cortex	glial-cells	High	Approved
CAPRIN1	4076	172.556	144.573	cerebral-cortex	glial-cells	High	Approved
CAPRIN2	65981	10.082	8.07302	NA	NA	NA	NA
CAPS	828	2.4951	3.26809	NA	NA	NA	NA
CAPS2	84698	1.49935	0.767205	NA	NA	NA	NA
CAPZA1	829	66.4312	72.2088	cerebral-cortex	glial-cells	Low	Approved
CAPZA2	830	62.3581	70.4733	NA	NA	NA	NA
CAPZB	832	121.434	131.254	NA	NA	NA	NA
CARD10	29775	2.51353	4.97394	cerebral-cortex	glial-cells	Medium	Approved
CARD14	79092	0.243516	0.474535	NA	NA	NA	NA
CARD16	114769	0.196833	0.368515	NA	NA	NA	NA
CARD8	22900	26.5882	25.4097	NA	NA	NA	NA
CARD9	64170	0.737075	0.770735	NA	NA	NA	NA
CARF	79800	6.47475	5.88235	cerebral-cortex	glial-cells	Low	Approved
CARHSP1	23589	103.183	91.7243	NA	NA	NA	NA
CARM1	10498	42.8094	42.9544	cerebral-cortex	glial-cells	Low	Supported
CARNS1	57571	0.200889	0.157466	cerebral-cortex	glial-cells	Medium	Enhanced
CARS2	79587	29.7445	27.0585	NA	NA	NA	NA
CASC1	55259	0.822567	0.500412	NA	NA	NA	NA
CASC15	401237	7.17864	7.49481	NA	NA	NA	NA
CASC18	101929110	0.0626593	0.157354	NA	NA	NA	NA
CASC2	255082	1.63233	1.32373	NA	NA	NA	NA
CASC3	22794	42.9027	41.2319	cerebral-cortex	glial-cells	Low	Approved
CASC4	113201	34.7654	36.9961	cerebral-cortex	glial-cells	Medium	Enhanced
CASC4P1	100420689	0.129893	0.0814723	NA	NA	NA	NA
CASC9	101805492	0	0.0469911	NA	NA	NA	NA
CASD1	64921	40.739	28.4716	NA	NA	NA	NA
CASK	8573	18.3153	17.0498	cerebral-cortex	glial-cells	Low	Enhanced
CASKIN1	57524	4.09726	3.16817	NA	NA	NA	NA
CASKIN2	57513	10.739	7.22783	NA	NA	NA	NA
CASP1	834	0	0.0503018	cerebral-cortex	glial-cells	Low	Approved
CASP2	835	21.1782	21.2904	NA	NA	NA	NA
CASP3	836	27.558	34.4872	NA	NA	NA	NA
CASP4	837	0.17134	1.15553	NA	NA	NA	NA
CASP6	839	14.6886	17.1044	NA	NA	NA	NA
CASP7	840	6.36257	11.4364	NA	NA	NA	NA
CASP8	841	0.93483	3.69725	NA	NA	NA	NA
CASP8AP2	9994	18.3019	11.1459	NA	NA	NA	NA
CASP9	842	5.52209	6.91287	cerebral-cortex	glial-cells	Low	Approved
CASQ1	844	0.141761	0.490134	NA	NA	NA	NA
CASS4	57091	0.16275	0.330361	NA	NA	NA	NA
CAST	831	18.3905	20.7029	NA	NA	NA	NA
CASZ1	54897	0.911357	0.898605	NA	NA	NA	NA
CAT	847	9.63912	8.97196	NA	NA	NA	NA
CATSPER2	117155	1.23156	0.861826	NA	NA	NA	NA
CATSPER2P1	440278	0.475092	0.626702	NA	NA	NA	NA
CATSPER3	347732	0.86565	0.788138	NA	NA	NA	NA
CATSPERG	57828	1.7664	1.83395	NA	NA	NA	NA
CAV1	857	0.780032	5.33181	NA	NA	NA	NA
CAV2	858	0.600726	1.52165	NA	NA	NA	NA
CAV3	859	0.145971	0.262381	NA	NA	NA	NA
CBFA2T2	9139	14.7541	12.0616	cerebral-cortex	glial-cells	Low	Supported
CBFA2T3	863	3.71097	3.19242	cerebral-cortex	glial-cells	High	Approved
CBFB	865	22.8274	28.9589	NA	NA	NA	NA
CBL	867	18.6169	13.1277	cerebral-cortex	glial-cells	Low	Enhanced
CBLB	868	15.4413	13.2277	cerebral-cortex	glial-cells	Low	Approved
CBLL1	79872	15.8985	14.1186	cerebral-cortex	glial-cells	Medium	Enhanced
CBLN1	869	2.02421	3.06026	NA	NA	NA	NA
CBLN2	147381	1.54207	1.54515	NA	NA	NA	NA
CBLN3	643866	0.470735	1.1981	NA	NA	NA	NA
CBR1	873	3.62151	6.49995	cerebral-cortex	glial-cells	High	Enhanced
CBR3	874	0.397606	2.70724	NA	NA	NA	NA
CBR3-AS1	100506428	0.20089	0.360039	NA	NA	NA	NA
CBR4	84869	17.5239	12.4492	NA	NA	NA	NA
CBS	875	63.7926	47.5049	cerebral-cortex	glial-cells	Medium	Supported
CBWD1	55871	21.7342	20.2739	cerebral-cortex	glial-cells	Medium	Approved
CBWD2	150472	13.7979	12.1657	cerebral-cortex	glial-cells	Medium	Approved
CBWD3	445571	0.139097	0.219048	NA	NA	NA	NA
CBWD5	220869	7.42717	7.04541	cerebral-cortex	glial-cells	Medium	Approved
CBWD6	644019	2.83167	3.6195	cerebral-cortex	glial-cells	Medium	Approved
CBX1	10951	211.713	181.489	cerebral-cortex	glial-cells	High	Supported
CBX1P2	100147811	0.748162	0	NA	NA	NA	NA
CBX1P4	100130461	0.187761	0.175789	NA	NA	NA	NA
CBX2	84733	1.13781	0.30853	NA	NA	NA	NA
CBX3	11335	228.554	198.78	NA	NA	NA	NA
CBX3P1	159770	0.955203	1.27936	NA	NA	NA	NA
CBX3P2	645158	1.01267	1.08453	NA	NA	NA	NA
CBX3P3	100421861	0.291015	0.136394	NA	NA	NA	NA
CBX3P4	100873792	0.955559	0.489677	NA	NA	NA	NA
CBX3P5	100421943	0.150495	0.564133	NA	NA	NA	NA
CBX3P9	644101	24.4277	22.0011	NA	NA	NA	NA
CBX4	8535	13.5105	12.6185	cerebral-cortex	glial-cells	High	Approved
CBX5	23468	92.39	61.7259	cerebral-cortex	glial-cells	Low	Enhanced
CBX5P1	100151661	0.401422	0.125463	NA	NA	NA	NA
CBX6	23466	10.8967	13.546	NA	NA	NA	NA
CBX7	23492	1.5307	1.77251	cerebral-cortex	glial-cells	Low	Enhanced
CBX8	57332	7.94543	6.70966	cerebral-cortex	glial-cells	Low	Approved
CBY1	25776	25.6597	36.8687	NA	NA	NA	NA
CBY3	646019	0	0.077442	NA	NA	NA	NA
CC2D1A	54862	11.5847	13.549	NA	NA	NA	NA
CC2D1B	200014	8.05289	9.82808	NA	NA	NA	NA
CC2D2A	57545	12.4388	12.9293	NA	NA	NA	NA
CCAR1	55749	83.1588	77.1701	cerebral-cortex	glial-cells	High	Supported
CCAR2	57805	160.105	120.052	cerebral-cortex	glial-cells	Low	Enhanced
CCBE1	147372	0.211463	0.129768	NA	NA	NA	NA
CCDC102A	92922	4.95688	9.00458	cerebral-cortex	glial-cells	Medium	Supported
CCDC102B	79839	3.28658	7.79724	cerebral-cortex	glial-cells	Low	Approved
CCDC103	388389	3.16339	3.19226	NA	NA	NA	NA
CCDC106	29903	12.7245	15.6921	NA	NA	NA	NA
CCDC107	203260	13.2686	18.2476	NA	NA	NA	NA
CCDC110	256309	0.160866	0.423485	NA	NA	NA	NA
CCDC112	153733	10.0693	10.8776	NA	NA	NA	NA
CCDC113	29070	1.82685	1.52823	NA	NA	NA	NA
CCDC114	93233	0.271306	0.161401	NA	NA	NA	NA
CCDC115	84317	16.9495	18.3432	cerebral-cortex	glial-cells	Low	Approved
CCDC116	164592	0.47603	0.364748	NA	NA	NA	NA
CCDC117	150275	14.7912	15.5218	NA	NA	NA	NA
CCDC12	151903	37.7041	34.9577	cerebral-cortex	glial-cells	Medium	Approved
CCDC120	90060	0.70874	0.987623	NA	NA	NA	NA
CCDC121	79635	5.08384	5.24901	NA	NA	NA	NA
CCDC122	160857	0.25985	0.850676	cerebral-cortex	glial-cells	Low	Approved
CCDC124	115098	68.0375	73.8169	cerebral-cortex	glial-cells	Medium	Supported
CCDC126	90693	5.77287	5.60064	NA	NA	NA	NA
CCDC127	133957	4.38971	4.60591	cerebral-cortex	glial-cells	Low	Approved
CCDC13	152206	0.775176	0.580491	NA	NA	NA	NA
CCDC13-AS1	100874114	0.270717	0.318471	NA	NA	NA	NA
CCDC130	81576	24.0489	24.8146	cerebral-cortex	glial-cells	Low	Approved
CCDC134	79879	3.78004	2.72006	NA	NA	NA	NA
CCDC136	64753	27.2812	16.1192	NA	NA	NA	NA
CCDC137	339230	14.7774	15.0551	NA	NA	NA	NA
CCDC138	165055	15.0099	10.4191	NA	NA	NA	NA
CCDC14	64770	76.0772	63.9669	NA	NA	NA	NA
CCDC140	151278	0.0321043	0	NA	NA	NA	NA
CCDC142	84865	9.11301	7.76344	cerebral-cortex	glial-cells	Low	Approved
CCDC144CP	348254	1.76493	0.636079	NA	NA	NA	NA
CCDC146	57639	4.07862	4.6919	NA	NA	NA	NA
CCDC148	130940	0.811582	0.945759	NA	NA	NA	NA
CCDC149	91050	3.08595	4.4841	NA	NA	NA	NA
CCDC15	80071	2.65709	2.72153	NA	NA	NA	NA
CCDC150	284992	21.1387	12.1509	NA	NA	NA	NA
CCDC151	115948	1.07128	1.01023	NA	NA	NA	NA
CCDC152	100129792	0.102946	0.424231	cerebral-cortex	glial-cells	Medium	Approved
CCDC153	283152	0.309634	0.22928	NA	NA	NA	NA
CCDC154	645811	0.0906367	0.35252	NA	NA	NA	NA
CCDC157	550631	3.73656	4.07084	NA	NA	NA	NA
CCDC159	126075	5.89243	6.17156	NA	NA	NA	NA
CCDC160	347475	12.8566	6.00439	NA	NA	NA	NA
CCDC162P	221262	0	0.142357	NA	NA	NA	NA
CCDC167	154467	55.0844	66.7108	NA	NA	NA	NA
CCDC169	728591	0.505031	0.795426	NA	NA	NA	NA
CCDC17	149483	0.581425	0.890106	NA	NA	NA	NA
CCDC170	80129	0.0565795	0.234349	NA	NA	NA	NA
CCDC171	203238	2.51856	2.70608	NA	NA	NA	NA
CCDC173	129881	1.48138	0.823152	NA	NA	NA	NA
CCDC174	51244	9.25464	11.7579	cerebral-cortex	glial-cells	Low	Approved
CCDC18	343099	12.5306	8.08153	NA	NA	NA	NA
CCDC180	100499483	7.94025	8.41133	NA	NA	NA	NA
CCDC181	57821	7.53697	5.6982	NA	NA	NA	NA
CCDC183	84960	0.874482	1.45531	NA	NA	NA	NA
CCDC183-AS1	100131193	1.25433	0.932441	NA	NA	NA	NA
CCDC22	28952	0.522142	0.812293	NA	NA	NA	NA
CCDC24	149473	1.97398	3.24198	NA	NA	NA	NA
CCDC25	55246	30.1897	25.4935	cerebral-cortex	glial-cells	Medium	Approved
CCDC28A	25901	3.04555	4.96319	NA	NA	NA	NA
CCDC28B	79140	14.717	19.7886	NA	NA	NA	NA
CCDC3	83643	1.88577	8.72241	NA	NA	NA	NA
CCDC30	728621	1.50092	2.43378	NA	NA	NA	NA
CCDC34	91057	25.1933	27.0907	NA	NA	NA	NA
CCDC39	339829	1.34614	1.17563	NA	NA	NA	NA
CCDC40	55036	13.5216	9.52907	NA	NA	NA	NA
CCDC43	124808	17.513	17.8307	cerebral-cortex	glial-cells	Low	Approved
CCDC47	57003	46.3688	42.8193	cerebral-cortex	glial-cells	High	Approved
CCDC50	152137	19.8855	18.1324	NA	NA	NA	NA
CCDC51	79714	8.04818	10.6246	cerebral-cortex	glial-cells	Low	Supported
CCDC57	284001	29.5753	23.4177	cerebral-cortex	glial-cells	Low	Approved
CCDC58	131076	37.1216	36.4325	NA	NA	NA	NA
CCDC58P1	645859	0.418946	0.392061	NA	NA	NA	NA
CCDC58P3	732448	0.628418	1.17618	NA	NA	NA	NA
CCDC59	29080	33.5612	42.2063	cerebral-cortex	glial-cells	Medium	Approved
CCDC6	8030	11.8388	11.8885	NA	NA	NA	NA
CCDC61	729440	3.26197	3.80242	NA	NA	NA	NA
CCDC62	84660	0.296402	0.389411	NA	NA	NA	NA
CCDC65	85478	2.48395	1.66725	NA	NA	NA	NA
CCDC66	285331	20.9011	17.6769	cerebral-cortex	glial-cells	Medium	Approved
CCDC69	26112	0.739566	0.585146	NA	NA	NA	NA
CCDC7	79741	0.570391	0.776693	NA	NA	NA	NA
CCDC71	64925	12.6922	12.062	NA	NA	NA	NA
CCDC71L	168455	3.7088	3.66222	NA	NA	NA	NA
CCDC74A	90557	11.2007	8.21174	NA	NA	NA	NA
CCDC74B	91409	6.78492	6.12551	NA	NA	NA	NA
CCDC77	84318	22.543	20.7039	cerebral-cortex	glial-cells	Medium	Approved
CCDC78	124093	2.07833	1.39134	NA	NA	NA	NA
CCDC8	83987	15.275	19.3177	NA	NA	NA	NA
CCDC80	151887	33.0785	55.8396	NA	NA	NA	NA
CCDC81	60494	1.2522	0.707161	NA	NA	NA	NA
CCDC82	79780	35.6452	34.3448	NA	NA	NA	NA
CCDC85A	114800	0.105423	0.200966	NA	NA	NA	NA
CCDC85B	11007	16.0202	20.6943	NA	NA	NA	NA
CCDC85C	317762	33.7142	18.7838	NA	NA	NA	NA
CCDC86	79080	9.41229	12.2677	cerebral-cortex	glial-cells	Medium	Enhanced
CCDC87	55231	0.0178665	0.184523	NA	NA	NA	NA
CCDC88A	55704	44.2102	38.1964	NA	NA	NA	NA
CCDC88B	283234	0.17773	0.281421	NA	NA	NA	NA
CCDC88C	440193	13.753	7.87599	cerebral-cortex	glial-cells	High	Approved
CCDC89	220388	0.0431803	0.0406606	NA	NA	NA	NA
CCDC9	26093	11.0238	13.8706	cerebral-cortex	glial-cells	Low	Approved
CCDC90B	60492	44.3271	51.0682	cerebral-cortex	glial-cells	Low	Supported
CCDC91	55297	11.4927	9.19191	cerebral-cortex	glial-cells	Medium	Approved
CCDC92	80212	23.4667	23.6887	cerebral-cortex	glial-cells	Medium	Approved
CCDC93	54520	27.5939	25.5155	NA	NA	NA	NA
CCDC96	257236	2.36845	2.4158	NA	NA	NA	NA
CCDC97	90324	17.208	19.9065	cerebral-cortex	glial-cells	Low	Enhanced
CCER2	643669	0.449692	0.484028	NA	NA	NA	NA
CCHCR1	54535	0.921326	1.1065	NA	NA	NA	NA
CCIN	881	0	0.0780528	NA	NA	NA	NA
CCL2	6347	5.52845	59.3962	NA	NA	NA	NA
CCL25	6370	0.177347	0.426937	NA	NA	NA	NA
CCL27	10850	0.0599734	0.0922025	NA	NA	NA	NA
CCM2	83605	21.8849	27.8089	NA	NA	NA	NA
CCM2L	140706	0.135467	0.165618	NA	NA	NA	NA
CCNA1	8900	0.955419	0.370086	NA	NA	NA	NA
CCNA2	890	62.3005	42.1964	NA	NA	NA	NA
CCNB1	891	171.168	123.243	NA	NA	NA	NA
CCNB1IP1	57820	66.0029	56.3397	NA	NA	NA	NA
CCNB2	9133	86.9682	60.7158	NA	NA	NA	NA
CCNB3	85417	0.866336	0.433809	NA	NA	NA	NA
CCNC	892	32.1627	25.326	NA	NA	NA	NA
CCND1	595	76.0745	58.4569	NA	NA	NA	NA
CCND2	894	18.8015	26.8978	NA	NA	NA	NA
CCND2-AS1	103752584	1.63287	1.6585	NA	NA	NA	NA
CCND3	896	14.0336	19.4885	NA	NA	NA	NA
CCNDBP1	23582	19.4579	18.9735	cerebral-cortex	glial-cells	Medium	Supported
CCNE1	898	15.8484	9.56828	NA	NA	NA	NA
CCNE2	9134	9.68357	9.08924	cerebral-cortex	glial-cells	Medium	Enhanced
CCNF	899	18.3553	13.0411	NA	NA	NA	NA
CCNG1	900	118.202	120.036	cerebral-cortex	glial-cells	Medium	Supported
CCNG2	901	45.135	35.0178	cerebral-cortex	glial-cells	Low	Approved
CCNH	902	18.6167	16.7252	NA	NA	NA	NA
CCNI	10983	191.165	192.36	NA	NA	NA	NA
CCNI2	645121	0.0928366	0.540572	NA	NA	NA	NA
CCNJ	54619	39.8135	28.4941	cerebral-cortex	glial-cells	Low	Approved
CCNJL	79616	15.8016	15.4866	NA	NA	NA	NA
CCNK	8812	37.1921	30.484	cerebral-cortex	glial-cells	High	Supported
CCNL1	57018	62.3222	44.8062	NA	NA	NA	NA
CCNL2	81669	148.469	125.021	cerebral-cortex	glial-cells	Medium	Supported
CCNO	10309	0	0	NA	NA	NA	NA
CCNT1	904	15.6054	13.0678	NA	NA	NA	NA
CCNT2	905	33.7887	23.88	cerebral-cortex	glial-cells	High	Supported
CCNT2-AS1	100129961	3.87388	2.3817	NA	NA	NA	NA
CCNY	219771	22.543	23.4448	cerebral-cortex	glial-cells	Low	Approved
CCNYL1	151195	12.0923	16.3637	NA	NA	NA	NA
CCP110	9738	23.1346	19.1086	cerebral-cortex	glial-cells	Medium	Approved
CCPG1	9236	8.95602	13.9419	cerebral-cortex	glial-cells	Low	Approved
CCR10	2826	0.413094	0.738009	NA	NA	NA	NA
CCS	9973	6.52493	13.0789	NA	NA	NA	NA
CCSAP	126731	5.81443	5.91141	cerebral-cortex	glial-cells	High	Enhanced
CCSER1	401145	0.218775	0.269024	NA	NA	NA	NA
CCSER2	54462	14.0415	13.0694	cerebral-cortex	glial-cells	Low	Approved
CCT2	10576	195.265	167.013	cerebral-cortex	glial-cells	Low	Enhanced
CCT3	7203	137.049	146.986	cerebral-cortex	glial-cells	High	Approved
CCT4	10575	115.092	119.066	NA	NA	NA	NA
CCT4P2	100131638	0.107118	0.403243	NA	NA	NA	NA
CCT5	22948	221.438	219.435	cerebral-cortex	glial-cells	Medium	Enhanced
CCT5P1	402226	0.169704	0.0319446	NA	NA	NA	NA
CCT6A	908	159.725	145.753	cerebral-cortex	glial-cells	Low	Supported
CCT6B	10693	3.2218	3.06047	NA	NA	NA	NA
CCT6P1	643253	0.347905	0.701227	NA	NA	NA	NA
CCT6P3	643180	2.74426	2.20887	NA	NA	NA	NA
CCT7	10574	224.84	211.719	cerebral-cortex	glial-cells	Medium	Approved
CCT8	10694	132.472	134.632	cerebral-cortex	glial-cells	Low	Enhanced
CCT8P1	644131	0.462434	0.404163	NA	NA	NA	NA
CCZ1	51622	25.0635	30.1639	NA	NA	NA	NA
CCZ1B	221960	17.9126	17.4683	NA	NA	NA	NA
CD101	9398	1.10153	2.36322	NA	NA	NA	NA
CD109	135228	0.52026	2.09804	NA	NA	NA	NA
CD14	929	0.234867	0.29553	NA	NA	NA	NA
CD151	977	52.1711	55.3647	NA	NA	NA	NA
CD164	8763	25.4772	51.4214	NA	NA	NA	NA
CD200	4345	35.709	30.3041	cerebral-cortex	glial-cells	Medium	Approved
CD226	10666	0.347696	0.174883	NA	NA	NA	NA
CD247	919	0.110015	0.106097	NA	NA	NA	NA
CD248	57124	3.01903	13.1584	NA	NA	NA	NA
CD24P4	938	23.5828	6.81663	NA	NA	NA	NA
CD27	939	0.2216	0.144041	NA	NA	NA	NA
CD27-AS1	678655	3.94376	9.07348	NA	NA	NA	NA
CD274	29126	0.0459007	0.201758	NA	NA	NA	NA
CD276	80381	90.5807	129.681	cerebral-cortex	glial-cells	Low	Enhanced
CD2AP	23607	9.53279	8.66847	NA	NA	NA	NA
CD2BP2	10421	37.6826	36.1997	NA	NA	NA	NA
CD302	9936	0.473758	2.13061	NA	NA	NA	NA
CD320	51293	25.605	29.8917	cerebral-cortex	glial-cells	Low	Approved
CD34	947	2.19092	6.8284	NA	NA	NA	NA
CD36	948	0.0636553	0.0651827	NA	NA	NA	NA
CD37	951	12.7499	7.72578	NA	NA	NA	NA
CD38	952	0.0707808	0.100959	NA	NA	NA	NA
CD3EAP	10849	2.43787	1.44878	cerebral-cortex	glial-cells	Low	Supported
CD4	920	0	0.12015	NA	NA	NA	NA
CD40	958	0.162248	0.742221	NA	NA	NA	NA
CD44	960	2.80758	11.0297	NA	NA	NA	NA
CD46	4179	72.8296	57.2409	NA	NA	NA	NA
CD47	961	20.5983	16.3699	NA	NA	NA	NA
CD55	1604	0.752682	0.389357	NA	NA	NA	NA
CD58	965	5.59023	9.26584	NA	NA	NA	NA
CD59	966	58.8468	59.4217	NA	NA	NA	NA
CD6	923	0.0340752	0.127054	NA	NA	NA	NA
CD63	967	301.799	442.576	NA	NA	NA	NA
CD68	968	0.250811	0.557198	cerebral-cortex	glial-cells	Low	Enhanced
CD70	970	0.20279	0.83591	NA	NA	NA	NA
CD72	971	0.262743	0.766599	NA	NA	NA	NA
CD74	972	0.549553	0.673527	cerebral-cortex	glial-cells	Low	Enhanced
CD81	975	97.3513	181.053	NA	NA	NA	NA
CD81-AS1	101927682	0.198428	0.186619	NA	NA	NA	NA
CD82	3732	3.83937	5.0056	NA	NA	NA	NA
CD83	9308	5.18935	7.37977	NA	NA	NA	NA
