SYMBOL	ENTREZID	BD_R.Veh.R1	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
ANXA2P2	304	2.58675	13.8741	NA	NA	NA	NA
ANXA2R	389289	0.212863	0.244964	NA	NA	NA	NA
ANXA3	306	0.132197	0.387538	NA	NA	NA	NA
ANXA4	307	2.30434	4.28656	NA	NA	NA	NA
ANXA5	308	88.3359	138.74	cerebral-cortex	glial-cells	Low	Approved
ANXA6	309	43.7521	80.9187	NA	NA	NA	NA
ANXA7	310	20.5442	26.8687	cerebral-cortex	glial-cells	Low	Approved
ANXA9	8416	0.532685	0.724304	NA	NA	NA	NA
AOAH	313	0.267468	0.219138	cerebral-cortex	glial-cells	Medium	Approved
AOC2	314	0.913141	1.15832	NA	NA	NA	NA
AOC3	8639	0.349241	0.527112	NA	NA	NA	NA
AOX1	316	0.0163398	0.157563	NA	NA	NA	NA
AP1AR	55435	16.757	14.1253	NA	NA	NA	NA
AP1B1	162	23.8857	21.2114	cerebral-cortex	glial-cells	Low	Approved
AP1G1	164	40.248	32.8018	cerebral-cortex	glial-cells	Medium	Approved
AP1G2	8906	8.14293	8.14004	NA	NA	NA	NA
AP1M1	8907	37.4827	38.6173	NA	NA	NA	NA
AP1S1	1174	68.0168	64.6387	NA	NA	NA	NA
AP1S2	8905	39.3558	39.5666	NA	NA	NA	NA
AP1S3	130340	1.10586	2.39233	NA	NA	NA	NA
AP2A1	160	26.8095	33.7602	cerebral-cortex	glial-cells	Low	Approved
AP2A2	161	30.7155	27.1933	cerebral-cortex	glial-cells	Medium	Supported
AP2B1	163	54.6793	44.3523	cerebral-cortex	glial-cells	Medium	Approved
AP2M1	1173	141.952	166.722	NA	NA	NA	NA
AP2S1	1175	90.3144	164.322	NA	NA	NA	NA
AP3B1	8546	23.5843	23.512	cerebral-cortex	glial-cells	Low	Approved
AP3B2	8120	13.9054	13.5499	NA	NA	NA	NA
AP3D1	8943	41.8277	39.3025	NA	NA	NA	NA
AP3M1	26985	36.3697	29.6934	NA	NA	NA	NA
AP3M2	10947	14.7793	14.0807	NA	NA	NA	NA
AP3S1	1176	49.3162	56.3284	NA	NA	NA	NA
AP3S2	10239	30.4504	24.8071	NA	NA	NA	NA
AP4B1	10717	12.687	13.2029	cerebral-cortex	glial-cells	Low	Approved
AP4B1-AS1	100287722	0.713082	1.12475	NA	NA	NA	NA
AP4E1	23431	5.00013	4.09049	NA	NA	NA	NA
AP4M1	9179	12.9856	13.5643	NA	NA	NA	NA
AP4S1	11154	5.96932	4.24245	cerebral-cortex	glial-cells	Medium	Approved
