	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
A1BG	A1BG	1	35.8357	6.85642	25.8421	13.0867	15.6866	5.86148	25.9152	7.5956	21.351	11.8212	33.3366	17.5244	26.919	15.8943	24.6652	27.4968	23.8797	12.7637	21.2501	21.3537	30.8877	21.3186	20.8427	22.3579
A1BG-AS1	A1BG-AS1	503538	4.05246	2.63192	5.30832	5.04591	4.29674	2.10877	5.42064	5.18881	4.35098	3.79737	4.96161	5.82937	5.65032	3.43807	7.41617	5.04822	3.27022	3.87735	4.77078	5.59914	4.48446	6.4297	6.23507	6.12392
A2M	A2M	2	2.46203	31.8901	187.467	8.52777	6.28097	32.8143	165.076	8.80332	1.92614	12.2851	179.226	3.90835	3.76151	26.8956	198.192	48.3677	5.99298	26.9034	48.5024	4.58576	55.2952	137.371	9.96602	218.27
A2M-AS1	A2M-AS1	144571	0.338741	1.2937	0.607836	0.297436	0.459594	1.18353	0.445265	0.164486	0.300912	0.88897	0.616842	0.167469	0.327101	1.30838	0.516242	0.0750659	0.359484	0.997816	0.227838	0.0535893	0.972804	0.219802	0.119004	0.568244
A4GALT	A4GALT	53947	1.32561	0.105743	0.670594	0.085539	1.41696	0.273063	0.563671	0.312887	1.79164	0.801967	0.917138	1.30135	1.34156	2.79368	0.168589	0.333497	0.937008	1.75622	1.04344	4.20496	6.35369	0.201614	1.25612	0.111227
AAAS	AAAS	8086	36.7505	40.6593	34.5147	39.5063	35.6814	37.8978	31.5447	36.3279	36.6115	36.5004	27.5504	33.2111	42.7341	39.9247	41.4389	39.7331	37.6541	39.4256	37.9122	31.8729	32.0704	33.4656	30.0772	44.08
AACS	AACS	65985	7.54847	10.4492	7.95426	8.62379	7.6263	10.3606	8.41479	7.78225	7.81789	9.8657	9.63296	8.27703	7.65647	10.2089	11.2342	8.05948	9.36862	10.1654	8.25785	7.44945	10.2559	9.60683	7.99915	12.4238
AADAT	AADAT	51166	10.5272	20.3143	9.567	14.106	9.94305	22.5457	9.60527	12.1036	8.48017	15.1046	11.0371	11.0167	11.6897	18.9963	10.8417	12.5347	12.3648	18.7838	11.7028	9.42602	13.2686	7.37216	12.633	12.7139
AAGAB	AAGAB	79719	32.7119	40.0203	35.2622	33.1591	27.5126	42.3833	38.9764	33.3221	31.3233	39.0992	36.3818	36.9661	35.8269	41.5369	33.5821	40.446	27.8143	42.0265	40.4908	37.6284	47.8801	35.6516	36.4893	32.7352
AAK1	AAK1	22848	10.9902	5.19845	5.4358	8.74763	5.52549	5.13173	7.92473	6.6077	4.95814	7.53695	5.70104	6.06566	5.80842	4.05834	5.86914	4.49269	6.0281	6.10764	5.34172	6.16464	4.2139	7.70447	6.65719	5.40887
AAMDC	AAMDC	28971	48.3753	12.9041	40.1191	25.9727	24.9603	11.3008	41.6733	33.8278	30.7785	20.2031	44.0079	30.273	30.1802	19.7729	46.7365	40.1001	28.6283	18.7728	32.9184	37.2087	44.1677	51.5216	43.8674	50.5389
AAMP	AAMP	14	67.594	41.1872	51.0813	41.1394	58.461	34.7782	53.0179	38.6993	53.4268	40.9327	58.7069	48.5567	48.7084	41.5531	56.9982	43.2904	44.7413	35.9134	42.0703	45.127	42.376	56.9529	42.6036	59.1955
AAR2	AAR2	25980	21.6689	18.5216	16.1604	16.6825	20.9434	17.4793	16.8904	14.7236	18.147	16.701	15.2208	16.3372	19.9138	19.6346	18.0321	16.8905	17.273	17.3333	17.6619	18.6283	16.8189	16.6558	13.8153	17.4242
AARD	AARD	441376	0.146658	0.168743	0.394152	0.280887	0.0289908	0.140869	0.223683	0.392459	0.152614	0.173904	0.926301	0.601635	0.13182	0.151059	0.158708	0.404946	0.0837026	0.103537	0.666298	0.0507185	0.664723	0.979739	0.711818	0.183716
AARS2	AARS2	57505	4.72172	8.63397	5.04848	6.70396	6.24003	9.28778	4.88341	6.3398	7.26194	7.97089	6.81431	6.46361	8.68209	8.86426	7.07755	6.59954	6.80382	6.80707	6.24062	8.02814	6.78802	5.59204	7.12939	6.24183
AARSD1	AARSD1	80755	57.7287	31.37	27.3016	32.0686	47.8746	33.0973	29.8691	29.7012	33.8312	31.4992	35.7779	31.9253	37.8484	36.2015	41.3076	42.1139	34.5575	36.7603	36.1362	36.0042	37.4004	29.0289	29.1567	40.1132
AASDH	AASDH	132949	5.05707	5.74916	5.42611	6.16485	6.86132	5.33097	4.39015	7.0629	4.42897	5.39156	4.54737	6.75602	4.75693	4.34932	4.96787	6.52843	6.21689	4.8627	5.54588	4.02632	3.70133	5.34022	6.43357	5.2015
AASDHPPT	AASDHPPT	60496	39.0622	39.1223	53.1179	32.8552	42.7658	45.4123	45.7857	36.5985	45.1877	45.3114	42.4483	36.3693	38.2446	39.1351	44.7238	35.9116	40.2831	42.7451	39.7839	39.5066	39.0382	51.117	33.4294	41.7124
AASS	AASS	10157	11.0439	47.3679	18.3763	23.1099	24.7254	49.6552	13.9253	26.0229	24.8648	46.0256	19.4093	28.1968	14.5152	30.1288	18.7429	16.5908	20.4994	36.6973	17.8213	20.9399	20.1356	28.7402	25.4027	18.1325
AATF	AATF	26574	23.372	25.0548	23.6509	19.5025	21.2129	27.2134	25.5455	18.9089	21.7856	20.5943	20.5612	15.599	21.9934	23.8759	27.6152	20.3735	18.9977	24.3894	20.6841	17.5378	21.6337	21.6119	17.7716	30.5755
AATK	AATK	9625	1.96906	1.18421	0.90067	1.40577	1.64839	1.1629	0.564269	2.07935	1.37082	1.67508	0.579418	2.61107	0.970266	0.870551	0.460146	2.0055	1.93438	1.02572	1.07051	0.393721	0.793233	0.305956	2.62892	0.459669
ABAT	ABAT	18	20.0954	68.0576	53.4527	53.9952	22.586	51.1834	40.8988	67.6525	20.4866	73.3888	47.5182	64.6703	11.8994	53.3427	58.5939	59.2902	21.4473	53.0854	58.6983	16.7746	45.2473	75.8279	53.5261	49.9854
ABCA1	ABCA1	19	0.732986	7.70012	9.06829	3.24877	0.816134	5.89365	11.8928	5.18558	0.596204	4.40845	5.1148	1.69908	2.40719	4.76311	8.76951	4.49053	2.10131	4.68793	4.79219	0.984791	1.865	2.06271	1.62928	7.74747
ABCA10	ABCA10	10349	4.63041	1.14214	0.427561	0.741205	2.45618	0.454705	0.0212253	0.853643	0.976786	0.541494	0.14712	0.33188	2.07508	1.55291	0.211144	0.429251	1.14612	1.05779	0.323279	0.515014	0.769409	0.0262666	0.189456	0.109098
ABCA13	ABCA13	154664	0.089673	0.116866	0.0967989	0.637583	0.0425737	0.123138	0.0368738	0.703775	0.0214425	0.0657233	0.105885	0.200743	0.0998292	0.160025	0.022863	0.830261	0.311964	0.139205	1.19389	0.0180577	0.298247	0.0173769	0.169468	0.0216346
ABCA17P	ABCA17P	650655	0.105769	0.193749	0.154651	0.455865	0.116693	0.0356801	0.70238	0.322367	0.122588	0.0597484	0.0292561	0.194705	0.253861	0.0679198	0.0319229	0.539501	0.18399	0.360658	0.111559	0.0133244	0.141572	0.771203	0.134391	0.511342
ABCA2	ABCA2	20	10.3009	13.7123	16.7027	16.0169	11.7357	10.5864	12.9651	12.6695	9.15213	11.0247	15.6121	16.5211	8.11824	12.4438	22.9068	16.4092	9.63115	8.76917	13.5463	5.42843	8.81851	21.1297	13.2125	22.7513
ABCA3	ABCA3	21	2.88612	8.71909	16.8108	12.6722	4.10778	6.88464	14.3407	12.4643	5.22282	7.97659	17.1263	13.2565	3.21966	7.13962	20.7501	13.2204	2.71971	5.43836	11.0366	4.92817	5.46697	19.6083	12.902	21.5306
ABCA4	ABCA4	24	0.179554	0.0473412	0.337979	0.0191848	0.534178	0.0599491	0.506627	0.0366747	0.0857619	0.086579	0.227651	0.00681721	0.497407	0.254405	0.386192	0.13284	0.548943	0.740097	0.344226	0.282083	0.261268	0.315977	0.0375105	0.740423
ABCA5	ABCA5	23461	1.54661	25.0943	1.25757	12.1996	1.65833	22.5907	1.42782	23.2065	1.80037	21.2982	1.85464	11.1792	1.53748	20.0661	2.69343	10.4274	3.56193	20.6712	13.3444	2.29919	8.33564	3.18739	11.078	3.31081
ABCA6	ABCA6	23460	0.337501	0.164504	0.0643872	0.15996	0.393813	0.0376283	0.24278	0.0818776	0.383765	0.203852	0.2312	0.436476	0.529046	1.55778	0	0.111387	1.07419	1.66169	0.272947	0.569793	0.331039	0.107956	0	0.0244007
ABCA7	ABCA7	10347	6.43049	7.44106	3.01017	5.00576	8.44305	6.90488	3.51707	7.0596	5.85496	9.61595	6.60833	6.45277	4.54321	6.81554	3.44	8.77922	3.24545	4.40074	6.4291	5.01603	5.65918	4.15759	8.06124	4.93275
ABCA8	ABCA8	10351	1.44009	1.28056	3.34737	1.42379	3.43564	1.05974	3.51673	1.17048	1.08819	1.42295	5.36423	2.88862	1.30086	4.84143	1.9078	1.01873	1.2471	4.19082	0.724617	1.53338	4.84987	7.88507	1.65418	2.59724
ABCA9	ABCA9	10350	5.728	0.432344	0.101634	0.209964	7.87059	0.525712	0.113846	0.047049	5.48605	0.818152	0.148461	0.0248871	4.46785	1.85277	0	0.0205498	6.17369	2.59707	0.0677428	2.65486	0.725987	0.00840509	0.0238912	0
ABCB1	ABCB1	5243	0.0659621	2.34668	1.0932	0.162453	0.105996	3.17608	1.10104	0.0268576	0	1.82114	0.911732	0.076362	0.652651	1.34952	0.522719	0.0705922	0.789663	1.26138	0.0520285	0.471656	0.581726	1.91243	0.0136609	0.315579
ABCB10	ABCB10	23456	11.3925	7.69944	7.37108	10.6828	9.03581	8.93024	6.75538	9.95048	10.3848	7.4165	6.51358	9.13449	10.3156	8.70404	6.19724	9.391	8.15942	8.99166	8.29579	9.99032	6.69791	6.2989	9.15629	6.35137
ABCB4	ABCB4	5244	0.48884	0.426031	0.17242	0.413729	0.302184	0.628768	0.243158	0.0264872	0.740462	0.959127	0.724793	0.8576	0.915357	1.78891	0.510034	0.0926221	0.963725	1.39973	0.214966	1.14558	1.7891	0.218985	0.986238	1.48037
ABCB6	ABCB6	10058	15.1443	10.9614	22.9326	10.7745	14.6421	10.6427	23.0872	9.40083	11.0785	9.97086	19.2109	12.886	27.0012	16.5118	35.8992	25.3967	17.4287	11.2889	15.9426	13.0483	12.6763	15.9559	16.8876	35.5922
ABCB7	ABCB7	22	11.5585	14.2057	8.37348	11.6761	13.0376	13.6061	9.91185	14.1726	11.743	14.072	10.6108	11.8509	12.4628	12.6396	11.7539	11.9502	14.257	12.797	13.3347	10.0118	11.0129	10.8646	11.8047	13.4762
ABCB8	ABCB8	11194	13.6827	12.9418	15.0706	14.7819	17.6935	10.6237	12.442	16.7382	18.7471	11.6706	14.1064	13.6504	21.4076	15.7042	22.4714	16.9254	19.5296	11.8899	14.3664	19.4187	11.4044	11.3506	11.6873	18.7163
ABCB9	ABCB9	23457	7.40248	3.01792	6.43433	4.85494	5.65933	2.49113	5.78699	8.20755	6.77783	3.00048	3.93152	4.84608	5.06337	2.59246	6.98912	6.82708	5.03329	2.6055	7.10707	7.21338	3.31744	3.42915	4.63739	6.92084
ABCC1	ABCC1	4363	4.53844	8.21545	4.36907	3.37571	5.29333	7.35809	3.56955	3.73596	7.21335	8.42625	4.45098	5.40613	10.0531	7.04491	4.45059	4.00037	10.3172	6.80012	4.07791	11.1437	8.54399	4.49078	4.16941	3.95657
ABCC10	ABCC10	89845	5.61305	11.1252	9.45758	8.53553	5.60558	8.93269	6.87661	8.72989	6.55259	8.271	11.3807	8.87456	6.49924	9.0127	14.0554	11.1319	8.75913	7.61548	9.27802	7.31077	11.7764	11.0457	9.06474	15.6148
ABCC11	ABCC11	85320	0.113547	0.0481652	0.119513	0.122535	0	0.104074	0.114985	0.113533	0.0138019	0.209603	0.0526208	0.29975	0.0265902	0.102119	0.13338	0.199292	0.0928647	0.120637	0.202573	0.0488687	0.179968	0.320222	0.114772	0.30258
ABCC2	ABCC2	1244	0.129731	0.244529	0.233048	0.311137	0.716476	0.222722	0.293162	0.413721	0.464031	0.259208	0.114799	0.468614	0.32051	0.256951	0.180786	0.475699	0.772313	0.313809	0.479174	0.238977	0.152483	0.276958	0.31345	0.319764
ABCC3	ABCC3	8714	0.132368	0.128802	6.92936	0.294633	0.225038	0.0281823	7.71088	0.121786	0.384258	0.0219678	4.10031	0.213838	0.338452	0.21768	15.9081	1.4464	0.39263	0.228534	0.578888	0.301383	0.652482	4.10715	0.445797	15.8808
ABCC4	ABCC4	10257	0.774775	3.06205	7.67189	2.61916	0.874959	2.90389	6.85473	2.3	2.74644	4.94088	6.3087	2.70148	2.59999	3.46858	5.07805	2.16147	1.90209	3.24497	2.17912	4.79686	6.17704	6.2035	2.79661	5.35683
ABCC5	ABCC5	10057	15.9834	17.6904	17.4085	14.9517	19.9367	17.8642	15.4224	15.5224	21.8694	19.9422	15.581	21.0038	20.0743	17.3387	17.5166	16.0496	21.6768	16.9098	15.7994	19.9238	14.8436	19.6042	16.562	16.7519
ABCC6	ABCC6	368	1.51923	0.551205	0.864324	0.329379	0.89809	0.562072	0.359783	0.907568	0.80134	0.575319	0.482899	1.17682	1.21731	0.825085	0.825985	1.37511	1.08591	0.874688	1.6784	0.691675	1.86997	1.31161	1.88749	1.09656
ABCC6P1	ABCC6P1	653190	0.595116	0.448301	0.33752	0.475151	0.1107	0.108316	0.277414	0.538234	0.402759	0.0832184	0.421959	1.08204	0.622564	0.306964	1.6284	1.45887	0.507395	0.0474899	1.03079	0.229227	0.293288	0.995817	0.784322	1.67027
ABCC6P2	ABCC6P2	730013	0.622642	0.279971	0.262357	0.694527	0.24171	0	0.081222	0.441488	0.351761	0.350479	0.249796	0.758833	0.326514	0.0876302	1.17222	0.62198	0.423223	0	0.346621	0.312341	0.556395	0.491491	0.917163	0.945099
ABCC8	ABCC8	6833	0.624297	0.820369	0.0722397	1.07442	0.195186	0.623253	0.0679316	1.80754	0.00975749	1.30466	0.126938	1.03036	0.0226234	0.89132	0	1.6507	0.21553	0.662788	2.4504	0	1.05196	0	1.41592	0.0254082
ABCC9	ABCC9	10060	7.94308	6.43351	2.64485	4.15964	15.4619	6.15462	1.47193	4.50453	3.68571	3.12001	2.33845	3.00906	2.56954	1.81082	4.29584	1.67289	3.77512	1.69608	1.36431	1.53615	1.11705	5.63112	4.19235	3.56671
ABCD1	ABCD1	215	2.01927	0.180466	1.15304	0.0985047	2.1439	0.0988444	0.267219	0.508394	0.239412	0.236522	0.215367	0.126038	0.0881151	0.562263	0.505788	0.366653	0.317147	0.137793	0.257223	0.118273	1.17386	0.129462	0.149707	0.305605
ABCD2	ABCD2	225	0.0457885	0.199053	0.834954	0.624816	0.0701561	0.275019	0.383071	0.668521	0.0458293	0.41627	1.60856	1.01149	0.121441	0.0900182	1.69947	0.711618	0.145603	0.129217	0.649033	0.219871	0.244599	2.99128	0.967751	1.49653
ABCD3	ABCD3	5825	21.1353	27.3149	53.2134	33.1282	21.9783	29.2411	48.1679	37.7336	27.4902	36.3816	50.3308	36.1756	22.7535	26.9409	60.9444	31.7962	24.4256	28.3524	31.8039	31.1705	30.2835	70.0009	36.9176	55.6011
ABCD4	ABCD4	5826	44.0935	55.7693	51.2457	53.5077	48.4659	44.2623	46.2776	50.2905	45.5566	56.3571	51.1863	55.5618	39.3112	51.6185	56.8749	54.0537	42.8374	44.2722	43.6587	40.6126	34.9743	55.747	50.805	54.5966
ABCE1	ABCE1	6059	36.9675	38.3801	33.6267	32.6391	54.721	47.7681	38.7624	28.5587	48.1224	39.1381	37.7725	27.4856	40.8572	37.7221	27.5532	24.6973	40.4668	37.8367	30.5333	47.0956	39.4004	30.6445	28.8216	28.3602
ABCF2	ABCF2	10061	21.2588	30.2704	23.7633	17.7984	27.6368	28.4633	24.1846	17.7867	25.0625	20.58	26.2401	16.4196	30.2614	24.8775	25.9026	20.1652	21.6501	25.0332	19.6345	28.4087	23.679	22.5013	16.569	26.5318
ABCF3	ABCF3	55324	26.2909	22.6404	21.0688	26.1379	27.2315	20.8651	18.913	24.981	25.0815	17.0976	26.6548	25.0586	26.4179	25.9182	30.8635	28.3674	23.4257	21.1197	28.8288	25.784	19.5611	25.5862	27.5784	32.24
ABCG1	ABCG1	9619	4.71196	5.73145	0.0168	1.53114	3.64485	5.17613	0.0315938	2.28145	5.00948	3.40202	0	0.934779	2.14221	3.22671	0.193813	2.21122	2.02782	3.03914	2.16322	1.89978	1.78788	0.0703202	1.19038	0.194519
ABCG4	ABCG4	64137	0.316528	0.416517	0.613958	0.349984	0.353426	0.232727	0.356939	0.413206	0.862041	1.04829	1.04972	1.27048	0.727293	0.746514	0.592324	0.643892	0.879411	0.381506	0.572292	1.73833	1.54357	0.849726	1.29277	0.717919
ABHD1	ABHD1	84696	1.01675	0	0.512492	0.62454	0.25031	0.0489221	0.486857	0.19201	0.375237	0.348343	0.676629	0.47933	0.17884	0	0.573184	0.681916	0.0453578	0.263573	0.147151	0	0.247318	0.701242	0.806318	1.58159
ABHD10	ABHD10	55347	18.1914	44.1313	16.6845	28.9347	18.4993	46.8818	14.9366	32.7762	23.5676	49.9457	22.1272	29.2242	20.2301	30.4581	23.0878	25.667	20.4324	33.1207	30.4481	20.1297	27.0737	27.5281	30.5376	22.3612
ABHD11	ABHD11	83451	0.157845	0.308808	0.402282	1.73194	0.172099	0.493515	1.38746	0.753746	0.181631	1.37388	2.03339	0.0780405	0.10293	0.200415	1.00937	0.795049	0.235337	0.33969	1.47602	0.239026	0.292557	0.390651	0.193266	0.0775136
ABHD12	ABHD12	26090	13.9592	27.6237	30.3217	29.6572	10.8912	22.6523	28.8596	24.4135	16.422	24.0299	34.5988	30.7147	15.5774	20.4855	31.7223	27.4616	14.7357	17.013	24.7388	19.1088	22.3213	32.718	28.7058	34.173
ABHD12B	ABHD12B	145447	0.176483	0.159673	0.406376	0.16598	0.102998	0	0.380795	0.0765362	0.0381201	0.0756559	0.315357	0	0.0355063	0.0920193	0.117879	0.2323	0.149052	0.186804	0.296424	0.19727	0.0834269	0.323575	0.27934	0.45413
ABHD13	ABHD13	84945	6.22796	6.02613	6.61722	4.87343	7.87168	7.03566	6.267	4.87497	7.72666	6.62529	5.99397	6.5012	6.67155	5.73893	4.20329	4.95381	5.53492	6.27813	4.9235	9.02478	6.25208	7.53666	5.68692	3.66801
ABHD14A	ABHD14A	25864	11.3444	9.97438	10.7397	12.8269	7.75117	8.46411	9.42932	12.9913	7.76867	8.32697	8.93635	11.0335	11.2024	10.5337	15.2562	15.0136	11.0894	9.48673	13.343	7.83097	8.85848	11.8556	12.0992	15.3391
ABHD14A-ACY1	ABHD14A-ACY1	100526760	0.431954	0.137428	0.0685309	0.413866	0.263392	0.0678911	0.247806	0.129783	0.196675	1.20088	0.218974	0.140352	0.0598075	0.510646	0.347775	0.174952	0.311032	0.190767	0.317597	0.0750796	0.0590844	0.143107	0.201032	0.210199
ABHD14B	ABHD14B	84836	10.2038	2.54974	6.77611	3.96892	6.77388	2.81599	5.10854	3.56844	7.16673	2.9595	6.51072	3.45281	5.65708	5.97674	6.96038	4.93196	7.86848	5.12295	4.7459	6.07744	7.79889	5.7768	3.87971	6.7307
ABHD15	ABHD15	116236	2.09818	2.73613	4.79184	2.89177	1.94909	1.87345	3.89627	2.86464	3.20302	3.16401	4.08797	3.10355	2.72957	3.31166	3.83103	4.26858	1.29549	2.53307	3.49376	4.26246	4.91099	3.47788	3.75267	3.88718
ABHD16B	ABHD16B	140701	2.95822	2.68696	2.46294	3.33435	2.32327	1.8422	3.29824	2.22775	2.71118	2.37219	3.82703	2.28296	2.93863	2.19677	2.97068	2.56629	2.20084	1.57422	2.74526	2.87432	1.71881	2.57153	2.51579	2.51168
ABHD17A	ABHD17A	81926	35.0182	23.4639	24.4562	22.2999	23.7323	19.4472	24.2848	20.6161	22.154	21.6118	23.2261	19.8982	22.4608	24.4903	30.4723	25.0733	21.6232	19.6787	24.7098	22.1359	24.0407	24.4432	21.038	27.1337
ABHD17AP3	ABHD17AP3	648359	0.522943	0.0514018	0.291445	0.192792	0.656378	0.252387	0.407258	0.196428	0.439758	0.194213	0.0464084	0.26019	0.136563	0	0.156548	0.258451	0.374449	0.139896	0.190689	0.057065	0.0876414	0.0536746	0.0504513	0.258632
ABHD17AP6	ABHD17AP6	644988	0.579404	0.114159	0.215512	0.320785	0.219082	0.336101	0.100342	0.272297	0.216778	0.215487	0.205806	0.0578171	0.202189	0.268386	0.231928	0.28677	0.155845	0	0.158839	0.19023	0.194619	0.179019	0.280168	0.115061
ABHD17B	ABHD17B	51104	15.467	24.8011	19.3112	19.1299	15.6585	23.5779	16.4705	19.027	18.9631	24.9578	13.156	21.3304	14.5818	18.5338	13.3356	16.4156	15.7887	18.3905	17.4612	17.7622	17.2464	19.5464	15.965	12.8131
ABHD17C	ABHD17C	58489	7.60869	25.6929	37.6881	78.2983	6.75478	29.7431	27.1312	58.016	4.80874	21.6343	25.2543	63.6898	6.32328	24.4447	47.7625	59.9664	6.29161	29.5728	58.5258	6.65741	20.5343	50.4253	60.5939	50.2837
ABHD2	ABHD2	11057	5.03655	8.4256	20.8135	17.0931	9.68797	8.4654	18.057	16.5255	10.4021	9.3702	18.5217	18.4979	8.09344	7.09754	23.5269	10.1602	8.94036	7.74455	11.0554	10.7922	8.03204	34.2352	15.6977	20.6141
ABHD3	ABHD3	171586	7.12036	9.31702	12.8842	11.8513	4.98899	10.1076	9.90208	11.5945	7.04902	9.33325	17.2337	11.9947	11.1829	12.6059	15.004	13.0098	7.68238	10.8075	10.6048	8.63314	14.6649	18.4519	15.787	12.1884
ABHD4	ABHD4	63874	10.5995	8.8439	40.5759	19.8141	11.3025	6.38164	32.0118	22.233	10.0499	7.77404	35.9692	23.5569	17.7567	12.9537	50.702	34.5945	13.5242	10.4271	30.3906	14.5846	15.753	46.8852	20.7149	49.207
ABHD5	ABHD5	51099	3.85449	5.7801	6.97103	6.62713	5.13739	5.53086	7.80325	6.22665	5.32614	5.93129	9.45183	6.38841	5.9969	6.64955	6.86471	6.9831	4.78693	6.08172	7.25944	7.56045	7.11703	8.30642	6.33045	7.68077
ABHD6	ABHD6	57406	1.28952	2.38109	3.60082	2.03651	1.05453	2.24691	3.29053	2.15361	1.91576	4.18799	5.13752	3.91602	1.93676	2.92941	3.72629	3.05475	1.65189	3.31372	3.01129	4.77698	4.4507	5.91972	4.03252	4.31536
ABHD8	ABHD8	79575	6.36269	4.40379	7.89035	3.47822	4.1712	3.62365	7.67417	4.19215	6.74061	5.15883	7.89533	4.25165	8.22463	5.68688	11.1143	4.57268	6.9364	4.90189	4.71495	7.21468	6.73633	8.21269	6.34189	10.3942
ABI1	ABI1	10006	16.633	15.3109	33.3341	24.124	19.0806	16.1172	30.3108	18.6191	17.2553	16.8929	23.5991	21.0271	19.1701	18.2851	19.8989	21.7679	20.9102	18.9316	21.8109	22.2968	19.3663	25.1288	20.0966	19.893
ABI2	ABI2	10152	29.9521	79.6353	70.0779	93.6941	51.6009	86.4401	57.7236	93.6199	56.7771	76.679	53.399	93.4939	46.5442	70.1852	60.0209	66.5543	60.4876	77.5696	70.8337	52.8522	54.1616	85.4027	80.3092	55.6473
ABI3BP	ABI3BP	25890	3.04919	0.220554	2.19048	0.369444	3.6797	0.35423	2.37515	0.276779	1.48122	0.127193	11.7149	2.19562	3.03932	1.15772	0.307817	0.334703	2.63027	1.34183	0.506048	2.38032	3.69099	2.40299	2.00606	0.190339
ABL1	ABL1	25	35.5786	39.9621	34.9508	41.4215	44.3502	39.3701	32.5147	45.3893	37.6805	38.6027	32.2792	42.2393	44.6723	41.0357	38.7015	35.3818	41.6403	39.3436	38.2209	37.635	37.5832	38.0254	33.856	37.1611
ABL2	ABL2	27	10.634	7.24023	5.44662	6.12034	17.1585	8.30151	6.44424	6.34276	19.0882	6.96664	4.79262	5.77217	8.19155	5.38468	4.69405	3.46076	8.96798	5.63506	4.75798	10.5411	4.65903	6.4772	4.78336	4.79527
ABLIM1	ABLIM1	3983	12.1513	56.957	29.9815	15.4724	24.7376	60.5484	27.8962	12.6579	15.1841	38.4442	18.1591	9.79404	16.8611	32.5515	15.3945	8.00995	24.1036	38.6056	10.2876	18.5637	34.9034	17.7464	10.5317	15.8547
ABLIM2	ABLIM2	84448	2.63821	4.8531	0.83392	4.03998	1.99071	3.28111	0.676998	4.93412	1.94137	3.71235	1.60829	3.96311	2.54458	3.04423	2.97066	5.8413	2.48072	2.74812	5.68403	1.83337	2.91801	1.31224	4.23825	3.23672
ABLIM3	ABLIM3	22885	63.1394	0.0606095	0.266744	0.0467597	106.409	0.143276	0.307441	0.0773524	22.549	0.538096	0.602866	0.264897	11.3275	0.219159	0.0245169	0.0689381	15.5225	0.15059	0.174888	11.0504	0.206275	0.311248	0.370719	0.0864826
ABR	ABR	29	18.0869	23.4282	39.1372	20.3595	19.5136	23.8017	46.8097	16.2503	22.6922	27.5715	34.5312	19.8608	26.3108	23.0214	38.7792	20.5623	23.8317	20.5553	20.8055	25.658	26.6126	32.6202	19.5141	38.3037
ABRACL	ABRACL	58527	51.1878	57.8174	20.388	18.6306	37.0566	66.9104	28.1798	17.4718	33.7977	49.9549	36.224	23.5098	34.7677	52.0813	27.1069	23.9116	37.2156	61.6183	25.5317	39.6897	57.6707	25.7243	30.2564	28.7591
ABT1	ABT1	29777	0.401376	0.257505	0.0667415	0.0882707	0.236935	0.0691856	0.0415356	0	0.179073	0.244226	0.12783	0.118184	0.209056	0.198377	0.0474215	0.0787802	0.192358	0.148068	0.0867756	0.207234	0.139786	0	0.114784	0.0703753
ABTB1	ABTB1	80325	7.28831	1.71559	4.40004	3.02011	5.40582	1.43663	4.93147	2.5662	6.72285	1.66352	5.10498	3.2102	4.88602	3.6668	6.01152	4.89934	4.34019	1.9646	3.62324	4.5806	7.74888	5.77839	2.96388	5.83094
ABTB2	ABTB2	25841	3.2437	15.2489	27.6196	49.2658	3.73109	22.9217	32.065	34.0562	1.94167	18.1813	22.5192	44.4209	5.67642	32.5048	13.1774	52.1202	4.96544	29.4101	44.7277	4.19944	24.8322	14.016	38.649	12.9168
ACAA1	ACAA1	30	23.354	21.893	31.0313	22.6997	19.1932	19.8367	32.1649	20.0238	19.6038	20.4778	34.2294	23.9231	24.2503	26.5909	33.5977	31.6734	21.8786	25.3461	25.7885	23.2412	27.7613	30.9294	22.8296	30.4724
ACAA2	ACAA2	10449	74.3088	52.7852	34.7912	46.3838	57.0726	51.9771	36.481	46.5093	71.8553	43.6824	42.8851	48.0147	67.9319	50.1889	44.4292	54.3225	70.2073	48.3306	59.0848	62.718	61.6385	36.2487	49.3048	41.5599
ACACA	ACACA	31	25.9048	34.8617	25.9149	33.3942	38.1179	41.1525	24.5014	32.5415	31.3245	25.6857	28.2457	24.7094	33.0063	30.7171	33.1691	27.1683	31.4219	29.6741	27.5144	28.9784	24.7091	22.4419	28.9393	32.2795
ACACB	ACACB	32	1.93813	4.09702	1.79212	4.4788	4.11777	2.74514	2.2183	4.89293	4.61063	4.57087	3.23665	4.73579	1.63018	2.08491	6.44582	2.75994	3.17379	2.23601	4.0958	2.61866	2.336	5.31139	7.04391	5.59631
