	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
DNMT3B	DNMT3B	1789	5.75946	40.3195	2.98797	17.3323	7.10114	43.3052	2.21276	15.0943	9.20009	32.2647	2.22315	12.7487	7.55858	28.384	3.4133	12.1602	9.16955	31.8565	12.5756	8.28147	18.1155	2.86046	11.7019	3.36878
DNPEP	DNPEP	23549	19.346	8.9841	25.1197	14.3462	16.3595	12.6469	21.9019	12.5564	15.5902	10.8177	24.065	15.3216	16.7409	16.2464	25.0851	14.8039	16.7488	10.2377	14.1134	16.8644	16.7119	20.6615	14.7714	24.8263
DNPH1	DNPH1	10591	33.1022	23.4274	22.7021	15.3944	20.2527	16.2256	18.5617	12.0691	20.4458	18.8493	20.4499	13.1673	25.1054	22.2051	32.0478	20.3038	25.7353	21.4407	19.8208	15.8098	28.6678	18.1489	16.5438	27.0623
DNTTIP1	DNTTIP1	116092	28.0275	21.3857	22.1391	17.8195	18.5792	21.4103	22.2035	17.7382	21.3728	20.4809	21.6763	17.8986	24.0712	26.3035	23.8981	25.3549	20.956	25.5851	21.7033	20.7345	25.4127	22.5243	18.1934	21.6524
DNTTIP2	DNTTIP2	30836	44.7355	32.9201	29.6846	29.33	42.1395	36.2934	34.9878	29.8311	38.9369	31.8564	34.4382	28.9237	31.5919	30.7117	28.9036	28.1098	32.5921	31.8085	30.8201	35.8776	33.7217	29.041	28.7602	28.2192
DOC2A	DOC2A	8448	0.874817	3.10554	0.45452	1.88838	0.604071	3.05206	0.31048	2.2551	0.972905	4.51452	0.799939	2.23356	0.628453	3.15286	0.559128	2.33373	1.15424	2.67085	1.71855	1.18941	2.958	1.17127	3.24689	0.725127
DOC2GP	DOC2GP	390213	3.5996	0.343516	2.06241	1.31287	3.22281	0.0718774	1.78881	0.932521	1.8242	0.254518	1.79227	1.50757	3.17758	0.618232	2.95556	1.98048	4.58449	0.379244	1.29474	1.52484	0.312617	2.30626	1.65484	3.14541
DOCK1	DOCK1	1793	15.5519	23.9872	22.4313	31.8694	29.2429	25.5795	23.7769	27.2318	24.906	17.8153	28.7749	26.7885	23.3172	21.7996	27.4568	22.1043	26.1394	24.0791	24.1059	25.5147	21.5815	29.3766	25.9212	26.4979
DOCK10	DOCK10	55619	2.51993	2.54837	13.1371	5.61632	3.63404	3.64591	6.96737	4.12869	7.28494	4.10742	12.6315	7.05026	12.2818	3.37639	11.8391	4.04985	9.56281	4.15645	5.59687	17.8464	5.12173	23.4165	7.26221	11.296
DOCK11	DOCK11	139818	5.09448	4.83991	2.46117	3.46674	8.04025	4.93206	2.40692	3.33655	4.99639	6.45863	2.56536	4.41075	4.40449	4.11623	2.06628	2.97744	5.10315	5.24068	3.39447	6.70175	4.62862	2.84949	4.1291	1.92987
DOCK2	DOCK2	1794	0.440556	0.261563	1.1175	0.255944	0.0469201	0.202424	0.606036	0.353959	0.555957	0.100753	1.30136	0.122048	0.516319	0.0633053	0.712355	0.269569	0.483552	0.0168723	0.062221	0.629223	0.661916	1.17955	0.189487	1.46498
DOCK3	DOCK3	1795	0.0194065	0.707993	1.20048	0.797243	0.0636072	0.51585	0.811546	1.09601	0.0916825	1.29302	1.12568	1.09316	0.0454044	0.238249	1.5401	0.530803	0.0770829	0.258287	0.463207	0.117894	0.359638	2.2553	1.02987	1.69595
DOCK4	DOCK4	9732	3.24562	9.48728	12.5153	12.9968	3.98994	12.0404	13.6642	11.4616	4.65082	12.3733	10.9313	12.5735	6.77282	10.2468	8.64979	9.62478	5.87063	10.0004	8.72426	11.4028	10.6565	13.1963	10.239	9.23288
DOCK5	DOCK5	80005	1.67631	1.73067	4.91883	5.17733	2.56347	1.96241	5.63538	2.33428	3.8601	1.48384	6.36122	3.78712	2.36022	2.17114	8.61627	4.23759	2.25091	2.2238	4.70931	5.65239	5.79534	8.80419	4.04837	7.99011
DOCK6	DOCK6	57572	26.3862	14.5504	4.81428	8.06411	26.2416	18.4473	5.77856	4.96996	26.7166	23.1109	13.1368	19.4084	14.432	19.1687	9.39055	6.78751	16.863	17.2928	6.31412	21.5255	21.275	12.0273	14.5886	4.49404
DOCK7	DOCK7	85440	19.5236	24.8013	31.8586	33.9167	22.1045	28.4659	25.8273	28.8587	20.2279	23.4471	28.0673	28.3815	18.4198	22.5199	34.6956	23.3954	22.3695	25.952	24.209	22.3561	19.3366	39.2222	28.0078	31.3298
DOCK8	DOCK8	81704	0.457636	0.417803	0.0631786	0.0384693	0.695588	0.14482	0.158495	0.0234954	0.388825	0.0262635	0.0667668	0.0282252	0.465621	0.0305837	0.139564	0.025287	0.191177	0.080258	0.0307181	0.133131	0.0346259	0.109191	0.010381	0.303916
DOCK9	DOCK9	23348	24.9321	4.65168	4.68545	12.6266	38.7789	5.67628	3.29356	6.12352	34.8012	5.55402	5.17902	6.7199	21.131	10.0508	4.03066	3.30965	21.7297	9.94935	3.63918	24.2762	12.1494	4.44017	9.28813	4.62469
DOHH	DOHH	83475	8.57908	6.53774	7.99939	4.11947	7.55087	7.02627	8.90793	4.39318	5.98373	5.46927	8.43844	4.18721	8.40074	8.56218	9.27215	5.23985	5.6569	6.61333	5.7038	5.6986	7.36654	8.14639	4.9406	9.16744
DOK1	DOK1	1796	12.367	8.04643	14.6111	6.52013	6.71278	7.50965	14.2757	5.81719	15.8124	9.33576	14.5089	6.64362	14.8313	11.2591	19.9532	7.53698	8.55425	8.67599	6.89711	16.0561	10.9148	13.2092	8.6886	20.0141
DOK3	DOK3	79930	10.0682	4.83797	6.23456	2.70162	14.4857	5.75121	8.74627	3.02935	8.17006	6.08591	3.73808	3.0333	4.19002	4.74576	4.51624	2.36511	4.4495	3.46451	2.52225	4.5621	4.32879	5.00466	3.46872	3.03141
DOK4	DOK4	55715	9.49127	6.95599	7.1642	10.3881	8.0202	7.84519	6.03056	9.26579	11.907	10.3438	7.94636	13.4902	15.0242	11.6154	6.01007	11.6907	12.9986	10.0277	11.2845	16.3361	14.7829	4.90497	12.3206	6.69777
DOK5	DOK5	55816	23.4353	26.882	14.4168	6.81056	25.1654	25.7917	24.5158	4.42001	11.5744	28.5853	17.4318	1.52811	11.1699	28.1709	27.4623	8.77915	13.0966	25.5654	8.45023	7.04287	34.8299	13.5525	3.73457	35.6178
