	X	rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8
70	282	HMR_2344	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029144	277.247151720248	1.57037415651599	L	[c]
72	299	HMR_2942	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]
73	300	HMR_2943	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]
74	301	HMR_2944	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]
75	302	HMR_2945	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
76	303	HMR_2946	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
77	304	HMR_2947	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
78	305	HMR_2948	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
79	306	HMR_2951	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
80	307	HMR_2954	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
81	308	HMR_2955	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
82	309	HMR_2956	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
83	310	HMR_2957	Fatty acid synthesis	2182.1 or 23205.1 or 10965.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 122970.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
84	311	HMR_2961	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
85	312	HMR_2962	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
86	313	HMR_2963	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
87	314	HMR_2964	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
88	315	HMR_2965	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
89	316	HMR_2966	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
90	317	HMR_2967	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
91	318	HMR_2968	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
92	319	HMR_2969	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
93	320	HMR_2970	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
94	321	HMR_2971	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
95	322	HMR_2972	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
96	323	HMR_2973	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]
97	324	HMR_2974	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
98	325	HMR_2975	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
99	326	HMR_2976	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
100	327	HMR_2977	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
101	328	HMR_2978	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
102	329	HMR_2979	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
103	330	HMR_2980	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
104	331	HMR_2982	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
105	332	HMR_2983	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
106	333	HMR_2985	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
107	334	HMR_2986	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
108	335	HMR_2988	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
109	336	HMR_2989	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
110	337	HMR_2990	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
