subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula
Fatty acid oxidation	FVA_BD_NR_norm_t2	C12DCACT	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + dodecanac[c]  -> amp[c] + ppi[c] + c12dccoa[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	C30CPT1	carnitine shuttle	[c]	ppcoa[c] + crn[c]  <=> coa[c] + pcrn[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	C40CPT1	carnitine shuttle	[c]	crn[c] + btcoa[c]  <=> coa[c] + c4crn[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	CSNATp	NA	[x]	accoa[x] + crn[x]  <=> coa[x] + acrn[x] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC12DCTc	NA	intercompartmental	c12dc[x]  <=> c12dc[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC12DCc	carnitine shuttle	[c]	crn[c] + c12dccoa[c]  <=> coa[c] + c12dc[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC12DCx	carnitine shuttle	[x]	crn[x] + c12dccoa[x]  <=> coa[x] + c12dc[x] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC164C143m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC164C165m	betaoxidation	[m]	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC164m	betaoxidation	[m]	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC165C164m	betaoxidation	[m]	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC184C164m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + strdnccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 4hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	HMR_9719	NA	[m]	8 h2o[m] + 8 nad[m] + 8 coa[m] + 4 fad[m] + strdnccoa[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 4 fadh2[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	LNLNCGCPT1	carnitine shuttle	[c]	crn[c] + lnlncgcoa[c]  <=> coa[c] + lnlncgcrn[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	r0636	carnitine shuttle	[m]	coa[m] + c8crn[m]  <=> crn[m] + occoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	r1401	carnitine shuttle	intercompartmental	btcoa[m] + crn[c]  <=> crn[m] + btcoa[c] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	C160CPT2	carnitine shuttle	[m]	coa[m] + pmtcrn[m]  <=> crn[m] + pmtcoa[m] 
Fatty acid oxidation	FVA_BD_NR_norm_t2	FAOXC18480m	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + fad[m] + strdnccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + fadh2[m] + occoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_2705	NA	[c]	crn[c] + CE5155[c]  <=> coa[c] + M01727[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3218	NA	[m]	fad[m] + CE5155[m]  -> fadh2[m] + CE5154[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3219	NA	[m]	h2o[m] + CE5154[m]  -> CE5153[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3220	NA	[m]	nad[m] + CE5153[m]  -> h[m] + nadh[m] + CE5152[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3221	NA	[m]	coa[m] + CE5152[m]  -> accoa[m] + CE5151[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3422	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 5 fad[m] + dcsptn1coa[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 5 fadh2[m] 
Fatty acid oxidation	MTA_BD_NR_abs	ADRNCPT2	carnitine shuttle	[m]	coa[m] + adrncrn[m]  <=> adrncoa[m] + crn[m] 
Fatty acid oxidation	MTA_BD_NR_abs	2MB2COAc	NA	intercompartmental	2mb2coa[m]  <=> 2mb2coa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C51CPT1	carnitine shuttle	[c]	crn[c] + 2mb2coa[c]  <=> coa[c] + c51crn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	TIGCRNe	NA	intercompartmental	c51crn[c]  -> c51crn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	C142ACBP	NA	intercompartmental	3ttetddcoa[m]  <=> 3ttetddcoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C142OHc	carnitine shuttle	[c]	crn[c] + 3ttetddcoa[c]  <=> coa[c] + 3ttetddcoacrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C142OHe	NA	intercompartmental	3ttetddcoacrn[c]  -> 3ttetddcoacrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC142C142OHm	betaoxidation	[m]	h2o[m] + fad[m] + ttetddcoa[m]  -> fadh2[m] + 3ttetddcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3204	NA	[m]	nad[m] + M00797[m]  -> h[m] + nadh[m] + M00899[m] 
Fatty acid oxidation	MTA_BD_NR_abs	C161OHc	carnitine shuttle	[c]	crn[c] + 3hdeccoa[c]  <=> coa[c] + 3hdececrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC161C161OHm	betaoxidation	[m]	h2o[m] + fad[m] + hdcoa[m]  -> fadh2[m] + 3hdeccoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HDECEACBP	NA	intercompartmental	3hdeccoa[m]  <=> 3hdeccoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HEDCECRNe	NA	intercompartmental	3hdececrn[c]  -> 3hdececrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_2771	NA	[c]	crn[c] + M00023[c]  <=> h[c] + coa[c] + M00022[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3424	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 8 fad[m] + M00023[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 8 fadh2[m] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC11C9m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + undcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + noncoa[m] 
