subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula
N-glycan synthesis	FVA_BD_NR_norm_t1	DOLMANP_Uter	NA	intercompartmental	0.1 dolmanp_U[c]  -> 0.1 dolmanp_U[r] 
N-glycan synthesis	FVA_BD_NR_norm_t1	DOLPMT3_Uer	NA	[c]	gdpmann[c] + 0.1 dolp_U[c]  -> gdp[c] + 0.1 dolmanp_U[c] 
N-glycan synthesis	FVA_BD_NR_norm_t1	DOLPMT4_Uer	NA	intercompartmental	0.1 dolp_U[r]  -> 0.1 dolp_U[c] 
N-glycan synthesis	MTA_BD_NR_norm_t2	DOLMANP_Uter	NA	intercompartmental	0.1 dolmanp_U[c]  -> 0.1 dolmanp_U[r] 
N-glycan synthesis	MTA_BD_NR_norm_t2	DOLPMT3_Uer	NA	intercompartmental	gdpmann[c] + 0.1 dolp_U[c]  -> gdp[c] + 0.1 dolmanp_U[c] 
N-glycan synthesis	MTA_BD_NR_norm_t2	DOLPMT4_Uer	NA	intercompartmental	0.1 dolp_U[r]  -> 0.1 dolp_U[c] 
