	reactionIdentifier	lineWidth	color
1	r_HMR_6549	3	#FF0000
2	r_HMR_6564	3	#FF0000
3	r_HMR_6580	3	#FF0000
4	r_HMR_6584	3	#FF0000
5	r_HMR_7652	3	#FF0000
6	r_MI1345PP	3	#FF0000
7	r_MI134PP	3	#FF0000
8	r_MI145PK	3	#FF0000
9	r_MI14P4P	3	#FF0000
10	r_MI14PP	3	#FF0000
11	r_MI1PP	3	#FF0000
12	r_MI1PS	3	#FF0000
13	r_MI34PP	3	#FF0000
14	r_MI3PP	3	#FF0000
15	r_MI4PP	3	#FF0000
16	r_PI345P5P	3	#FF0000
17	r_PI34P5K	3	#FF0000
18	r_PI3P4K	3	#FF0000
19	r_PI3P5K	3	#FF0000
20	r_PI45P3K	3	#FF0000
21	r_PI4P3K	3	#FF0000
22	r_PI5P4K	3	#FF0000
23	r_PIK3	3	#FF0000
24	r_PIPLC	3	#FF0000
25	r_PMI12346PH	3	#FF0000
26	r_PMI12346PHn	3	#FF0000
28	r_MI1345PKc	3	#FF0000
29	r_MI13456PK	3	#FF0000
33	r_MI145PP	3	#FF0000
