SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	15.5197	29.6326	14.4772	17.1667	NA	NA	NA	NA
A1BG-AS1	503538	9.39297	6.65112	8.65351	6.04951	NA	NA	NA	NA
A2M	2	494.523	561.751	410.591	427.721	NA	NA	NA	NA
A2M-AS1	144571	0.634083	0.505196	0.731446	0.616001	NA	NA	NA	NA
A2ML1	144568	0.300282	0.310412	1.12999	0.213037	NA	NA	NA	NA
A4GALT	53947	0.154585	0.79883	0.195539	0	NA	NA	NA	NA
AAAS	8086	34.0043	31.0963	35.4874	36.9494	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	6.06703	9.66255	11.703	7.07078	NA	NA	NA	NA
AADAT	51166	7.52453	8.71281	13.3574	8.90272	NA	NA	NA	NA
AAGAB	79719	42.9876	40.4579	31.371	39.3874	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	5.34892	6.5949	7.08209	6.72938	NA	NA	NA	NA
AAMDC	28971	22.4627	28.1704	14.1215	20.1775	NA	NA	NA	NA
AAMP	14	114.629	101.935	102.917	91.4554	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	10.7752	11.8767	10.0858	10.0991	NA	NA	NA	NA
AARD	441376	0.0509445	0.17749	0.126042	0.0480437	NA	NA	NA	NA
AARS2	57505	7.85873	8.60159	5.63201	7.48564	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	19.0761	16.8489	21.1415	23.4638	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	20.5207	15.225	14.9983	16.737	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	36.3465	40.3775	36.583	43.3827	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	36.867	26.5664	39.8248	33.3824	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	25.9221	26.8746	20.43	18.6228	NA	NA	NA	NA
AATK	9625	1.04619	0.68195	1.70426	1.40449	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	65.3389	80.2173	64.352	56.3974	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	38.9894	34.2168	20.0108	62.6735	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0	0.131156	0.0241806	0.0765014	NA	NA	NA	NA
ABCA12	26154	0.138646	0.0889661	0.0830163	0.0679565	NA	NA	NA	NA
ABCA13	154664	0.135762	0.374871	0.235438	0.083926	NA	NA	NA	NA
ABCA17P	650655	0.345274	0.285464	0.266871	0.162103	NA	NA	NA	NA
ABCA2	20	18.2024	19.6365	20.5812	23.3182	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	29.6744	23.6311	18.6119	16.8061	NA	NA	NA	NA
ABCA4	24	0.136445	0.983748	0.383216	0.0400192	NA	NA	NA	NA
ABCA5	23461	1.67041	5.36474	1.92178	1.96252	cerebral-cortex	glial-cells	Low	Approved
ABCA7	10347	3.31731	7.09407	4.11397	2.28992	NA	NA	NA	NA
ABCA8	10351	40.6954	15.8046	2.14612	18.5072	NA	NA	NA	NA
ABCB1	5243	0.150099	1.46138	4.5289	1.62709	NA	NA	NA	NA
ABCB10	23456	2.93313	3.47835	4.88196	2.70272	NA	NA	NA	NA
ABCB4	5244	0.0305511	0.451997	0.69145	1.04773	NA	NA	NA	NA
ABCB5	340273	0.053335	0.101216	0.257948	0.0503225	NA	NA	NA	NA
ABCB6	10058	32.4659	21.2468	15.8664	25.198	NA	NA	NA	NA
ABCB7	22	23.4198	13.86	16.8685	21.3903	NA	NA	NA	NA
ABCB8	11194	12.8218	11.9849	13.2766	13.8282	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	1.21526	4.1312	3.68444	1.28848	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	2.52082	4.13911	4.07743	3.46371	NA	NA	NA	NA
ABCC10	89845	9.83937	10.9533	8.06105	8.01913	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.522862	0.687202	0.103162	0.736747	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.0954731	0.143114	0.173092	0.157766	NA	NA	NA	NA
ABCC3	8714	1.34598	2.00816	0.894373	3.2183	NA	NA	NA	NA
ABCC4	10257	14.6749	25.6263	5.82441	13.6104	NA	NA	NA	NA
ABCC5	10057	15.3096	13.0861	21.786	23.2439	NA	NA	NA	NA
ABCC6	368	1.48413	1.0647	0.781203	1.62827	NA	NA	NA	NA
ABCC6P1	653190	3.28585	1.78565	3.47126	3.20535	NA	NA	NA	NA
ABCC6P2	730013	0.828676	0.721525	0.657221	0.683805	NA	NA	NA	NA
ABCC8	6833	0	0	0.108289	0.319635	NA	NA	NA	NA
ABCC9	10060	35.0188	9.93427	23.2144	12.9133	NA	NA	NA	NA
ABCD2	225	3.57026	4.1157	5.10462	2.12871	NA	NA	NA	NA
ABCD3	5825	44.6691	33.7383	42.7241	49.8182	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	30.6354	28.2947	34.4154	38.95	NA	NA	NA	NA
ABCE1	6059	40.1781	31.4762	41.4252	36.1346	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	40.8368	34.1086	38.3971	39.4257	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.0641555	0.16758	0.180912	0.635276	NA	NA	NA	NA
ABCF3	55324	43.8269	42.7324	41.8347	38.7394	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.462275	1.78227	0.827074	0.339417	NA	NA	NA	NA
ABCG4	64137	0.6168	0.614543	0.610937	0.335588	NA	NA	NA	NA
ABCG5	64240	0.0533811	0.0985813	0.11398	0.180588	NA	NA	NA	NA
ABHD1	84696	1.4123	1.57831	1.9976	1.26305	NA	NA	NA	NA
ABHD10	55347	38.0427	32.164	29.3277	36.2845	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.0857559	0.0373186	0	0.16177	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	27.7457	28.4494	27.2277	37.5961	NA	NA	NA	NA
ABHD12B	145447	0.427021	0.576957	0.0141629	0.875445	NA	NA	NA	NA
ABHD13	84945	3.92531	4.11217	4.52489	5.09162	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	13.0921	17.5527	17.1673	11.0623	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0	0.085468	0.141635	0	NA	NA	NA	NA
ABHD14B	84836	2.4778	1.85217	1.48226	1.79601	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.57824	2.54782	1.59238	1.08484	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	1.74159	1.90144	1.66977	1.08878	NA	NA	NA	NA
ABHD17A	81926	13.4212	13.1862	9.80401	9.47059	NA	NA	NA	NA
ABHD17AP3	648359	0.152267	0.198869	0.322025	0.269237	NA	NA	NA	NA
ABHD17B	51104	6.29401	8.87179	10.0839	8.6846	NA	NA	NA	NA
ABHD17C	58489	26.7632	9.45356	9.43278	19.5955	NA	NA	NA	NA
ABHD2	11057	30.448	52.4884	37.7805	28.3264	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	7.31815	9.38231	10.8776	8.83612	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	22.0947	20.1767	24.0658	24.2849	NA	NA	NA	NA
ABHD5	51099	13.7453	12.4755	10.7965	13.2754	NA	NA	NA	NA
ABHD6	57406	16.8459	19.4252	13.7849	14.0297	NA	NA	NA	NA
ABHD8	79575	9.54588	7.43236	6.62187	9.32895	NA	NA	NA	NA
ABI1	10006	47.4483	42.6791	46.3247	52.6955	NA	NA	NA	NA
ABI2	10152	133.025	116.879	124.864	103.53	NA	NA	NA	NA
ABI3BP	25890	0.248848	0.327875	0.989717	0.823196	NA	NA	NA	NA
ABL1	25	24.9941	25.346	28.1298	22.8476	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	3.07635	3.59858	4.98778	4.9026	NA	NA	NA	NA
ABLIM1	3983	103.094	60.1112	42.6825	33.7623	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	1.9111	4.02383	3.47695	1.70086	NA	NA	NA	NA
ABLIM3	22885	1.20006	0.508385	0.0672544	0.80547	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	177.432	134.377	88.8761	95.2361	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	15.6579	12.9024	17.5715	14.1711	NA	NA	NA	NA
ABT1P1	100420695	0.0574706	0	0.182324	0	NA	NA	NA	NA
ABTB1	80325	0.574871	2.45077	1.84451	0.832277	NA	NA	NA	NA
ABTB2	25841	0.904101	1.49086	1.82853	1.23699	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	22.2425	21.8474	31.6881	23.0141	NA	NA	NA	NA
ACAA2	10449	25.3874	31.9317	31.4632	26.9968	NA	NA	NA	NA
ACACA	31	35.5123	24.6751	33.2616	47.684	NA	NA	NA	NA
ACACB	32	8.64112	9.20338	9.37682	8.55005	NA	NA	NA	NA
ACAD10	80724	13.2878	14.5597	14.7821	13.1256	NA	NA	NA	NA
ACAD11	84129	37.6726	22.1732	20.6421	22.7906	NA	NA	NA	NA
ACAD8	27034	15.1527	13.0083	15.9084	16.4503	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	19.029	20.3674	20.9725	19.376	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	2.6101	1.59257	2.19788	1.07334	NA	NA	NA	NA
ACADM	34	46.0013	42.4628	41.5634	39.3435	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	1.39572	3.46373	2.87715	1.26283	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	3.24433	6.07409	4.7563	5.1928	NA	NA	NA	NA
ACADVL	37	307.797	219.966	150.634	249.708	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	0.513036	0.194388	0.112007	2.21544	NA	NA	NA	NA
ACAP1	9744	13.4702	15.6361	7.49533	11.9045	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	48.3248	38.2176	51.9241	52.6856	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0.874448	1.04689	1.15586	1.34006	NA	NA	NA	NA
ACAP3	116983	35.3863	38.292	32.8892	33.0816	NA	NA	NA	NA
ACAT1	38	155.223	102.517	88.9039	113.633	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	68.753	73.4596	79.1185	90.3449	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	39.5288	28.3255	27.1446	32.8324	NA	NA	NA	NA
ACBD4	79777	5.10823	6.85846	3.60948	3.17742	NA	NA	NA	NA
ACBD5	91452	35.4845	35.3783	32.5003	33.9697	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	28.4457	32.5834	32.2937	29.6055	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	6.5791	6.93219	7.4613	2.15808	NA	NA	NA	NA
ACCS	84680	2.76606	0.223356	0.38938	0.332635	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	16.1126	16.9613	17.5757	14.0095	NA	NA	NA	NA
ACE2	59272	0.468765	0.160343	0.190791	0.198221	NA	NA	NA	NA
ACER2	340485	1.24676	1.70879	1.53021	0.668014	NA	NA	NA	NA
ACER3	55331	4.96485	3.73198	4.6895	4.30382	NA	NA	NA	NA
ACHE	43	2.25201	2.73976	1.38779	8.68223	NA	NA	NA	NA
ACIN1	22985	89.3538	79.5782	100.061	112.87	cerebral-cortex	glial-cells	High	Supported
ACKR3	57007	6.41787	8.22531	2.33986	17.889	NA	NA	NA	NA
ACKR4	51554	0.0831994	0	0.277461	0.494841	NA	NA	NA	NA
ACLY	47	0.305312	0.285238	0.386478	0.25443	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.212786	0.169534	0.592332	1.06689	NA	NA	NA	NA
ACO1	48	12.0006	14.0962	14.1972	12.9369	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	67.4479	53.7155	36.1428	64.1436	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	0.0471299	0.0615497	0.348854	0.235516	NA	NA	NA	NA
ACOT11	26027	0.553701	0.322596	0.088442	0.190277	NA	NA	NA	NA
ACOT12	134526	0.259986	0.148116	0.236011	1.04891	NA	NA	NA	NA
ACOT13	55856	19.6726	14.4363	8.07524	14.2625	NA	NA	NA	NA
ACOT2	10965	1.2907	0.976185	1.82028	1.43816	NA	NA	NA	NA
ACOT7	11332	6.60639	10.0533	9.8535	8.39973	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	29.5481	20.2003	12.8586	21.5427	NA	NA	NA	NA
ACOT9	23597	26.325	21.3147	16.8141	24.0947	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	99.8566	79.9063	92.1935	82.1702	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	3.12698	6.26815	4.5866	2.36869	NA	NA	NA	NA
ACOX3	8310	12.7698	14.446	9.9596	9.38484	NA	NA	NA	NA
ACP1	52	70.5289	79.7631	79.2579	74.1403	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	32.9615	38.974	29.0297	27.0792	NA	NA	NA	NA
ACP5	54	0.0932875	0.121838	0.159031	0.264622	NA	NA	NA	NA
ACRBP	84519	0.666341	0.53874	0.436725	0.915843	NA	NA	NA	NA
ACRV1	56	0.251287	0.400333	0.431714	0.900559	NA	NA	NA	NA
ACSBG1	23205	0.365719	4.15189	7.68804	0.852419	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.368742	0.481484	0.795984	0.449849	NA	NA	NA	NA
ACSF2	80221	12.5549	21.1197	7.19549	11.5973	NA	NA	NA	NA
ACSF3	197322	23.9578	22.7683	22.6036	24.7805	NA	NA	NA	NA
ACSL1	2180	1.00804	3.17687	3.6143	2.40997	NA	NA	NA	NA
ACSL3	2181	80.2474	69.5169	76.9986	75.0196	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	14.2038	12.5472	9.72762	14.8003	NA	NA	NA	NA
ACSL5	51703	0.3335	0.298925	0.171238	0.359972	NA	NA	NA	NA
ACSL6	23305	2.35578	4.43993	1.18566	0.994201	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	2.7233	4.03101	3.35941	3.84552	NA	NA	NA	NA
ACSS1	84532	0.403556	3.75236	4.77299	0.436541	NA	NA	NA	NA
ACSS2	55902	32.0755	29.0758	28.0069	27.9185	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	31.3892	24.8453	21.9216	32.0973	NA	NA	NA	NA
ACTA1	58	0.0347248	0.108217	0.587239	0.245616	NA	NA	NA	NA
ACTA2	59	38.0991	142.892	62.9912	87.1306	NA	NA	NA	NA
ACTA2-AS1	100132116	0.160525	0.462908	0.147878	0.318414	NA	NA	NA	NA
ACTB	60	970.407	1515.26	1710.62	916.929	NA	NA	NA	NA
ACTBP2	62	2.93693	4.44141	5.63939	1.2573	NA	NA	NA	NA
ACTBP7	67	0.424622	0.10085	0.571495	1.8566	NA	NA	NA	NA
ACTC1	70	0	0.106959	0.173204	0.0129057	NA	NA	NA	NA
ACTG1	71	4.25159	8.25321	6.66369	3.69327	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.499121	0.351009	0.527803	2.00953	NA	NA	NA	NA
ACTG1P3	75	0.234158	0.101946	0.412675	0.44166	NA	NA	NA	NA
ACTG1P4	648740	0.0767561	0.32446	0.279168	0.579611	NA	NA	NA	NA
ACTG2	72	0.361757	1.60162	0.0932536	2.24404	NA	NA	NA	NA
ACTL10	170487	0.559482	0.687653	0.782333	0.509555	NA	NA	NA	NA
ACTL6A	86	63.405	72.2513	82.6222	46.6375	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.160116	2.98858	2.34767	4.05817	NA	NA	NA	NA
ACTN1	87	71.3248	54.2916	30.8431	29.8285	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0.0895368	0.528477	0	0.184	NA	NA	NA	NA
ACTN2	88	1.85645	2.43097	5.24846	2.47572	NA	NA	NA	NA
ACTN4	81	167.575	177.442	175.259	113.605	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.570056	0.818969	0.753516	0.564477	NA	NA	NA	NA
ACTR10	55860	149.172	97.2794	113.443	129.106	NA	NA	NA	NA
ACTR1A	10121	66.7826	73.854	76.5189	105.205	NA	NA	NA	NA
ACTR1B	10120	18.4956	17.1228	17.6343	17.6849	NA	NA	NA	NA
ACTR2	10097	32.8194	31.7183	31.9014	34.7494	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	268.349	259.748	143.157	210.451	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	6.53041	7.01484	2.14242	2.35955	NA	NA	NA	NA
ACTR3C	653857	0.900962	0.78053	1.14406	0.845402	NA	NA	NA	NA
ACTR3P2	100129013	1.24837	1.45416	0.570855	1.00228	NA	NA	NA	NA
ACTR5	79913	2.60858	2.72096	3.38793	2.87281	NA	NA	NA	NA
ACTR6	64431	14.8733	13.4468	13.8081	17.1964	NA	NA	NA	NA
ACTR8	93973	18.2228	31.0484	25.7962	29.6401	NA	NA	NA	NA
ACTRT3	84517	0.0394983	0.0773798	0.250608	0.139685	NA	NA	NA	NA
ACVR1	90	2.9154	3.13668	4.93483	3.40538	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	10.4756	7.13998	9.96751	10.0081	NA	NA	NA	NA
ACVR2A	92	18.7184	15.7429	24.3344	23.72	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	6.16857	7.69132	10.2878	6.82406	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.476872	0.582635	1.18749	0.565776	NA	NA	NA	NA
ACY1	95	5.27327	8.01496	4.75902	6.5831	NA	NA	NA	NA
ACYP1	97	8.86253	7.11983	9.61237	9.17919	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	10.3811	15.3203	9.70364	13.1873	NA	NA	NA	NA
ADA	100	2.42638	3.16088	3.19043	1.35442	NA	NA	NA	NA
ADAL	161823	6.37254	10.6233	7.81971	8.47686	NA	NA	NA	NA
ADAM10	102	122.193	89.2428	96.3004	116.993	NA	NA	NA	NA
ADAM11	4185	0.321594	0.835234	0.583472	1.62812	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	4.8651	15.4831	5.13554	13.1533	NA	NA	NA	NA
ADAM15	8751	15.6531	19.0914	13.9608	14.4167	NA	NA	NA	NA
ADAM17	6868	32.7756	32.5364	26.3269	29.0668	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	8.04123	11.5245	1.78615	11.5154	NA	NA	NA	NA
ADAM1A	8759	3.55683	3.9101	4.12076	4.05174	NA	NA	NA	NA
ADAM1B	100420505	0.158432	0.15519	0.209421	0.280146	NA	NA	NA	NA
ADAM20	8748	0.260952	0.161438	0.450229	0.932564	NA	NA	NA	NA
ADAM20P1	317760	0.394305	0.193271	0.295373	1.18136	NA	NA	NA	NA
ADAM21	8747	0.225296	0.337635	0.734495	1.05065	NA	NA	NA	NA
ADAM21P1	145241	0.0771122	0.0503547	0.163094	0.163627	NA	NA	NA	NA
ADAM22	53616	8.78375	5.82222	7.96267	7.99202	NA	NA	NA	NA
ADAM23	8745	14.6436	10.7334	15.9478	14.8013	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	0.461098	0.927191	0.588316	0.361139	NA	NA	NA	NA
ADAM32	203102	11.8249	8.44254	13.2797	23.7379	NA	NA	NA	NA
ADAM33	80332	0.128928	0.359217	0.257465	0.046504	NA	NA	NA	NA
ADAM3B	1596	0.278968	0.218559	0.176897	1.10451	NA	NA	NA	NA
ADAM5	255926	0.812721	0.387426	1.05536	0.768854	NA	NA	NA	NA
ADAM8	101	0.772858	0.447755	0.41867	1.58501	NA	NA	NA	NA
ADAM9	8754	369.093	293.997	228.649	283.449	NA	NA	NA	NA
ADAMTS1	9510	1.17495	13.9942	3.32553	3.48079	NA	NA	NA	NA
ADAMTS10	81794	0	0.0144509	0.650411	0.268253	NA	NA	NA	NA
ADAMTS12	81792	8.64948	9.85174	6.47343	3.97173	NA	NA	NA	NA
ADAMTS14	140766	0.528158	0.772523	0.603138	2.17165	NA	NA	NA	NA
ADAMTS15	170689	49.1258	13.5809	7.56495	46.175	NA	NA	NA	NA
ADAMTS16	170690	53.8019	26.1248	16.9147	9.28449	NA	NA	NA	NA
ADAMTS17	170691	1.06765	3.88769	1.59196	0.595524	NA	NA	NA	NA
ADAMTS18	170692	0.0249186	0.211042	0	0.212343	NA	NA	NA	NA
ADAMTS19	171019	0.113254	0.437561	0.0149705	0.836711	NA	NA	NA	NA
ADAMTS2	9509	4.21569	2.12831	0.143724	2.77425	NA	NA	NA	NA
ADAMTS20	80070	0	1.6118	0.0255007	0.0911238	NA	NA	NA	NA
ADAMTS3	9508	30.567	27.0583	19.5345	7.81363	NA	NA	NA	NA
ADAMTS4	9507	4.41776	5.12004	0.233996	8.17808	NA	NA	NA	NA
ADAMTS6	11174	5.18782	4.37028	4.36316	7.34797	NA	NA	NA	NA
ADAMTS7	11173	2.47303	4.75106	5.94688	6.00844	NA	NA	NA	NA
ADAMTS8	11095	1.04444	0.250631	2.52898	0.615559	NA	NA	NA	NA
ADAMTS9	56999	4.05489	8.08486	3.5349	3.22131	NA	NA	NA	NA
ADAMTS9-AS1	101929335	0.309935	0.290129	0.647325	0.483375	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.323324	2.25541	1.21382	0.701387	NA	NA	NA	NA
ADAMTSL1	92949	1.34123	0.827547	8.51339	4.19125	NA	NA	NA	NA
ADAMTSL3	57188	2.58128	0.802894	0.188957	1.76894	NA	NA	NA	NA
ADAMTSL4	54507	0.524581	0.826417	1.77543	0.65297	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	3.2063	2.57696	4.56419	2.09335	NA	NA	NA	NA
ADAMTSL5	339366	0.441358	0.244507	0.402095	0.584139	NA	NA	NA	NA
ADAP1	11033	6.61488	1.59389	3.27003	4.17334	NA	NA	NA	NA
ADAP2	55803	1.45644	2.26587	1.24342	1.50583	NA	NA	NA	NA
ADAR	103	55.6922	54.9993	69.5564	58.0673	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	1.44121	3.25359	4.88983	2.89924	NA	NA	NA	NA
ADAT1	23536	20.7384	25.89	26.2322	27.6122	NA	NA	NA	NA
ADAT2	134637	1.40819	1.78335	3.43547	2.71913	NA	NA	NA	NA
ADAT3	113179	1.38367	1.66131	3.16909	1.79509	NA	NA	NA	NA
ADCK1	57143	4.291	3.25178	1.98688	4.43445	NA	NA	NA	NA
ADCK2	90956	5.05382	6.1737	3.91558	3.69071	cerebral-cortex	glial-cells	Medium	Approved
ADCK5	203054	0.364913	0.959623	0.874098	0	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	6.07779	4.95717	5.10721	15.3567	NA	NA	NA	NA
ADCY10P1	221442	0.502842	0.546271	0.924788	0.717838	NA	NA	NA	NA
ADCY2	108	47.3443	70.5133	43.7877	41.2374	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	17.2516	24.8784	23.0866	9.48713	cerebral-cortex	glial-cells	Low	Approved
ADCY5	111	4.13968	2.9095	5.18957	6.06664	NA	NA	NA	NA
ADCY6	112	23.0944	29.8821	29.8028	20.6899	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	3.76359	1.80809	3.25402	4.2544	NA	NA	NA	NA
ADCY8	114	10.9172	14.1941	3.46565	6.31138	NA	NA	NA	NA
ADCY9	115	16.1756	13.9961	9.81212	14.8213	cerebral-cortex	glial-cells	Medium	Approved
ADCYAP1R1	117	4.5519	10.8888	5.0347	11.7667	NA	NA	NA	NA
ADD1	118	281.3	276.843	255.138	246.355	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	463.728	285.345	220.438	204.636	cerebral-cortex	glial-cells	Medium	Supported
ADGB	79747	0.810261	0.179536	0.0673242	0.224084	NA	NA	NA	NA
ADH1A	124	0.0947379	0.116331	0.211536	0.416183	NA	NA	NA	NA
ADH4	127	0.0607159	0.372886	0.704541	1.077	NA	NA	NA	NA
ADH5	128	81.5755	84.6842	82.7918	89.9893	NA	NA	NA	NA
ADH5P3	100131810	0.647121	0.198868	0.563546	1.40003	NA	NA	NA	NA
ADH5P4	642443	1.81501	2.26735	1.62721	1.89772	NA	NA	NA	NA
ADH6	130	1.58712	1.83611	1.84643	4.05294	NA	NA	NA	NA
ADHFE1	137872	2.26655	4.57934	3.53715	2.67209	NA	NA	NA	NA
ADI1	55256	20.9184	19.0901	12.7931	36.7858	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	30.8667	31.1651	28.1176	27.1098	NA	NA	NA	NA
ADIPOR1P2	390503	0.115127	0.150361	0.182614	0.244286	NA	NA	NA	NA
ADIPOR2	79602	9.53466	8.61421	11.5111	12.9212	NA	NA	NA	NA
ADIRF-AS1	100133190	0.117988	0.119076	0.124816	0.886451	NA	NA	NA	NA
ADK	132	29.3889	28.9498	46.9208	36.8625	NA	NA	NA	NA
ADM	133	6.63924	7.07127	4.79541	13.8163	NA	NA	NA	NA
ADM2	79924	0.106309	0.27776	0.130375	0.451149	NA	NA	NA	NA
ADM5	199800	0.279578	0.416927	0.804182	0.646077	NA	NA	NA	NA
ADNP	23394	9.28085	13.3556	22.0754	19.2209	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	23.8108	15.2771	17.0818	22.3976	NA	NA	NA	NA
ADO	84890	13.6228	13.7132	11.9687	11.0037	NA	NA	NA	NA
ADORA1	134	8.84235	12.355	3.61368	2.62563	NA	NA	NA	NA
ADORA2A	135	0.61332	1.88309	2.62428	3.16007	NA	NA	NA	NA
ADORA2A-AS1	646023	0.179721	0.0672719	0.178856	0.49614	NA	NA	NA	NA
ADORA2B	136	11.0212	6.98961	7.27348	4.45826	NA	NA	NA	NA
ADPGK	83440	20.6907	25.267	21.5851	32.1072	NA	NA	NA	NA
ADPGK-AS1	100287559	0.186188	0.327395	0.537092	0.456111	NA	NA	NA	NA
ADPRH	141	0.65826	1.06565	0.455184	1.01139	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	1.09585	1.13908	0.869132	0.897918	NA	NA	NA	NA
ADPRHL2	54936	26.5935	18.7142	14.4332	13.7077	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	4.84043	4.34442	4.80815	6.5276	NA	NA	NA	NA
ADRA1A	148	2.30675	3.04307	6.84709	5.89044	cerebral-cortex	glial-cells	Medium	Approved
ADRA1B	147	0.231801	0.0908228	0.171585	0.131162	NA	NA	NA	NA
ADRA1D	146	0.762611	1.93563	1.32377	1.13984	NA	NA	NA	NA
ADRA2C	152	0.0767639	0.418589	0.0391227	0.324927	NA	NA	NA	NA
ADRB1	153	0.0669424	0.244803	0.141578	0.0946961	cerebral-cortex	glial-cells	Low	Enhanced
ADRB2	154	1.20049	0.404617	0.348082	0.657368	NA	NA	NA	NA
ADRM1	11047	55.507	52.969	51.2695	56.5191	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	32.9929	28.2963	29.6438	32.216	cerebral-cortex	glial-cells	Medium	Enhanced
AEBP1	165	11.5163	27.2014	22.0297	29.4167	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	64.327	35.8866	40.3158	34.0108	NA	NA	NA	NA
AEN	64782	18.9629	22.4886	24.296	18.6237	NA	NA	NA	NA
AFAP1	60312	9.41697	11.0702	17.2187	8.88039	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1-AS1	84740	0.212383	0.196665	0.448657	0.243392	NA	NA	NA	NA
