SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CCDC183	84960	0.688182	0.902108	1.38366	2.21618	NA	NA	NA	NA
CCDC183-AS1	100131193	0.305991	0.366797	0.917577	0.261373	NA	NA	NA	NA
CCDC22	28952	0.201854	0.285599	0.177877	0	NA	NA	NA	NA
CCDC24	149473	14.7739	9.25977	6.15842	7.74131	NA	NA	NA	NA
CCDC25	55246	32.4201	35.9175	31.8643	28.1652	cerebral-cortex	glial-cells	Medium	Approved
CCDC28A	25901	3.63162	3.30576	2.82204	3.54159	NA	NA	NA	NA
CCDC28B	79140	28.6426	32.0865	20.6074	33.4846	NA	NA	NA	NA
CCDC3	83643	0.224406	0.565534	0.63173	2.35147	NA	NA	NA	NA
CCDC30	728621	33.8079	17.2496	17.2047	25.3037	NA	NA	NA	NA
CCDC34	91057	33.4987	23.9831	12.158	16.4036	NA	NA	NA	NA
CCDC36	339834	0.0674104	0.0880414	0.203034	0.269125	NA	NA	NA	NA
CCDC38	120935	0.270004	0.545038	0.279464	0.722721	NA	NA	NA	NA
CCDC39	339829	1.33318	0.831898	1.32026	2.58426	NA	NA	NA	NA
CCDC40	55036	45.4429	28.5616	26.4827	22.6611	NA	NA	NA	NA
CCDC43	124808	24.2383	23.4405	24.9372	26.2002	cerebral-cortex	glial-cells	Low	Approved
CCDC47	57003	50.2721	47.6761	42.9424	50.9096	cerebral-cortex	glial-cells	High	Approved
CCDC50	152137	16.7648	20.359	21.2417	19.4353	NA	NA	NA	NA
CCDC51	79714	8.53145	9.04802	6.66469	7.03911	cerebral-cortex	glial-cells	Low	Supported
CCDC57	284001	21.949	21.4717	27.3572	24.1228	cerebral-cortex	glial-cells	Low	Approved
CCDC58	131076	43.343	41.4402	42.4734	47.7797	NA	NA	NA	NA
CCDC58P3	732448	0.778219	1.42294	1.3167	2.20172	NA	NA	NA	NA
