	reactionIdentifier	lineWidth	color
1	r_DUTPDPm	3	#0000FF
2	r_URIDK2m	3	#0000FF
3	r_CYTK1	3	#0000FF
4	r_UMPK2	3	#0000FF
5	r_UMPK	3	#0000FF
6	r_UMPK6n	3	#0000FF
7	r_CYTK1n	3	#0000FF
8	r_CYTDK1	3	#0000FF
9	r_UMPK5n	3	#0000FF
10	r_CYTK13n	3	#0000FF
11	r_CYTK13	3	#0000FF
12	r_CYTK11	3	#0000FF
13	r_UMPK7	3	#0000FF
15	r_CYTK12	3	#0000FF
16	r_CYTK6	3	#0000FF
18	r_UMPK3	3	#0000FF
19	r_CYTK8n	3	#0000FF
20	r_UMPK5	3	#0000FF
24	r_CYTK6n	3	#0000FF
26	r_CYTK14n	3	#0000FF
27	r_CYTK14	3	#0000FF
28	r_CYTK7	3	#0000FF
29	r_CYTK2n	3	#0000FF
32	r_CYTK9n	3	#0000FF
