	FVA_ST_abs	MTA_ST_abs	FVA_ST_norm_t1	MTA_ST_norm_t1	FVA_ST_norm_t2	MTA_ST_norm_t2	Total
Nucleotide interconversion	0	1	0	1	0	1	3
Fatty acid oxidation	0	0	1	0	1	1	3
