name	FVA_ST_norm_t2$subSystem	MTA_ST_norm_t2$subSystem_CS
Fatty acid oxidation	1	1
Heparan sulfate degradation	0	1
Keratan sulfate degradation	0	1
Nucleotide interconversion	0	1
