SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CCDC62	84660	0.120842	0.296402	0.339595	0.389411	NA	NA	NA	NA
CCDC65	85478	1.3174	2.48395	2.45759	1.66725	NA	NA	NA	NA
CCDC66	285331	12.5417	20.9011	15.3277	17.6769	cerebral-cortex	glial-cells	Medium	Approved
CCDC69	26112	0.690826	0.739566	0.882227	0.585146	NA	NA	NA	NA
CCDC7	79741	0.895456	0.570391	0.886064	0.776693	NA	NA	NA	NA
CCDC71	64925	16.6877	12.6922	12.3957	12.062	NA	NA	NA	NA
CCDC71L	168455	3.24555	3.7088	4.38155	3.66222	NA	NA	NA	NA
CCDC74A	90557	3.53502	11.2007	5.37383	8.21174	NA	NA	NA	NA
CCDC74B	91409	2.71659	6.78492	3.0218	6.12551	NA	NA	NA	NA
CCDC77	84318	18.7412	22.543	19.2818	20.7039	cerebral-cortex	glial-cells	Medium	Approved
CCDC78	124093	1.93176	2.07833	0.964351	1.39134	NA	NA	NA	NA
CCDC8	83987	40.6059	15.275	29.6578	19.3177	NA	NA	NA	NA
CCDC80	151887	84.6416	33.0785	56.0654	55.8396	NA	NA	NA	NA
CCDC81	60494	0.820465	1.2522	0.763653	0.707161	NA	NA	NA	NA
CCDC82	79780	19.9164	35.6452	24.1844	34.3448	NA	NA	NA	NA
CCDC85A	114800	0.0654079	0.105423	0.151406	0.200966	NA	NA	NA	NA
CCDC85B	11007	48.7162	16.0202	21.4558	20.6943	NA	NA	NA	NA
CCDC85C	317762	6.93607	33.7142	8.87825	18.7838	NA	NA	NA	NA
CCDC86	79080	17.2099	9.41229	18.8777	12.2677	cerebral-cortex	glial-cells	Medium	Enhanced
CCDC87	55231	0.12177	0.0178665	0.269397	0.184523	NA	NA	NA	NA
CCDC88A	55704	45.0097	44.2102	35.5649	38.1964	NA	NA	NA	NA
CCDC88B	283234	0.325723	0.17773	0.224113	0.281421	NA	NA	NA	NA
CCDC88C	440193	7.94476	13.753	5.23711	7.87599	cerebral-cortex	glial-cells	High	Approved
CCDC89	220388	0.518632	0.0431803	0.250788	0.0406606	NA	NA	NA	NA
CCDC9	26093	13.1669	11.0238	18.1824	13.8706	cerebral-cortex	glial-cells	Low	Approved
CCDC90B	60492	90.9901	44.3271	56.5849	51.0682	cerebral-cortex	glial-cells	Low	Supported
CCDC91	55297	7.15061	11.4927	6.40203	9.19191	cerebral-cortex	glial-cells	Medium	Approved
CCDC92	80212	19.0769	23.4667	21.7945	23.6887	cerebral-cortex	glial-cells	Medium	Approved
CCDC93	54520	9.64477	27.5939	20.4956	25.5155	NA	NA	NA	NA
CCDC96	257236	0.761037	2.36845	1.71788	2.4158	NA	NA	NA	NA
CCDC97	90324	16.923	17.208	19.5879	19.9065	cerebral-cortex	glial-cells	Low	Enhanced
CCER2	643669	0.443948	0.449692	0.248547	0.484028	NA	NA	NA	NA
CCHCR1	54535	0.484158	0.921326	0.240863	1.1065	NA	NA	NA	NA
CCIN	881	0.69381	0	0.172544	0.0780528	NA	NA	NA	NA
CCL2	6347	24.3305	5.52845	81.6937	59.3962	NA	NA	NA	NA
CCL25	6370	0.071983	0.177347	0.293429	0.426937	NA	NA	NA	NA
CCL27	10850	0.223137	0.0599734	0.585161	0.0922025	NA	NA	NA	NA
CCM2	83605	33.0487	21.8849	31.9356	27.8089	NA	NA	NA	NA
CCM2L	140706	0.186643	0.135467	0.078419	0.165618	NA	NA	NA	NA
CCNA1	8900	0.373977	0.955419	0.178868	0.370086	NA	NA	NA	NA
CCNA2	890	53.075	62.3005	53.34	42.1964	NA	NA	NA	NA
CCNB1	891	177.081	171.168	149.071	123.243	NA	NA	NA	NA
CCNB1IP1	57820	62.7228	66.0029	49.8939	56.3397	NA	NA	NA	NA
CCNB2	9133	81.3354	86.9682	65.3273	60.7158	NA	NA	NA	NA
CCNB3	85417	0	0.866336	0.0324127	0.433809	NA	NA	NA	NA
CCNC	892	32.4365	32.1627	28.2417	25.326	NA	NA	NA	NA
CCND1	595	11.5234	76.0745	22.3305	58.4569	NA	NA	NA	NA
CCND2	894	41.0252	18.8015	60.4052	26.8978	NA	NA	NA	NA
