subSystem_BC	n.x	n.y	p.val	p.val.fdr
Heparan sulfate degradation	10	27	0.00460527009441837	0.0460527009441837
Sink	8	18	0.00298453220013332	0.0402977676332847
Tyrosine metabolism	14	43	0.00345409436856726	0.0402977676332847
Chondroitin synthesis	15	39	0.000343569304753969	0.00601246283319445
Fatty acid oxidation	158	799	0.000130334419036864	0.00304113644419349
Chondroitin sulfate degradation	18	35	5.86627404035418e-07	2.05319591412396e-05
Keratan sulfate degradation	26	60	1.59143301173406e-07	1.11400310821384e-05
