subSystem_BNRC	n.x	n.y	p.val	p.val.fdr
Cholesterol metabolism	24	158	0.00515725587129036	0.0368375419377883
Heparan sulfate degradation	9	27	0.000316650874361522	0.00263875728634602
Keratan sulfate synthesis	9	22	5.00995669618728e-05	0.000500995669618728
Tyrosine metabolism	13	41	2.75031342749278e-05	0.000343789178436597
Keratan sulfate degradation	18	60	1.96811039657303e-06	3.28018399428838e-05
Fatty acid oxidation	111	807	2.64079933896181e-07	6.60199834740452e-06
Chondroitin sulfate degradation	18	36	1.43580037823204e-10	7.17900189116019e-09
