	subSystem	n.x	n.y	p.val	p.val.fdr
11	Lysine metabolism	4	17	0.0020874120512161	0.0120102219165507
13	Miscellaneous	10	102	0.00211945092645013	0.0120102219165507
8	Fructose and mannose metabolism	5	17	0.000181461651980293	0.00154242404183249
34	Valine, leucine, and isoleucine metabolism	7	33	8.86331320381635e-05	0.00100450882976585
6	Fatty acid oxidation	54	799	1.83740155982033e-07	3.12358265169457e-06
12	Methionine and cysteine metabolism	10	31	3.53730275636979e-08	1.20268293716573e-06
