subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Transport, extracellular	MTA_BD_R_abs	KYNATEtr2	NA	kynate[e]  <=> kynate[c] 		
Transport, extracellular	MTA_BD_R_abs	NAIt	NA	2 na1[e] + i[e]  <=> 2 na1[c] + i[c] 		
Transport, extracellular	MTA_BD_R_abs	r1516	NA	h2o[c] + atp[c] + ocdcea[c]  -> h[c] + adp[c] + pi[c] + ocdcea[e] 		
Transport, extracellular	MTA_BD_R_abs	UDPGLCURtr	NA	udpglcur[e]  <=> udpglcur[c] 		
Transport, extracellular	MTA_BD_R_abs	INSTt4_2	NA	2 na1[e] + inost[e]  <=> 2 na1[c] + inost[c] 		
Transport, extracellular	MTA_BD_R_abs	MALTTTRt	NA	maltttr[e]  <=> maltttr[c] 		
Transport, extracellular	MTA_BD_R_abs	DHBPTt	NA	dhbpt[c]  <=> dhbpt[e] 		
Transport, extracellular	MTA_BD_R_abs	THBPTt	NA	thbpt[c]  <=> thbpt[e] 		
Transport, extracellular	MTA_BD_R_abs	MMAte	NA	h[c] + mma[e]  <=> h[e] + mma[c] 		
Transport, extracellular	MTA_BD_R_abs	r1519	NA	h2o[c] + atp[c] + elaid[c]  -> h[c] + adp[c] + pi[c] + elaid[e] 		
Transport, extracellular	MTA_BD_R_abs	XOL7AH3t	NA	na1[c] + xol7ah3[c]  <=> na1[e] + xol7ah3[e] 		
Transport, extracellular	MTA_BD_R_abs	AMETt	NA	amet[c]  <=> amet[e] 		
Transport, extracellular	MTA_BD_R_abs	ASPGLUTRPt	NA	h[e] + aspglutrp[e]  <=> h[c] + aspglutrp[c] 		
Transport, extracellular	MTA_BD_R_abs	7DHCHSTEROLtd	NA	7dhchsterol[c]  <=> 7dhchsterol[e] 		
Transport, extracellular	MTA_BD_R_abs	THMDt2r	NA	h[e] + thymd[e]  <=> h[c] + thymd[c] 		
Transport, extracellular	MTA_BD_R_abs	DOPAtu	NA	dopa[e]  <=> dopa[c] 		
Transport, extracellular	MTA_BD_R_abs	DHCHOLESTANATEt	NA	na1[c] + dhcholestanate[c]  <=> na1[e] + dhcholestanate[e] 		
