	reactionIdentifier	lineWidth	color
198	r_HMR_2702	3	#0000FF
199	r_RE2624M	3	#0000FF
200	r_RE3247M	3	#0000FF
201	r_HMR_0197	3	#0000FF
202	r_FAOXC102C101m	3	#0000FF
204	r_C161CPT12	3	#0000FF
206	r_HMR_3099	3	#0000FF
207	r_HMR_3100	3	#0000FF
208	r_HMR_3101	3	#0000FF
209	r_RE3132R	3	#0000FF
210	r_HMR_2681	3	#0000FF
211	r_HMR_3240	3	#0000FF
212	r_HMR_3241	3	#0000FF
213	r_HMR_3242	3	#0000FF
214	r_HMR_3243	3	#0000FF
215	r_HMR_3174	3	#0000FF
216	r_HMR_3175	3	#0000FF
217	r_HMR_3176	3	#0000FF
218	r_HMR_3177	3	#0000FF
219	r_RE1521M	3	#0000FF
220	r_RE1526M	3	#0000FF
221	r_RE1533M	3	#0000FF
222	r_RE1573M	3	#0000FF
223	r_r1445	3	#0000FF
224	r_LNLCCPT1	3	#0000FF
225	r_FAOXC102C103x	3	#0000FF
226	r_FAOXC102C81x	3	#0000FF
227	r_FAOXC102x	3	#0000FF
228	r_FAOXC103C102x	3	#0000FF
229	r_FAOXC123C102x	3	#0000FF
230	r_FAOXC123x	3	#0000FF
231	r_FAOXC143C123x	3	#0000FF
232	r_FAOXC164C143x	3	#0000FF
233	r_FAOXC164x	3	#0000FF
234	r_FAOXC81C61x	3	#0000FF
235	r_FAOXC2051843x	3	#0000FF
236	r_FAOXC164C165x	3	#0000FF
237	r_FAOXC165C164x	3	#0000FF
238	r_FAOXC184C164x	3	#0000FF
239	r_FAOXC61x	3	#0000FF
240	r_HMR_2699	3	#0000FF
241	r_HMR_3170	3	#0000FF
242	r_HMR_3171	3	#0000FF
243	r_HMR_3172	3	#0000FF
244	r_HMR_3173	3	#0000FF
249	r_RE2985X	3	#0000FF
250	r_RE2986X	3	#0000FF
251	r_RE2987X	3	#0000FF
252	r_RE2988X	3	#0000FF
253	r_RE2990X	3	#0000FF
254	r_RE2996X	3	#0000FF
255	r_RE3002X	3	#0000FF
257	r_RE2994X	3	#0000FF
258	r_r0661	3	#0000FF
259	r_ACACT5p	3	#0000FF
260	r_r0723	3	#0000FF
261	r_FAOXC80	3	#0000FF
262	r_HMR_3344	3	#0000FF
263	r_HMR_3349	3	#0000FF
264	r_C181CPT2	3	#0000FF
265	r_C160CPT1	3	#0000FF
266	r_C161CRNt	3	#0000FF
267	r_HMR_2711	3	#0000FF
268	r_C226CRNt	3	#0000FF
269	r_C181CPT1	3	#0000FF
271	r_CSNATr	3	#0000FF
272	r_RE1520M	3	#0000FF
273	r_RE1527M	3	#0000FF
274	r_RE1534M	3	#0000FF
275	r_DCSPTN1CPT2	3	#0000FF
276	r_HMR_3339	3	#0000FF
277	r_r1451	3	#0000FF
278	r_HMR_3352	3	#0000FF
279	r_EICOSTETCPT2	3	#0000FF
282	r_HMR_3338	3	#0000FF
283	r_HMR_2684	3	#0000FF
284	r_HMR_3204	3	#0000FF
285	r_FAOXC161802m	3	#0000FF
286	r_FAOXC226	3	#0000FF
288	r_FACOAL170	3	#0000FF
289	r_OCD11COACPT1	3	#0000FF
290	r_OCD11CRNCACT	3	#0000FF
291	r_OCD11CRNCPT2	3	#0000FF
292	r_HMR_0386	3	#0000FF
293	r_HMR_0206	3	#0000FF
296	r_r1257	3	#0000FF
301	r_r1260	3	#0000FF
302	r_HMR_2675	3	#0000FF
303	r_r1255	3	#0000FF
304	r_r0735	3	#0000FF
306	r_r1254	3	#0000FF
307	r_FAOXC101C102x	3	#0000FF
308	r_RE0512X	3	#0000FF
309	r_RE1516X	3	#0000FF
310	r_RE1517X	3	#0000FF
311	r_RE1523X	3	#0000FF
312	r_RE1531X	3	#0000FF
313	r_HMR_3098	3	#0000FF
314	r_LNELDCCPT1	3	#0000FF
315	r_r1447	3	#0000FF
316	r_PTDCACRNCPT1	3	#0000FF
317	r_DCSPTN1CPT1	3	#0000FF
318	r_RE3074X	3	#0000FF
319	r_RE3081X	3	#0000FF
320	r_RE3082X	3	#0000FF
321	r_RE3086X	3	#0000FF
322	r_FAOXC11BRC9BRx	3	#0000FF
323	r_FAOXC13BRC11BRx	3	#0000FF
324	r_HMR_3505	3	#0000FF
325	r_FACOAL80i	3	#0000FF
329	r_FAOXC12DCC10DCx	3	#0000FF
336	r_HMR_3427	3	#0000FF
341	r_FAOXC5C5OHm	3	#0000FF
342	r_FAOXC5OHc	3	#0000FF
343	r_HIVCACBP	3	#0000FF
344	r_HIVCRNe	3	#0000FF
345	r_HMR_0214	3	#0000FF
346	r_r0310	3	#0000FF
347	r_C14OHc	3	#0000FF
348	r_FAOXC14C14OHm	3	#0000FF
349	r_HTDCACBP	3	#0000FF
350	r_HTDCRNe	3	#0000FF
351	r_3HBCOARc	3	#0000FF
352	r_BCRNe	3	#0000FF
353	r_C4OHc	3	#0000FF
