	subSystem	disrupted.module	rxnList
1	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	ACGPID
2	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	BMTer_U
3	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	GPIAT
4	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	GPIDAer
5	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	GPIMTer_U
6	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H2ETer
7	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H2MTer_U
8	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H3ETer
9	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H3MTer_U
10	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H4ET3er
11	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H4ETer
12	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H5MTer_U
13	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H6ET3er
14	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H6_ETer
15	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H7_ETer
16	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	H8TAer
17	Phosphatidylinositol phosphate metabolism	FVA_BD_NR_norm_t1	PIACGT
18	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	ACGPID
19	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	GPIAT
20	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	GPIMTer_U
21	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	PIACGT
22	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	H3ETer
23	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	GPIDAer
24	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	H8TAer
25	Phosphatidylinositol phosphate metabolism	MTA_BD_NR_norm_t2	RE3273C
