SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	35.8357	26.919	NA	NA	NA	NA
A1BG-AS1	503538	4.05246	5.65032	NA	NA	NA	NA
A2M	2	2.46203	3.76151	NA	NA	NA	NA
A2M-AS1	144571	0.338741	0.327101	NA	NA	NA	NA
A4GALT	53947	1.32561	1.34156	NA	NA	NA	NA
AAAS	8086	36.7505	42.7341	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.54847	7.65647	NA	NA	NA	NA
AADAT	51166	10.5272	11.6897	NA	NA	NA	NA
AAGAB	79719	32.7119	35.8269	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	10.9902	5.80842	NA	NA	NA	NA
AAMDC	28971	48.3753	30.1802	NA	NA	NA	NA
AAMP	14	67.594	48.7084	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	21.6689	19.9138	NA	NA	NA	NA
AARD	441376	0.146658	0.13182	NA	NA	NA	NA
AARS2	57505	4.72172	8.68209	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	57.7287	37.8484	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.05707	4.75693	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	39.0622	38.2446	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	11.0439	14.5152	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	23.372	21.9934	NA	NA	NA	NA
AATK	9625	1.96906	0.970266	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	20.0954	11.8994	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	0.732986	2.40719	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	4.63041	2.07508	NA	NA	NA	NA
ABCA13	154664	0.089673	0.0998292	NA	NA	NA	NA
ABCA17P	650655	0.105769	0.253861	NA	NA	NA	NA
ABCA2	20	10.3009	8.11824	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	2.88612	3.21966	NA	NA	NA	NA
ABCA4	24	0.179554	0.497407	NA	NA	NA	NA
ABCA5	23461	1.54661	1.53748	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.337501	0.529046	NA	NA	NA	NA
ABCA7	10347	6.43049	4.54321	NA	NA	NA	NA
ABCA8	10351	1.44009	1.30086	NA	NA	NA	NA
ABCA9	10350	5.728	4.46785	NA	NA	NA	NA
ABCB1	5243	0.0659621	0.652651	NA	NA	NA	NA
ABCB10	23456	11.3925	10.3156	NA	NA	NA	NA
ABCB4	5244	0.48884	0.915357	NA	NA	NA	NA
ABCB6	10058	15.1443	27.0012	NA	NA	NA	NA
ABCB7	22	11.5585	12.4628	NA	NA	NA	NA
ABCB8	11194	13.6827	21.4076	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	7.40248	5.06337	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	4.53844	10.0531	NA	NA	NA	NA
ABCC10	89845	5.61305	6.49924	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.113547	0.0265902	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.129731	0.32051	NA	NA	NA	NA
ABCC3	8714	0.132368	0.338452	NA	NA	NA	NA
ABCC4	10257	0.774775	2.59999	NA	NA	NA	NA
ABCC5	10057	15.9834	20.0743	NA	NA	NA	NA
ABCC6	368	1.51923	1.21731	NA	NA	NA	NA
ABCC6P1	653190	0.595116	0.622564	NA	NA	NA	NA
ABCC6P2	730013	0.622642	0.326514	NA	NA	NA	NA
ABCC8	6833	0.624297	0.0226234	NA	NA	NA	NA
ABCC9	10060	7.94308	2.56954	NA	NA	NA	NA
ABCD1	215	2.01927	0.0881151	NA	NA	NA	NA
ABCD2	225	0.0457885	0.121441	NA	NA	NA	NA
ABCD3	5825	21.1353	22.7535	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	44.0935	39.3112	NA	NA	NA	NA
ABCE1	6059	36.9675	40.8572	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	21.2588	30.2614	cerebral-cortex	glial-cells	Low	Approved
ABCF3	55324	26.2909	26.4179	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	4.71196	2.14221	NA	NA	NA	NA
ABCG4	64137	0.316528	0.727293	NA	NA	NA	NA
ABHD1	84696	1.01675	0.17884	NA	NA	NA	NA
ABHD10	55347	18.1914	20.2301	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.157845	0.10293	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	13.9592	15.5774	NA	NA	NA	NA
ABHD12B	145447	0.176483	0.0355063	NA	NA	NA	NA
ABHD13	84945	6.22796	6.67155	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	11.3444	11.2024	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.431954	0.0598075	NA	NA	NA	NA
ABHD14B	84836	10.2038	5.65708	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.09818	2.72957	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	2.95822	2.93863	NA	NA	NA	NA
ABHD17A	81926	35.0182	22.4608	NA	NA	NA	NA
ABHD17AP3	648359	0.522943	0.136563	NA	NA	NA	NA
ABHD17AP6	644988	0.579404	0.202189	NA	NA	NA	NA
ABHD17B	51104	15.467	14.5818	NA	NA	NA	NA
ABHD17C	58489	7.60869	6.32328	NA	NA	NA	NA
ABHD2	11057	5.03655	8.09344	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	7.12036	11.1829	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	10.5995	17.7567	NA	NA	NA	NA
ABHD5	51099	3.85449	5.9969	NA	NA	NA	NA
ABHD6	57406	1.28952	1.93676	NA	NA	NA	NA
ABHD8	79575	6.36269	8.22463	NA	NA	NA	NA
ABI1	10006	16.633	19.1701	NA	NA	NA	NA
ABI2	10152	29.9521	46.5442	NA	NA	NA	NA
ABI3BP	25890	3.04919	3.03932	NA	NA	NA	NA
ABL1	25	35.5786	44.6723	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	10.634	8.19155	NA	NA	NA	NA
ABLIM1	3983	12.1513	16.8611	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	2.63821	2.54458	NA	NA	NA	NA
ABLIM3	22885	63.1394	11.3275	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	18.0869	26.3108	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	51.1878	34.7677	NA	NA	NA	NA
ABT1	29777	0.401376	0.209056	NA	NA	NA	NA
ABTB1	80325	7.28831	4.88602	NA	NA	NA	NA
ABTB2	25841	3.2437	5.67642	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	23.354	24.2503	NA	NA	NA	NA
ACAA2	10449	74.3088	67.9319	NA	NA	NA	NA
ACACA	31	25.9048	33.0063	NA	NA	NA	NA
ACACB	32	1.93813	1.63018	NA	NA	NA	NA
ACAD10	80724	14.0216	12.3484	NA	NA	NA	NA
ACAD11	84129	5.12661	6.77236	NA	NA	NA	NA
ACAD8	27034	15.3524	16.9934	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	33.043	31.1119	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	1.08495	0.325162	NA	NA	NA	NA
ACADM	34	36.7384	39.8698	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	3.18731	2.09109	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	4.60941	3.80174	NA	NA	NA	NA
ACADVL	37	108.712	106.687	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	1.32219	0.258151	NA	NA	NA	NA
ACAP1	9744	3.69897	2.02478	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	10.2199	15.2525	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0	0.516084	NA	NA	NA	NA
ACAP3	116983	31.593	26.2367	NA	NA	NA	NA
ACAT1	38	58.4216	33.0247	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	160.977	123.209	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	22.6696	20.7426	NA	NA	NA	NA
ACBD4	79777	2.40782	1.12163	NA	NA	NA	NA
ACBD5	91452	8.77984	10.5836	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	55.8207	37.6408	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	1.07075	1.79061	NA	NA	NA	NA
ACCS	84680	0.430247	1.18338	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	10.3076	11.4452	NA	NA	NA	NA
ACE2	59272	0.103635	0.0134803	NA	NA	NA	NA
ACER2	340485	0.461026	1.77513	NA	NA	NA	NA
ACER3	55331	0.807273	4.26295	NA	NA	NA	NA
ACHE	43	13.7032	3.95844	NA	NA	NA	NA
ACIN1	22985	114.187	78.583	cerebral-cortex	glial-cells	High	Supported
ACKR2	1238	0.0205536	0.0160432	NA	NA	NA	NA
ACKR3	57007	1.53729	1.45454	NA	NA	NA	NA
ACLY	47	1.00789	0.964758	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.158157	0.0988901	NA	NA	NA	NA
ACO1	48	22.8243	21.4983	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	46.871	38.38	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	3.76847	2.91832	NA	NA	NA	NA
ACOT11	26027	5.23282	2.92561	NA	NA	NA	NA
ACOT12	134526	0.624422	0.206768	NA	NA	NA	NA
ACOT13	55856	26.2656	18.1192	NA	NA	NA	NA
ACOT2	10965	14.4563	12.2813	NA	NA	NA	NA
ACOT4	122970	0.203557	0.218646	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	33.7208	36.7945	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	14.0088	8.72299	NA	NA	NA	NA
ACOT9	23597	18.1269	22.1435	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	6.54065	7.50421	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	4.5921	3.94971	NA	NA	NA	NA
ACOX3	8310	16.9909	9.50438	NA	NA	NA	NA
ACP1	52	118.505	105.934	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	16.6682	18.2462	NA	NA	NA	NA
ACP5	54	0.295887	0.248022	NA	NA	NA	NA
ACP6	51205	0.0749352	0	NA	NA	NA	NA
ACRBP	84519	0.523282	0.801452	NA	NA	NA	NA
ACRV1	56	0.35523	0.3171	NA	NA	NA	NA
ACSBG1	23205	0.120187	0.589504	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.0308776	0.433375	NA	NA	NA	NA
ACSF2	80221	39.3913	27.8576	NA	NA	NA	NA
ACSF3	197322	9.7573	8.08721	NA	NA	NA	NA
ACSL1	2180	17.1691	7.38262	NA	NA	NA	NA
ACSL3	2181	78.1995	110.22	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	12.3864	14.2672	NA	NA	NA	NA
ACSL5	51703	0.0357885	0.0698536	NA	NA	NA	NA
ACSL6	23305	0.0348965	0.0204152	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	0.762854	0.359928	NA	NA	NA	NA
ACSS1	84532	1.89072	1.01253	NA	NA	NA	NA
ACSS2	55902	28.9265	32.3253	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	2.8478	3.72971	NA	NA	NA	NA
ACTA1	58	102.144	39.1604	NA	NA	NA	NA
ACTA2	59	184.288	205.373	NA	NA	NA	NA
ACTA2-AS1	100132116	1.06259	1.68248	NA	NA	NA	NA
ACTB	60	1979.6	2015.46	NA	NA	NA	NA
ACTBP2	62	6.30977	3.09559	NA	NA	NA	NA
ACTC1	70	3301.91	619.666	NA	NA	NA	NA
ACTG1	71	43.822	91.0747	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.527367	0.229543	NA	NA	NA	NA
ACTG1P3	75	0	0.140006	NA	NA	NA	NA
ACTG2	72	69.2693	124.341	NA	NA	NA	NA
ACTL10	170487	0.1803	0.305297	NA	NA	NA	NA
ACTL6A	86	54.6161	58.9326	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.211492	0.285556	NA	NA	NA	NA
ACTN1	87	33.656	74.2383	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0	0.360228	NA	NA	NA	NA
ACTN2	88	104.265	21.8153	NA	NA	NA	NA
ACTN4	81	75.563	128.673	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.218601	0.0342084	NA	NA	NA	NA
ACTR10	55860	87.8471	63.5408	NA	NA	NA	NA
ACTR1A	10121	83.669	84.5001	NA	NA	NA	NA
ACTR1B	10120	27.9843	26.7739	NA	NA	NA	NA
ACTR2	10097	76.5317	141.084	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	65.5851	118.365	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	4.24675	6.64789	NA	NA	NA	NA
ACTR3C	653857	0.463631	0.13973	NA	NA	NA	NA
ACTR5	79913	6.80552	5.65467	NA	NA	NA	NA
ACTR6	64431	21.2132	20.6269	NA	NA	NA	NA
ACTR8	93973	15.9518	17.2421	NA	NA	NA	NA
ACTRT3	84517	0.121717	0.356718	NA	NA	NA	NA
ACVR1	90	12.612	18.2767	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	8.59764	9.11756	NA	NA	NA	NA
ACVR2A	92	35.1964	17.3058	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	6.64385	7.37587	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.902696	0.333978	NA	NA	NA	NA
ACVRL1	94	5.16595	5.85612	NA	NA	NA	NA
ACY1	95	11.3191	9.29617	NA	NA	NA	NA
ACYP1	97	27.2919	21.6683	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	13.3663	7.40938	NA	NA	NA	NA
ADA	100	15.4343	35.0314	NA	NA	NA	NA
ADAL	161823	8.83934	6.26961	NA	NA	NA	NA
ADAM10	102	29.0379	38.3723	NA	NA	NA	NA
ADAM11	4185	0.606552	0.394411	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	14.2639	24.0051	NA	NA	NA	NA
ADAM15	8751	10.6947	16.1163	NA	NA	NA	NA
ADAM17	6868	10.0831	21.3868	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	30.1147	31.7846	NA	NA	NA	NA
ADAM1A	8759	5.39335	4.62295	NA	NA	NA	NA
ADAM1B	100420505	0.122052	0.143081	NA	NA	NA	NA
ADAM20P1	317760	0.233375	0.0783376	NA	NA	NA	NA
ADAM21	8747	0.124704	0.253273	NA	NA	NA	NA
ADAM22	53616	1.40666	2.99393	NA	NA	NA	NA
ADAM23	8745	3.08293	6.26951	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	8.25834	5.42531	NA	NA	NA	NA
ADAM32	203102	0.24216	0.247841	NA	NA	NA	NA
ADAM33	80332	4.58147	1.94353	NA	NA	NA	NA
ADAM8	101	1.07488	1.28657	NA	NA	NA	NA
ADAM9	8754	28.907	51.3036	NA	NA	NA	NA
ADAMTS1	9510	20.2848	11.3078	NA	NA	NA	NA
ADAMTS10	81794	0	0.0659682	NA	NA	NA	NA
ADAMTS12	81792	8.86291	12.707	NA	NA	NA	NA
ADAMTS13	11093	0.316612	0.488557	NA	NA	NA	NA
ADAMTS14	140766	1.68193	3.16751	NA	NA	NA	NA
ADAMTS15	170689	12.9477	5.97694	NA	NA	NA	NA
ADAMTS16	170690	0.8155	1.26723	NA	NA	NA	NA
ADAMTS17	170691	2.69971	1.86677	NA	NA	NA	NA
ADAMTS19	171019	8.1969	1.23489	NA	NA	NA	NA
ADAMTS2	9509	7.26905	6.77506	NA	NA	NA	NA
ADAMTS20	80070	0.489379	0.861516	NA	NA	NA	NA
ADAMTS3	9508	1.22916	2.8076	NA	NA	NA	NA
ADAMTS4	9507	0.851302	1.89403	NA	NA	NA	NA
ADAMTS5	11096	10.1428	4.35222	NA	NA	NA	NA
ADAMTS6	11174	0.622971	1.36857	NA	NA	NA	NA
ADAMTS7	11173	27.2513	32.645	NA	NA	NA	NA
ADAMTS7P4	642935	8.73588	8.40243	NA	NA	NA	NA
ADAMTS8	11095	0.375491	0.377578	NA	NA	NA	NA
ADAMTS9	56999	29.9445	25.6709	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.0620502	0.184095	NA	NA	NA	NA
ADAMTSL1	92949	5.15881	1.7275	NA	NA	NA	NA
ADAMTSL4	54507	1.27065	0.765481	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	0	0	NA	NA	NA	NA
ADAMTSL5	339366	1.65647	0.225037	NA	NA	NA	NA
ADAP1	11033	0.829413	1.37258	NA	NA	NA	NA
ADAP2	55803	0.161446	0.0472117	NA	NA	NA	NA
ADAR	103	37.7109	65.3709	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	7.23275	7.3485	NA	NA	NA	NA
ADARB2	105	0.243499	0.48813	NA	NA	NA	NA
ADAT1	23536	17.1591	24.5559	NA	NA	NA	NA
ADAT2	134637	4.28693	4.42237	NA	NA	NA	NA
ADAT3	113179	5.32405	4.20998	NA	NA	NA	NA
ADCK1	57143	2.34131	3.50298	NA	NA	NA	NA
ADCK2	90956	5.07641	5.63091	cerebral-cortex	glial-cells	Medium	Approved
ADCK5	203054	0.251146	0.245367	cerebral-cortex	glial-cells	Medium	Approved
ADCY1	107	2.96788	3.2995	NA	NA	NA	NA
ADCY10P1	221442	1.59205	1.04184	NA	NA	NA	NA
ADCY2	108	2.2132	1.21609	cerebral-cortex	glial-cells	Low	Approved
ADCY3	109	7.3034	14.0922	cerebral-cortex	glial-cells	Low	Approved
ADCY4	196883	2.94224	3.20409	NA	NA	NA	NA
ADCY5	111	1.08927	0.880128	NA	NA	NA	NA
ADCY6	112	18.5	26.0437	cerebral-cortex	glial-cells	Low	Approved
ADCY7	113	0.393309	2.16127	NA	NA	NA	NA
ADCY8	114	0.174205	0.0958058	NA	NA	NA	NA
ADCY9	115	4.71038	5.363	cerebral-cortex	glial-cells	Medium	Approved
ADCYAP1	116	1.98936	0.554322	NA	NA	NA	NA
ADCYAP1R1	117	2.4137	2.93728	NA	NA	NA	NA
ADD1	118	154.746	116.07	cerebral-cortex	glial-cells	Low	Enhanced
ADD3	120	40.4977	65.1551	cerebral-cortex	glial-cells	Medium	Supported
ADH1A	124	0	0.220463	NA	NA	NA	NA
ADH4	127	0	0	NA	NA	NA	NA
ADH5	128	93.8783	107.662	NA	NA	NA	NA
ADH5P4	642443	2.88892	4.29157	NA	NA	NA	NA
ADH6	130	0.270847	0.159057	NA	NA	NA	NA
ADHFE1	137872	3.95577	1.99028	NA	NA	NA	NA
ADI1	55256	41.948	32.4031	cerebral-cortex	glial-cells	Medium	Approved
ADIPOR1	51094	39.6946	25.668	NA	NA	NA	NA
ADIPOR2	79602	21.7536	29.4376	NA	NA	NA	NA
ADIRF-AS1	100133190	0.916575	1.46888	NA	NA	NA	NA
ADK	132	48.9039	28.24	NA	NA	NA	NA
ADM	133	17.9932	13.488	NA	NA	NA	NA
ADM2	79924	0.518575	2.64379	NA	NA	NA	NA
ADM5	199800	2.52821	1.1566	NA	NA	NA	NA
ADNP	23394	38.6621	48.2768	cerebral-cortex	glial-cells	High	Supported
ADNP2	22850	8.55687	10.8025	NA	NA	NA	NA
ADO	84890	15.5378	13.0933	NA	NA	NA	NA
ADORA1	134	19.066	7.4571	NA	NA	NA	NA
ADORA2A	135	1.84403	2.43254	NA	NA	NA	NA
ADORA2A-AS1	646023	0.243593	0.425449	NA	NA	NA	NA
ADORA2B	136	4.54168	8.54119	NA	NA	NA	NA
ADPGK	83440	28.1595	30.0511	NA	NA	NA	NA
ADPRH	141	0.238409	0.864808	cerebral-cortex	glial-cells	Low	Approved
ADPRHL1	113622	34.1209	5.43798	NA	NA	NA	NA
ADPRHL2	54936	28.0745	25.3408	cerebral-cortex	glial-cells	Low	Approved
ADPRM	56985	16.8072	6.37318	NA	NA	NA	NA
ADRA1A	148	0.0334991	0.153527	cerebral-cortex	glial-cells	Medium	Approved
ADRA1B	147	0.142611	0.111506	NA	NA	NA	NA
ADRA1D	146	0.133388	0.0520856	NA	NA	NA	NA
ADRA2A	150	1.77505	1.00968	NA	NA	NA	NA
ADRA2C	152	3.26687	0.757707	NA	NA	NA	NA
ADRB2	154	0.566956	0.536344	NA	NA	NA	NA
ADRM1	11047	72.4691	76.8647	cerebral-cortex	glial-cells	Medium	Supported
ADSL	158	79.5069	54.6171	cerebral-cortex	glial-cells	Medium	Enhanced
AEBP1	165	38.2938	50.9299	cerebral-cortex	glial-cells	Low	Supported
AEBP2	121536	20.7493	18.7318	NA	NA	NA	NA
AEN	64782	16.2423	37.5264	NA	NA	NA	NA
AFAP1	60312	13.6984	15.7349	cerebral-cortex	glial-cells	Low	Enhanced
AFAP1L1	134265	23.5271	6.98967	NA	NA	NA	NA
AFAP1L2	84632	3.80061	2.66677	NA	NA	NA	NA
AFF1	4299	5.88587	14.1804	NA	NA	NA	NA
AFF3	3899	7.30471	12.8716	cerebral-cortex	glial-cells	Low	Approved
AFF4	27125	18.8263	22.9338	cerebral-cortex	glial-cells	High	Approved
AFG3L1P	172	21.4443	20.6385	NA	NA	NA	NA
AFG3L2	10939	24.6873	26.6089	cerebral-cortex	glial-cells	Medium	Enhanced
AFMID	125061	27.5704	18.7754	NA	NA	NA	NA
AFTPH	54812	6.46839	8.26753	NA	NA	NA	NA
AGA	175	1.72898	2.35944	cerebral-cortex	glial-cells	Low	Enhanced
AGAP1	116987	12.7239	13.0857	NA	NA	NA	NA
AGAP1-IT1	100506749	0.575984	0	NA	NA	NA	NA
AGAP2	116986	5.27965	5.72354	cerebral-cortex	glial-cells	Medium	Enhanced
AGAP2-AS1	100130776	1.93096	1.23898	NA	NA	NA	NA
AGAP3	116988	56.1515	40.5589	cerebral-cortex	glial-cells	Medium	Approved
AGAP4	119016	0.0491527	0.825496	NA	NA	NA	NA
AGAP5	729092	2.84244	1.98571	NA	NA	NA	NA
AGAP6	414189	0.293717	0.395719	NA	NA	NA	NA
AGAP9	642517	0.67989	0.255285	NA	NA	NA	NA
AGBL3	340351	3.12048	1.66716	NA	NA	NA	NA
AGBL4	84871	0.118308	0.0683655	cerebral-cortex	glial-cells	Low	Approved
AGBL5	60509	25.5346	25.4804	NA	NA	NA	NA
AGBL5-IT1	106481744	0.346326	0.280127	NA	NA	NA	NA
AGFG1	3267	27.0733	30.6159	NA	NA	NA	NA
AGFG2	3268	2.54893	3.11378	NA	NA	NA	NA
AGGF1	55109	10.6642	12.2676	NA	NA	NA	NA
AGK	55750	7.13144	11.0181	cerebral-cortex	glial-cells	Low	Supported
AGL	178	13.4248	7.18607	cerebral-cortex	glial-cells	High	Approved
AGMAT	79814	0.239294	0.186908	NA	NA	NA	NA
AGMO	392636	0.37665	0.132265	NA	NA	NA	NA
AGO1	26523	5.41013	9.99064	NA	NA	NA	NA
AGO2	27161	3.04804	6.97724	cerebral-cortex	glial-cells	High	Approved
AGO3	192669	7.43961	8.38205	NA	NA	NA	NA
AGO4	192670	7.13357	10.4766	NA	NA	NA	NA
AGPAT1	10554	1.03901	6.64091	cerebral-cortex	glial-cells	High	Approved
AGPAT2	10555	20.5137	18.1006	NA	NA	NA	NA
AGPAT3	56894	7.14225	12.9546	NA	NA	NA	NA
AGPAT4	56895	8.33965	12.1041	cerebral-cortex	glial-cells	Medium	Approved
AGPAT5	55326	33.2076	24.4145	NA	NA	NA	NA
AGPS	8540	10.7567	9.91209	NA	NA	NA	NA
AGRN	375790	57.7264	44.9479	cerebral-cortex	glial-cells	Low	Approved
AGT	183	0.368221	0.205479	NA	NA	NA	NA
AGTPBP1	23287	6.9633	9.24939	NA	NA	NA	NA
AGTR1	185	4.71271	1.6307	NA	NA	NA	NA
AGTRAP	57085	16.829	19.2101	NA	NA	NA	NA
AHCTF1	25909	10.6588	19.4932	NA	NA	NA	NA
AHCTF1P1	285116	0.835346	1.58985	NA	NA	NA	NA
AHCY	191	95.4143	80.7369	cerebral-cortex	glial-cells	Medium	Approved
AHCYL1	10768	32.3909	37.0525	NA	NA	NA	NA
AHCYL2	23382	7.24954	8.8186	NA	NA	NA	NA
AHDC1	27245	13.3773	11.5196	cerebral-cortex	glial-cells	Low	Approved
AHI1	54806	9.76102	10.5104	cerebral-cortex	glial-cells	Medium	Approved
AHNAK	79026	20.5229	30.7468	NA	NA	NA	NA
AHNAK2	113146	3.47812	3.8479	NA	NA	NA	NA
AHR	196	1.93843	1.22614	cerebral-cortex	glial-cells	Low	Enhanced
AHRR	57491	0.377351	0.474998	NA	NA	NA	NA
AHSA1	10598	83.0801	96.7524	cerebral-cortex	glial-cells	Medium	Supported
AIDA	64853	12.924	23.4044	NA	NA	NA	NA
AIF1L	83543	9.84556	8.92692	NA	NA	NA	NA
AIFM1	9131	26.4614	28.5138	NA	NA	NA	NA
AIFM2	84883	2.39751	3.53413	NA	NA	NA	NA
AIFM3	150209	0.266591	0.0998296	NA	NA	NA	NA
AIG1	51390	22.8157	17.3557	NA	NA	NA	NA
AIM2	9447	0.134781	0.520146	NA	NA	NA	NA
AIMP1	9255	30.0946	20.1335	cerebral-cortex	glial-cells	Medium	Supported
AIMP2	7965	32.6202	25.5629	cerebral-cortex	glial-cells	Low	Supported
AIP	9049	54.0504	40.5752	cerebral-cortex	glial-cells	Medium	Approved
AJAP1	55966	0.033803	0.0791385	NA	NA	NA	NA
AJUBA	84962	40.5095	30.2462	NA	NA	NA	NA
AK1	203	141.715	66.7387	NA	NA	NA	NA
AK2	204	75.5043	70.965	NA	NA	NA	NA
AK3	50808	34.9003	31.3768	NA	NA	NA	NA
AK3P3	100419075	1.15197	1.36061	NA	NA	NA	NA
AK3P5	100288319	0.329467	0	NA	NA	NA	NA
AK4	205	2.31125	5.77062	cerebral-cortex	glial-cells	Medium	Enhanced
AK4P1	206	0.915869	2.16334	NA	NA	NA	NA
AK4P3	645619	0	0.538433	NA	NA	NA	NA
AK5	26289	6.94773	3.61792	NA	NA	NA	NA
AK7	122481	0.618566	0.881869	NA	NA	NA	NA
AK8	158067	0.721618	0.327198	NA	NA	NA	NA
AK9	221264	5.08112	2.2641	cerebral-cortex	glial-cells	High	Enhanced
AKAP1	8165	11.0903	7.42902	cerebral-cortex	glial-cells	High	Supported
AKAP10	11216	12.3042	11.1132	cerebral-cortex	glial-cells	Medium	Approved
AKAP11	11215	5.93835	10.6573	NA	NA	NA	NA
AKAP12	9590	15.874	26.6722	NA	NA	NA	NA
AKAP13	11214	22.7589	24.113	cerebral-cortex	glial-cells	Medium	Approved
AKAP14	158798	0	0	NA	NA	NA	NA
AKAP17A	8227	25.2247	35.0823	cerebral-cortex	glial-cells	Medium	Supported
AKAP3	10566	0.938123	1.89152	NA	NA	NA	NA
AKAP5	9495	0.588941	0.97155	cerebral-cortex	glial-cells	Low	Enhanced
AKAP6	9472	5.63962	2.73102	NA	NA	NA	NA
AKAP7	9465	8.57282	3.50648	NA	NA	NA	NA
AKAP8	10270	13.8739	13.9004	cerebral-cortex	glial-cells	Medium	Supported
AKAP8L	26993	58.4776	45.1438	cerebral-cortex	glial-cells	High	Enhanced
AKAP9	10142	52.8842	25.6017	cerebral-cortex	glial-cells	Medium	Supported
AKIP1	56672	25.3167	21.7511	NA	NA	NA	NA
AKIRIN1	79647	44.1231	52.7961	cerebral-cortex	glial-cells	Low	Approved
AKIRIN2	55122	44.8515	42.9231	NA	NA	NA	NA
