SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
FNDC1	84624	1.11838	4.62855	cerebral-cortex	glial-cells	Low	Approved
FNDC3A	22862	20.9744	32.3094	cerebral-cortex	glial-cells	Low	Approved
FNDC3B	64778	24.2901	30.3355	NA	NA	NA	NA
FNDC4	64838	4.81428	4.69658	NA	NA	NA	NA
FNDC5	252995	294.487	85.7383	NA	NA	NA	NA
FNDC9	408263	0.0979735	0.237602	NA	NA	NA	NA
FNIP1	96459	5.1862	6.31854	NA	NA	NA	NA
FNIP2	57600	4.10819	8.05849	cerebral-cortex	glial-cells	Medium	Approved
FNTA	2339	62.7926	47.5386	cerebral-cortex	glial-cells	Medium	Approved
FNTB	2342	16.3358	15.5166	NA	NA	NA	NA
FOCAD	54914	10.0568	12.9161	NA	NA	NA	NA
FOLH1	2346	0.494947	1.44269	NA	NA	NA	NA
FOPNL	123811	19.0334	15.7087	cerebral-cortex	glial-cells	Low	Supported
FOS	2353	3.02946	2.41626	cerebral-cortex	glial-cells	Low	Approved
FOSB	2354	0.0926361	0.761375	NA	NA	NA	NA
FOSL1	8061	1.96355	4.30462	NA	NA	NA	NA
FOSL1P1	100419062	0	0.0687845	NA	NA	NA	NA
FOSL2	2355	3.01694	5.67345	NA	NA	NA	NA
FOXB1	27023	0.372328	0.75701	NA	NA	NA	NA
FOXC1	2296	11.0249	8.30104	cerebral-cortex	glial-cells	Low	Enhanced
FOXC2	2303	0.369598	0.606933	NA	NA	NA	NA
FOXD4	2298	2.83043	0.303543	NA	NA	NA	NA
FOXD4L1	200350	4.94129	0.735504	NA	NA	NA	NA
FOXD4L5	653427	0.454789	0.133151	NA	NA	NA	NA
FOXF2	2295	0	0.0864664	NA	NA	NA	NA
FOXH1	8928	0.0583526	0.0707426	NA	NA	NA	NA
FOXJ1	2302	0.563924	0.493266	NA	NA	NA	NA
FOXJ2	55810	7.07639	10.2865	cerebral-cortex	glial-cells	Low	Approved
FOXJ3	22887	18.4572	16.8409	NA	NA	NA	NA
FOXK1	221937	5.46056	7.38855	cerebral-cortex	glial-cells	High	Enhanced
FOXK2	3607	20.1389	24.1575	cerebral-cortex	glial-cells	Low	Approved
FOXL1	2300	0.166007	0.633612	NA	NA	NA	NA
FOXL2	668	0.0811204	0.332541	NA	NA	NA	NA
FOXM1	2305	37.3279	53.6904	NA	NA	NA	NA
FOXN2	3344	7.53189	6.30548	cerebral-cortex	glial-cells	Medium	Supported
FOXN3	1112	10.7004	13.6975	NA	NA	NA	NA
FOXN3-AS1	400236	0.930043	1.11761	NA	NA	NA	NA
FOXN4	121643	0.234489	0.337514	NA	NA	NA	NA
FOXO1	2308	10.5366	7.916	NA	NA	NA	NA
FOXO3	2309	8.62439	7.06323	NA	NA	NA	NA
FOXO3B	2310	0.889608	2.73166	NA	NA	NA	NA
FOXO4	4303	14.3863	8.14211	NA	NA	NA	NA
FOXO6	100132074	5.15642	2.07264	NA	NA	NA	NA
FOXP1	27086	6.62796	11.1411	NA	NA	NA	NA
FOXP2	93986	9.25204	5.49802	NA	NA	NA	NA
FOXP4	116113	10.104	17.9581	cerebral-cortex	glial-cells	High	Approved
FOXRED1	55572	21.9706	27.6441	NA	NA	NA	NA
FOXRED2	80020	8.68997	11.1878	cerebral-cortex	glial-cells	Low	Approved
FOXS1	2307	4.10271	5.27614	cerebral-cortex	glial-cells	Low	Approved
FPGS	2356	29.4725	22.8796	NA	NA	NA	NA
FPGT	8790	4.48692	4.90187	NA	NA	NA	NA
FPGT-TNNI3K	100526835	0.181171	0.147849	NA	NA	NA	NA
FRA10AC1	118924	29.442	17.6931	NA	NA	NA	NA
FRAS1	80144	5.32272	5.45692	NA	NA	NA	NA
FRAT1	10023	2.87559	2.26332	cerebral-cortex	glial-cells	Low	Approved
FRAT2	23401	5.67531	7.7378	NA	NA	NA	NA
FREM1	158326	4.45227	4.70977	NA	NA	NA	NA
FREM2	341640	1.46432	1.43011	NA	NA	NA	NA
FRG1	2483	1.61639	1.36517	NA	NA	NA	NA
FRMD3	257019	7.70786	4.14783	NA	NA	NA	NA
FRMD4A	55691	19.7551	48.6142	NA	NA	NA	NA
FRMD4B	23150	8.24216	7.47251	NA	NA	NA	NA
FRMD5	84978	0.412099	0.782667	NA	NA	NA	NA
FRMD6	122786	18.4794	28.2079	NA	NA	NA	NA
FRMD8	83786	7.36778	11.5114	cerebral-cortex	glial-cells	Medium	Approved
FRMPD1	22844	3.19491	1.46177	NA	NA	NA	NA
FRMPD3	84443	0.103393	0.284774	NA	NA	NA	NA
FRRS1	391059	0.48347	1.09837	cerebral-cortex	glial-cells	Low	Approved
FRRS1L	23732	0.297527	0.318387	cerebral-cortex	glial-cells	Low	Enhanced
FRS2	10818	7.72382	9.41217	NA	NA	NA	NA
FRS3	10817	4.70135	3.66219	NA	NA	NA	NA
FRY	10129	2.66374	0.969613	NA	NA	NA	NA
FRYL	285527	12.245	14.2516	NA	NA	NA	NA
FRZB	2487	21.4787	8.90749	NA	NA	NA	NA
FSBP	100861412	1.45725	1.05573	NA	NA	NA	NA
FSCN1	6624	132.347	175.174	cerebral-cortex	glial-cells	High	Enhanced
FSCN2	25794	0.56803	0.671923	NA	NA	NA	NA
FSCN3	29999	1.80809	0.289056	NA	NA	NA	NA
FSD1	79187	15.2308	23.6767	NA	NA	NA	NA
FSD1L	83856	3.46458	3.65725	cerebral-cortex	glial-cells	Medium	Approved
FSIP1	161835	0.260184	0.792617	NA	NA	NA	NA
FSIP2	401024	0.235084	0.132664	NA	NA	NA	NA
FST	10468	27.0731	28.3572	NA	NA	NA	NA
FSTL1	11167	226.567	381.609	NA	NA	NA	NA
FSTL3	10272	7.13662	6.48386	NA	NA	NA	NA
FSTL4	23105	0.489195	0.336298	NA	NA	NA	NA
FSTL5	56884	17.9542	7.17274	NA	NA	NA	NA
FTCD	10841	2.27198	1.39167	NA	NA	NA	NA
FTCDNL1	348751	0.416522	0.277146	NA	NA	NA	NA
FTH1	2495	803.427	981.369	cerebral-cortex	glial-cells	High	Approved
FTH1P1	2496	0.158632	0	NA	NA	NA	NA
FTH1P10	2502	20.9014	19.1335	NA	NA	NA	NA
FTH1P11	2503	10.9849	9.27257	NA	NA	NA	NA
FTH1P15	2507	1.04826	0	NA	NA	NA	NA
FTH1P16	2508	1.35064	0.830207	NA	NA	NA	NA
FTH1P2	2497	27.7602	28.8901	NA	NA	NA	NA
FTH1P20	729009	5.91664	4.31519	NA	NA	NA	NA
FTH1P23	100420300	5.43188	4.64905	NA	NA	NA	NA
FTH1P3	2498	1.79608	0.54499	NA	NA	NA	NA
FTH1P7	2500	21.9104	33.3135	NA	NA	NA	NA
FTL	2512	602.647	1355.88	cerebral-cortex	glial-cells	High	Enhanced
FTLP12	100462792	0.415161	0.164974	NA	NA	NA	NA
FTLP3	284764	19.0736	15.3858	NA	NA	NA	NA
FTO	79068	19.827	29.6436	cerebral-cortex	glial-cells	Low	Enhanced
FTO-IT1	100505692	0.426473	0.125249	NA	NA	NA	NA
FTOP1	100874223	0.490472	0.320877	NA	NA	NA	NA
FTSJ3	117246	29.5979	32.3381	NA	NA	NA	NA
FTX	100302692	4.4426	6.60254	NA	NA	NA	NA
FUBP1	8880	117.955	90.2825	cerebral-cortex	glial-cells	High	Supported
